Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
HL1	Default	5/7/2015	10:16 AM	39.16	0.979	0.515	1.90	1.70	40.00	230	0.576	0.016
HL2	Default	5/7/2015	10:17 AM	141.47	3.537	1.749	2.02	2.27	40.00	230	1.559	0.043
HL3	Default	5/7/2015	10:18 AM	58.05	1.451	0.716	2.03	2.19	40.00	230	0.664	0.024
HL4	Default	5/7/2015	10:19 AM	119.39	2.985	1.504	1.98	2.27	40.00	230	1.314	0.064
HL5	Default	5/7/2015	10:20 AM	64.32	1.608	0.805	2.00	2.20	40.00	230	0.732	0.053
HL6	Default	5/7/2015	10:21 AM	78.93	1.973	0.976	2.02	2.22	40.00	230	0.890	0.033
HL7	Default	5/7/2015	10:22 AM	115.35	2.884	1.419	2.03	2.30	40.00	230	1.251	0.049
HL8	Default	5/7/2015	10:23 AM	11.77	0.235	0.129	1.82	1.54	50.00	230	0.153	0.055
HL9	Default	5/7/2015	10:25 AM	172.45	3.449	1.726	2.00	2.31	50.00	230	1.495	0.043
HL10	Default	5/7/2015	10:26 AM	96.08	1.922	0.966	1.99	2.20	50.00	230	0.875	0.029
HL11	Default	5/7/2015	10:27 AM	192.30	3.846	1.951	1.97	2.28	50.00	230	1.689	0.081
HL12	Default	5/7/2015	10:28 AM	58.12	1.162	0.584	1.99	2.15	50.00	230	0.542	0.047
HL13	Default	5/7/2015	10:29 AM	43.74	0.875	0.451	1.94	2.08	50.00	230	0.421	0.015
HL14	Default	5/7/2015	10:30 AM	127.92	2.558	1.275	2.01	2.35	50.00	230	1.090	0.030
HL15	Default	5/7/2015	10:31 AM	28.71	0.574	0.305	1.88	2.01	50.00	230	0.285	0.015
HL16	Default	5/7/2015	10:32 AM	98.46	1.969	0.978	2.01	2.30	50.00	230	0.858	0.012
HL17	Default	5/7/2015	10:33 AM	73.78	1.476	0.724	2.04	2.32	50.00	230	0.635	0.037
HL18	Default	5/7/2015	10:34 AM	66.94	1.339	0.668	2.00	2.22	50.00	230	0.604	0.044
HL19	Default	5/7/2015	10:35 AM	287.52	5.750	2.813	2.04	2.34	50.00	230	2.453	0.019
HL20	Default	5/7/2015	10:36 AM	144.94	2.899	1.412	2.05	2.33	50.00	230	1.246	0.038
HL21	Default	5/7/2015	10:37 AM	356.18	7.124	3.630	1.96	2.35	50.00	230	3.026	0.040
HL22	Default	5/7/2015	10:38 AM	222.98	4.460	2.234	2.00	2.39	50.00	230	1.869	0.019
HL23	Default	5/7/2015	10:39 AM	393.05	7.861	4.097	1.92	2.33	50.00	230	3.371	0.035
HL24	Default	5/7/2015	10:40 AM	60.32	1.206	0.620	1.95	2.11	50.00	230	0.571	0.076
HL25	Default	5/7/2015	10:41 AM	152.20	3.044	1.549	1.96	2.30	50.00	230	1.321	0.217
HL25	Default	5/7/2015	10:42 AM	142.10	2.842	1.410	2.02	2.67	50.00	230	1.066	-0.304
HL25	Default	5/7/2015	10:43 AM	128.42	2.568	1.290	1.99	2.29	50.00	230	1.122	0.097
HL26	Default	5/7/2015	10:44 AM	336.54	6.731	3.345	2.01	2.41	50.00	230	2.797	-0.006
HL27	Default	5/7/2015	10:45 AM	377.31	7.546	3.813	1.98	2.32	50.00	230	3.251	0.086
HL28	Default	5/7/2015	10:46 AM	103.32	2.066	1.070	1.93	2.24	50.00	230	0.921	0.085
HL29	Default	5/7/2015	10:47 AM	74.49	1.490	0.768	1.94	2.20	50.00	230	0.676	0.047
HL30	Default	5/7/2015	10:48 AM	274.08	5.482	2.804	1.95	2.26	50.00	230	2.427	0.207
HL31	Default	5/7/2015	10:50 AM	94.38	1.888	0.947	1.99	2.18	50.00	230	0.866	0.293
HL32	Default	5/7/2015	10:51 AM	269.60	5.392	2.786	1.94	2.16	50.00	230	2.499	0.300
NF1	Default	5/7/2015	10:53 AM	330.81	6.616	3.396	1.95	2.32	50.00	230	2.851	0.025
NF1	Default	5/7/2015	10:54 AM	356.37	7.127	3.676	1.94	2.31	50.00	230	3.090	0.044
NF2	Default	5/7/2015	10:55 AM	210.64	4.213	2.199	1.92	2.35	50.00	230	1.790	0.043
NF3	Default	5/7/2015	10:56 AM	242.37	4.847	2.514	1.93	2.21	50.00	230	2.196	0.254
NF4	Default	5/7/2015	10:57 AM	207.32	4.146	2.201	1.88	2.00	50.00	230	2.077	2.737
NF5	Default	5/7/2015	10:58 AM	323.45	6.469	3.368	1.92	2.11	50.00	230	3.066	0.363
NF6	Default	5/7/2015	10:59 AM	317.97	6.359	3.327	1.91	2.35	50.00	230	2.711	0.065
NF6	Default	5/7/2015	11:00 AM	270.17	5.403	2.794	1.93	2.38	50.00	230	2.271	0.077
NF7	Default	5/7/2015	11:01 AM	191.55	3.831	1.985	1.93	2.27	50.00	230	1.686	0.070
NF8	Default	5/7/2015	11:02 AM	361.84	7.237	3.677	1.97	2.33	50.00	230	3.102	0.040
NF9	Default	5/7/2015	11:03 AM	166.86	3.337	1.677	1.99	2.31	50.00	230	1.447	0.074
NF10	Default	5/7/2015	11:05 AM	124.73	2.495	1.255	1.99	2.22	50.00	230	1.125	0.135
NF11	Default	5/7/2015	11:06 AM	447.26	8.945	4.552	1.97	2.25	50.00	230	3.982	0.394
NF12	Default	5/7/2015	11:07 AM	93.36	1.867	0.963	1.94	2.08	50.00	230	0.896	0.138
NF13	Default	5/7/2015	11:08 AM	277.00	5.540	2.847	1.95	2.18	50.00	230	2.547	0.231
NF14	Default	5/7/2015	11:09 AM	298.50	5.970	2.983	2.00	2.32	50.00	230	2.576	0.053
NF15	Default	5/7/2015	11:10 AM	155.67	3.113	1.569	1.98	2.30	50.00	230	1.352	0.051
NF16	Default	5/7/2015	11:11 AM	135.04	2.701	1.396	1.94	2.15	50.00	230	1.258	0.139
NF17	Default	5/7/2015	11:13 AM	52.70	1.054	0.559	1.88	2.14	50.00	230	0.492	0.038
NF18	Default	5/7/2015	11:14 AM	292.28	5.846	2.973	1.97	2.21	50.00	230	2.646	0.311
NF19	Default	5/7/2015	11:15 AM	90.20	1.804	0.934	1.93	2.25	50.00	230	0.801	0.049
NF20	Default	5/7/2015	11:16 AM	374.23	7.485	3.772	1.98	2.36	50.00	230	3.176	0.034
NF20	Default	5/7/2015	11:17 AM	876.31	17.526	8.649	2.03	2.24	50.00	230	7.826	0.316
NF21	Default	5/7/2015	11:18 AM	233.53	4.671	2.416	1.93	2.37	50.00	230	1.971	0.057
NF22	Default	5/7/2015	11:19 AM	86.59	1.732	0.893	1.94	2.35	50.00	230	0.736	0.018
NF23	Default	5/7/2015	11:20 AM	204.91	4.098	2.067	1.98	2.35	50.00	230	1.741	0.034
NF24	Default	5/7/2015	11:21 AM	231.38	4.628	2.391	1.94	2.34	50.00	230	1.981	0.069
NF25	Default	5/7/2015	11:22 AM	126.30	2.526	1.384	1.82	1.59	50.00	230	1.593	0.863
NF26	Default	5/7/2015	11:23 AM	159.12	3.182	1.597	1.99	2.31	50.00	230	1.378	0.103
NF27	Default	5/7/2015	11:25 AM	101.21	2.024	1.058	1.91	2.33	50.00	230	0.869	0.035
NF28	Default	5/7/2015	11:26 AM	128.03	2.561	1.279	2.00	2.33	50.00	230	1.101	0.046
NF29	Default	5/7/2015	11:27 AM	176.44	3.529	1.786	1.98	2.33	50.00	230	1.515	0.038
NF30	Default	5/7/2015	11:28 AM	187.06	3.741	1.895	1.97	2.31	50.00	230	1.620	0.061
NF31	Default	5/7/2015	11:29 AM	117.53	2.351	1.179	1.99	2.27	50.00	230	1.036	0.082
NF32	Default	5/7/2015	11:30 AM	272.95	5.459	2.808	1.94	2.28	50.00	230	2.394	-0.407
SN1	Default	5/7/2015	11:36 AM	107.82	2.156	1.096	1.97	2.16	50.00	230	0.998	0.099
SN2	Default	5/7/2015	11:37 AM	278.11	5.562	2.803	1.98	2.26	50.00	230	2.464	0.124
SN3	Default	5/7/2015	11:38 AM	122.94	2.459	1.255	1.96	2.27	50.00	230	1.083	0.028
SN4	Default	5/7/2015	11:39 AM	225.29	4.506	2.236	2.01	2.31	50.00	230	1.949	0.706
SN5	Default	5/7/2015	11:41 AM	89.60	1.792	0.914	1.96	2.21	50.00	230	0.811	0.056
SN6	Default	5/7/2015	11:42 AM	79.50	1.590	0.808	1.97	2.23	50.00	230	0.712	0.044
SN7	Default	5/7/2015	11:43 AM	107.80	2.156	1.117	1.93	2.20	50.00	230	0.978	0.086
SN8	Default	5/7/2015	11:44 AM	212.99	4.260	2.185	1.95	2.25	50.00	230	1.890	0.417
SN9	Default	5/7/2015	11:45 AM	115.94	2.319	1.206	1.92	2.29	50.00	230	1.010	0.094
SN10	Default	5/7/2015	11:46 AM	118.82	2.376	1.221	1.95	2.21	50.00	230	1.074	0.085
SN11	Default	5/7/2015	11:47 AM	267.08	5.342	2.724	1.96	2.32	50.00	230	2.298	0.105
SN12	Default	5/7/2015	11:49 AM	127.94	2.559	1.317	1.94	2.32	50.00	230	1.103	0.071
SN13	Default	5/7/2015	11:50 AM	317.61	6.352	3.194	1.99	2.32	50.00	230	2.740	0.110
SN14	Default	5/7/2015	11:51 AM	146.97	2.939	1.498	1.96	2.23	50.00	230	1.316	0.080
SN15	Default	5/7/2015	11:52 AM	164.33	3.287	1.665	1.97	2.24	50.00	230	1.469	0.099
SN16	Default	5/7/2015	11:53 AM	77.75	1.555	0.821	1.89	1.87	50.00	230	0.833	0.312
SN17	Default	5/7/2015	11:54 AM	125.50	2.510	1.293	1.94	2.24	50.00	230	1.119	0.025
SN18	Default	5/7/2015	11:56 AM	170.94	3.419	1.748	1.96	2.35	50.00	230	1.456	0.023
SN19	Default	5/7/2015	11:58 AM	74.90	1.498	0.786	1.91	2.07	50.00	230	0.724	0.054
SN20	Default	5/7/2015	11:59 AM	104.44	2.089	1.078	1.94	2.33	50.00	230	0.895	0.026
SN21	Default	5/7/2015	12:00 PM	83.42	1.668	0.857	1.95	2.18	50.00	230	0.765	0.084
SN22	Default	5/7/2015	12:01 PM	243.91	4.878	2.540	1.92	2.05	50.00	230	2.381	0.656
SN23	Default	5/7/2015	12:02 PM	365.70	7.314	3.644	2.01	2.31	50.00	230	3.169	0.070
SN24	Default	5/7/2015	12:03 PM	152.83	3.057	1.588	1.92	2.31	50.00	230	1.323	0.044
SN25	Default	5/7/2015	12:04 PM	160.41	3.208	1.617	1.98	2.35	50.00	230	1.363	0.038
SN26	Default	5/7/2015	12:06 PM	71.78	1.436	0.753	1.91	2.24	50.00	230	0.642	0.053
SN27	Default	5/7/2015	12:07 PM	244.35	4.887	2.454	1.99	2.35	50.00	230	2.076	0.027
SN28	Default	5/7/2015	12:08 PM	153.82	3.076	1.561	1.97	2.33	50.00	230	1.322	0.045
SN29	Default	5/7/2015	12:09 PM	192.01	3.840	1.975	1.94	2.24	50.00	230	1.711	0.108
SN30	Default	5/7/2015	12:10 PM	293.00	5.860	2.947	1.99	2.33	50.00	230	2.519	0.051
SN31	Default	5/7/2015	12:11 PM	321.32	6.426	3.337	1.93	2.32	50.00	230	2.765	0.085
SN32	Default	5/7/2015	12:12 PM	45.65	0.913	0.477	1.91	1.89	50.00	230	0.483	0.104
