Filename: "C:\Documents and Settings\Steven\Desktop\Jake Data\OlyRNA5415.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,C11,C12,D11,D12,E11,E12,F11,F12,G11,G12,H11,H12,
4, 1, SBGnew, 55.0, 0.0123,0.0084,0.0210,0.0337,0.0183,0.0271,0.0147,0.0133,0.0163,0.0131,0.0138,0.0144,
4, 2, SBGnew, 55.0, 0.0124,0.0078,0.0206,0.0328,0.0183,0.0263,0.0144,0.0132,0.0158,0.0133,0.0142,0.0143,
4, 3, SBGnew, 55.0, 0.0121,0.0073,0.0197,0.0321,0.0186,0.0256,0.0144,0.0130,0.0151,0.0142,0.0147,0.0144,
4, 4, SBGnew, 55.0, 0.0118,0.0062,0.0184,0.0316,0.0184,0.0249,0.0144,0.0127,0.0144,0.0145,0.0150,0.0141,
4, 5, SBGnew, 55.0, 0.0107,0.0059,0.0171,0.0300,0.0166,0.0236,0.0139,0.0121,0.0135,0.0147,0.0150,0.0140,
4, 6, SBGnew, 55.0, 0.0098,0.0059,0.0156,0.0290,0.0154,0.0238,0.0127,0.0106,0.0133,0.0133,0.0152,0.0128,
4, 7, SBGnew, 55.0, 0.0089,0.0051,0.0143,0.0289,0.0150,0.0235,0.0122,0.0103,0.0125,0.0126,0.0143,0.0129,
4, 8, SBGnew, 55.0, 0.0085,0.0049,0.0131,0.0272,0.0140,0.0224,0.0113,0.0092,0.0120,0.0113,0.0133,0.0122,
4, 9, SBGnew, 55.0, 0.0077,0.0044,0.0125,0.0249,0.0132,0.0212,0.0106,0.0086,0.0109,0.0099,0.0121,0.0113,
4, 10, SBGnew, 55.0, 0.0074,0.0034,0.0123,0.0237,0.0126,0.0209,0.0101,0.0082,0.0105,0.0089,0.0100,0.0103,
4, 11, SBGnew, 55.0, 0.0070,0.0021,0.0113,0.0223,0.0126,0.0187,0.0099,0.0083,0.0093,0.0089,0.0089,0.0098,
4, 12, SBGnew, 55.0, 0.0071,0.0019,0.0101,0.0200,0.0118,0.0171,0.0094,0.0078,0.0092,0.0084,0.0082,0.0083,
4, 13, SBGnew, 55.0, 0.0066,0.0009,0.0094,0.0187,0.0109,0.0167,0.0085,0.0076,0.0089,0.0081,0.0079,0.0080,
4, 14, SBGnew, 55.0, 0.0062,0.0008,0.0089,0.0159,0.0104,0.0154,0.0076,0.0071,0.0092,0.0076,0.0079,0.0075,
4, 15, SBGnew, 55.0, 0.0059,0.0013,0.0079,0.0146,0.0100,0.0147,0.0076,0.0068,0.0091,0.0073,0.0076,0.0067,
4, 16, SBGnew, 55.0, 0.0058,0.0012,0.0075,0.0130,0.0091,0.0142,0.0077,0.0070,0.0089,0.0067,0.0071,0.0064,
4, 17, SBGnew, 55.0, 0.0048,0.0000,0.0067,0.0100,0.0073,0.0131,0.0068,0.0061,0.0078,0.0056,0.0065,0.0055,
4, 18, SBGnew, 55.1, 0.0039,0.0010,0.0062,0.0085,0.0064,0.0107,0.0065,0.0056,0.0063,0.0046,0.0053,0.0042,
4, 19, SBGnew, 55.0, 0.0033,0.0031,0.0049,0.0084,0.0049,0.0089,0.0056,0.0051,0.0048,0.0045,0.0038,0.0040,
4, 20, SBGnew, 55.0, 0.0027,0.0083,0.0041,0.0063,0.0035,0.0080,0.0045,0.0046,0.0035,0.0035,0.0031,0.0034,
4, 21, SBGnew, 55.0, 0.0018,0.0209,0.0031,0.0048,0.0020,0.0060,0.0035,0.0033,0.0022,0.0028,0.0026,0.0033,
4, 22, SBGnew, 55.1, 0.0018,0.0455,0.0025,0.0047,0.0019,0.0050,0.0033,0.0027,0.0019,0.0019,0.0017,0.0032,
4, 23, SBGnew, 55.0, 0.0017,0.0825,0.0015,0.0034,0.0009,0.0045,0.0031,0.0023,0.0020,0.0009,0.0007,0.0028,
4, 24, SBGnew, 55.0, 0.0017,0.1344,0.0010,0.0025,0.0005,0.0040,0.0029,0.0017,0.0013,0.0003,0.0011,0.0020,
4, 25, SBGnew, 55.0, 0.0019,0.2020,0.0000,0.0017,0.0009,0.0020,0.0026,0.0000,0.0012,0.0006,0.0013,0.0018,
4, 26, SBGnew, 55.0, 0.0014,0.2857,0.0002,0.0012,0.0010,0.0021,0.0020,0.0004,0.0011,0.0000,0.0018,0.0014,
