Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
hm1	Default	4/30/2015	2:55 PM	94.49	2.362	1.336	1.77	2.25	40.00	230	1.048	0.019
hm2	Default	4/30/2015	2:57 PM	46.68	1.167	0.741	1.57	0.88	40.00	230	1.321	0.009
hm3	Default	4/30/2015	2:58 PM	40.23	1.006	0.649	1.55	0.67	40.00	230	1.499	0.074
hm4	Default	4/30/2015	2:59 PM	105.78	2.644	1.475	1.79	1.43	40.00	230	1.846	0.041
hm5	Default	4/30/2015	3:00 PM	182.93	4.573	2.517	1.82	2.19	40.00	230	2.085	0.016
sm1	Default	4/30/2015	3:01 PM	257.87	6.447	3.468	1.86	2.29	40.00	230	2.811	0.075
sm2	Default	4/30/2015	3:02 PM	66.35	1.659	0.999	1.66	2.26	40.00	230	0.735	0.055
sm3	Default	4/30/2015	3:03 PM	43.20	1.080	0.645	1.67	0.99	40.00	230	1.087	0.004
sm4	Default	4/30/2015	3:04 PM	143.00	3.575	2.001	1.79	1.24	40.00	230	2.882	0.142
sm5	Default	4/30/2015	3:05 PM	235.27	5.882	3.195	1.84	1.69	40.00	230	3.489	0.027
