Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
C+	Default	5/5/2015	4:17 PM	167.30	4.182	2.092	2.00	2.34	40.00	230	1.785	0.045
ht1	Default	5/5/2015	4:18 PM	238.58	5.965	3.366	1.77	0.66	40.00	230	9.000	0.025
ht2	Default	5/5/2015	4:19 PM	422.45	10.561	5.431	1.94	1.00	40.00	230	10.547	0.096
ht3	Default	5/5/2015	4:21 PM	175.57	4.389	2.260	1.94	1.79	40.00	230	2.457	0.057
ht4	Default	5/5/2015	4:22 PM	251.19	6.280	3.532	1.78	0.68	40.00	230	9.197	0.017
ht5	Default	5/5/2015	4:23 PM	391.29	9.782	5.133	1.91	0.87	40.00	230	11.191	0.030
st1	Default	5/5/2015	4:24 PM	690.94	17.274	10.258	1.68	0.49	40.00	230	34.983	0.075
st2	Default	5/5/2015	4:25 PM	393.97	9.849	5.181	1.90	0.91	40.00	230	10.777	0.093
st3	Default	5/5/2015	4:25 PM	365.73	9.143	4.917	1.86	0.99	40.00	230	9.208	0.110
st4	Default	5/5/2015	4:26 PM	426.33	10.658	5.407	1.97	0.99	40.00	230	10.817	0.032
st5	Default	5/5/2015	4:27 PM	343.49	8.587	4.622	1.86	0.81	40.00	230	10.547	0.057
