Cycles,Actin_HC_1,Actin_NC_1,Actin_SC_1,Actin_HT_1,Actin_NT_1,Actin_ST_1,Actin_NTC_1,Actin_HC_2,Actin_NC_2,Actin_SC_2,Actin_HT_2,Actin_NT_2,Actin_ST_2,Actin_NTC_2,Actin_HC_3,Actin_NC_3,Actin_SC_3,Actin_HT_3,Actin_NT_3,Actin_ST_3,Actin_NTC_3,Actin_HC_4,Actin_NC_4,Actin_SC_4,Actin_HT_4,Actin_NT_4,Actin_ST_4,Actin_NTC_4,Actin_HC_5,Actin_NC_5,Actin_SC_5,Actin_HT_5,Actin_NT_5,Actin_ST_5,Actin_HC_6,Actin_NC_6,Actin_SC_6,Actin_HT_6,Actin_NT_6,Actin_ST_6,Actin_HC_7,Actin_NC_7,Actin_SC_7,Actin_HT_7,Actin_NT_7,Actin_ST_7,Actin_HC_8,Actin_NC_8,Actin_SC_8,Actin_HT_8,Actin_NT_8,Actin_ST_8
1,3301.10554,3445.867156,3464.2048,3368.888682,3418.751505,3379.491144,3338.364302,3524.491964,3640.438573,3566.900835,3428.07096,3491.528625,3444.000675,3315.856335,3555.599817,3925.38515,3511.137303,3510.950142,3585.551718,3429.103767,3384.087833,3506.696745,3706.23111,3519.592054,3406.5958,3517.486369,3615.700797,3445.126574,3464.099735,3614.991246,3508.61527,3452.809712,3506.18535,3471.553687,3595.976059,3803.757001,3527.567418,3453.414199,3489.881313,3448.827528,3392.501535,3408.410237,3402.040159,3477.954795,3540.473722,3334.528231,3136.5151,3264.012927,3302.397588,3261.177654,3335.758217,3293.83875
2,3339.969588,3454.206824,3469.469014,3369.764381,3421.921028,3380.742143,3342.075274,3558.540154,3643.806253,3568.371003,3428.155011,3493.696372,3444.970443,3317.201404,3580.4947,3925.937593,3508.917513,3513.441145,3587.219065,3432.09517,3382.420485,3532.060997,3703.249725,3521.114266,3405.532939,3521.062223,3622.695397,3446.002273,3486.774828,3609.049489,3517.069043,3446.669799,3507.541414,3474.660172,3619.671987,3800.431347,3522.396296,3453.675394,3491.757812,3450.297696,3410.24471,3402.165259,3404.542158,3479.49802,3540.515748,3332.234406,3149.223248,3279.379204,3325.989428,3276.836157,3341.251618,3288.40741
3,3357.858876,3455.342741,3471.907974,3375.508959,3430.28171,3383.66049,3344.525229,3581.777707,3642.096879,3567.318161,3427.841773,3496.480578,3443.344144,3322.42457,3600.167395,3921.757252,3507.103076,3517.299207,3582.330151,3435.890193,3382.40949,3554.203682,3701.602414,3518.069842,3402.894846,3520.54081,3609.696001,3446.658803,3508.937549,3603.753267,3514.108671,3445.752073,3509.688148,3472.867724,3656.066044,3795.573463,3525.628858,3455.592941,3493.967584,3448.764489,3442.603563,3408.378229,3405.146644,3478.320077,3544.153663,3328.085096,3159.711605,3296.8001,3336.227586,3279.139999,3336.695978,3295.069714
4,3372.662692,3462.515462,3472.346312,3380.084636,3426.830956,3385.057601,3343.670542,3592.484257,3640.886929,3568.392016,3430.03151,3494.739197,3447.784703,3324.843494,3610.696801,3923.97802,3511.971954,3515.933126,3583.622198,3437.974866,3383.244141,3561.938864,3704.052368,3518.695342,3404.260927,3526.712732,3613.281873,3443.771488,3521.343453,3602.554311,3514.797209,3449.557114,3506.644702,3471.720812,3663.822239,3796.313067,3520.624862,3456.698805,3490.757012,3450.620952,3455.322706,3409.118811,3402.332385,3478.288069,3545.477719,3329.263039,3161.775265,3311.634946,3342.023231,3281.620984,3341.324675,3293.818715
5,3377.19732,3462.640562,3474.765236,3381.09643,3425.360787,3386.371639,3348.83067,3600.458643,3647.548255,3569.527933,3431.59477,3493.60328,3445.908204,3323.446382,3625.426583,3927.053474,3509.730174,3517.590456,3586.916822,3436.744879,3391.323592,3569.485908,3703.937286,3519.331837,3405.532939,3530.632855,3613.917391,3447.607559,3533.437096,3605.504666,3519.039611,3446.637791,3509.595056,3476.453596,3700.570584,3802.151715,3523.554203,3456.43761,3496.844882,3453.456225,3461.483632,3404.93847,3404.396045,3484.157747,3546.270344,3329.002822,3196.49098,3318.869728,3345.828272,3284.10197,3344.588267,3295.705231
6,3380.554005,3463.088918,3476.495622,3383.525372,3432.887795,3385.036589,3354.043818,3605.963039,3646.287238,3571.029132,3434.628199,3496.292439,3447.972841,3328.606509,3630.555679,3928.616734,3515.265601,3520.207536,3589.137589,3437.755697,3390.635054,3577.690459,3705.094216,3518.247963,3407.523543,3530.955134,3610.89398,3447.670598,3543.340025,3606.109152,3518.966555,3446.210447,3512.826641,3476.766835,3701.529357,3803.892119,3528.025792,3454.978437,3499.743193,3452.153182,3469.594114,3410.651041,3408.930672,3480.612924,3546.926874,3328.304266,3224.690505,3323.748625,3348.289221,3282.652814,3347.42354,3300.480041
7,3385.819808,3464.987056,3478.622949,3386.215143,3434.410627,3387.383068,3356.723566,3607.861203,3646.944427,3569.89386,3436.766513,3498.377744,3447.577152,3331.776635,3638.156401,3932.09923,3513.619901,3516.517235,3588.179464,3435.171245,3392.835422,3588.909051,3705.283024,3518.227586,3408.13964,3534.552639,3616.514112,3451.424219,3543.372673,3605.828573,3516.819479,3450.57955,3510.825677,3477.037698,3704.605481,3799.941651,3530.789623,3457.845364,3501.526256,3454.676817,3489.714818,3410.04717,3406.502346,3483.584921,3550.149083,3325.510643,3243.779335,3327.136942,3348.571057,3286.6676,3347.320058,3295.372553
8,3392.178892,3464.69483,3479.081323,3383.442909,3432.12682,3388.164699,3356.983783,3610.80154,3647.205622,3573.08342,3440.706673,3495.427389,3447.097765,3331.567483,3641.763286,3934.43508,3515.016036,3520.416346,3588.4497,3441.530329,3393.116653,3589.690681,3700.070852,3517.518035,3406.929689,3533.520809,3616.294942,3451.100963,3548.063432,3608.59079,3516.684361,3452.685236,3513.16055,3475.953825,3709.953748,3801.954246,3535.88769,3457.752272,3504.60171,3452.153806,3490.226213,3413.257743,3407.722315,3483.17859,3550.461344,3325.094294,3250.993105,3330.098292,3349.363682,3287.0429,3345.547646,3298.238856
9,3393.846239,3467.530103,3485.190207,3385.735756,3438.548943,3388.289799,3357.129896,3617.024529,3647.632965,3572.103633,3437.162826,3500.754643,3450.652606,3334.956177,3647.226635,3931.567799,3515.902731,3521.020833,3587.908251,3437.954474,3396.848638,3592.933262,3705.32505,3516.444179,3409.744927,3533.468765,3614.918843,3453.321731,3556.080824,3605.193056,3521.010815,3448.264713,3512.994401,3475.641563,3711.391908,3808.021104,3532.562035,3456.459247,3504.862905,3455.166222,3489.766861,3412.518138,3409.849014,3486.962619,3551.514187,3330.702779,3258.237906,3330.556666,3346.652532,3290.013291,3346.236184,3299.302694
10,3399.861417,3468.926588,3487.941776,3382.711734,3436.588749,3393.491339,3359.641306,3617.420188,3646.704563,3576.044124,3443.948631,3498.294038,3451.600739,3335.455974,3650.436548,3933.891944,3514.035614,3525.732945,3590.107358,3440.977264,3399.944491,3597.164997,3708.889239,3515.682926,3407.304374,3536.887851,3617.827496,3456.458623,3562.220095,3607.485251,3517.538412,3453.768486,3517.549407,3476.41157,3712.632219,3808.354667,3536.522569,3456.333523,3505.539815,3457.188209,3494.624115,3418.376205,3409.827385,3490.277626,3554.9643,3333.933762,3266.77612,3331.00442,3352.646706,3291.086552,3347.652727,3298.280286
11,3396.96372,3468.886167,3488.578901,3389.613854,3441.291124,3392.282979,3363.750175,3620.475284,3651.563107,3573.813007,3443.886215,3501.119925,3448.984281,3339.970192,3651.823325,3935.268754,3518.801042,3526.390113,3587.981308,3442.938436,3401.144062,3602.826175,3706.043641,3519.905929,3409.473714,3539.931937,3618.567754,3456.334147,3565.74455,3610.415245,3520.458372,3453.39381,3517.080674,3479.425592,3711.548039,3807.291517,3540.422319,3458.982259,3506.50924,3462.265888,3491.664373,3421.22309,3409.54677,3490.069105,3555.330224,3331.79667,3263.69026,3335.122325,3351.65653,3288.669199,3350.03023,3302.106936
12,3397.567593,3468.228032,3487.045063,3392.063197,3439.414003,3395.993338,3361.663917,3621.163168,3649.967179,3574.834173,3444.876374,3500.19155,3451.558713,3337.613703,3654.626907,3935.393143,3518.47715,3528.745361,3588.418021,3445.366756,3401.863016,3604.191605,3709.222513,3515.307626,3411.724896,3537.001955,3613.38596,3458.533278,3567.077979,3610.26848,3520.478749,3452.382369,3514.483971,3476.370522,3720.023132,3807.009599,3540.98414,3459.189808,3508.958561,3456.323505,3491.882912,3421.597772,3413.841577,3494.895327,3551.763745,3330.315882,3270.685248,3335.706173,3352.333467,3291.931221,3345.223785,3302.710826
13,3400.716104,3471.48063,3488.932557,3394.971525,3443.417201,3397.973923,3363.540416,3622.789467,3651.239191,3576.669624,3445.543899,3504.163716,3449.765288,3339.917545,3653.793233,3935.966599,3522.271196,3523.90849,3588.209847,3443.240057,3406.251531,3607.329121,3711.287151,3515.871065,3410.641023,3540.462727,3617.847531,3457.907778,3573.594169,3611.738648,3522.698539,3453.038899,3522.636478,3479.821276,3717.459072,3809.750802,3545.071389,3459.210821,3509.354874,3463.620348,3495.531822,3420.273716,3419.126804,3491.903924,3556.413455,3332.349489,3266.118612,3340.668144,3354.408122,3292.598746,3354.960565,3301.042502
14,3403.249133,3473.587293,3496.375513,3394.596226,3445.584948,3399.037761,3367.554608,3622.456193,3651.947765,3574.521912,3446.742855,3509.250787,3452.476438,3339.020833,3654.064446,3937.363711,3520.802005,3525.200538,3589.272707,3443.604362,3406.605818,3605.764883,3712.403032,3519.738167,3417.406436,3537.815593,3618.973431,3459.397982,3575.459673,3612.937604,3519.853249,3453.810512,3522.042009,3478.027852,3716.708473,3814.265394,3541.370435,3462.890762,3513.785415,3464.715217,3500.003411,3424.067762,3416.718875,3496.865895,3555.141443,3330.702177,3266.202664,3345.995397,3358.151102,3295.445014,3350.321851,3302.982039
15,3407.315369,3478.131939,3494.353879,3395.702089,3446.283504,3395.180677,3363.21716,3624.425783,3651.416335,3577.451254,3447.920798,3507.176132,3452.622551,3345.901328,3658.912312,3935.987612,3521.208335,3532.186097,3594.026504,3443.009893,3409.515124,3612.302087,3712.455076,3515.672908,3417.792731,3539.942292,3618.515057,3464.902378,3575.929042,3615.595733,3520.66591,3454.603137,3520.374662,3481.530649,3720.575575,3816.579254,3543.872433,3461.11835,3513.494166,3465.862129,3501.848879,3422.796728,3420.262721,3497.210164,3559.916253,3330.013639,3273.156216,3347.715765,3358.630489,3293.078133,3353.397305,3305.431994
16,3411.412635,3473.524255,3501.150323,3401.029342,3449.932414,3402.540559,3363.842659,3631.858722,3653.731172,3576.512516,3450.620952,3507.343258,3453.810512,3342.929961,3658.766199,3940.094896,3523.877459,3532.571415,3591.139188,3446.148386,3411.871009,3613.865347,3716.447278,3520.41571,3416.30155,3541.193291,3619.244643,3462.713618,3583.393011,3618.755239,3524.753159,3458.189009,3521.812822,3480.02945,3720.304362,3819.123278,3547.781561,3461.931988,3516.339456,3468.76044,3502.766604,3424.631201,3426.778912,3500.817049,3562.845594,3330.795269,3274.114989,3357.723759,3362.331443,3296.080531,3352.771806,3303.680595
17,3413.717094,3477.872349,3503.465793,3400.643662,3453.539923,3400.101236,3370.838846,3640.866574,3656.640161,3583.289572,3450.266312,3510.09609,3457.575129,3344.317659,3664.177188,3943.838588,3531.174941,3534.08327,3590.931663,3446.555339,3417.626223,3615.690455,3725.820427,3517.65413,3420.170247,3539.410524,3623.175439,3461.161001,3587.188682,3620.037923,3522.991401,3461.38017,3527.046643,3480.978835,3718.741774,3825.504065,3557.414897,3463.652005,3517.664148,3475.891763,3508.698978,3427.426044,3437.130818,3506.468192,3570.133065,3334.10149,3277.785505,3368.535004,3375.13427,3298.030682,3356.68154,3305.484635
18,3423.652033,3483.001447,3510.148133,3400.529557,3455.760691,3402.134843,3367.815435,3653.251468,3662.895158,3588.554764,3452.904405,3516.330074,3464.705825,3346.194158,3666.804287,3949.42606,3539.160324,3534.813834,3597.540947,3449.390612,3417.98051,3633.47566,3737.871069,3528.516811,3426.643436,3544.519586,3627.679037,3463.892187,3596.883439,3626.980481,3532.645109,3463.00647,3527.40093,3483.02246,3718.366474,3843.237225,3564.722737,3464.402605,3520.760615,3480.874748,3525.160126,3434.118402,3464.757869,3509.209395,3571.968516,3335.706776,3278.879396,3396.421295,3386.643464,3301.085124,3358.33887,3311.583501
