"sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene"
1.209626,"8055.495","480.2079","479.0651","0.999688","0.999662","28.31",26.18,NA,NA,NA,NA,NA,NA,"5549.508","3398.493","38.0579",NA,"-17.6664","3398.493","15151.88","28.49362","l4","1.214437","0.9963044","35.26462","0","26","1.780825","254.2349","858.5958","27.55952","0.001101359","1.049072","0.516311","0","H_C_1","H","C","1","Actin"
1.206007,"6350.404","470.6945","469.5516","0.9997082","0.9996839","29.21",27.14,NA,NA,NA,NA,NA,NA,"5427.126","3384.206","33.63089",NA,"-18.71341","3384.206","14450.63","29.38216","l4","1.211614","0.9959817","30.50152","0","27","1.825522","201.3129","84.74454","8.679198","0.0003154735","1.050596","0.5028208","0","N_C_1","N","C","1","Actin"
1.213014,"7719.295","478.5027","477.3598","0.99974","0.9997184","27.76",25.65,NA,NA,NA,NA,NA,NA,"5818.101","3543.688","41.07919",NA,"-17.41472","3543.688","15945.46","27.94688","l4","1.218684","0.9973038","37.70247","0","25","1.866751","165.2419","35.86032","5.617569","0.0005129298","1.128435","0.1938478","0","S_C_1","S","C","1","Actin"
1.200259,"6077.895","468.9401","467.7972","0.9996652","0.9996373","29.7",27.67,NA,NA,NA,NA,NA,NA,"5242.66","3332.62","33.57516",NA,"-19.3432","3332.62","13594.73","29.86308","l4","1.208386","0.9967929","28.87355","0","27","1.879512","156.969","16.39994","3.818079","0.0001018389","1.104662","0.255409","0","H_T_1","H","T","1","Actin"
1.232249,"7019.156","474.6994","473.5566","0.9997574","0.9997372","30.36",28.26,NA,NA,NA,NA,NA,NA,"5888.082","3410.916","16.10032",NA,"-19.18866","3410.916","16770.2","30.52593","l4","1.232708","0.9960232","16.35313","0","28","1.825761","214.1988","103.5128","9.613645","0.0001936131","1.065313","0.4973556","0","N_T_1","N","T","1","Actin"
1.202694,"6224.881","469.8959","468.753","0.999725","0.9997021","28",25.96,NA,NA,NA,NA,NA,NA,"5456.366","3460.162","45.29799",NA,"-18.23426","3460.162","14305.13","28.16889","l4","1.207718","0.9948467","42.45525","0","25","1.894041","143.5183","15.03963","3.637977","0.0002627304","1.067493","0.4206022","0","S_T_1","S","T","1","Actin"
1.181816,"2590.459","434.8271","433.6843","0.9991605","0.9990905","36.47",34.91,NA,NA,NA,NA,NA,NA,"4632.341","3315.73","13.58558",NA,"-31.05166","3315.73","10070.82","36.54167","l4","1.195778","0.9879833","9.518696","0","34","2.121466","218.8491","31.68811","5.375137","1.233137e-08","1.005228","0.5678186","0","NT_C_1","NT","C","1","Actin"
1.230232,"14253.38","503.0335","501.8906","0.9996308","0.9996","28.36",26.3,NA,NA,NA,NA,NA,NA,"6451.535","3813.518","27.73332",NA,"-18.32233","3813.518","18133.74","28.52507","l4","1.229547","0.9965928","29.03956","0","26","1.762005","270.734","1619.508","37.85026","0.00165044","1.046554","0.5510206","0","H_C_2","H","C","2","Actin"
1.230666,"10714.71","491.6184","490.4756","0.9997257","0.9997029","28.7",26.57,NA,NA,NA,NA,NA,NA,"6390.756","3703.107","25.73519",NA,"-17.87003","3703.107","18339.56","28.88356","l4","1.232044","0.9973676","25.78161","0","26","1.8474","186.9672","64.59127","7.558996","0.0004426595","1.027079","0.6281435","0","N_C_2","N","C","2","Actin"
1.203237,"9749.932","487.8441","486.7013","0.9996872","0.9996611","26.3",24.21,NA,NA,NA,NA,NA,NA,"6014.728","3784.984","68.22028",NA,"-16.70369","3784.984","16045.26","26.49062","l4","1.209001","0.996478","62.69711","0","24","1.885615","211.1617","317.578","16.66975","0.0009730432","1.044212","0.5212929","0","S_C_2","S","C","2","Actin"
