,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3277.73509179826,3353.77051194414,3519.69702877544,3315.93537280098,3381.14632104877,3438.82202851353,3324.76079252152,3664.66921108609,3680.54520533921,3786.17763856067,3425.15177644751,3449.33415980788,3408.16672217152,3261.11690177938,3475.51666778291,3964.39013440157,3557.81334155628,3396.15620472057,3308.20958249359,3302.22877421455,3279.16821459343,3434.36653699292,3624.45383641044,3991.16832207909,3517.33032527029,3544.76456901744,3633.47196742255,3596.03630345658,3317.0343112311,3545.32378074304,3576.71467089183,3451.80983353698,3398.95575620955,3414.19218228803,3432.14074789855,3812.934650181,3472.11064504949,3379.20620699144,3409.64741111787,3310.40091244283,3274.31586662767,3442.86251019039,3452.58878692978,3332.9214408088,3362.84691455257,3280.68849637525,3255.80935729886,3252.35281167514,3297.36551316864,3241.74236381977,3264.21951674994,3275.72371511054
,2,3318.62457066133,3354.37619370117,3520.91272094308,3318.79788737134,3382.51248376755,3439.52037453867,3317.02602800791,3703.74336629916,3677.42306141511,3788.998126867,3427.0741736119,3450.82558323885,3403.74115522382,3257.75120373688,3501.18434698492,3958.72527273105,3561.82120282285,3402.77065149785,3308.26095897938,3304.58958235791,3273.46647960744,3459.57959739922,3625.56680342251,3994.49477899269,3517.47738923664,3544.08984138036,3627.44526098138,3584.58739250247,3338.93527296437,3533.03364352129,3583.5184459768,3449.05856807154,3401.68914786919,3405.469507063,3458.82818379123,3808.47781926989,3465.67692376292,3379.13507930768,3407.91869410449,3306.23434726588,3297.9670688338,3436.9815502913,3456.15621489545,3325.54151817582,3354.61683823637,3276.45443697003,3268.58537727973,3269.23597941636,3324.26502624697,3259.26629198128,3260.59814469977,3277.81847608602
,3,3346.04593856335,3355.96595590788,3519.01134261414,3317.56772828558,3384.59356824286,3437.37892323774,3315.9162042431,3729.30086172832,3673.06637579201,3785.94691465631,3422.93800377859,3448.91259676177,3406.66757023777,3255.52348257607,3530.89330839807,3956.22951304228,3560.40246085872,3404.57629422743,3313.46269899851,3299.92904477883,3271.29592447787,3481.4728365614,3619.43400401945,4003.42097525249,3518.2334184419,3543.19345016941,3624.89311662454,3588.39095972962,3348.77050422307,3534.1148381304,3585.86010603218,3448.98650377388,3401.51073003321,3404.15765670563,3479.56568935033,3808.61274115029,3466.91017285212,3376.50816819046,3410.73629531009,3303.23245073744,3322.89544395114,3430.9040909408,3458.40964102421,3323.7884455148,3347.68345610509,3275.58742282063,3275.45393526358,3281.43461046384,3340.6438132916,3264.11319519891,3263.16642969675,3280.43405287512
,4,3355.44521848141,3362.90961444866,3523.39897338572,3313.12127526928,3381.57831036382,3439.8082288105,3315.9071478829,3745.46774790507,3673.11115004309,3781.83795289275,3419.4603407916,3449.7421469513,3409.48223027684,3257.83955596078,3543.51505727078,3958.24033871497,3563.42785430575,3408.32153606738,3313.79246374018,3300.77372711996,3272.39451514447,3502.18155379315,3620.17161538382,4002.58135946648,3518.56170430938,3538.50438868528,3626.57772698693,3582.76125554613,3367.40246884781,3535.0207072717,3588.13201219011,3454.53038530736,3405.21052697492,3399.78863777223,3482.70078980384,3808.10707526494,3468.70459135831,3371.6780451896,3415.03283582817,3300.56330315053,3341.99350355701,3429.93276920996,3459.26101680037,3319.70910363577,3346.17919848227,3274.90013042116,3299.48052197842,3298.96377437942,3346.706229862,3262.13351044427,3263.62988974657,3277.88427650921
,5,3369.99788095127,3360.79066812567,3524.64437601519,3318.65998618987,3381.8016700189,3444.86111223869,3313.61183524681,3756.38859021514,3674.39859362771,3783.86274170431,3419.1390669225,3450.8600930244,3408.4925797462,3261.03201639855,3552.52848787475,3962.02987153499,3560.88311273037,3410.63452771557,3318.3073710427,3302.56853441605,3273.18980345088,3511.11454785696,3624.07410621616,4002.92852909754,3520.09588172648,3538.85979167559,3620.91949915991,3582.03559006234,3386.45243884101,3534.88865580314,3592.35645397321,3456.20542027977,3409.13204827467,3399.35570434043,3507.01965179076,3809.6798128795,3474.42563619517,3376.71867229736,3423.4304499575,3303.96509851123,3357.72287833263,3432.76270316914,3457.06614654318,3316.79126185982,3345.02093193331,3274.48255383689,3313.60020736758,3309.4588500296,3356.44676392637,3268.24746308817,3267.23454387604,3277.07607762514
,6,3375.08565831386,3365.4444087433,3527.44980617485,3316.66085084789,3386.18500429103,3440.21752139508,3315.87285064221,3763.92053575908,3681.02654767636,3781.62868444316,3420.99320156093,3450.69737813593,3408.69726911649,3256.66443932097,3564.43405692116,3960.47948515938,3562.31071940274,3414.2188575543,3321.23659113039,3306.69630095296,3274.81750073157,3519.97750328351,3621.60562866372,3998.45850936707,3524.04123281738,3542.66475166626,3626.37823692211,3583.53079687013,3393.54400208976,3545.18903572067,3598.25061893575,3457.60560236283,3413.63157054838,3399.32397854823,3516.50417911554,3810.93496992752,3469.67429012923,3380.26510895546,3422.49786023663,3308.05422332095,3367.46053489082,3433.13924239678,3456.13346330948,3321.08573843038,3347.32212287481,3276.43702998457,3323.43082304496,3314.80106628181,3353.23111289827,3267.70943595678,3271.11955625804,3278.44161697599
,7,3379.72388209779,3365.07762086092,3525.43708473979,3320.69260837894,3387.22207481961,3444.52589323564,3312.53167223212,3770.3838418951,3682.89332200758,3778.48618877759,3423.13681743765,3452.72649945088,3405.96936277206,3264.21537667499,3568.9287960693,3960.3291680366,3560.83532020141,3415.77709199854,3321.65059574092,3305.63876042737,3275.92595128788,3530.06723121913,3618.9768406936,3989.77899772776,3523.20397772872,3545.37906920959,3625.2091535823,3583.31907752438,3399.64734121258,3551.54754259698,3601.43560654394,3456.76960906643,3415.24632244387,3401.53592264775,3521.24134082845,3808.99538916387,3474.76979537339,3381.60592389707,3426.0093206541,3307.38676795171,3378.69270493102,3434.08068921012,3456.35325447533,3318.88588526237,3347.19656845332,3276.19003647382,3335.2230534147,3318.42037506917,3356.79991314371,3268.23856733837,3269.27748936139,3284.46154427861
,8,3382.43773384335,3367.30888365368,3526.75131985527,3317.40446744595,3390.23666776062,3449.04636605939,3309.29071803363,3778.96820698382,3679.89451155247,3771.95119723229,3426.44545680298,3454.39138572096,3407.98668299703,3259.85894664634,3572.54299525503,3959.24570359499,3563.46093488569,3416.76814281338,3322.28964790589,3307.79552796318,3276.70633893023,3535.12297575912,3622.94753036905,3989.5482655616,3525.7318776549,3547.04429202855,3622.07653298704,3582.57761177213,3405.31681223516,3551.40159604177,3601.50732295938,3459.90982262544,3416.80566159663,3404.91058880667,3520.71793704211,3811.29785075947,3474.75789443977,3380.56110319935,3430.01879352568,3309.86024023515,3386.39385990395,3436.35603866712,3455.97024404635,3323.98477648568,3352.05798608648,3282.13262382517,3341.74725598764,3326.34559582613,3357.91359188531,3270.90877946007,3269.29305185314,3280.8923255947
,9,3388.13477512074,3369.38962688755,3530.94133266547,3323.93942486605,3392.82793103837,3444.04847143704,3307.65639793465,3787.69823764522,3685.41281087162,3774.50982991702,3423.77808718541,3460.66736156387,3409.96910080159,3261.12126945559,3574.42279179832,3963.39044266613,3557.537100189,3420.78607177053,3324.72397868784,3309.66638601679,3276.5341886605,3541.54682955937,3618.64501629225,3987.57068744902,3527.87477827405,3546.51964590512,3622.32914972027,3580.07729536502,3417.01650882668,3558.82086666923,3604.96954381272,3461.67219083945,3420.08083648463,3405.15581651099,3527.69862872087,3809.07938491817,3473.16410113212,3384.65542178612,3429.53480081217,3309.50254342448,3393.94496052716,3436.17989517647,3456.50383514869,3320.0709132336,3357.85170831054,3282.16143040052,3350.80682771978,3326.58291849978,3357.70210570326,3276.41666817827,3273.023094559,3283.84096014602
,10,3391.21730809293,3371.30724441088,3534.63127714908,3319.6495976979,3395.23197545583,3447.01366751409,3311.32382927487,3789.01503535881,3683.99158221427,3767.37590917937,3428.23443965835,3462.72128075293,3409.84205621008,3262.30965414768,3578.21328841777,3964.34741907277,3562.55733653268,3419.79222667471,3326.53819283215,3308.34457757638,3277.23371916324,3547.99148860033,3626.84457910985,3985.10413207941,3529.51373212643,3550.3612755762,3624.35983888518,3578.83700203523,3419.50007234178,3561.50742611484,3606.60698045558,3461.31632524386,3417.83973419163,3403.7965110219,3528.41937776717,3816.50915021803,3473.67910150913,3384.99591855107,3435.84981984691,3309.01763337461,3401.61934767453,3436.74052859879,3456.21133147445,3322.78024786612,3357.5040324253,3282.09287379997,3358.64005557398,3330.38345632401,3360.93844198124,3273.7302698606,3275.83558059184,3287.02574796894
