"rep1.expr","name","pop","treat","rep2.expr","rep3.expr","rep4.expr","rep1.Ct","rep2.Ct","rep3.Ct","rep4.Ct"
"5.59643299779161e-09","H_C_1","H","C","9.67686233540707e-10","6.85199022492616e-10","9.67686233540707e-10","24.13","26.18","26.09","26.18"
"2.93334489171981e-09","N_C_1","N","C","4.72616749371702e-10","1.69275832239384e-10","4.72616749371702e-10","24.98","27.14","27.66","27.14"
"1.81428346255914e-09","S_C_1","S","C","1.41630327929057e-09","6.96602502973923e-10","1.41630327929057e-09","25.54","25.65","25.96","25.65"
"1.68791510487597e-09","H_T_1","H","T","3.34002551692987e-10","1.01805315406484e-10","3.34002551692987e-10","25.72","27.67","28.39","27.67"
"4.59478779849679e-10","N_T_1","N","T","1.39486788735335e-10","1.69525324413366e-10","1.39486788735335e-10","26.99","28.26","27.71","28.26"
"1.93434921740324e-09","S_T_1","S","T","1.24999932295154e-09","2.50487236534256e-10","1.24999932295154e-09","25.5","25.96","27.38","25.96"
"1.80894492365879e-12","NT_C_1","NT","C","1.48545449384518e-12","9.05864170392607e-13","1.48545449384518e-12","35.7","34.91","40","34.91"
"5.73586392601701e-09","H_C_2","H","C","6.89277134191444e-10","1.12767096227057e-09","6.89277134191444e-10","23.93","26.3","25.21","26.3"
"6.40603445525107e-09","N_C_2","N","C","5.52197028923609e-10","6.2979664839168e-10","5.52197028923609e-10","23.87","26.57","26.04","26.57"
"5.4796256142621e-09","S_C_2","S","C","4.9486638431229e-09","3.10003696494529e-10","4.9486638431229e-09","23.96","24.21","26.84","24.21"
"5.98402017318541e-09","H_T_2","H","T","2.34510977213393e-10","1.12479609486457e-10","2.34510977213393e-10","24.39","27.77","28.24","27.77"
"7.71625334926195e-09","N_T_2","N","T","9.03998394732475e-10","4.61166954043638e-10","9.03998394732475e-10","23.73","26.17","26.79","26.17"
"1.74995475678898e-09","S_T_2","S","T","1.42233409393144e-09","3.03584573771158e-10","1.42233409393144e-09","25.41","25.72","26.96","25.72"
"4.33985815465086e-13","NT_C_2","NT","C",NA,"4.49018935014131e-13",NA,"36.99",NA,"36.76",NA
"2.69193491564086e-09","H_C_3","H","C","1.4269608044265e-10","3.59491294830938e-10","1.4269608044265e-10","25.03","27.97","26.72","27.97"
"7.20499066925661e-09","N_C_3","N","C","7.91691683719929e-10","4.34503486663835e-10","7.91691683719929e-10","23.9","25.91","26.32","25.91"
"2.72311033613359e-09","S_C_3","S","C","4.38434797288848e-09","8.20353158144195e-10","4.38434797288848e-09","24.57","24.42","25.82","24.42"
"1.11634062561388e-09","H_T_3","H","T","4.51013738031748e-10","1.10446773973301e-10","4.51013738031748e-10","26.21","27.37","28.15","27.37"
"5.31545373416476e-09","N_T_3","N","T","2.89382883236605e-10","2.89514564821209e-10","2.89382883236605e-10","24.67","27.76","27.02","27.76"
"3.02417724465428e-10","S_T_3","S","T","2.4475312095137e-10","6.78047998204792e-11","2.4475312095137e-10","27.97","28.28","28.97","28.28"
"1.98523492508574e-12","NT_C_3","NT","C",NA,"1.54754802931668e-13",NA,"35.02",NA,"37.97",NA
"7.16716972413879e-09","H_C_4","H","C","5.10361035817943e-10","8.08075490954121e-10","5.10361035817943e-10","23.74","26.44","25.65","26.44"
"1.28561159531622e-08","N_C_4","N","C","1.32133848376192e-09","7.01286317659552e-10","1.32133848376192e-09","23.11","25.38","25.73","25.38"
"1.19202796710079e-09","S_C_4","S","C","4.38698262044673e-09","3.82877481047539e-10","4.38698262044673e-09","25.56","24.41","26.69","24.41"
"1.97489988338062e-09","H_T_4","H","T","1.33019273433834e-09","3.27508522357737e-10","1.33019273433834e-09","25.13","25.64","26.96","25.64"
"5.68136444754646e-10","N_T_4","N","T","4.07705471734356e-11","7.47124701472932e-11","4.07705471734356e-11","27.13","29.77","28.75","29.77"
"8.73940855674132e-10","S_T_4","S","T","2.65249302513178e-10","1.04182962814396e-10","2.65249302513178e-10","26.11","27.66","28.21","27.66"
"2.75140826244996e-14","NT_C_4","NT","C",NA,"5.51005937481153e-14",NA,"39.55",NA,"38.55",NA
"7.89555988153233e-09","H_C_5","H","C","3.31003979063848e-10","6.271250458332e-10","3.31003979063848e-10","24.07","27.36","26.08","27.36"
"1.00174824407314e-08","N_C_5","N","C","1.12375484133274e-09","6.55953317077939e-10","1.12375484133274e-09","23.65","26.05","26","26.05"
"7.00372543343391e-10","S_C_5","S","C","6.86122821899669e-10","4.7377106456024e-10","6.86122821899669e-10","26.34","26.84","26.42","26.84"
"1.43553730028423e-09","H_T_5","H","T","1.19257556015703e-09","1.85648370490803e-10","1.19257556015703e-09","25.92","26.12","27.73","26.12"
"2.75679865040573e-09","N_T_5","N","T","1.97320973716235e-10","1.56920332727605e-10","1.97320973716235e-10","25.29","28.32","27.87","28.32"
"2.97132567493112e-10","S_T_5","S","T","5.49719208276014e-11","4.68065797638065e-11","5.49719208276014e-11","28.22","29.98","29.59","29.98"
"1.57197881619453e-10","H_C_6","H","C","1.25843924125992e-11","1.0257399213137e-11","1.25843924125992e-11","28.89","31.67","31.18","31.67"
"3.78388076935256e-08","N_C_6","N","C","5.55756200017008e-09","1.10067744334695e-09","5.55756200017008e-09","21.93","23.83","25.28","23.83"
"1.28177266280998e-09","S_C_6","S","C","1.0487703422829e-09","7.76507289751789e-10","1.0487703422829e-09","25.68","26.03","25.94","26.03"
"4.66509449462746e-09","H_T_6","H","T","2.84270294384658e-10","1.64939772909429e-10","2.84270294384658e-10","24.7","27.52","27.68","27.52"
"1.06823547975635e-09","N_T_6","N","T","5.52239698099157e-10","1.72332596410106e-10","5.52239698099157e-10","26.21","26.91","27.83","26.91"
"2.91574645238441e-09","S_T_6","S","T","1.21786610462305e-09","8.11811885717743e-10","1.21786610462305e-09","24.98","26.01","25.98","26.01"
"1.36678848625714e-08","H_C_7","H","C","3.19759235880538e-10","1.51267793821759e-09","3.19759235880538e-10","23.29","27.45","25.2","27.45"
"1.20037217297557e-09","N_C_7","N","C","3.00369596279307e-10","2.16392953645336e-10","3.00369596279307e-10","26.01","27.54","27.44","27.54"
"9.87185806041932e-09","S_C_7","S","C","1.20363551683329e-08","3.48631765268297e-09","1.20363551683329e-08","23.32","23.26","24.17","23.26"
"1.40855383500402e-09","H_T_7","H","T","9.88016352119454e-10","6.98365176385867e-10","9.88016352119454e-10","25.84","26.23","26.26","26.23"
"3.98943078447124e-09","N_T_7","N","T","9.04310889314302e-10","7.65681724784123e-10","9.04310889314302e-10","24.79","26.44","26.08","26.44"
"1.02621785356348e-09","S_T_7","S","T","4.44470902673163e-10","2.66471691300678e-10","4.44470902673163e-10","26.75","27.36","27.58","27.36"
