"Vars","Actin_HC_1","Actin_NC_1","Actin_SC_1","Actin_HT_1","Actin_NT_1","Actin_ST_1","Actin_NTC_1","Actin_HC_2","Actin_NC_2","Actin_SC_2","Actin_HT_2","Actin_NT_2","Actin_ST_2","Actin_NTC_2","Actin_HC_3","Actin_NC_3","Actin_SC_3","Actin_HT_3","Actin_NT_3","Actin_ST_3","Actin_NTC_3","Actin_HC_4","Actin_NC_4","Actin_SC_4","Actin_HT_4","Actin_NT_4","Actin_ST_4","Actin_NTC_4","Actin_HC_5","Actin_NC_5","Actin_SC_5","Actin_HT_5","Actin_NT_5","Actin_ST_5","Actin_HC_6","Actin_NC_6","Actin_SC_6","Actin_HT_6","Actin_NT_6","Actin_ST_6","Actin_HC_7","Actin_NC_7","Actin_SC_7","Actin_HT_7","Actin_NT_7","Actin_ST_7","Actin_HC_8","Actin_NC_8","Actin_SC_8","Actin_HT_8","Actin_NT_8","Actin_ST_8"
"sig.eff","1.235727","1.251792","1.232068","1.224597","1.24903","1.239842","1.152173","1.248161","1.243424","1.239989","1.239793","1.231335","1.23104","1.119525","1.262919","1.236261","1.247294","1.254725","1.220728","1.208998","1.187148","1.254603","1.2488","1.241939","1.25336","1.248314","1.242089","1.031188","1.229854","1.224202","1.224671","1.230255","1.213887","1.214938","1.229479","1.242217","1.227491","1.235653","1.226555","1.220497","1.223354","1.187199","1.227531","1.23025","1.226613","1.214521","1.228736","1.231254","1.224307","1.234513","1.220809","1.209006"
"sig.resVar","8357.349","9055.466","7268.914","5458.84","4968.578","6731.245","612.6212","10982.49","9495.537","10002.03","7445.235","8077.242","6470.305","300.9365","11711.98","9122.921","10414.9","8114.869","5781.983","6383.208","418.4127","12817.69","11351.17","6954.564","9970.512","6213.241","6548.291","299.3362","7461.293","7017.517","7734.417","6452.472","5704.348","3974.554","3375.545","10613.92","7246.601","9207.649","5726.253","6509.345","9565.626","7704.926","8121.971","6894.567","7116.217","5327.85","10305.77","9677.573","8086.575","7241.385","5904.602","5375.505"
"sig.AICc","481.6794","484.8885","476.098","464.6432","460.8791","473.0241","377.1534","492.6058","486.7866","488.8652","477.0567","480.3158","471.4427","348.7195","495.1782","485.1853","490.4832","480.5017","466.9436","470.9006","361.9023","498.7868","493.9265","474.3297","488.739","469.821","471.9219","348.5062","477.1429","474.6901","478.5809","471.3323","466.4029","451.9502","445.416","491.2404","475.975","485.5551","466.5562","471.6833","487.0808","478.4281","480.5366","473.9831","475.2488","463.6716","490.0619","487.5462","480.3619","475.9462","467.783","464.0278"
"sig.AIC","480.5365","483.7456","474.9551","463.5003","459.7362","471.8813","376.0105","491.463","485.6437","487.7224","475.9138","479.1729","470.2998","347.5766","494.0353","484.0425","489.3404","479.3588","465.8007","469.7577","360.7594","497.6439","492.7837","473.1868","487.5962","468.6782","470.779","347.3633","476","473.5472","477.4381","470.1894","465.26","450.8074","444.2731","490.0975","474.8322","484.4123","465.4133","470.5404","485.9379","477.2853","479.3938","472.8402","474.1059","462.5288","488.919","486.4033","479.2191","474.8034","466.6402","462.885"
"sig.Rsq","0.9997448","0.9997655","0.9997766","0.999773","0.9998752","0.999782","0.9992944","0.9997468","0.9997683","0.999746","0.9997869","0.9997726","0.9997868","0.9914293","0.999746","0.999762","0.9997632","0.9997975","0.9997931","0.9996361","0.999635","0.9997148","0.9997459","0.9998083","0.9997733","0.9998261","0.9998204","0.927398","0.99974","0.9997457","0.9997479","0.9997621","0.9997634","0.999811","0.9998475","0.9997413","0.9997535","0.9997527","0.999803","0.9997641","0.999705","0.999674","0.999729","0.9997475","0.9997209","0.9997666","0.9996716","0.9997278","0.9997259","0.9997583","0.9997659","0.9997501"
"sig.Rsq.ad","0.9997235","0.999746","0.999758","0.9997541","0.9998648","0.9997638","0.9992356","0.9997257","0.9997489","0.9997248","0.9997691","0.9997536","0.999769","0.990715","0.9997249","0.9997422","0.9997435","0.9997806","0.9997758","0.9996058","0.9996046","0.999691","0.9997248","0.9997923","0.9997544","0.9998116","0.9998055","0.9213478","0.9997184","0.9997245","0.9997269","0.9997423","0.9997436","0.9997952","0.9998348","0.9997197","0.9997329","0.999732","0.9997866","0.9997444","0.9996804","0.9996469","0.9997064","0.9997264","0.9996977","0.9997472","0.9996442","0.9997051","0.9997031","0.9997381","0.9997463","0.9997293"
"sig.cpD1","27.94","29.26","28.15","30.22","29.66","29.99","39.24","27.39","27.6","27.09","29.4","28.89","29.43","40","28.65","28.32","27.23","30.31","29.2","31.21","39.63","27.69","27.21","29.08","28.14","31.21","30.28","40","28.51","28.2","27.57","29.98","30.06","31.43","33.51","27.42","28.27","27.94","29.79","27.8","25.92","28.44","26.96","29.68","29.77","29.8","27.53","24.96","27.18","29.59","30.19","29.56"
"sig.cpD2","25.87","27.21","26.06","28.15","27.53","27.93","37.19","25.3","25.52","25.05","27.29","26.78","27.32","40","26.6","26.25","25.16","28.2","27.07","29.2","37.59","25.62","25.14","27.01","26.06","29.08","28.16","40","26.45","26.14","25.49","27.9","27.95","29.3","31.31","25.38","26.2","25.86","27.67","25.72","23.84","26.05","24.9","27.61","27.71","27.69","25.44","22.9","25.11","27.5","28.07","27.48"
"sig.cpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
