"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.200155","29165.23","531.6728","530.53","0.9993241","0.9992677","33.15","29.96",NA,NA,NA,NA,NA,NA,"7343.993","3638.846","31.04455",NA,"-13.83075","3638.846","24696.99","33.49853","l4","1.170799","0.9956827","70.2658","0","29","1.869323","276.0784","675.4683","24.60879","5.784678e-05","1.337353","0.4255625","0","H_C_1"
"N_C_1","1.189593","23112.92","522.3694","521.2265","0.9992405","0.9991772","33.97","30.77",NA,NA,NA,NA,NA,NA,"6895.859","3553.117","33.00492",NA,"-14.12601","3553.117","22503.89","34.3166","l4","1.160823","0.9980236","76.09078","0","30","1.880472","204.5878","45.62296","6.40786","2.676777e-05","1.313728","0.3947688","0","N_C_1"
"S_C_1","1.190889","26416.87","527.7138","526.571","0.9992092","0.9991433","33.59","30.42",NA,NA,NA,NA,NA,NA,"6995.028","3604.469","34.41784",NA,"-14.06499","3604.469","22782.01","33.93556","l4","1.155262","0.9960325","95.73908","0","30","1.858176","223.9897","87.10714","8.854175","4.662123e-05","1.302226","0.2970624","0","S_C_1"
"H_T_1","1.173424","15986.21","507.6228","506.4799","0.9974321","0.9972181","38.4","35.26",NA,NA,NA,NA,NA,NA,"6315.527","3468.647","22.46119",NA,"-16.23953","3468.647","19202.19","38.69577","l4","1.161679","0.9963583","33.70545","0","35","1.818706","274.3387","129.2067","10.86885","4.218325e-06","1.248182","0.1889992","0","H_T_1"
"N_T_1","1.159975","10283.59","489.9757","488.8328","0.9987404","0.9986354","37.52","34.14",NA,NA,NA,NA,NA,NA,"6224.35","3473.487","39.24799",NA,"-14.78039","3473.487","18933.82","37.86452","l4","1.149486","0.993448","54.60779","0","34","1.652508","367.2373","2490.653","47.65385","0.0001928398","1.001548","0.2397847","0","N_T_1"
"S_T_1","1.176958","18504.54","513.4744","512.3315","0.9987667","0.9986639","35.81","32.66",NA,NA,NA,NA,NA,NA,"6318.367","3439.778","30.87118",NA,"-15.11195","3439.778","19530.16","36.12503","l4","1.152122","0.9975879","67.22718","0","32","1.873518","208.8599","34.37857","5.581718","7.834e-06","1.288352","0.3044273","0","S_T_1"
"NT_C_1","1.076532","36.88348","264.7541","263.6112","0.9981578","0.9980043","40","40",NA,NA,NA,NA,NA,NA,"4116.623","3396.821","215.5057",NA,"-20.61346","3396.821","8273770","62.95525","l4","1.021357","0.8701993","1644.701","0","40","1.705323","259.797","34.29538","5.632337","6.583418e-07",NA,NA,NA,"NT_C_1"
"H_C_2","1.197646","31925.51","535.2899","534.1471","0.9990821","0.9990056","34.56","31.38",NA,NA,NA,NA,NA,NA,"7565.228","3768.258","26.35538",NA,"-14.42779","3768.258","25158.58","34.89858","l4","1.156578","0.9972402","87.69413","0","31","1.843925","285.4411","499.5047","21.24066","3.596109e-05","1.335497","0.3934754","0","H_C_2"
"N_C_2","1.194168","33614.51","537.352","536.2092","0.9992307","0.9991666","33.02","29.84",NA,NA,NA,NA,NA,NA,"7523.732","3830.268","37.7402",NA,"-13.81001","3830.268","24793.5","33.36597","l4","1.16443","0.9954244","86.88828","0","29","1.879443","187.5564","31.91004","5.348738","5.270122e-05","1.331865","0.3774487","0","N_C_2"
"S_C_2","1.182286","21454.95","519.3919","518.2491","0.9993961","0.9993457","33.62","30.38",NA,NA,NA,NA,NA,NA,"7419.479","3907.051","45.82063",NA,"-13.78371","3907.051","23854.62","33.97879","l4","1.168786","0.9957349","68.18756","0","30","1.825614","236.7035","133.0778","10.94395","8.643916e-05","1.270687","0.2506321","0","S_C_2"
"H_T_2","1.183242","19276.78","515.1098","513.9669","0.9988672","0.9987728","36.4","33.16",NA,NA,NA,NA,NA,NA,"6940.715","3602.707","26.19904",NA,"-14.9034","3602.707","22278.33","36.73263","l4","1.163962","0.9976537","47.94706","0","33","1.794129","283.0521","268.3646","15.61947","2.666723e-05","1.277139","0.3029998","0","H_T_2"
"N_T_2","1.192477","26347.17","527.6082","526.4653","0.9979424","0.997771","37.61","34.47",NA,NA,NA,NA,NA,NA,"7137.954","3636.715","16.53259",NA,"-15.9304","3636.715","23049.63","37.90655","l4","1.157813","0.9970818","50.18701","0","34","1.841629","251.9208","83.81724","8.741945","5.388413e-06","1.303925","0.3058917","0","N_T_2"
"S_T_2","1.188565","20001.79","516.5866","515.4437","0.999335","0.9992796","34.27","31.05",NA,NA,NA,NA,NA,NA,"7058.879","3632.633","33.05807",NA,"-14.16067","3632.633","23029.64","34.61548","l4","1.166275","0.9979163","63.51683","0","31","1.806778","262.1159","235.3778","14.58079","7.406047e-05","1.301403","0.3956451","0","S_T_2"
"NT_C_2","1.000203","4.088012","176.7659","175.623","0.8846557","0.8750437","2.84","1",NA,NA,NA,NA,NA,NA,"3457.832","3457.129","3457.129",NA,"-1.204954","3457.129","3484.487","20.42578","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_2"
"H_C_3","1.210264","41668.18","545.9432","544.8004","0.9992485","0.9991858","33.74","30.55",NA,NA,NA,NA,NA,NA,"8384.233","3968.521","24.63039",NA,"-14.07765","3968.521","29013.63","34.08536","l4","1.165581","0.997792","86.37466","0","30","1.855815","291.9869","840.261","27.49973","5.783478e-05","1.34788","0.4118481","0","H_C_3"
"N_C_3","1.207442","42608.06","546.8355","545.6926","0.9992454","0.9991826","34.35","31.15",NA,NA,NA,NA,NA,NA,"9041.669","4304.617","25.47515",NA,"-14.27049","4304.617","31032.09","34.68795","l4","1.177612","0.9954074","59.47284","0","31","1.829963","281.0978","434.2031","19.80362","6.546163e-05","1.343232","0.4642463","0","N_C_3"
"S_C_3","1.199975","34915.26","538.8707","537.7278","0.9991374","0.9990656","34.31","31.14",NA,NA,NA,NA,NA,NA,"7902.895","3915.143","27.06253",NA,"-14.38856","3915.143","26402.58","34.64461","l4","1.154265","0.9951377","102.0133","0","31","1.83689","257.456","202.5271","13.52508","4.84416e-05","1.344321","0.433609","0","S_C_3"
"H_T_3","1.198305","26418.05","527.7156","526.5728","0.9985285","0.9984059","36.9","33.81",NA,NA,NA,NA,NA,NA,"7413.917","3734.249","16.3564",NA,"-15.87162","3734.249","24110.75","37.19023","l4","1.165549","0.9980904","45.41319","0","33","1.876615","259.0677","129.7415","10.86033","4.605539e-06","1.331982","0.4600617","0","H_T_3"
