"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.208246","38362.11","542.6365","541.4937","0.9989251","0.9988355","33.97","31.01",NA,NA,NA,NA,NA,NA,"7255.262","3657.635","20.55965",NA,"-15.26243","3657.635","23716.57","34.25899","l4","1.240031","0.9896527","9.145574","0","31","1.829731","286.9842","524.9992","21.77597","4.625304e-05","1.432215","0.7288023","0","H_C_1"
"N_C_1","1.206106","37680.32","541.9192","540.7764","0.9989859","0.9989014","33.98","30.97",NA,NA,NA,NA,NA,NA,"7395.786","3711.384","22.30874",NA,"-14.9954","3711.384","24306.37","34.28263","l4","1.236142","0.9890899","10.36459","0","30","1.847889","257.2516","263.9794","15.41368","3.743782e-05","1.428827","0.7345922","0","N_C_1"
"S_C_1","1.19571","41553.88","545.8334","544.6905","0.9990246","0.9989433","32.34","29.28",NA,NA,NA,NA,NA,NA,"7187.082","3745.626","38.34099",NA,"-14.06904","3745.626","23263.63","32.67039","l4","1.232224","0.9896786","15.87657","0","29","1.851718","217.9713","91.07772","9.036365","8.896395e-05","1.460162","0.7432283","0","S_C_1"
"H_T_1","1.203421","29939.35","532.7207","531.5778","0.9983008","0.9981592","36.14","33.36",NA,NA,NA,NA,NA,NA,"6879.507","3648.775","14.28307",NA,"-17.20987","3648.775","21296.33","36.38899","l4","1.22928","0.9898878","7.116859","0","33","1.848148","263.176","146.942","11.55784","7.48601e-06","1.370748","0.5223168","0","H_T_1"
"N_T_1","1.207558","38631.75","542.9167","541.7739","0.9989163","0.998826","34.75","31.76",NA,NA,NA,NA,NA,NA,"7791.178","3904.646","19.50755",NA,"-15.47657","3904.646","25556.2","35.03691","l4","1.233955","0.9890379","9.969387","0","31","1.849779","239.6806","114.1453","10.15377","2.393139e-05","1.436903","0.7759219","0","N_T_1"
"S_T_1","1.215629","25764.7","526.7139","525.5711","0.9982772","0.9981336","36.69","34.16",NA,NA,NA,NA,NA,NA,"6944.057","3741.665","8.806725",NA,"-19.17551","3741.665","20967.09","36.89479","l4","1.236674","0.9896543","4.959336","0","34","1.842269","277.4948","177.8274","12.73329","4.921807e-06","1.389211","0.555421","0","S_T_1"
"NT_C_1","1.001112","32.21586","259.3419","258.199","0.8913397","0.8822847","40","40",NA,NA,NA,NA,NA,NA,"3596.808","3544.143","3440.391",NA,"-3.116586","3544.143","7783759","1822.873","l4",NA,NA,NA,NA,"40","1.100516","251.4289","27.82145","5.072951","1.384499",NA,NA,NA,"NT_C_1"
"H_C_2","1.222095","61715.88","561.6554","560.5125","0.9988413","0.9987448","34.21","31.26",NA,NA,NA,NA,NA,NA,"8596.52","4108.808","16.27132",NA,"-15.41363","4108.808","29155.79","34.5042","l4","1.255884","0.9909956","6.919583","0","31","1.839494","297.3165","732.6694","25.72481","4.257962e-05","1.491591","0.79106","0","H_C_2"
"N_C_2","1.206889","57969.3","559.1503","558.0074","0.9991756","0.9991069","32.07","28.88",NA,NA,NA,NA,NA,NA,"8439.355","4083.025","36.96241",NA,"-13.38208","4083.025","29006.54","32.4315","l4","1.144554","0.9940107","202.5775","0","28","1.885109","176.9717","27.38936","4.945178","9.325245e-05","1.43918","0.7287581","0","N_C_2"
"S_C_2","1.204744","61283.53","561.3742","560.2313","0.9991377","0.9990658","30.89","27.7",NA,NA,NA,NA,NA,NA,"7975.752","3923.932","45.81278",NA,"-12.91849","3923.932","27317.54","31.26282","l4","1.138395","0.9927243","266.278","0","27","1.891648","166.2089","23.09223","4.53061","0.0001592108","1.463524","0.7539205","0","S_C_2"
"H_T_2","1.211553","36911.99","541.0952","539.9523","0.9985638","0.9984441","35.28","32.46",NA,NA,NA,NA,NA,NA,"7145.593","3665.229","14.08451",NA,"-16.63067","3665.229","22849.61","35.5383","l4","1.240336","0.9891634","6.645641","0","32","1.866661","220.6434","49.68339","6.71011","1.016032e-05","1.465421","0.7322678","0","H_T_2"
"N_T_2","1.209534","39488.13","543.7937","542.6509","0.9987185","0.9986117","35.17","32.28",NA,NA,NA,NA,NA,NA,"7680.044","3905.795","16.53693",NA,"-16.19433","3905.795","24769.79","35.43526","l4","1.238415","0.9905652","7.763398","0","32","1.843831","253.5099","138.7604","11.2139","1.818377e-05","1.455072","0.761162","0","N_T_2"
"S_T_2","1.214793","36206.55","540.3233","539.1805","0.9984983","0.9983732","36.03","33.24",NA,NA,NA,NA,NA,NA,"7559.022","3845.112","11.73836",NA,"-17.13452","3845.112","24189.92","36.27934","l4","1.240298","0.9904405","5.926793","0","33","1.841642","261.946","141.5659","11.34444","1.036362e-05","1.401443","0.6290921","0","S_T_2"
"NT_C_2","1.09551","103.7919","306.139","304.9962","0.99632","0.9960133","40","40",NA,NA,NA,NA,NA,NA,"4533.179","3653.892","117.9659",NA,"-23.5755","3653.892","160526475","66.87018","l4","1.021213","0.845407","1777.117","0","40","1.834407","295.6821","84.11094","8.820579","4.666663e-08",NA,NA,NA,"NT_C_2"
"H_C_3","1.219665","50464.61","553.6046","552.4618","0.9987773","0.9986754","34.57","31.72",NA,NA,NA,NA,NA,NA,"8091.678","4002.205","14.87616",NA,"-16.12229","4002.205","26589.46","34.83279","l4","1.247787","0.9870185","7.323255","0","31","1.863887","285.8434","506.0298","21.37894","1.970942e-05","1.474482","0.7557217","0","H_C_3"
"N_C_3","1.214081","72536.86","568.1175","566.9747","0.999011","0.9989286","33.52","30.43",NA,NA,NA,NA,NA,NA,"9515.943","4547.433","25.98934",NA,"-14.43543","4547.433","32560.38","33.84246","l4","1.248514","0.9918366","11.10392","0","30","1.864518","224.6492","89.04332","8.952038","5.425745e-05","1.464853","0.8010232","0","N_C_3"
"S_C_3","1.201426","48577.78","552.0804","550.9375","0.999018","0.9989361","32.63","29.54",NA,NA,NA,NA,NA,NA,"7666.142","3877.133","33.91024",NA,"-14.06414","3877.133","25383.97","32.9641","l4","1.236826","0.9893605","14.44696","0","29","1.87644","188.9933","33.53105","5.482912","5.877576e-05","1.45726","0.7474221","0","S_C_3"
"H_T_3","1.203137","37364.14","541.5822","540.4393","0.9987924","0.9986918","34.49","31.54",NA,NA,NA,NA,NA,NA,"7256.557","3737.478","21.26135",NA,"-15.5644","3737.478","23315.98","34.77133","l4","1.23362","0.9895129","9.764573","0","31","1.863372","225.0211","71.13542","8.015694","1.941758e-05","1.450341","0.7504484","0","H_T_3"
"N_T_3","1.204444","36693.67","540.8579","539.715","0.998773","0.9986707","34.65","31.76",NA,NA,NA,NA,NA,NA,"7292.49","3783.779","19.81951",NA,"-15.93374","3783.779","23257.42","34.92832","l4","1.232842","0.9876003","9.401332","0","31","1.872101","203.4886","35.51623","5.663848","1.459529e-05","1.445189","0.7631642","0","N_T_3"
"S_T_3","1.21478","30700.39","533.7247","532.5819","0.9986035","0.9984871","36.02","33.31",NA,NA,NA,NA,NA,NA,"7348.227","3810.444","11.26068",NA,"-17.6216","3810.444","23057.61","36.2506","l4","1.239066","0.9909272","5.887836","0","33","1.856215","238.0153","68.55205","7.894305","7.319598e-06","1.389747","0.5992053","0","S_T_3"
"NT_C_3","1.000016","98.05969","303.8666","302.7237","0.04158652","-0.03828127","1","40",NA,NA,NA,NA,NA,NA,"3601.849","4.886529","3599.551",NA,"-0.001323505","4.886529","6878.809","1.06694e-29","l4",NA,NA,NA,NA,"40","1.102978","275.7579","51.11262","6.875985","0.5475377",NA,NA,NA,"NT_C_3"
"H_C_4","1.22504","53575.9","555.9977","554.8548","0.9988095","0.9987103","34.56","31.69",NA,NA,NA,NA,NA,NA,"8235.752","3958.35","13.25019",NA,"-15.95864","3958.35","27603.39","34.8355","l4","1.254339","0.989041","6.335671","0","31","1.85061","299.8196","794.2848","26.78467","2.616193e-05","1.486005","0.8114565","0","H_C_4"
"N_C_4","1.207638","48789.2","552.2541","551.1112","0.9990574","0.9989788","33.03","29.99",NA,NA,NA,NA,NA,NA,"7965.306","3956.549","27.79182",NA,"-14.42557","3956.549","26518.68","33.35061","l4","1.2417","0.9906051","11.95938","0","29","1.882267","192.1276","37.35812","5.787356","4.365453e-05","1.466963","0.8134857","0","N_C_4"
"S_C_4","1.213522","60769.08","561.037","559.8941","0.9990652","0.9989873","32.25","29.17",NA,NA,NA,NA,NA,NA,"8177.231","3939.07","28.90249",NA,"-13.90068","3939.07","27973.42","32.59062","l4","1.251726","0.9910034","11.58137","0","29","1.851656","215.8851","84.75586","8.71711","0.0001174688","1.488254","0.8088471","0","S_C_4"
"H_T_4","1.229016","27249","528.9544","527.8115","0.9984117","0.9982794","36.7","34.26",NA,NA,NA,NA,NA,NA,"7248.553","3830.079","6.194477",NA,"-19.89967","3830.079","22150.4","36.89087","l4","1.247584","0.9897401","3.765074","0","34","1.862913","255.771","93.86709","9.2512","3.415479e-06","1.392999","0.5149771","0","H_T_4"
"N_T_4","1.215079","37090.66","541.2883","540.1455","0.9987478","0.9986435","35.53","32.72",NA,NA,NA,NA,NA,NA,"7814.434","3958.932","13.32421",NA,"-16.78797","3958.932","25159.92","35.78627","l4","1.238449","0.9884519","7.276095","0","32","1.86362","234.6188","76.89181","8.347647","1.029757e-05","1.448386","0.786671","0","N_T_4"
"S_T_4","1.219407","36522.39","540.6707","539.5279","0.9987494","0.9986451","35.67","32.93",NA,NA,NA,NA,NA,NA,"7894.342","4003.543","11.49308",NA,"-17.2786","4003.543","25266.32","35.90869","l4","1.244095","0.9904017","5.939424","0","32","1.880106","231.7421","70.28121","7.980748","6.908367e-06","1.439575","0.7659027","0","S_T_4"
"NT_C_4","1.148234","169.4146","325.7375","324.5946","0.9996017","0.9995685","40","38.59",NA,NA,NA,NA,NA,NA,"5557.576","3863.098","26.81063",NA,"-24.61251","3863.098","12711.89","40.9157","l4","1.139695","0.973797","36.70682","0","38","1.812056","278.417","78.30401","8.492474","3.407873e-07",NA,NA,NA,"NT_C_4"
