,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3565.97152344401,3572.51330749514,3629.28793341309,3474.53818566797,3479.58442441132,3461.21300445463,3383.377751513,3713.65834433038,3865.69604184123,3929.24789427107,3596.50512971332,3653.61258477292,3650.56325962964,3458.26736784189,3903.78445822085,4351.22176679443,3950.95575949637,3739.20721729168,3649.31624165153,3740.96294307974,3506.49570416531,3814.41867829889,3964.34447374212,3858.5715033564,3694.61210935711,3776.7370217127,3934.42237954364,3648.46081904775,3793.46518669584,3802.4913922228,4032.68232130529,3721.10051701376,3664.52899179169,3801.57054058508,3975.71881262855,4229.25303389674,3930.76514248453,3752.13662861348,3667.20273994053,3685.48801244056,3642.2499361874,3737.82381419986,3830.87517015272,3664.85548279914,3595.66119790875,3642.93135452346,3462.62245408794,3426.95331800977,3605.0632695132,3524.17339469172,3560.92166736162,3546.94112797153
,2,3619.54253049161,3574.74647127998,3626.43089254011,3473.51909444113,3476.92133420895,3457.82893796998,3380.67398450192,3758.89853434729,3856.6804548269,3922.82015179428,3607.81175634213,3653.79395796307,3650.1948320212,3459.5060620212,3944.67998273231,4348.81615898854,3953.03924920904,3736.40674758369,3654.89638991049,3742.49119617729,3501.37735418762,3848.65561393428,3956.00517214999,3856.99689534122,3696.20348515693,3777.06352969481,3931.68067684481,3640.88770205876,3831.73629868142,3795.96328541233,4025.62411118048,3716.82769799111,3670.9919922353,3798.21073168932,4002.89872184024,4228.31141511413,3934.75170290133,3755.03955680725,3664.30330526405,3684.40099682246,3664.17869504102,3732.33099096534,3826.51524250027,3662.42496989222,3594.19089909729,3636.65037032061,3473.62768129273,3446.5510270458,3634.4594673109,3543.15455724746,3564.6775560564,3540.1152833738
,3,3648.90013365829,3579.62993448659,3629.00165388085,3476.27201994067,3474.8568951607,3462.30859194823,3385.71333035865,3784.78801699367,3857.84932977077,3924.60980147336,3612.96742863733,3656.26633544738,3654.65281912185,3460.17294671257,3970.66450705864,4350.50777831507,3952.83677371346,3738.62308950239,3649.95937420152,3741.96697446823,3500.18522944767,3862.48473732042,3956.55145977377,3851.2588721826,3698.80507606987,3768.82595233183,3928.95969980807,3641.84582631471,3872.63491823214,3797.89384959023,4023.4328140106,3719.97968117683,3664.80814146991,3792.87315813081,4028.00814786171,4234.31836293184,3949.94355346917,3754.24450374425,3664.83847209278,3678.51667652876,3691.70570985959,3729.33199227668,3827.14129390318,3665.4856478977,3594.15619141397,3627.81257168279,3483.05111256016,3471.35468204827,3645.80479508789,3547.73142081045,3565.06607083443,3545.7864214556
,4,3662.96452588274,3584.6187217874,3631.30440644483,3476.29682513815,3478.01543675877,3462.81981973236,3389.04315611017,3792.3733384245,3856.64855978697,3926.78212531778,3617.92947443859,3651.18140618562,3651.50941947157,3457.84931536239,3988.9733680398,4351.38355150763,3947.60444603572,3745.54935936571,3657.89162940449,3737.93222294931,3500.71164387423,3879.18816599619,3955.98077774999,3856.29835624681,3694.25215415381,3773.20803481601,3924.59980241917,3644.03849868569,3877.11734529942,3795.07394582245,4021.40166644501,3719.6635620686,3662.95929463631,3793.28830027632,4072.91636869382,4234.33049819568,3960.56036580749,3753.02349378731,3663.3149765821,3678.41658078339,3708.2204954851,3728.02534063049,3824.89454959983,3661.16369749324,3588.64614355179,3630.48159251104,3481.23088231314,3477.26709207007,3652.02375220011,3546.83561823095,3567.90202515727,3543.70585242761
,5,3668.4690652024,3585.30708031826,3635.2529833558,3479.64823503658,3482.64385645624,3462.95089509422,3387.73798870765,3801.2262372536,3860.45123469064,3926.99858529303,3619.06545025303,3656.69889763743,3655.48684391684,3458.38106592469,4004.82346670165,4352.13034672184,3951.07923289065,3755.39484582556,3664.66965029229,3735.63058289224,3492.24412422046,3885.37214497908,3950.68569165085,3854.34680652132,3701.50213126135,3770.76362828851,3925.97529491317,3644.02098044924,3897.9073597438,3797.93146362508,4024.04664185729,3725.46397684083,3666.08019318718,3792.57940750633,4092.83388015477,4238.41880545247,3963.85180186133,3761.83784272723,3662.14154469665,3680.08527004256,3719.28036779027,3726.1798859878,3827.47605251294,3661.36421835204,3590.25029247462,3629.14653143921,3510.65962451061,3484.51299124408,3658.39937860783,3552.69918135406,3564.92082844859,3544.5140409668
,6,3672.68372860072,3586.21658879454,3635.24339354968,3480.02296334539,3482.74951053494,3460.34144827549,3389.65126252098,3803.84610165793,3861.67740665621,3926.9199326322,3618.6000961962,3655.80898422275,3654.47079521985,3464.69588553945,4013.95569692006,4353.03912984128,3953.53188214893,3766.31703722568,3674.99854920248,3737.39155976799,3496.6292307541,3897.1181120125,3959.52460702494,3854.09587235561,3696.96303669306,3777.75352488165,3926.10045012942,3639.72586431257,3906.11566838987,3796.82595745951,4024.85157446004,3728.63275626701,3663.82756806389,3793.85507742376,4095.0473460901,4234.3766800995,3968.91933261312,3759.59093052041,3661.90082869656,3679.14886177204,3736.4516012064,3728.98596618962,3826.17842320499,3664.51028521485,3594.34499611238,3629.63855377076,3520.01648080266,3484.54811626425,3660.95858740423,3553.72115707863,3571.39445824617,3547.02706873309
,7,3679.12667972908,3585.8648124372,3635.97953806501,3482.22387803583,3480.85929355059,3463.88391387381,3395.64421413527,3810.40908949916,3864.11835561533,3928.4199181055,3620.64730684839,3659.10572841512,3658.74513000107,3463.33389829304,4021.11376033044,4349.70168520451,3953.22530500514,3771.01188400121,3684.4544335735,3737.69687170227,3497.26133494517,3906.46326893684,3952.72754725531,3851.00651027004,3701.34064615675,3778.72888771969,3926.91361237223,3643.895525313,3901.17723143333,3800.62366432723,4029.82867798623,3728.06582042548,3669.03200525277,3792.57566468719,4095.63132200143,4234.62850766641,3968.54086993104,3758.95920094078,3663.09746636647,3676.42943037496,3743.21509040034,3730.8449271922,3825.49948718298,3664.91587217342,3590.8620532189,3625.80259770971,3534.84855729312,3487.32494734426,3660.78403286322,3558.27993302625,3574.36019518606,3550.54706547754
,8,3680.82216763588,3585.47449713493,3639.69786248966,3485.51330527209,3484.69314544649,3464.45343729688,3395.51570399055,3812.33880211932,3863.06003648097,3930.82105491954,3623.22908822209,3658.0091282326,3659.89885300674,3463.89429016492,4018.29239199388,4353.26942559886,3955.6847449365,3772.17439370194,3683.30429500631,3735.36948538647,3498.08704025629,3909.06656157068,3957.62200285599,3856.44940844607,3697.65824495192,3779.26736803285,3924.2985864726,3645.49856214171,3903.89476062442,3800.89713997593,4031.19315140598,3728.18374397111,3669.98875399205,3790.98157224863,4103.73956216788,4237.45285185836,3969.0818808835,3763.88378863007,3660.99715443053,3682.68574618418,3741.03938018476,3731.26823493025,3827.89961298793,3665.8700810989,3586.99270774656,3622.87159124898,3535.45003828451,3487.34843787961,3659.42408610415,3558.15040696243,3571.29048574041,3550.09880347722
,9,3683.03785703255,3589.64836550192,3636.95612613252,3486.01323895995,3487.40039797787,3461.80993154183,3393.0643531107,3817.13089706386,3866.32082475406,3929.73521079171,3625.46261083962,3661.11915201568,3660.31845762698,3463.91392790886,4026.57474160316,4351.29068830416,3955.80266358072,3769.81605274407,3682.80011388803,3734.73407928295,3494.70031685998,3911.58292851263,3959.26631015186,3852.85020346755,3696.60523807331,3781.21420473055,3927.26143305663,3645.45019825519,3909.52561558009,3806.85062966871,4033.5612289852,3733.30890803912,3665.96697240078,3789.71521532907,4097.08757442069,4236.11944676574,3974.8320654378,3762.36865171573,3662.11588002046,3676.13920207089,3740.54058108636,3729.84826607105,3829.38085759773,3670.98538007446,3589.59038376512,3626.63973867646,3541.43456287284,3495.45776961773,3665.47745005283,3558.33087770279,3577.97087889616,3551.16471878543
,10,3684.55124370384,3588.13475159465,3637.1797396978,3489.63442628125,3486.32908392233,3463.93620576465,3395.99943411791,3812.6742388985,3868.46210762489,3935.73915751359,3629.89298909416,3662.67673682897,3662.29210839535,3467.18429901872,4026.24632841288,4351.40306625468,3954.92759028335,3772.831119304,3689.87586508673,3735.96710847822,3500.18063449013,3917.56136747118,3957.27252603666,3854.98545303837,3696.50799009962,3782.30158552285,3925.60333861461,3646.16964571011,3904.5936796781,3805.4480797722,4034.37235679239,3733.29644416538,3667.04506944465,3790.52198359337,4100.17444725309,4237.66678849271,3980.31353895307,3765.5772693298,3658.54105845813,3679.7410880399,3744.81367912721,3732.55159407778,3833.05610648257,3668.91374399247,3589.80992450528,3621.98605177256,3550.32711164744,3494.13487098904,3664.03632490247,3559.37413958601,3572.63869223092,3552.65612638351
