"sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene","expression"
1.217728,"34166.75","538.0039","536.861","0.9989859","0.9989014","33.31",30.43,NA,NA,NA,NA,NA,NA,"6528.604","3236.833","16.27515",NA,"-15.34182","3236.833","21572","33.59821","l4","1.251317","0.9905357","7.127863","0","30","1.874754","264.6506","337.8171","17.43661","2.938979e-05","1.495818","0.8116767","0","H_C_1","H","C",1,"CRAF",2.978592203488e-11
1.228813,"38617.27","542.9017","541.7589","0.9990067","0.998924","33.33",30.51,NA,NA,NA,NA,NA,NA,"6838.539","3308.493","12.72759",NA,"-15.71512","3308.493","22901.82","33.59821","l4","1.261423","0.9898222","5.747162","0","30","1.892391","206.393","48.45246","6.603576","2.271248e-05","1.512728","0.8131598","0","N_C_1","N","C",1,"CRAF",2.40034397533697e-11
1.215189,"35917.09","540.0023","538.8594","0.9990295","0.9989486","32.68",29.79,NA,NA,NA,NA,NA,NA,"6569.152","3291.748","19.76822",NA,"-15.0167","3291.748","21645.62","32.97661","l4","1.249363","0.9893304","8.530372","0","29","1.929716","194.9024","41.10926","6.070962","1.939332e-05","1.473271","0.8167246","0","S_C_1","S","C",1,"CRAF",5.13112601151615e-11
1.221789,"34007.81","537.8173","536.6745","0.9989935","0.9989096","33.77",30.9,NA,NA,NA,NA,NA,NA,"6702.104","3283.364","13.7414",NA,"-15.6515","3283.364","22312.76","34.04854","l4","1.25345","0.9904973","6.171928","0","30","1.910002","165.6064","12.44141","3.346231","1.350074e-05","1.464511","0.8110807","0","H_T_1","H","T",1,"CRAF",1.93590080812019e-11
1.221049,"34194.75","538.0366","536.8938","0.999003","0.9989199","33.74",30.85,NA,NA,NA,NA,NA,NA,"6721.804","3282.361","14.18301",NA,"-15.51181","3282.361","22453.95","34.02693","l4","1.252171","0.9898938","6.453124","0","30","1.887129","200.4106","39.69283","5.976918","1.986883e-05","1.469377","0.8257014","0","N_T_1","N","T",1,"CRAF",2.03554816884143e-11
1.212695,"42006.52","546.2667","545.1239","0.9990893","0.9990134","31.99",28.99,NA,NA,NA,NA,NA,NA,"6904.165","3412.609","25.77257",NA,"-14.17709","3412.609","23177.33","32.31457","l4","1.250793","0.9921793","10.37093","0","28","1.958398","220.2013","128.2615","10.70136","2.378522e-05","1.451675","0.8184781","0","S_T_1","S","T",1,"CRAF",1.00166877441926e-10
1.112118,"103.9529","306.201","305.0582","0.9998294","0.9998152","38.91",36.65,NA,NA,NA,NA,NA,NA,"4259.706","3224.035","86.68722",NA,"-22.71383","3224.035","8675.045","39.06601","l4","1.141662","0.9993903","33.38519","0","36","1.794523","236.5118","36.47706","5.7825","9.382944e-07","1.054791","0.3909068","0","NT_C_1","NT","C",1,"CRAF",1.25625784178441e-12
1.234077,"41925.82","546.1898","545.0469","0.9989735","0.9988879","33.66",30.87,NA,NA,NA,NA,NA,NA,"7105.166","3393.819","10.76061",NA,"-16.03518","3393.819","23975.34","33.92702","l4","1.266125","0.9907489","4.81013","0","30","1.894935","254.9902","244.8117","14.84354","1.842326e-05","1.489204","0.8174863","0","H_C_2","H","C",2,"CRAF",1.67240129699784e-11
1.227383,"50194.4","553.3899","552.247","0.998967","0.9988809","33.35",30.45,NA,NA,NA,NA,NA,NA,"7559.121","3596.639","14.75805",NA,"-15.28433","3596.639","25707.96","33.63771","l4","1.261946","0.9904597","6.337746","0","30","1.893001","210.5321","55.62061","7.075207","2.654237e-05","1.507354","0.7886739","0","N_C_2","N","C",2,"CRAF",2.56829717589156e-11
1.226448,"53278.05","555.7747","554.6319","0.9990594","0.998981","31.94",28.96,NA,NA,NA,NA,NA,NA,"7280.219","3424.601","19.71802",NA,"-14.25598","3424.601","25213.25","32.25709","l4","1.265801","0.9922789","7.74482","0","28","1.920663","175.955","26.41273","4.856212","4.474022e-05","1.478555","0.8319388","0","S_C_2","S","C",2,"CRAF",8.5731489088301e-11
1.228156,"45678.79","549.6191","548.4762","0.9990163","0.9989344","32.78",29.85,NA,NA,NA,NA,NA,NA,"7011.687","3313.323","15.19172",NA,"-14.90209","3313.323","24063.6","33.07394","l4","1.263109","0.9898748","6.45688","0","29","1.914465","176.8819","22.08365","4.449622","2.645449e-05","1.489408","0.8291827","0","H_T_2","H","T",2,"CRAF",4.10983156761608e-11
1.239902,"50713.02","553.801","552.6582","0.9989251","0.9988355","34.04",31.19,NA,NA,NA,NA,NA,NA,"7648.881","3506.924","9.350784",NA,"-15.8881","3506.924","26479.23","34.30901","l4","1.272703","0.9916523","4.110835","0","31","1.874989","242.8421","126.4006","10.68496","2.293959e-05","1.464323","0.7330324","0","N_T_2","N","T",2,"CRAF",1.19222148255427e-11
1.215471,"49005.98","552.4314","551.2886","0.9991145","0.9990407","31.12",28.09,NA,NA,NA,NA,NA,NA,"7061.341","3441.978","29.40429",NA,"-13.66694","3441.978","24078.68","31.45868","l4","1.25577","0.991764","11.57936","0","28","1.886117","236.7949","231.9906","14.39217","0.0001154902","1.512507","0.8612907","0","S_T_2","S","T",2,"CRAF",1.97632382044501e-10
1.123345,"179.4758","328.0451","326.9023","0.9997647","0.9997451","38.95",36.7,NA,NA,NA,NA,NA,NA,"4441.533","3270.445","62.18778",NA,"-22.87244","3270.445","9430.193","39.10062","l4","1.15331","0.9993993","23.83517","0","36","1.793735","271.0286","95.1528","9.339347","1.041305e-06","1.003567","0.5510783","0","NT_C_2","NT","C",2,"CRAF",9.9619717762795e-13
1.251545,"49355.07","552.7153","551.5725","0.9988333","0.9987361","34.77",32.09,NA,NA,NA,NA,NA,NA,"7772.262","3577.729","5.800789",NA,"-17.24126","3577.729","26542.15","35.00379","l4","1.280012","0.9913171","2.798966","0","32","1.870566","289.7733","430.9438","19.76216","1.402041e-05","1.483528","0.736982","0","H_C_3","H","C",3,"CRAF",4.88535965012743e-12
1.250686,"73251.75","568.5098","567.367","0.9988611","0.9987662","34.08",31.31,NA,NA,NA,NA,NA,NA,"8801.414","3952.321","7.995456",NA,"-16.31979","3952.321","30699.27","34.34018","l4","1.283804","0.9913471","3.507308","0","31","1.887769","239.2149","112.4435","10.07779","2.013936e-05","1.465827","0.6483514","0","N_C_3","N","C",3,"CRAF",9.31151149639977e-12
1.238473,"52248.65","554.9943","553.8514","0.9989813","0.9988964","33.44",30.58,NA,NA,NA,NA,NA,NA,"7586.628","3491.9","10.95424",NA,"-15.53227","3491.9","26297.57","33.72262","l4","1.27183","0.9910933","4.866422","0","30","1.892681","206.5827","48.75985","6.62449","2.533357e-05","1.522802","0.8644127","0","S_C_3","S","C",3,"CRAF",1.98825512034852e-11
1.230592,"48460.55","551.9837","550.8409","0.9989403","0.998852","33.27",30.4,NA,NA,NA,NA,NA,NA,"7250.07","3432.428","13.20918",NA,"-15.3915","3432.428","24698.51","33.55459","l4","1.266247","0.9917126","5.529624","0","30","1.897499","232.4647","115.5425","10.19746","2.438443e-05","1.523913","0.8468591","0","H_T_3","H","T",3,"CRAF",2.55874929306142e-11
1.229975,"54194.47","556.4569","555.314","0.9991098","0.9990357","31.49",28.5,NA,NA,NA,NA,NA,NA,"7245.679","3359.602","19.86266",NA,"-14.02027","3359.602","25362.37","31.80758","l4","1.268942","0.9914256","8.103497","0","28","1.899394","192.1555","47.1076","6.485396","8.038167e-05","1.524194","0.8734732","0","N_T_3","N","T",3,"CRAF",1.18426846222645e-10
1.228699,"44636.42","548.6957","547.5529","0.9989656","0.9988794","33.5",30.62,NA,NA,NA,NA,NA,NA,"7208.651","3424.757","13.15318",NA,"-15.44053","3424.757","24483.56","33.78438","l4","1.261523","0.9906701","5.896109","0","30","1.918504","224.5859","88.85577","8.942606","1.556724e-05","1.502251","0.8579948","0","S_T_3","S","T",3,"CRAF",2.20123076803826e-11
1.13506,"613.4834","377.2096","376.0668","0.9995319","0.9994929","38.75",36.27,NA,NA,NA,NA,NA,NA,"4716.718","3273.475","47.6547",NA,"-20.69332","3273.475","10958.87","38.92977","l4","1.155722","0.9992508","25.14945","0","36","1.773537","244.31","45.29974","6.443971","2.497669e-06","1.078776","0.3425804","0","NT_C_3","NT","C",3,"CRAF",1.127966616935e-12
1.24262,"49812.88","553.0847","551.9418","0.9989176","0.9988274","33.95",31.14,NA,NA,NA,NA,NA,NA,"7490.816","3427.005","8.646369",NA,"-16.0129","3427.005","25880.67","34.21869","l4","1.275691","0.991953","3.778172","0","31","1.856532","287.0147","525.5162","21.78669","3.083812e-05","1.472738","0.7429725","0","H_C_4","H","C",4,"CRAF",1.19527485776536e-11
1.236887,"50067.74","553.2888","552.1459","0.9989931","0.9989092","33.4",30.62,NA,NA,NA,NA,NA,NA,"7621.335","3610.674","11.34706",NA,"-15.94927","3610.674","25828.95","33.6667","l4","1.26812","0.9894853","5.3177","0","30","1.90146","194.9248","33.05951","5.454683","2.089967e-05","1.521141","0.8527819","0","N_C_4","N","C",4,"CRAF",1.96743016181472e-11
1.239867,"62572.03","562.2065","561.0636","0.9989929","0.998909","32.53",29.6,NA,NA,NA,NA,NA,NA,"7655.995","3445.414","13.18569",NA,"-14.75545","3445.414","27047.17","32.82782","l4","1.277137","0.9914754","5.46681","0","29","1.89578","195.6262","42.1482","6.147198","4.588445e-05","1.533463","0.8901284","0","S_C_4","S","C",4,"CRAF",4.29953959247998e-11
1.223039,"45953.17","549.8586","548.7158","0.9989963","0.9989126","32.64",29.71,NA,NA,NA,NA,NA,NA,"7018.972","3382.32","17.71838",NA,"-14.81829","3382.32","23795.9","32.93919","l4","1.257125","0.98935","7.679603","0","29","1.929561","216.4918","86.54768","8.808772","2.275843e-05","1.493893","0.8629085","0","H_T_4","H","T",4,"CRAF",4.92268672670748e-11
1.247726,"37392.2","541.6122","540.4694","0.9988261","0.9987283","35.5",32.87,NA,NA,NA,NA,NA,NA,"7497.794","3542.78","5.193961",NA,"-17.91772","3542.78","25064.07","35.72226","l4","1.270631","0.9910621","2.839321","0","32","1.928251","206.6687","32.10333","5.393853","3.281724e-06","1.491542","0.8424391","0","N_T_4","N","T",4,"CRAF",2.7428082959018e-12
1.250199,"65815.57","564.228","563.0851","0.9989653","0.9988791","33.53",30.68,NA,NA,NA,NA,NA,NA,"8217.621","3621.321","8.698103",NA,"-15.64605","3621.321","29156.03","33.80219","l4","1.2835","0.9907921","3.889519","0","30","1.913857","208.9602","52.78125","6.892251","1.939145e-05","1.535691","0.8645597","0","S_T_4","S","T",4,"CRAF",1.56265083731514e-11
1.125268,"102.6971","305.7149","304.572","0.99988","0.99987","38.9",36.67,NA,NA,NA,NA,NA,NA,"4608.251","3388.922","60.81016",NA,"-23.14824","3388.922","9810.706","39.04187","l4","1.155884","0.9992407","22.87981","0","36","1.797279","225.8307","27.11227","4.985269","1.024505e-06","1.007907","0.5188897","0","NT_C_4","NT","C",4,"CRAF",9.85688083536214e-13
1.241587,"45518.28","549.4783","548.3354","0.9989714","0.9988857","33.51",30.74,NA,NA,NA,NA,NA,NA,"7158.511","3339.088","9.246325",NA,"-16.05761","3339.088","24463.38","33.77282","l4","1.272428","0.9901904","4.26685","0","30","1.884672","276.7442","505.5381","21.33036","2.394467e-05","1.514815","0.8554837","0","H_C_5","H","C",5,"CRAF",1.67463775529987e-11
1.226182,"50171.95","553.372","552.2291","0.9989657","0.9988795","33.35",30.44,NA,NA,NA,NA,NA,NA,"7574.071","3609.872","15.26572",NA,"-15.22928","3609.872","25719.89","33.63744","l4","1.260925","0.9906791","6.519184","0","30","1.878492","211.5048","57.45364","7.190847","3.331087e-05","1.507835","0.8059182","0","N_C_5","N","C",5,"CRAF",2.6318025266638e-11
1.232078,"53297.45","555.7893","554.6464","0.9989401","0.9988517","32.92",30,NA,NA,NA,NA,NA,NA,"7286.921","3397.42","13.91237",NA,"-15.01794","3397.42","25186.48","33.20971","l4","1.269408","0.9913749","5.588872","0","30","1.865172","241.8959","158.2242","11.93322","5.134672e-05","1.481559","0.7882543","0","S_C_5","S","C",5,"CRAF",3.45715611350177e-11
1.208748,"49287.44","552.6605","551.5176","0.9990261","0.9989449","31.45",28.38,NA,NA,NA,NA,NA,NA,"7009.282","3469.842","32.2835",NA,"-13.62754","3469.842","23631.34","31.79113","l4","1.2489","0.991959","12.6761","0","28","1.90793","231.2935","190.6082","13.04553","7.016261e-05","1.495364","0.8705236","0","H_T_5","H","T",5,"CRAF",1.71053402063058e-10
