Cycles,CARM_HC_1,CARM_NC_1,CARM_SC_1,CARM_HT_1,CARM_NT_1,CARM_ST_1,CARM_NTC_1,CARM_HC_2,CARM_NC_2,CARM_SC_2,CARM_HT_2,CARM_NT_2,CARM_ST_2,CARM_NTC_2,CARM_HC_3,CARM_NC_3,CARM_SC_3,CARM_HT_3,CARM_NT_3,CARM_ST_3,CARM_NTC_3,CARM_HC_4,CARM_NC_4,CARM_SC_4,CARM_HT_4,CARM_NT_4,CARM_ST_4,CARM_NTC_4,CARM_HC_5,CARM_NC_5,CARM_SC_5,CARM_HT_5,CARM_NT_5,CARM_ST_5,CARM_HC_6,CARM_NC_6,CARM_SC_6,CARM_HT_6,CARM_NT_6,CARM_ST_6,CARM_HC_7,CARM_NC_7,CARM_SC_7,CARM_HT_7,CARM_NT_7,CARM_ST_7,CARM_HC_8,CARM_NC_8,CARM_SC_8,CARM_HT_8,CARM_NT_8,CARM_ST_8
1,3375.2904,3220.228538,3219.519964,3223.137845,3061.40366,3053.554372,3050.781161,3408.01454,3520.208172,3383.462945,3292.150985,3220.71892,3099.360985,3132.34632,3313.803292,3751.371845,3384.411701,3256.47649,3251.295349,3116.249477,3028.482341,3357.30704,3482.501047,3417.365028,3298.228838,3451.48628,3408.681089,3183.856464,3278.984461,3292.234059,3288.565112,3275.626798,3145.272662,3237.826581,3364.083449,3568.256566,3253.797347,3332.652334,3182.3753,3177.559442,3282.841546,3298.927394,3282.580351,3191.98796,3130.970221,3035.800199,3265.212472,3131.470621,3168.958576,3106.585751,3095.170626,3031.577831
2,3417.167849,3231.34142,3224.440888,3225.973118,3065.250728,3060.132625,3055.774163,3435.109183,3516.944579,3383.181714,3292.640389,3223.37705,3101.290505,3132.533482,3338.740205,3748.70272,3383.306814,3256.778733,3257.550345,3119.35694,3032.630675,3381.201128,3487.661175,3420.534552,3302.94061,3452.841367,3411.225113,3184.669125,3303.294897,3298.770286,3294.767088,3275.679819,3158.398138,3237.878625,3383.59904,3567.547992,3255.997103,3335.352489,3189.77721,3176.985985,3311.812688,3301.210224,3281.131195,3195.437738,3132.783681,3035.654086,3279.766091,3147.795674,3192.748578,3123.140968,3104.709252,3031.421701
3,3436.046324,3236.261758,3226.837239,3234.187103,3075.27918,3065.302217,3061.612259,3456.949005,3523.564221,3383.567398,3300.343946,3226.01456,3105.33419,3135.639401,3357.014208,3752.017679,3387.080213,3258.040139,3255.402045,3119.449468,3032.912334,3401.122434,3490.152526,3424.641218,3307.81891,3448.973641,3412.30837,3186.336874,3316.283679,3295.006675,3293.755676,3278.201261,3158.251455,3241.317799,3405.198688,3571.592571,3256.716083,3336.331673,3191.298845,3179.383323,3322.966995,3299.823511,3280.390998,3193.477587,3131.104773,3037.666131,3299.427198,3157.63695,3206.206748,3124.703664,3106.178859,3030.587479
4,3450.057514,3245.425083,3230.413093,3238.128239,3082.618049,3067.262768,3062.946332,3467.748646,3529.642073,3390.14565,3300.000654,3226.837239,3110.619417,3144.542507,3367.720757,3754.852952,3388.435299,3260.510129,3255.642228,3122.597979,3035.434368,3405.292757,3493.998615,3428.228067,3307.422597,3452.080126,3417.302349,3191.612084,3326.177567,3304.618356,3298.11316,3282.434622,3160.816492,3244.851627,3414.477095,3571.831775,3258.560574,3341.950174,3195.458173,3175.901538,3330.253821,3300.896389,3283.257301,3194.343269,3128.498688,3033.746008,3317.493629,3169.00003,3212.086444,3128.258506,3110.807556,3034.39252
5,3457.949804,3251.034544,3231.8212,3239.4413,3085.881642,3072.120651,3067.908303,3472.908773,3535.813995,3392.053179,3309.716422,3226.409896,3110.651425,3145.772494,3372.964935,3756.354151,3389.92648,3262.563771,3258.675656,3120.284119,3036.904537,3420.023517,3492.997816,3431.261496,3311.300695,3454.478037,3416.530737,3194.728586,3330.952377,3300.761271,3296.2997,3286.938219,3160.962604,3250.064775,3419.960478,3572.322157,3262.063372,3344.327073,3194.447356,3178.58068,3355.252791,3299.979641,3282.684822,3196.010616,3131.45906,3033.287634,3332.880919,3175.453182,3218.455545,3123.817947,3108.055358,3032.505027
6,3466.446229,3259.927244,3233.968518,3246.666651,3092.376401,3071.29755,3073.684467,3482.438009,3538.347663,3391.740553,3310.968019,3226.983935,3111.714848,3149.537055,3376.280205,3755.698299,3393.22074,3265.785929,3261.720669,3130.26067,3041.054396,3422.536151,3492.571103,3434.524732,3314.480835,3454.290522,3421.556364,3193.739359,3340.397535,3309.74805,3299.645986,3284.759093,3164.747204,3249.784132,3430.240304,3571.436108,3261.2513,3343.515016,3198.930518,3183.699356,3355.420523,3300.730837,3286.521488,3196.657706,3131.376551,3042.690713,3336.978788,3179.582053,3218.133847,3130.094521,3113.185017,3041.940113
7,3472.721612,3259.874612,3236.553984,3245.925483,3090.208096,3073.631868,3073.194507,3484.898329,3546.207306,3395.910263,3314.125949,3229.673489,3111.558155,3151.684198,3383.327216,3758.303706,3396.76495,3265.514126,3261.302754,3128.873987,3041.492185,3427.612586,3497.626513,3436.765892,3318.515442,3458.115952,3421.962077,3196.36588,3351.927137,3308.996853,3301.762071,3289.53331,3170.06289,3248.375437,3436.879997,3570.028333,3265.639226,3347.42354,3201.504995,3181.85429,3359.787419,3306.557893,3285.541107,3197.043424,3133.356571,3038.739987,3339.302063,3189.985785,3218.008166,3132.637003,3113.455667,3040.85569
8,3474.305885,3269.507305,3241.974329,3246.906246,3098.443677,3075.987754,3076.395061,3485.784046,3545.091424,3398.214105,3319.349115,3233.322399,3114.63361,3154.800701,3387.59063,3761.358147,3396.347625,3271.164635,3263.012127,3130.333161,3041.450159,3433.565338,3499.148724,3440.528908,3318.369329,3455.885167,3425.454856,3196.793224,3354.387109,3309.799496,3307.099341,3287.970049,3170.397142,3253.17126,3441.67582,3570.915028,3267.515724,3350.446951,3203.173319,3187.94216,3362.21636,3303.148187,3284.206057,3199.378296,3134.20124,3041.929546,3346.485779,3192.039427,3220.541195,3132.887202,3115.998714,3039.646717
9,3478.800093,3271.4985,3240.974115,3250.221493,3100.414805,3076.197461,3078.282134,3489.391562,3548.740976,3395.566608,3320.558689,3234.55297,3112.444435,3156.17737,3388.425894,3760.34801,3397.860433,3272.541325,3262.210074,3127.686592,3046.537781,3436.599388,3498.04447,3441.426242,3317.494229,3455.583548,3425.934862,3198.680318,3359.110482,3311.385345,3309.904181,3293.746253,3173.691361,3258.593171,3443.198654,3575.61645,3266.015116,3350.634717,3204.26779,3185.107464,3362.091868,3304.056492,3288.762291,3205.748953,3136.505649,3046.318611,3355.138315,3196.730763,3220.582825,3138.340122,3115.916203,3042.045178
10,3483.793095,3273.823355,3244.164652,3251.555566,3101.68584,3078.719495,3078.85559,3491.86253,3553.348661,3402.999548,3323.749226,3238.525137,3119.773288,3158.126925,3392.356035,3764.476308,3394.138465,3275.699854,3263.81536,3133.263068,3046.600819,3438.184638,3504.132341,3444.439635,3324.98923,3455.041122,3425.861806,3200.70293,3360.038225,3315.86793,3309.424794,3293.735258,3175.588873,3258.123802,3450.964868,3574.074202,3270.195457,3350.228387,3205.894089,3185.263594,3365.105262,3306.891765,3288.502074,3206.915901,3135.494832,3046.735937,3357.370078,3200.45273,3224.450905,3139.299873,3121.764869,3042.618634
