,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3200.10985086121,3332.92102847867,3335.51785842905,3315.20925133816,3310.80251543789,3483.1420401246,3208.45416039044,3368.32371854901,3639.92412097576,3480.67285368204,3357.16251807874,3547.53289249231,3507.06999494375,3240.12420684654,3538.02459956616,3999.14578739917,3530.54034027875,3488.37503957695,3414.34582368939,3484.01180199429,3256.84122844025,3391.6793285369,3651.77546306969,3498.86791516787,3441.76865980175,3579.93107737631,3679.55449942783,3373.02204410631,3307.35076999612,3643.80374319008,3449.6394987451,3548.09482522246,3518.55073682071,3570.44776006158,3532.16541547051,3906.19035700418,3376.95237693137,3459.10731006746,3614.95707330611,3468.64496953016,3246.94736182195,3510.60500813416,3398.97968728157,3448.0410988196,3419.83205872927,3398.62282079546,3140.95801647302,3244.96456025181,3277.42426982938,3290.44260033452,3365.68732095285,3318.68771532983
,2,3239.04844874005,3341.29915267706,3336.09928259719,3320.9596816045,3309.66635820079,3477.81266412693,3208.15797847004,3402.05248551788,3638.94926577176,3479.4793917898,3362.74490505426,3551.50347232836,3513.23844043342,3243.76775354011,3571.26997868624,4001.32042302865,3532.00307197129,3482.73218058057,3420.29538347263,3480.58290242781,3260.92776904188,3414.58470095465,3651.64767263964,3497.87537473672,3440.75143590224,3578.05497949756,3679.27792840192,3376.78487270229,3329.08924330041,3650.40346033755,3447.97626447939,3537.56581987105,3519.89421827664,3569.60245634253,3550.55308112477,3905.1440413845,3378.00645945523,3459.899496705,3618.06438132797,3466.15361207137,3264.24524062435,3513.76209312607,3401.45535479562,3449.31483648936,3417.98691412996,3400.16614979083,3149.41840318681,3254.62068352374,3296.75162971815,3306.2298756825,3365.96863530522,3314.68354351603
,3,3259.87739802623,3339.87354763421,3338.74448220122,3319.24745394347,3310.12831195005,3480.96924587908,3210.67427928098,3421.93935415355,3639.98012159274,3481.31544451403,3364.97645267398,3554.67043381987,3512.98188933854,3251.14167271991,3590.05717770797,4001.35588230777,3532.43229683107,3484.96295712306,3418.75647095125,3481.56771596886,3263.92059240417,3436.6877555899,3651.32123009134,3505.22909797717,3438.76668264936,3574.0750371476,3674.57336597448,3375.85167805151,3336.50180224215,3646.07933999084,3450.30611142693,3541.6831203384,3523.29331850021,3568.79045189201,3568.27570937741,3904.09924200605,3376.28975861886,3461.03019492347,3616.87296458365,3462.07668664345,3280.02373879664,3512.89245825815,3404.25341341983,3446.95980282763,3418.58146174793,3400.55277746129,3160.18930055505,3265.48770410607,3307.26342371797,3307.31778795121,3368.06410535642,3320.148607021
,4,3266.82840139893,3346.41397432991,3339.74887878894,3320.63182453234,3312.87209753218,3478.96299487574,3212.89183795232,3426.62384952046,3643.43994407789,3482.46968366533,3360.75324176539,3552.90606550847,3510.0201943559,3255.03258613244,3603.01008275424,4003.66030633777,3531.89647341057,3483.52737459766,3421.68412503163,3479.09542001709,3265.70823464399,3445.26462543347,3650.26058237859,3499.48352023943,3441.93385262588,3579.56201134353,3674.89282223355,3379.01278924923,3356.16108774756,3643.96720277531,3450.28297939343,3540.07030008708,3524.26303432205,3569.03996021917,3584.3450700768,3906.33480972293,3375.93720701957,3462.63034395566,3614.98459255003,3464.2163090469,3290.93044978357,3515.0959801496,3407.42855964115,3449.92710880628,3415.20856842494,3398.00687100888,3167.75837522773,3278.36874955472,3312.98434602056,3309.13453248888,3368.79687853262,3314.08761232778
,5,3268.53306523497,3346.25132591477,3339.38605745926,3316.93787021243,3309.64633882596,3473.47023811455,3212.93830998372,3426.5451303863,3645.37470654315,3484.51901914881,3365.80978760685,3550.74579896088,3512.75269176274,3257.04606388208,3613.19739103019,4003.46270949801,3536.68034559747,3486.19261000378,3421.06576378272,3476.66312635006,3267.29012613362,3459.13546773572,3652.93359553022,3498.47300786336,3437.75788159517,3573.98909669509,3680.27128036844,3382.93135495165,3365.05097463414,3649.74190147187,3450.18114849065,3536.92858506759,3523.59528139372,3571.45524537542,3597.58961532998,3909.90780453353,3375.59286388898,3461.49758517003,3610.86102442809,3465.45848904394,3299.64913722023,3511.4344097289,3401.34041660322,3442.13974430665,3413.2441303054,3396.24376283076,3171.49774656357,3282.06447613613,3306.68741718627,3315.12798394522,3369.57152102298,3314.90787510385
,6,3273.87965314366,3345.85183742688,3339.64783081473,3322.55566674638,3318.41891702193,3475.29023054579,3221.18378114159,3437.58958524981,3645.49922439094,3483.13559956703,3364.5353502111,3556.31648718321,3508.12264463047,3263.01311478644,3614.48576525227,4005.82301781416,3537.94235348713,3484.06727961735,3416.14487035991,3477.71647691661,3268.22668196109,3469.25427574379,3654.93798006772,3501.73319462477,3439.32615918824,3578.03649309435,3681.7148591468,3380.9847470321,3371.33767352709,3656.10325754452,3453.17719803181,3536.85996639941,3519.61870639916,3570.22563779033,3604.97214359386,3911.9321219395,3377.00328783949,3460.73951669953,3611.87880917083,3463.47974640985,3302.01996967677,3514.72390767662,3406.59168177241,3441.37201640891,3413.57769090632,3396.99427466631,3181.84146192653,3292.5238573032,3311.4836428773,3313.8854136121,3365.85720247873,3317.04376550265
,7,3279.28588086362,3347.16332082531,3342.97150801028,3325.21410473429,3322.45360693735,3472.52526375287,3215.57300215698,3434.64079518853,3646.754654775,3480.25853875281,3367.02721959372,3551.61709273122,3510.45872359041,3262.34174126429,3620.03667564946,4003.80265713639,3538.63483258648,3485.37844736632,3419.02877428272,3475.24688174531,3270.60687113576,3473.52871640596,3655.87792162853,3502.8915456121,3438.30547534296,3577.53128315602,3678.04666876014,3384.45911455462,3379.60569922502,3654.08317082264,3452.97967355666,3536.90907231221,3523.52086346243,3569.34409299612,3609.3323713488,3910.43472387278,3372.2898337115,3462.48688713586,3612.15560847566,3464.4910838451,3303.77196335343,3514.60367957635,3406.65129043558,3441.97280703702,3411.98600567693,3394.22656781234,3199.30861769435,3292.19101790544,3310.42093067589,3315.9023713836,3371.92648330321,3314.89416918899
,8,3281.87487044495,3349.32333232092,3339.13949559603,3318.85554222599,3317.39661010843,3472.13092454957,3223.51988636336,3437.17462953353,3643.94019976869,3485.79696644014,3361.40233254226,3551.45893024783,3506.65931846157,3264.32273191559,3621.5161372458,4011.36431813371,3541.29155561516,3481.52983877143,3422.26072705159,3474.32922221601,3273.01400908878,3475.69817277793,3655.11899731012,3501.57807680337,3437.93018706626,3579.18753808671,3681.65717146076,3384.26831967784,3380.46547053036,3653.46441421827,3447.58145109892,3532.18579040169,3521.1284079833,3569.84285081732,3616.75506765059,3911.6887084263,3374.50090401738,3459.47293008162,3613.62689156825,3462.72356434188,3313.785273495,3517.67004068113,3409.2878885935,3443.15891321343,3413.57711521815,3393.97612905947,3209.90632457606,3293.15974052854,3312.10018839474,3321.8148769723,3373.37273707065,3320.02494360659
,9,3279.85862361022,3352.71327125198,3340.83468427199,3325.04650988679,3321.16755922025,3469.79526879156,3223.81982307049,3440.95974937965,3646.65204562115,3481.90475710066,3364.85310562024,3552.82159500521,3505.65549185239,3267.93190210604,3620.3139657167,4007.08300480164,3540.23091973035,3483.30263708601,3420.02437350028,3475.68811275288,3272.03784882048,3477.44340487703,3653.24824288154,3504.25816972555,3435.87321998398,3577.62652133439,3679.88554942446,3383.68065124651,3384.34894542491,3661.48042613712,3452.01089649519,3530.34509115129,3521.77597952769,3569.63633322265,3624.56314046458,3908.98024154934,3375.90907610045,3464.13830671853,3612.48565068894,3460.83810070907,3315.31733522,3516.71346123573,3408.51983081081,3439.04513728867,3412.6667378776,3394.66548945094,3221.01717357352,3300.1778065147,3311.9894056499,3320.61268690654,3376.25218712204,3315.44885517446
,10,3284.31030837379,3349.86418676989,3338.90333937595,3321.67836243815,3319.94360745447,3466.91494713818,3219.05403304609,3441.66479736083,3646.51689845538,3486.34170357833,3363.32268401691,3553.99795981845,3504.99201127953,3266.66326101062,3625.10566411986,4004.8186519626,3537.9193437987,3480.38869202639,3417.98158139585,3475.201578779,3275.81689599052,3483.39803403181,3658.00402830297,3506.15059468859,3435.80251684844,3577.86572238771,3676.41290823318,3387.73225024808,3389.05734854558,3655.2285038121,3448.6995493421,3534.15560265105,3523.45904309392,3568.34520673835,3626.63616864368,3911.38639266744,3379.05757094226,3461.39858842236,3613.23563531353,3457.91834645084,3318.75388847601,3514.62482390682,3411.08643405242,3439.25571245282,3413.70966469489,3393.8059910862,3217.27218600365,3298.9540348614,3315.94760786651,3320.43136968339,3371.2224190211,3319.84210334157
