,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,exp.eff,LRE.eff,exp.point,exp.AIC,exp.resVar,exp.RMSE,exp.init,Names
H_C_1,1.320633,344.2141,354.0941,352.9512,0.534772,0.496003,19.29,17.41,NA,NA,NA,NA,NA,NA,15.01276,7.801199,0.1184796,NA,-13.63402,7.801199,48.79993,19.49816,l4,NA,NA,NA,NA,NA,NA,NA,NA,H_C_1
N_C_1,1.35109,454.5278,365.2139,364.071,0.5478273,0.5101462,19.18,17.5,NA,NA,NA,NA,NA,NA,17.91203,9.351778,0.0925056,NA,-15.23382,9.351778,57.30972,19.34455,l4,NA,NA,NA,NA,NA,NA,NA,NA,N_C_1
S_C_1,1.307779,456.1514,365.3565,364.2137,0.5097471,0.4688927,19.13,17.29,NA,NA,NA,NA,NA,NA,17.18973,9.284624,0.1661077,NA,-13.77777,9.284624,54.14273,19.33772,l4,NA,1.00002,NA,17,119.1787,49.21534,6.366339,4060.519,S_C_1
H_T_1,1.282525,547.2676,372.641,371.4982,0.4870672,0.4443228,20.4,18.4,NA,NA,NA,NA,NA,NA,18.09666,9.842166,0.1858617,NA,-13.55465,9.842166,56.88401,20.62504,l4,NA,NA,NA,NA,NA,NA,NA,NA,H_T_1
N_T_1,1.296675,587.8317,375.5011,374.3583,0.4857501,0.4428959,19.67,17.88,NA,NA,NA,NA,NA,NA,19.4956,10.91179,0.1872909,NA,-14.59,10.91179,59.19781,19.85893,l4,NA,NA,NA,NA,NA,NA,NA,NA,N_T_1
S_T_1,1.36419,486.2905,367.9158,366.7729,0.5363115,0.4976707,21.59,19.88,NA,NA,NA,NA,NA,NA,17.41994,8.64202,0.03628545,NA,-16.77811,8.64202,56.90348,21.74391,l4,NA,NA,NA,NA,NA,NA,NA,NA,S_T_1
NT_C_1,1.195624,239.2229,339.5394,338.3965,0.4645728,0.4199539,25.11,23.03,NA,NA,NA,NA,NA,NA,15.47642,9.967048,0.2527342,NA,-16.03748,9.967048,40.48018,25.3078,l4,NA,NA,NA,NA,NA,NA,NA,NA,NT_C_1
H_C_2,1.357566,510.8773,369.8887,368.7458,0.5457286,0.5078726,19.4,17.7,NA,NA,NA,NA,NA,NA,18.52727,9.469668,0.08278274,NA,-15.21533,9.469668,60.08393,19.564,l4,NA,NA,NA,NA,NA,NA,NA,NA,H_C_2
N_C_2,1.341949,547.1885,372.6352,371.4924,0.5434802,0.5054368,17.78,16.09,NA,NA,NA,NA,NA,NA,19.89199,10.59761,0.1751487,NA,-14.00306,10.59761,63.37203,17.96419,l4,NA,NA,NA,NA,NA,NA,NA,NA,N_C_2
S_C_2,1.253181,540.7987,372.1654,371.0225,0.5230713,0.4833272,18.45,16.75,NA,NA,NA,NA,NA,NA,23.79984,14.89698,0.5430512,NA,-14.41152,14.89698,64.98241,18.62821,l4,NA,NA,NA,NA,NA,NA,NA,NA,S_C_2
H_T_2,1.282197,526.73,371.111,369.9682,0.5251583,0.4855881,19.33,17.61,NA,NA,NA,NA,NA,NA,21.40248,12.57034,0.2687693,NA,-14.91586,12.57034,61.96003,19.50482,l4,NA,NA,NA,NA,NA,NA,NA,NA,H_T_2
N_T_2,1.258221,506.7199,369.5619,368.419,0.509868,0.4690237,20.76,18.73,NA,NA,NA,NA,NA,NA,19.33804,11.03517,0.2617985,NA,-13.6094,11.03517,58.44439,20.98893,l4,NA,NA,NA,NA,NA,NA,NA,NA,N_T_2
S_T_2,1.30449,503.1305,369.2775,368.1346,0.528214,0.4888985,19.22,17.43,NA,NA,NA,NA,NA,NA,19.31021,10.69964,0.1877811,NA,-14.34753,10.69964,59.42132,19.40315,l4,NA,NA,NA,NA,NA,NA,NA,NA,S_T_2
NT_C_2,1.170985,199.5692,332.29,331.1471,0.5159481,0.4756105,23.58,21.07,NA,NA,NA,NA,NA,NA,15.05446,9.683603,0.5411099,NA,-12.51222,9.683603,40.7884,23.88077,l4,NA,1.000187,NA,21,138.5545,34.23177,5.416781,899.7583,NT_C_2
H_C_3,1.30874,501.2121,369.1247,367.9818,0.5422895,0.5041469,19.1,17.51,NA,NA,NA,NA,NA,NA,21.26773,12.29065,0.191257,NA,-15.89554,12.29065,61.95073,19.25631,l4,NA,NA,NA,NA,NA,NA,NA,NA,H_C_3
N_C_3,1.331543,505.3148,369.4508,368.3079,0.5241456,0.4844911,18.78,16.9,NA,NA,NA,NA,NA,NA,17.36516,8.849554,0.137429,NA,-13.2926,8.849554,57.6244,18.99505,l4,NA,NA,NA,NA,NA,NA,NA,NA,N_C_3
S_C_3,1.286032,553.9735,373.1282,371.9853,0.5188737,0.4787799,17.4,15.6,NA,NA,NA,NA,NA,NA,20.96013,12.09711,0.4140614,NA,-12.85257,12.09711,63.08868,17.61159,l4,NA,NA,NA,NA,NA,NA,NA,NA,S_C_3
H_T_3,1.270711,554.4777,373.1646,372.0217,0.5197222,0.479699,19.6,17.7,NA,NA,NA,NA,NA,NA,20.90665,12.03457,0.3010627,NA,-13.73831,12.03457,62.47947,19.8061,l4,NA,NA,NA,NA,NA,NA,NA,NA,H_T_3
N_T_3,1.227245,402.2852,360.33,359.1871,0.5524359,0.5151389,17.73,15.77,NA,NA,NA,NA,NA,NA,21.51766,13.53189,0.8518225,NA,-12.04531,13.53189,60.17707,17.97609,l4,NA,NA,NA,NA,NA,NA,NA,NA,N_T_3
S_T_3,1.262465,486.555,367.9375,366.7947,0.5211051,0.4811972,21.03,19.07,NA,NA,NA,NA,NA,NA,19.63884,11.27007,0.2306019,NA,-14.27294,11.27007,58.62137,21.24062,l4,NA,NA,NA,NA,NA,NA,NA,NA,S_T_3
NT_C_3,1.131806,215.6468,335.3892,334.2463,0.4622833,0.4174736,23.05,20.37,NA,NA,NA,NA,NA,NA,16.6801,11.74675,1.339262,NA,-11.47283,11.74675,40.93036,23.40294,l4,NA,1.000068,NA,20,144.9671,64.90967,7.427868,2075.191,NT_C_3
H_C_4,1.297361,457.1874,365.4473,364.3044,0.5560412,0.5190447,19.08,17.2,NA,NA,NA,NA,NA,NA,19.10954,10.47887,0.2170728,NA,-13.52905,10.47887,59.84656,19.29048,l4,NA,NA,NA,NA,NA,NA,NA,NA,H_C_4
N_C_4,1.375953,539.4316,372.0642,370.9213,0.5383772,0.4999086,18.01,16.24,NA,NA,NA,NA,NA,NA,17.61855,8.500244,0.0988658,NA,-13.48749,8.500244,60.44403,18.21354,l4,NA,NA,NA,NA,NA,NA,NA,NA,N_C_4
S_C_4,1.362278,579.0058,374.896,373.7532,0.5556705,0.518643,18.6,16.94,NA,NA,NA,NA,NA,NA,20.26491,10.44118,0.107717,NA,-14.91747,10.44118,65.60997,18.76904,l4,NA,NA,NA,NA,NA,NA,NA,NA,S_C_4
