Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\6222015\CARMrawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 1, SBGnew, 60.0, 0.0652,0.0720,0.0880,0.0798,0.0833,0.0636,0.0706,0.0821,0.1244,0.1315,0.1289,0.1178,0.1200,0.1050,0.1296,0.1341,0.2037,0.1652,0.1244,0.0998,0.1022,0.1329,0.1623,0.2136,0.1693,0.1898,0.1131,0.0822,0.1529,0.1462,0.1703,0.1932,0.1743,0.1267,0.1258,0.1559,0.2071,0.1856,0.1474,0.1369,0.0895,0.1208,0.1841,0.1679,0.1561,0.1233,0.0895,0.0831,0.1084,0.1100,0.1099,0.0999,
4, 2, SBGnew, 60.0, 0.0660,0.0722,0.0886,0.0798,0.0826,0.0636,0.0703,0.0826,0.1244,0.1313,0.1290,0.1183,0.1204,0.1051,0.1293,0.1337,0.2025,0.1643,0.1239,0.0996,0.1028,0.1339,0.1625,0.2121,0.1680,0.1888,0.1124,0.0816,0.1538,0.1456,0.1701,0.1927,0.1739,0.1270,0.1267,0.1553,0.2063,0.1851,0.1479,0.1366,0.0901,0.1202,0.1837,0.1676,0.1563,0.1234,0.0901,0.0834,0.1093,0.1099,0.1102,0.0995,
4, 3, SBGnew, 60.0, 0.0668,0.0721,0.0892,0.0796,0.0823,0.0635,0.0698,0.0830,0.1236,0.1311,0.1289,0.1184,0.1207,0.1050,0.1293,0.1327,0.2014,0.1639,0.1238,0.0992,0.1029,0.1345,0.1622,0.2103,0.1669,0.1880,0.1125,0.0809,0.1539,0.1454,0.1698,0.1919,0.1724,0.1265,0.1269,0.1543,0.2053,0.1841,0.1480,0.1361,0.0907,0.1195,0.1823,0.1666,0.1562,0.1234,0.0901,0.0838,0.1096,0.1100,0.1099,0.0994,
4, 4, SBGnew, 60.0, 0.0674,0.0719,0.0897,0.0792,0.0818,0.0633,0.0696,0.0837,0.1233,0.1306,0.1285,0.1181,0.1208,0.1052,0.1292,0.1324,0.2000,0.1634,0.1230,0.0990,0.1028,0.1346,0.1624,0.2092,0.1658,0.1872,0.1123,0.0805,0.1546,0.1452,0.1692,0.1909,0.1714,0.1263,0.1268,0.1533,0.2037,0.1835,0.1480,0.1358,0.0911,0.1190,0.1819,0.1659,0.1562,0.1233,0.0901,0.0841,0.1098,0.1098,0.1099,0.0987,
4, 5, SBGnew, 60.0, 0.0674,0.0717,0.0896,0.0788,0.0819,0.0626,0.0693,0.0840,0.1233,0.1301,0.1277,0.1173,0.1204,0.1043,0.1289,0.1317,0.1995,0.1625,0.1221,0.0990,0.1019,0.1343,0.1630,0.2088,0.1663,0.1866,0.1119,0.0801,0.1539,0.1438,0.1683,0.1892,0.1704,0.1258,0.1264,0.1520,0.2029,0.1837,0.1469,0.1348,0.0904,0.1191,0.1817,0.1649,0.1556,0.1232,0.0894,0.0841,0.1097,0.1100,0.1096,0.0977,
4, 6, SBGnew, 60.0, 0.0668,0.0721,0.0894,0.0780,0.0817,0.0624,0.0690,0.0838,0.1233,0.1299,0.1271,0.1170,0.1208,0.1043,0.1285,0.1314,0.1984,0.1613,0.1214,0.0988,0.1014,0.1341,0.1633,0.2073,0.1658,0.1860,0.1118,0.0800,0.1533,0.1433,0.1676,0.1887,0.1697,0.1256,0.1260,0.1509,0.2015,0.1836,0.1464,0.1338,0.0899,0.1187,0.1811,0.1635,0.1551,0.1229,0.0886,0.0838,0.1089,0.1099,0.1097,0.0970,
4, 7, SBGnew, 60.0, 0.0665,0.0718,0.0892,0.0776,0.0815,0.0622,0.0686,0.0837,0.1228,0.1290,0.1267,0.1162,0.1201,0.1040,0.1287,0.1308,0.1981,0.1614,0.1214,0.0985,0.1001,0.1325,0.1630,0.2057,0.1658,0.1857,0.1121,0.0801,0.1524,0.1430,0.1666,0.1878,0.1685,0.1248,0.1247,0.1505,0.2005,0.1828,0.1459,0.1341,0.0896,0.1183,0.1808,0.1616,0.1542,0.1226,0.0881,0.0831,0.1080,0.1096,0.1093,0.0963,
4, 8, SBGnew, 60.0, 0.0660,0.0718,0.0889,0.0770,0.0813,0.0620,0.0685,0.0833,0.1231,0.1276,0.1260,0.1158,0.1198,0.1040,0.1289,0.1307,0.1973,0.1604,0.1207,0.0985,0.1000,0.1315,0.1629,0.2045,0.1656,0.1845,0.1115,0.0798,0.1525,0.1422,0.1653,0.1867,0.1685,0.1248,0.1243,0.1503,0.1993,0.1820,0.1456,0.1334,0.0890,0.1174,0.1805,0.1609,0.1534,0.1219,0.0886,0.0825,0.1079,0.1092,0.1096,0.0956,
4, 9, SBGnew, 60.0, 0.0660,0.0720,0.0884,0.0767,0.0812,0.0617,0.0680,0.0828,0.1226,0.1267,0.1256,0.1155,0.1199,0.1036,0.1288,0.1300,0.1957,0.1593,0.1209,0.0981,0.0999,0.1309,0.1618,0.2029,0.1649,0.1837,0.1106,0.0788,0.1514,0.1409,0.1643,0.1860,0.1673,0.1242,0.1242,0.1499,0.1990,0.1811,0.1452,0.1331,0.0891,0.1173,0.1791,0.1597,0.1524,0.1215,0.0886,0.0822,0.1076,0.1090,0.1093,0.0953,
4, 10, SBGnew, 60.0, 0.0657,0.0720,0.0878,0.0765,0.0808,0.0619,0.0675,0.0822,0.1220,0.1256,0.1256,0.1158,0.1194,0.1036,0.1290,0.1295,0.1951,0.1590,0.1207,0.0973,0.0996,0.1301,0.1607,0.2009,0.1641,0.1833,0.1103,0.0788,0.1509,0.1406,0.1637,0.1857,0.1664,0.1235,0.1234,0.1490,0.1972,0.1798,0.1453,0.1330,0.0886,0.1165,0.1788,0.1592,0.1511,0.1215,0.0884,0.0820,0.1073,0.1079,0.1087,0.0945,
