"Vars","CARM_HC_1","CARM_NC_1","CARM_SC_1","CARM_HT_1","CARM_NT_1","CARM_ST_1","CARM_NTC_1","CARM_HC_2","CARM_NC_2","CARM_SC_2","CARM_HT_2","CARM_NT_2","CARM_ST_2","CARM_NTC_2","CARM_HC_3","CARM_NC_3","CARM_SC_3","CARM_HT_3","CARM_NT_3","CARM_ST_3","CARM_NTC_3","CARM_HC_4","CARM_NC_4","CARM_SC_4","CARM_HT_4","CARM_NT_4","CARM_ST_4","CARM_NTC_4","CARM_HC_5","CARM_NC_5","CARM_SC_5","CARM_HT_5","CARM_NT_5","CARM_ST_5","CARM_HC_6","CARM_NC_6","CARM_SC_6","CARM_HT_6","CARM_NT_6","CARM_ST_6","CARM_HC_7","CARM_NC_7","CARM_SC_7","CARM_HT_7","CARM_NT_7","CARM_ST_7","CARM_HC_8","CARM_NC_8","CARM_SC_8","CARM_HT_8","CARM_NT_8","CARM_ST_8"
"sig.eff","1.223605","1.210028","1.217538","1.211206","1.190063","1.183847","1.116835","1.225463","1.228296","1.218957","1.215549","1.205073","1.205191","1.132716","1.21214","1.237919","1.207339","1.203892","1.197431","1.197204","1.125496","1.236657","1.230304","1.222905","1.216199","1.204776","1.231373","1.137832","1.210151","1.219694","1.206372","1.205021","1.187391","1.205004","1.233764","1.080418","1.213943","1.208158","1.20058","1.199387","1.218818","1.208699","1.195375","1.195763","1.183621","1.188655","1.215165","1.218007","1.210859","1.213115","1.195155","1.195211"
"sig.resVar","45780.94","28895.68","35006.71","26320.51","19235.65","18916.39","1187.672","43234.3","53338.98","45041.55","35411.69","29497.63","27605.59","1847.875","33707.48","65828.46","37417.94","26232.06","36224.82","19377.09","1506.777","50096.95","57554.25","46247.44","33356.55","34630.23","41169.65","1837.148","38238.58","36610.88","32436.16","30435.27","21068.01","16607.48","18519.13","2521.557","35487.74","34306.35","23477.57","22936.75","42433.08","43009.34","33832.2","29398.38","23545.99","20881.56","40476.81","34458.5","38671.3","30994.47","22127.44","20148.21"
"sig.AICc","549.7084","531.3014","538.9753","527.5677","515.0243","514.3549","403.6335","547.4191","555.8204","549.0571","539.4354","532.1261","529.4745","421.3152","537.4625","564.2358","541.6397","527.433","540.3435","515.3174","413.1527","553.3121","558.8629","550.114","537.0439","538.5428","545.4618","421.0823","542.5075","540.7675","535.9247","533.3778","518.664","509.1479","513.5059","433.7488","539.5212","538.1669","522.9956","522.0634","546.6709","547.2104","537.6102","531.9913","523.1119","518.3084","544.7829","538.344","542.9576","534.1061","520.6265","516.8784"
"sig.AIC","548.5656","530.1586","537.8325","526.4248","513.8815","513.212","402.4907","546.2762","554.6776","547.9143","538.2926","530.9833","528.3316","420.1723","536.3197","563.093","540.4969","526.2902","539.2007","514.1745","412.0098","552.1693","557.72","548.9711","535.901","537.4","544.3189","419.9394","541.3647","539.6247","534.7818","532.235","517.5211","508.005","512.363","432.6059","538.3784","537.0241","521.8527","520.9205","545.528","546.0676","536.4674","530.8484","521.9691","517.1655","543.64","537.2011","541.8148","532.9632","519.4836","515.7355"
"sig.Rsq","0.9990178","0.9989732","0.9989243","0.9988778","0.9989825","0.9989262","0.9992231","0.9989325","0.9989895","0.998986","0.998936","0.9989335","0.9990216","0.99936","0.9989298","0.9989955","0.9990596","0.9988777","0.9990888","0.9988913","0.9992944","0.9989662","0.9990336","0.9989765","0.9989531","0.9989986","0.9988962","0.99925","0.998957","0.9989623","0.998992","0.9989053","0.9990062","0.9989195","0.9988511","0.9995255","0.9989752","0.9989474","0.9989713","0.9988792","0.9990074","0.9989915","0.9989609","0.9989277","0.9989532","0.9989217","0.9990055","0.9989083","0.9989751","0.9989293","0.99892","0.9989239"
"sig.Rsq.ad","0.9989359","0.9988876","0.9988347","0.9987843","0.9988977","0.9988367","0.9991584","0.9988436","0.9989053","0.9989015","0.9988473","0.9988447","0.9989401","0.9993067","0.9988406","0.9989118","0.9989812","0.9987842","0.9990129","0.9987989","0.9992356","0.9988801","0.9989531","0.9988912","0.9988659","0.9989151","0.9988042","0.9991875","0.9988701","0.9988758","0.998908","0.9988141","0.9989233","0.9988295","0.9987553","0.9994859","0.9988898","0.9988597","0.9988855","0.9987858","0.9989247","0.9989074","0.9988743","0.9988383","0.998866","0.9988318","0.9989227","0.9988173","0.9988897","0.9988401","0.99883","0.9988342"
"sig.cpD1","32.27","33.1","32.9","34.03","33.07","33.06","38.27","32.87","31.96","31.69","32.9","33.05","32.42","37.94","32.85","32.14","31.33","33.6","30.27","34.06","37.97","32.4","31.05","32.04","33.2","32.56","33.58","38.42","31.57","32.41","32.15","32.67","32.59","35.09","35.99","33.15","31.95","32.37","33.12","33.49","31.15","30.26","30.78","31.66","31.62","32.4","30.96","32.48","30.92","32.32","33.02","33.02"
"sig.cpD2","29.41","30.32","30.1","31.3","30.28","30.22","35.26","30.11","29.12","28.83","30.09","30.19","29.55","34.77","30.1","29.32","28.44","30.84","27.22","31.33","34.89","29.65","28.19","29.21","30.4","29.66","30.85","35.39","28.76","29.67","29.32","29.9","29.75","32.5","33.66","28.97","29.17","29.56","30.37","30.76","28.37","27.37","27.9","28.82","28.74","29.62","28.19","29.74","28.07","29.58","30.25","30.3"
"sig.cpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
