"sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene"
1.212103,"1418.236","410.7303","409.5874","0.9999051","0.9998972","33.62",31.47,NA,NA,NA,NA,NA,NA,"5459.416","3273.884","12.82779",NA,"-20.77046","3273.884","14936.63","33.77312","l4","1.225284","0.9966838","9.300718","0","31","1.769908","306.9037","998.2074","30.02677","6.037844e-05","1.004194","0.6591384","0","H_C_1","H","C","1","CRAF"
1.23302,"449.855","364.8005","363.6577","0.9999751","0.999973","34.13",31.95,NA,NA,NA,NA,NA,NA,"5755.328","3237.45","7.137979",NA,"-20.77505","3237.45","16664.36","34.2863","l4","1.241593","0.995788","5.867562","0","31","1.878883","236.6582","103.5419","9.670664","8.721077e-06","1.115428","0.3139619","0","N_C_1","N","C","1","CRAF"
1.231802,"541.5546","372.2213","371.0784","0.9999721","0.9999697","33.4",31.24,NA,NA,NA,NA,NA,NA,"5665.55","3220.371","8.408912",NA,"-20.54271","3220.371","16294.1","33.55647","l4","1.239234","0.9950001","7.068482","0","31","1.845291","234.313","95.9977","9.311692","2.213915e-05","1.070691","0.4880592","0","S_C_1","S","C","1","CRAF"
1.192521,"580.6668","375.0106","373.8677","0.9999478","0.9999435","33.99",31.75,NA,NA,NA,NA,NA,NA,"5130.296","3175.403","19.15774",NA,"-20.11543","3175.403","13660.36","34.16265","l4","1.210313","0.9961844","12.22993","0","31","1.851098","236.818","104.0771","9.695626","1.188575e-05","1.096861","0.2847691","0","H_T_1","H","T","1","CRAF"
1.217399,"600.316","376.3418","375.1989","0.9999491","0.9999449","35.19",32.97,NA,NA,NA,NA,NA,NA,"5409.751","3135.325","8.250098",NA,"-20.9896","3135.325","15262.13","35.35506","l4","1.228868","0.9954087","6.21124","0","32","1.852352","253.8557","140.2678","11.27465","6.447531e-06","1.097524","0.3519555","0","N_T_1","N","T","1","CRAF"
1.201001,"1019.056","397.5088","396.3659","0.999941","0.9999361","31.19",29.1,NA,NA,NA,NA,NA,NA,"5348.423","3350.969","25.9129",NA,"-19.79495","3350.969","14064.42","31.34847","l4","1.212723","0.9948897","19.91793","0","29","1.855089","200.5096","49.87827","6.687186","5.829367e-05","1.046934","0.5010847","0","S_T_1","S","T","1","CRAF"
1.000184,"65.89997","287.969","286.8262","0.8954604","0.8867487","40",1,NA,NA,NA,NA,NA,NA,"3146.161","3145.582","3145.582",NA,"-1.317916","3145.582","11491285","344251.4","l4","1.005485","1","2612.192","0",NA,NA,NA,NA,NA,NA,"1.075628","1","0","**NT_C_1**","**NT","C","1**","CRAF"
1.249433,"786.4418","387.1443","386.0014","0.9999663","0.9999635","33.91",31.78,NA,NA,NA,NA,NA,NA,"6156.153","3360.702","5.197263",NA,"-21.14192","3360.702","18251.33","34.05994","l4","1.255493","0.9966568","4.554824","0","31","1.859852","277.7707","390.0157","18.76892","1.450574e-05","1.007381","0.6929959","0","H_C_2","H","C","2","CRAF"
1.24014,"649.4465","379.4883","378.3455","0.9999729","0.9999707","33.62",31.43,NA,NA,NA,NA,NA,NA,"6187.815","3404.563","7.140809",NA,"-20.34313","3404.563","18242.11","33.77824","l4","1.247682","0.9960312","5.981504","0","31","1.85894","221.4676","63.43124","7.569196","1.807756e-05","1.057479","0.5455161","0","N_C_2","N","C","2","CRAF"
1.236775,"1632.543","416.3593","415.2164","0.9999367","0.9999314","31.65",29.57,NA,NA,NA,NA,NA,NA,"5868.174","3360.021","10.95134",NA,"-20.11913","3360.021","16766.39","31.80992","l4","1.243114","0.9967113","9.637236","0","29","1.873261","189.9528","34.65899","5.574368","4.234091e-05","1.021242","0.6398702","0","S_C_2","S","C","2","CRAF"
