"Vars","H_C_1","N_C_1","S_C_1","H_T_1","N_T_1","S_T_1","NT_C_1","H_C_2","N_C_2","S_C_2","H_T_2","N_T_2","S_T_2","NT_C_2","H_C_3","N_C_3","S_C_3","H_T_3","N_T_3","S_T_3","NT_C_3","H_C_4","N_C_4","S_C_4","H_T_4","N_T_4","S_T_4","NT_C_4","H_C_5","N_C_5","S_C_5","H_T_5","N_T_5","S_T_5","H_C_6","N_C_6","S_C_6","H_T_6","N_T_6","S_T_6","H_C_7","N_C_7","S_C_7","H_T_7","N_T_7","S_T_7","H_C_8","N_C_8","S_C_8","H_T_8","N_T_8","S_T_8"
"sig.eff","1.245188","1.255633","1.252867","1.248863","1.252205","1.242153","1.0002","1.264286","1.25597","1.260846","1.250604","1.230969","1.254401","1.167212","1.256601","1.268294","1.248525","1.257911","1.254291","1.24393","1.174608","1.261962","1.268692","1.253339","1.248067","1.250245","1.258673","1.207694","1.253524","1.255263","1.25388","1.243524","1.247955","1.234056","1.251315","1.261334","1.244861","1.256422","1.24301","1.238234","1.238773","1.250164","1.238323","1.231845","1.236341","1.224069","1.240648","1.237224","1.247593","1.238361","1.219835","1.230064"
"sig.resVar","7182.573","6111.616","7589.158","6355.093","5332.283","5516.385","7.443954","9755.41","6286.129","8035.141","5528.035","5022.368","7326.954","171.3686","8984.887","10523.53","7421.312","7495.345","7028.217","3763.373","299.7651","10398.45","9363.979","7679.867","5127.232","4598.28","6271.314","95.61276","9159.732","7469.299","7758.642","5154.847","5725.729","2637.231","2769.639","9470.738","6620.474","6321.689","4577.267","5322.328","7741.156","5892.886","6868.89","5346.965","7132.45","4118.435","7572.564","7222.582","6959.617","4329.521","3740.278","4783.627"
"sig.AICc","475.62","469.1614","477.8226","470.724","463.7049","465.0626","200.7396","487.8666","470.2875","480.1067","465.147","461.3098","476.4161","326.1962","484.5755","490.8983","476.928","477.325","474.7511","449.7664","348.5635","490.42","486.2285","478.2978","462.1364","457.781","470.1932","302.8558","485.3464","477.1858","478.706","462.3512","466.5525","435.5429","437.5024","486.682","472.3604","470.5132","457.5978","463.6302","478.6158","467.7036","473.8338","463.8149","475.3399","453.3727","477.735","475.8422","474.3587","455.372","449.5201","459.3617"
"sig.AIC","474.4772","468.0185","476.6797","469.5811","462.5621","463.9198","199.5967","486.7238","469.1447","478.9639","464.0042","460.1669","475.2733","325.0533","483.4326","489.7554","475.7851","476.1822","473.6082","448.6235","347.4206","489.2771","485.0857","477.155","460.9935","456.6382","469.0503","301.7129","484.2036","476.0429","477.5632","461.2084","465.4097","434.4001","436.3596","485.5391","471.2176","469.3703","456.455","462.4873","477.4729","466.5607","472.691","462.672","474.1971","452.2298","476.5921","474.6994","473.2159","454.2291","448.3773","458.2188"
"sig.Rsq","0.9998243","0.9998525","0.9998415","0.9998178","0.9998757","0.9998433","0.9665768","0.9998351","0.9998841","0.9998363","0.9998591","0.9998718","0.9998324","0.9998804","0.9998286","0.9998474","0.9998394","0.9998298","0.9998581","0.9998924","0.9996123","0.9998158","0.9998536","0.9998266","0.999875","0.9998873","0.9998705","0.9998671","0.9998145","0.9998565","0.9998356","0.9998641","0.9998601","0.9999122","0.9999203","0.9998519","0.9998554","0.9998564","0.9998826","0.9998663","0.9998209","0.9998526","0.9998339","0.9998595","0.9998289","0.9998553","0.9997815","0.999814","0.9998379","0.9998687","0.9998649","0.9998309"
"sig.Rsq.ad","0.9998097","0.9998402","0.9998283","0.9998026","0.9998653","0.9998302","0.9637915","0.9998213","0.9998745","0.9998226","0.9998473","0.9998612","0.9998184","0.9998704","0.9998143","0.9998347","0.999826","0.9998156","0.9998463","0.9998834","0.99958","0.9998004","0.9998414","0.9998121","0.9998646","0.9998779","0.9998597","0.999856","0.999799","0.9998445","0.9998218","0.9998528","0.9998485","0.9999048","0.9999136","0.9998396","0.9998434","0.9998444","0.9998728","0.9998552","0.999806","0.9998403","0.9998201","0.9998477","0.9998146","0.9998433","0.9997633","0.9997985","0.9998244","0.9998578","0.9998536","0.9998168"
"sig.cpD1","28.24","29.76","28.11","30.5","29.9","29.49","1","27.34","28.19","28.93","30.4","29.04","29.08","38.7","28.88","28.44","27.96","30.28","29.19","31.16","40","27.79","27.86","28.79","29.12","30.94","30.38","40","28.22","28.14","28.55","29.89","30.03","31.79","33.4","27.41","28.11","29.83","30","28.14","27.38","29.57","26.31","28.44","28.25","29.75","28.6","26.24","26.91","29.51","29.88","29.68"
"sig.cpD2","26.09","27.66","25.96","28.39","27.71","27.38","40","25.21","26.04","26.84","28.24","26.79","26.96","36.76","26.72","26.32","25.82","28.15","27.02","28.97","37.97","25.65","25.73","26.69","26.96","28.75","28.21","38.55","26.08","26","26.42","27.73","27.87","29.59","31.18","25.28","25.94","27.68","27.83","25.98","25.2","27.44","24.17","26.26","26.08","27.58","26.46","24.11","24.78","27.36","27.68","27.57"
"sig.cpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
