,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3230.31923936362,3250.45613367717,3349.24899248079,3185.02435471568,3261.35362962583,3529.49399070973,3156.39775002419,3516.52956948154,3512.04809989274,3558.24335642088,3366.57979075963,3372.18786872029,3485.34866044805,3235.84301616114,3287.05185014243,3679.71847496679,3570.85731853947,3439.52604765604,3234.29707591817,3344.76684860004,3125.07882155369,3317.89381627785,3477.68614775581,3548.44841344414,3463.94282385697,3496.38261919037,3631.01223918308,3279.76659740839,3217.58947801108,3372.80569589904,3458.53904076935,3459.09695781342,3331.51291909406,3396.92654023999,3319.84495467932,3606.6065734823,3401.08657048905,3358.95900220523,3401.33198767377,3275.8048952057,3200.43820334622,3356.89542174517,3345.74765864762,3297.08148828779,3389.3955388128,3320.08499716397,3095.39999897091,3206.1010855672,3294.64639131001,3177.04446324215,3250.25806653255,3338.96367341794
,2,3261.59695773173,3258.63860604306,3352.4034534655,3191.30425686357,3263.21230354446,3536.98522855567,3162.89499706805,3548.14766328578,3511.99829588319,3559.87341067369,3363.26335144989,3369.67348102262,3493.57908225576,3241.92218000128,3305.98383590634,3674.98948050508,3570.39778330627,3442.04633570706,3233.64233869815,3350.46092295428,3123.34717675897,3333.66985166352,3475.51634625761,3540.3936519101,3464.60481052039,3502.91955912709,3634.45576559145,3284.07451363522,3231.5921325628,3373.82192119158,3459.7783741495,3464.12536839984,3336.77168721148,3395.3710380069,3340.89071990303,3603.78675954962,3408.64548729212,3369.00980939548,3400.91197295295,3276.01379112427,3220.96102813176,3359.59599279805,3346.07024994097,3296.84215618528,3384.87310804026,3320.09839816291,3104.89029370239,3216.47600089506,3318.27322266327,3190.28541333189,3252.90988895662,3347.70860210809
,3,3276.37471231906,3263.84117167674,3357.79103572793,3197.39337183425,3268.59865032357,3546.66529059919,3170.69557398796,3565.93399166951,3516.14928046114,3563.09509500179,3364.74516924185,3372.79020573957,3493.68309738489,3247.46329853442,3321.02587815965,3680.11927100683,3572.26794217434,3445.92035855245,3238.34574730538,3356.63765280891,3122.96941439639,3346.13253279894,3475.24135969104,3547.88618357937,3467.63410045596,3506.12438101596,3638.27500458976,3285.96452997369,3249.78522458974,3376.00759699811,3459.78937566921,3470.10661802597,3338.04516982927,3392.3629778215,3355.18754489455,3596.98498396214,3419.84266489353,3365.36464735327,3404.22249992623,3276.61161205306,3238.16812005821,3362.07602798831,3350.00850421782,3300.13127988614,3386.68925520873,3320.58602151775,3123.33778174655,3224.95662686284,3332.12448537154,3185.05686885353,3255.96360922684,3351.76919630732
,4,3287.14849143929,3266.76300124105,3356.12485670622,3199.31169539702,3267.32661921848,3546.58739576,3175.68148449846,3579.21072916996,3519.18548747346,3566.2925901326,3367.61179992095,3373.01505941445,3494.34524018468,3252.24670775076,3330.91533075809,3679.87427777006,3575.54619345236,3447.00075964445,3238.33816897985,3363.331234535,3122.14060058556,3354.61716511852,3479.91199947372,3550.28791160031,3474.88961719573,3504.70198100588,3640.8019894731,3284.42276147146,3265.30553147752,3380.21427509762,3466.76040606462,3468.86490177598,3341.00876946386,3402.98203619342,3361.78483474679,3594.96726877492,3424.93926339926,3372.68809696037,3406.85627080717,3284.17829539503,3254.81945556602,3363.58896367215,3352.41441133632,3305.98497595856,3394.33420592092,3326.7085560857,3133.60040179538,3235.20096927434,3342.72419060896,3195.39602073688,3257.44705435054,3358.02330083236
,5,3290.41169156219,3272.70591519769,3360.20492500349,3207.41736582001,3271.67902303562,3546.38224378442,3178.01805166232,3583.98377643269,3522.97153026069,3569.61750087889,3368.75735916202,3377.39016032734,3492.74704544722,3248.53473355351,3336.15243747782,3682.86675387195,3571.92789988135,3452.15063599435,3239.57076224406,3368.60542711506,3119.99409173503,3369.68277475417,3477.41361167419,3554.78130628469,3471.9628908766,3508.73767919189,3642.64662859474,3284.45467584231,3272.00935726695,3383.32277843842,3467.12626529786,3469.3625574258,3345.76965469549,3401.30738536986,3369.2191172789,3594.24528076079,3438.31682121242,3378.47897987273,3409.36883560291,3282.08827811128,3265.02310497064,3365.54590192259,3355.23484900221,3302.31862282352,3393.21556579149,3325.84632267759,3142.09812520642,3237.86441929407,3342.36817623382,3196.24364162894,3259.28104828532,3360.76163560372
,6,3300.99742835418,3273.1001884764,3358.85091797964,3206.96849541733,3272.7793015509,3543.21414899769,3178.17584608785,3591.7914662646,3525.83710994394,3568.77111955138,3371.56471266732,3376.51442037045,3490.29929923099,3254.01617950706,3341.11414426351,3684.87869082905,3577.83323036321,3446.57509103832,3244.8062507531,3372.46190016866,3127.70358268787,3379.41264174056,3479.72195975604,3554.26560899978,3474.54853822809,3506.81782075912,3644.15789603702,3283.17804380232,3276.82430447786,3385.63092574128,3472.82487247561,3463.78347187255,3342.43159570006,3402.13268976096,3379.18279308306,3593.93715606928,3446.23999843788,3382.55575304361,3410.98514025893,3279.75186087777,3264.4462890246,3368.52987709026,3356.22066953015,3298.64884911875,3391.67436506984,3327.3105309676,3146.42361866225,3249.24151340141,3344.02628405495,3205.00217146111,3262.43799164685,3361.37881144358
,7,3304.12869075955,3278.72103618503,3362.69965116624,3209.22684012237,3275.10748744754,3546.64067745395,3178.29313600272,3596.17974338342,3528.90184318187,3566.88105933258,3372.83572203639,3375.69636891415,3490.74675344364,3258.26828905935,3340.4847832628,3687.21204618391,3575.24054383116,3449.99798757139,3242.26555119913,3377.82603238181,3126.52727574566,3382.9638014744,3485.12176391036,3556.8343083965,3475.17484860214,3516.06982897859,3641.68320655797,3285.64773390302,3279.05024933879,3387.95441901929,3469.53474464135,3468.92862424525,3346.68648373731,3410.09944034863,3383.51168009015,3595.8441691893,3450.17499693511,3388.79641158464,3409.25813676634,3285.84894722361,3270.07115426755,3368.1342642862,3352.54507890728,3302.05569238091,3390.57402800636,3332.03176432965,3151.74688577097,3249.40814008531,3341.56748106863,3203.29640623764,3264.35284506716,3363.25972932865
,8,3305.11040576106,3281.75492008375,3360.52040433994,3210.65683230475,3275.12053341782,3542.32961546942,3179.81285897667,3601.67739254434,3531.54922925036,3572.76065380614,3375.19636267908,3379.64683161646,3486.99597255791,3264.42246370098,3352.23325735754,3687.73639686085,3574.5772304435,3453.36747738298,3242.79703217513,3375.48582050283,3132.85894245715,3387.31108179711,3490.43969243289,3554.28812978071,3471.74121497955,3506.38689215893,3643.82504569985,3288.25797760588,3285.01790680241,3386.0955689534,3468.67244565105,3465.40299563185,3344.31040726396,3405.99985400204,3387.18820509785,3594.50281651945,3459.23743985592,3390.42177830233,3408.91604854271,3285.05899898978,3272.52366498822,3368.30879676173,3356.30668670702,3307.83826008643,3391.34172301941,3330.80829053537,3151.48764096355,3256.26712234103,3347.62006256875,3206.84476485702,3259.90553201951,3360.68482422688
,9,3304.39509864536,3281.95317083632,3363.97217396281,3213.31917384544,3277.82298617839,3541.46539144068,3187.87180902924,3602.16822761597,3533.76790689961,3569.24858490268,3376.57564603639,3376.21534617887,3488.08692850796,3269.02687364042,3355.13853665531,3698.01684699153,3578.34107132448,3454.67361841617,3247.41870127805,3377.6306236982,3136.62253888437,3391.51463358628,3485.77088834298,3553.75548362196,3472.70021082758,3517.16536442802,3648.6454798033,3289.97585097257,3293.75833593885,3391.23594518187,3472.83096595615,3466.94900390453,3348.56169355989,3412.15687347389,3390.95418284115,3594.51718089383,3464.47783946954,3393.81067147064,3413.18182428682,3285.29723874845,3276.38364783015,3371.32500696108,3354.12758149038,3302.5375121136,3388.39858358512,3330.06474876353,3154.31248151587,3262.46861769686,3343.79847143282,3208.76215909216,3266.62141688276,3361.04078192696
,10,3310.08925591229,3283.64935295737,3368.62619617821,3214.43052761012,3278.59158475746,3540.34566966072,3188.55420754152,3606.13154232157,3532.72788876944,3567.87009888962,3375.4402728768,3379.39832935733,3482.62098248137,3275.7833601284,3352.35737171628,3691.80967125029,3580.57740734954,3454.21759522321,3248.28313813903,3378.15967968511,3132.06709232214,3395.09719177613,3489.23400048869,3558.19678166251,3471.78990447407,3518.53272271143,3644.12775618015,3295.09861553633,3294.64727893655,3388.86496319363,3470.1690346888,3469.12686413563,3350.11575817754,3410.71377863636,3393.52631072928,3595.1759532904,3468.88409799761,3396.31719099643,3409.41062264786,3287.83398051878,3277.50539814233,3376.3972860225,3357.30189053729,3305.63906112823,3390.1111916843,3330.40076211031,3164.36272365453,3263.16140934663,3344.37971396777,3207.04695532347,3267.06270101024,3361.44467542176
