"Vars","CRAF_HC_1","CRAF_NC_1","CRAF_SC_1","CRAF_HT_1","CRAF_NT_1","CRAF_ST_1","CRAF_NTC_1","CRAF_HC_2","CRAF_NC_2","CRAF_SC_2","CRAF_HT_2","CRAF_NT_2","CRAF_ST_2","CRAF_NTC_2","CRAF_HC_3","CRAF_NC_3","CRAF_SC_3","CRAF_HT_3","CRAF_NT_3","CRAF_ST_3","CRAF_NTC_3","CRAF_HC_4","CRAF_NC_4","CRAF_SC_4","CRAF_HT_4","CRAF_NT_4","CRAF_ST_4","CRAF_NTC_4","CRAF_HC_5","CRAF_NC_5","CRAF_SC_5","CRAF_HT_5","CRAF_NT_5","CRAF_ST_5","CRAF_HC_6","CRAF_NC_6","CRAF_SC_6","CRAF_HT_6","CRAF_NT_6","CRAF_ST_6","CRAF_HC_7","CRAF_NC_7","CRAF_SC_7","CRAF_HT_7","CRAF_NT_7","CRAF_ST_7","CRAF_HC_8","CRAF_NC_8","CRAF_SC_8","CRAF_HT_8","CRAF_NT_8","CRAF_ST_8"
"sig.eff","1.245477","1.267749","1.26915","1.241224","1.262057","1.198453","1.154614","1.280199","1.270556","1.260856","1.255808","1.254836","1.251","1.000479","1.280103","1.248006","1.244637","1.15419","1.234557","1.218744","1.000391","1.280732","1.274069","1.266699","1.26303","1.26151","1.26607","1.123749","1.24741","1.246853","1.238635","1.24078","1.237418","1.227063","1.257022","1.256033","1.246229","1.255276","1.244156","1.231764","1.246061","1.24408","1.232046","1.238993","1.224531","1.227933","1.250344","1.244374","1.25092","1.249426","1.233816","1.234663"
"sig.resVar","2481.126","813.4334","1330.552","451.2926","5307.879","688.3292","2564.322","3028.837","1673.3","3386.923","1457.926","590.1149","497.3533","12.52376","3007.586","1786.598","1924.271","141.5305","1185.762","303.0649","4.385936","2946.274","1813.264","2217.627","2092.049","512.1411","588.3006","548.5294","1975.269","1647.17","2168.35","1123.273","514.0333","729.8418","900.9384","1780.681","2756.149","532.8924","428.937","369.8354","3467.567","1615.531","1956.505","1803.713","1591.126","666.8603","3331.835","1831.674","2264.794","830.4879","521.5456","503.2074"
"sig.AICc","433.1022","388.4941","408.1775","364.9282","463.5214","381.8142","434.4215","441.0809","417.3456","445.5506","411.8343","375.6562","368.8155","221.5486","440.7992","419.9663","422.9356","318.5441","403.5692","349.0014","179.5796","439.9754","420.5589","428.6112","426.2795","369.9875","375.533","372.7332","423.9819","416.7161","427.7124","401.4036","370.135","384.1566","392.581","419.8336","437.3071","371.5763","362.8959","356.9658","446.4919","415.9403","423.6001","420.3476","415.3314","380.5467","444.8947","420.9629","429.4531","389.3241","370.7154","369.2836"
"sig.AIC","431.9594","387.3512","407.0346","363.7853","462.3786","380.6713","433.2786","439.938","416.2028","444.4077","410.6915","374.5134","367.6727","220.4058","439.6564","418.8234","421.7928","317.4013","402.4263","347.8585","178.4368","438.8325","419.416","427.4684","425.1366","368.8447","374.3902","371.5903","422.839","415.5732","426.5695","400.2608","368.9922","383.0138","391.4381","418.6907","436.1642","370.4334","361.7531","355.823","445.349","414.7974","422.4573","419.2048","414.1885","379.4039","443.7518","419.8201","428.3102","388.1812","369.5725","368.1408"
"sig.Rsq","0.9998995","0.9999694","0.9999573","0.9999731","0.9998507","0.9999442","0.9992243","0.9999235","0.9999526","0.9998865","0.9999492","0.9999701","0.999971","0.9824888","0.9999216","0.9999448","0.9999264","0.9999783","0.9999456","0.9999725","0.9923599","0.9999264","0.9999453","0.999931","0.9999156","0.9999739","0.9999763","0.9873581","0.9999233","0.9999358","0.9999115","0.9999532","0.9999711","0.9999286","0.9998921","0.9999442","0.9999018","0.9999759","0.9999714","0.9999712","0.999891","0.9999356","0.9999128","0.9999112","0.999928","0.9999566","0.9998901","0.9999214","0.999914","0.9999626","0.9999719","0.9999694"
"sig.Rsq.ad","0.9998911","0.9999669","0.9999538","0.9999708","0.9998382","0.9999395","0.9991597","0.9999172","0.9999486","0.999877","0.9999449","0.9999676","0.9999686","0.9810295","0.999915","0.9999402","0.9999202","0.9999765","0.9999411","0.9999702","0.9917232","0.9999203","0.9999408","0.9999252","0.9999086","0.9999718","0.9999743","0.9863046","0.9999169","0.9999305","0.9999041","0.9999493","0.9999687","0.9999226","0.9998831","0.9999395","0.9998937","0.9999739","0.999969","0.9999688","0.9998819","0.9999302","0.9999056","0.9999038","0.999922","0.999953","0.9998809","0.9999149","0.9999069","0.9999595","0.9999696","0.9999668"
"sig.cpD1","31.68","34.17","32.9","34.42","28.8","32.75","38.35","32.25","32.57","32.24","32.67","35.06","35.04","1","32.22","32.25","31.8","33.22","32.5","35.22","1","32.03","32.85","32.47","33.41","35.54","34.58","40","32.21","32.18","31.3","32.51","34.23","36.37","37.83","32.43","30.66","34.34","35.42","35.03","30.68","32.22","32.26","32.91","31.5","33.81","30.33","32.84","32.26","33.49","33.94","34.1"
"sig.cpD2","29.64","32.04","30.83","32.32","26.83","30.69","35.36","30.19","30.47","30.25","30.55","32.89","32.91","40","30.18","30.14","29.74","31.12","30.38","33.09","40","29.96","30.8","30.41","31.41","33.4","32.47","40","30.11","30.09","29.26","30.39","32.08","34.21","35.73","30.34","28.63","32.2","33.28","32.96","28.6","30.12","30.15","30.87","29.4","31.73","28.26","30.73","30.17","31.37","31.77","31.99"
"sig.cpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.Cy0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpCQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
