,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3438.86993363973,3540.69698672723,3668.58008587024,3524.44129117985,3540.90244312578,3573.0803796612,3457.33377227572,3702.29686422347,4026.60820620806,3795.49496319355,3529.48593603458,3851.81476271489,3650.8396487758,3474.81446898916,3902.33987655343,4344.56282439791,3939.72267363227,3812.1048412609,3733.50369287754,3726.05027963631,3568.04611019469,3684.56575578668,3978.54780545033,4018.52222521511,3747.39384152571,3870.39731693471,4084.05770413422,3824.8452805486,3622.21833927552,3837.7840918636,3843.31705564097,3751.56511837101,3761.53196663608,3925.51577273043,3867.03325256416,4366.67458185226,3868.79487898764,3878.49085278177,3787.8240860014,3833.95200641605,3605.15670465012,3694.29877111045,3685.59580806988,3641.30212440299,3580.46782788594,3645.41851474815,3438.77359881877,3453.10902801267,3584.10418987514,3542.9518589704,3562.98387947502,3534.79197692541
,2,3486.66281627244,3544.55422214265,3658.8403054703,3513.63496207388,3539.83001417844,3566.06264579786,3455.56442686988,3756.07736445294,4012.09885610439,3779.52078768889,3514.06930186937,3843.82985407124,3643.69744197492,3462.10351737271,3937.78518836959,4334.5665518146,3917.27892393348,3796.03919399619,3722.72167136506,3714.25254944357,3551.99692163166,3707.58968402873,3969.00005917024,3993.75448188975,3727.15879775658,3851.0127051034,4069.99968841437,3809.18105747182,3641.47589178898,3824.80402239127,3824.94197524371,3736.90740651096,3748.56685559066,3905.85061336805,3884.54765339843,4350.13513841839,3854.80512569281,3860.9661597466,3776.36686320353,3818.49881285424,3633.5498235718,3681.31737912908,3665.92301238818,3626.70107828666,3565.62853438906,3630.20025401924,3438.9062336866,3475.4543698765,3611.68514897423,3561.81923482352,3561.09203322485,3518.40378901733
,3,3509.39030893308,3542.15703419656,3655.14064844112,3504.35428786241,3538.70036683279,3557.81835199954,3453.95554328223,3780.73612668225,4008.84453020352,3770.12672373908,3509.76661036698,3830.73980618684,3633.08754160985,3456.36138891897,3966.94468546038,4323.04897090963,3902.93160658014,3785.72851063887,3708.82075010155,3707.21327783071,3547.38734431015,3729.17908388732,3954.8512894012,3974.09392667179,3713.53032646249,3835.87879927257,4052.79319105109,3809.44567902241,3656.70575246343,3814.37722427694,3809.18697296095,3726.89932674225,3739.41943001186,3891.79446199523,3895.42132942544,4346.07842698327,3842.12755727882,3850.41396631741,3771.67532549729,3806.76881066379,3647.88357819975,3674.13218607534,3653.39708083438,3619.85299199429,3557.45085345145,3625.88577424258,3466.32503270564,3488.22412126182,3621.1220446776,3563.23727554005,3556.32309532781,3513.89356459202
,4,3521.22539956139,3545.13487381619,3649.8614064769,3501.91806203902,3541.81391955775,3549.90170419183,3454.75258801726,3793.82890329996,4002.95755905237,3765.78804166969,3510.49756445401,3827.88272665653,3628.66937639213,3454.39619411955,3985.68851156131,4319.44948441985,3886.95706967178,3784.95605237487,3704.26473434279,3692.69890038991,3535.65690338552,3740.87663850836,3955.05259501114,3962.05489906952,3704.61169448904,3831.00973216264,4045.49377179689,3804.86827660063,3678.580704029,3815.36326381124,3799.19319140765,3711.28497982208,3729.06904629952,3886.06856833597,3907.04336087051,4347.72730337369,3831.24996359122,3836.41891519921,3771.1269085963,3797.90559205194,3668.92934342346,3671.12167540499,3639.23693003959,3616.94512453859,3556.49607325427,3620.91680426247,3466.44207589147,3494.27134405689,3629.59819321224,3563.48179111514,3556.45017894194,3510.20976082262
,5,3528.75838465317,3547.93539452989,3643.53351238007,3501.22877252633,3544.589175577,3544.25455634096,3454.15686087528,3800.56817256157,3999.97150154111,3756.42663026456,3506.71682225313,3829.24894386554,3628.45920248312,3458.37259277922,3990.86404445409,4320.22548335708,3878.87978144501,3783.84627318769,3702.53047830048,3694.19174751758,3537.05933965277,3749.87393975204,3953.54879429619,3944.8415740578,3702.3467890791,3830.65551672323,4039.40138241157,3801.85892259189,3690.67637311936,3813.92411070765,3786.17173955095,3715.60900258477,3726.2955899925,3881.68009424014,3925.31747722152,4348.28164807875,3827.15925509865,3835.8217376863,3767.01862736405,3797.60537596375,3681.48755590306,3666.70951644777,3636.24388312848,3614.61330184296,3554.20344918044,3619.80289313366,3474.86171973445,3504.15694259012,3628.23646541948,3558.8287940525,3553.32534260579,3510.04388977506
,6,3538.7426973639,3545.74382921135,3639.07359955123,3499.32281077993,3545.29288980358,3545.58063780297,3449.58891146317,3804.97175230274,4000.92110248077,3759.02564943285,3508.66280998958,3826.35507218422,3629.06669515897,3453.89916568746,3996.68467027055,4318.71003929131,3874.81649754176,3783.06836519251,3701.24307722298,3689.89147572432,3534.4193855505,3760.25936617833,3959.64037173491,3945.03994726011,3697.53198757898,3826.87172463568,4037.79534345528,3805.16185848004,3694.03508875355,3816.21168503206,3783.25940935322,3712.23729791649,3727.2747054585,3877.61795538067,3941.17613644701,4346.65200868608,3830.79170712496,3834.91851756201,3768.22021249332,3796.5162000855,3690.17234530429,3662.84286052483,3638.41661662309,3616.03983031016,3553.81642974365,3617.11601216275,3489.67794022991,3510.12214131238,3631.5424631774,3561.91416665004,3552.14231798183,3510.10121761991
,7,3540.64380198909,3552.16743960961,3639.46298217122,3498.75145583478,3548.81865089995,3549.68220794136,3451.86245982414,3807.5704509493,4001.172668877,3753.82668889228,3505.66975838821,3826.94518612759,3626.50575863172,3455.30181583619,4003.45722944959,4313.28954845217,3870.66752834575,3777.66440810181,3701.97792445276,3689.1103238884,3531.48660903182,3763.90304305219,3955.28941249454,3943.45858865214,3701.7607766597,3828.78880155066,4041.16639672603,3799.99918400422,3692.764912322,3814.82847879508,3785.12632460638,3714.10135148592,3726.69811769997,3879.85127120028,3944.47137172027,4344.88635901444,3830.00938127375,3834.52256149747,3768.19598689472,3794.71560992304,3690.00078192994,3663.83247415067,3631.66097840915,3614.54825266103,3552.67540767732,3615.88765353299,3504.01290146167,3513.19334273894,3627.11668213429,3566.11111151539,3553.48296418458,3512.65140002422
,8,3545.92024003155,3549.78413392737,3641.83018180119,3498.67943640404,3545.58596542882,3543.95553978677,3453.86799216359,3808.14099469948,3996.27780534647,3753.80375463089,3506.71905748519,3825.47717587088,3627.20687193556,3452.68962892514,4004.51296585436,4316.32266364261,3872.53992473706,3775.79996954086,3701.22373684808,3690.51508691915,3532.52534276633,3767.36149080067,3958.32366831065,3939.60162885449,3699.10655194527,3824.71357469934,4036.5039313997,3800.74742214892,3689.25213400917,3815.85026379814,3781.32896355844,3707.30746393463,3723.01805559524,3876.75456146116,3951.85205199365,4347.59941506954,3829.22379165857,3829.89660324615,3768.84965371838,3792.93065524516,3690.82859973383,3668.32687844909,3631.79638660622,3615.84457383312,3554.65661760522,3618.20969365541,3508.8119337934,3520.63722435428,3624.5227073429,3566.20086048353,3557.13083589013,3506.41917412892
,9,3544.3276744791,3553.28579239263,3638.07383893137,3498.28075533533,3547.02461457132,3541.63258181788,3449.59963759261,3810.7485128458,3995.61794253793,3754.44226853244,3507.03230484895,3824.29981225067,3624.87983388049,3452.37075919353,4002.98310593406,4313.29717200585,3868.07782936893,3773.91608152997,3698.1841216753,3687.11809751351,3532.93800878486,3772.42970397445,3955.4833512966,3935.91201425961,3696.59139982939,3823.31411312896,4036.55791645603,3797.43561821326,3691.59754171227,3812.81191474337,3782.56123026678,3710.50546377538,3722.49447986404,3875.92026322371,3956.86000195875,4349.06804508931,3829.86209344384,3835.56336543146,3770.19570062997,3789.95948598215,3687.69933204008,3661.70987695492,3628.31448010233,3616.99857653569,3554.47829271409,3620.21952532745,3509.55529173526,3517.83914203308,3626.3336353974,3563.9977863363,3553.6451805166,3505.70662183803
,10,3544.31035380816,3557.68309201862,3636.92808851424,3496.45589632384,3550.59082180729,3544.17239290524,3449.69127300287,3813.35532420682,3994.46131793756,3752.86231124567,3504.54974113001,3827.91569264679,3625.23839203615,3453.87180834236,4005.25543300831,4311.12702455894,3869.41846542126,3776.56089980679,3702.03556099537,3683.26355201753,3531.18153906038,3772.00721036891,3957.43110951401,3936.38190903759,3695.05737178121,3827.61750455583,4036.34964661278,3800.04968616744,3691.82523415327,3818.96258024306,3779.4024088229,3708.07333787839,3723.61418030827,3875.30865701459,3963.3829700471,4349.57554985676,3828.09282895329,3832.62890544557,3766.87871637181,3789.18509698816,3699.32985949949,3663.15911041367,3629.25856995489,3615.7371501726,3552.23851430535,3616.30764074866,3511.64237314241,3516.22927633835,3623.70211653956,3566.89824226941,3554.77808863923,3505.16371213484
,11,3548.95154607399,3551.5069378278,3634.01131526085,3495.49837746771,3546.06404148465,3540.57938627783,3449.55931426533,3815.39412779291,3994.18642890784,3751.84343376186,3501.83112766205,3826.43496766267,3622.73377450243,3448.94391859688,4001.55068749382,4312.80460655046,3868.36134245876,3773.33269229892,3697.20696399883,3685.04347024508,3526.20795555287,3772.92867784153,3957.11268081214,3932.86624924213,3693.8557659849,3823.07099900928,4036.18230933107,3800.09921249997,3700.97523234285,3817.86318813769,3779.13659905291,3708.54374357832,3723.51171609987,3875.16821107929,3971.47801647177,4342.34793505284,3830.45070410583,3832.2196124982,3764.54413697078,3792.61215338631,3695.5656312081,3658.54045742921,3631.3162990698,3612.47565279291,3549.49415220297,3620.97841012049,3514.94402727818,3524.41184281562,3623.72943051708,3566.57071486196,3553.96188834448,3507.26330612996
,12,3549.02033819106,3556.77299459114,3635.26994356538,3492.5946164754,3551.83783108242,3542.76568737451,3450.69341311152,3817.56422649402,3989.15773072303,3749.5836675301,3498.33971593889,3827.00097524872,3620.4845046909,3451.03536511201,4004.11019683913,4308.25489342025,3864.56126556867,3767.57878367495,3698.75975133638,3682.90312992004,3529.79084476523,3774.4172038842,3958.2730624007,3930.0413155916,3696.6619337052,3820.20018930147,4039.10589841144,3794.30421814166,3694.23126099874,3816.93340517273,3777.23780310603,3708.20397565965,3724.085591981,3880.06001626447,3974.21282258729,4344.88613057289,3828.48290209339,3827.16644736974,3764.50551677994,3789.52674898751,3699.87373851627,3657.22321029735,3628.26577548082,3617.11421345462,3549.59169303388,3615.22494251459,3520.64653560918,3525.79985824946,3625.95278645306,3566.99881842085,3555.50828806384,3505.22466597391
,13,3549.50257106718,3555.6711841045,3636.03363926357,3497.13882560987,3550.1445148245,3544.02949505367,3448.1426252738,3818.86166273834,3990.16100218721,3747.53380541376,3499.73998946961,3826.13209508239,3624.07815863961,3452.3199655306,4005.66695189614,4306.43186814367,3863.28268057658,3767.31913925442,3697.32017027459,3685.97877909637,3530.72007125811,3771.37946472415,3958.4649953743,3933.46182631149,3691.0476647284,3819.06280718639,4038.42974041982,3799.19775038328,3693.66409653924,3816.18487390277,3771.83746925182,3708.91664692772,3727.0279928689,3871.27147429982,3974.23462446847,4345.74829630097,3832.83779239638,3828.56723514844,3765.3311022976,3789.31292525214,3692.71581726861,3658.23055492591,3625.97751236501,3616.57390784197,3548.7893559908,3620.3709362015,3521.22378788461,3527.25517070103,3622.25657586491,3565.94690384262,3558.1960459495,3504.73505632352
,14,3549.85634282633,3552.86971993435,3636.08836938939,3493.06934750345,3550.53843319558,3539.39080843343,3448.29500546143,3816.98549945092,3989.15483515898,3747.29133124992,3498.84539549853,3825.99747301734,3621.07413409149,3452.30341238147,4002.18388436946,4301.10206220466,3860.72407327567,3766.26967551867,3694.93826511891,3682.15160306025,3526.96160621563,3774.24626108402,3958.59389348635,3929.98519880376,3690.17783409397,3819.00856030046,4039.79856330738,3795.10032863768,3693.19464883414,3816.24816770578,3770.053529533,3707.93319605557,3726.5741181466,3879.55100492066,3979.13078247992,4350.17699305593,3826.03595908151,3828.23829390104,3762.95926041855,3784.50575517563,3692.33092849309,3656.87696286672,3625.32187215968,3610.58171237549,3553.31073838312,3618.36294021097,3523.58725550153,3523.77070565958,3625.26194443928,3569.78936058688,3551.31429979105,3502.53832009075
,15,3551.6987408471,3557.09966021587,3632.57515985375,3489.55928600454,3552.38022653764,3541.9773898729,3450.43518948737,3820.18188955781,3989.54058549582,3748.28646205297,3500.9490055155,3828.36233814904,3619.53364354392,3447.52139970846,4000.00638495436,4303.67931169612,3861.54749455789,3769.07970259107,3698.21778124854,3678.08278675603,3532.37093916601,3768.62051762925,3956.29408636618,3924.5985145157,3691.02609879954,3822.8895059427,4035.85457996978,3798.18725565913,3696.39883306376,3814.87534684787,3774.60967673869,3710.88770144061,3727.71060250716,3877.27896728726,3981.85826161013,4342.29161959231,3829.13489733554,3827.89908678408,3762.97040722979,3786.57911385526,3693.61973800258,3658.13812745454,3626.3719775423,3619.2844642955,3550.12144929622,3619.81999233174,3525.90354704559,3526.29921719633,3626.53083362342,3564.09845420213,3554.69684182099,3503.2571507308
,16,3552.94757017058,3557.37953014803,3628.70566131635,3488.22558093752,3549.88597641904,3539.83078833467,3450.88552983257,3816.86486343882,3989.08621021211,3746.4954181879,3499.19386583825,3826.45809655361,3616.09203409719,3449.0083124163,4001.66331533473,4300.76747532508,3862.31629710152,3767.00999972736,3697.56437763886,3679.34267684399,3528.63228386282,3769.13412076939,3959.50860286548,3925.2803819726,3688.65443264899,3819.68984761796,4034.14279644867,3795.27018790323,3693.32710869642,3819.68625958824,3771.88086080001,3709.19035182028,3728.46077007803,3875.47801571873,3980.23731863055,4341.46890352329,3831.66573151471,3830.81000602074,3763.06116455837,3785.27952216939,3692.88759914965,3656.38697489489,3625.38790750372,3620.13806661371,3549.30477399416,3617.53750224754,3523.30678527464,3525.92215793559,3621.84191177416,3568.72345145426,3554.63230891018,3503.02028317265
,17,3553.6458026452,3557.54438310263,3631.91609096472,3490.19223256045,3550.6872299275,3539.37317094852,3447.15766833345,3824.93756075821,3989.24290881903,3746.5994728766,3499.45290117016,3828.25159615383,3619.46762188643,3449.7045137482,4002.08318317043,4303.76699850762,3860.71474934659,3764.01075719178,3690.07345849979,3678.99797370743,3524.14081554608,3768.81170842151,3954.63681383139,3926.32369229645,3688.18355487087,3815.73593487141,4036.68746990151,3795.28841119516,3695.97033849323,3820.68855008494,3772.04065395513,3708.19291489517,3727.74165595721,3875.71125119911,3983.05649187088,4341.58586356413,3829.42958154878,3830.84222621838,3762.2779622483,3786.34645049535,3696.58366218357,3657.67417860286,3625.90435271937,3620.03904718518,3552.45449944234,3617.84620272066,3524.66455023153,3526.97091362434,3627.03124509683,3569.6335625683,3553.70955138546,3505.7732401553
