"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.eff","LRE.eff","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","sli.rsq","sli.init","sli.base","Names"
"H_C_1","1.578756","162.9935","324.1919","323.0491","0.6443557","0.6147186","19.67","19.12",NA,NA,NA,NA,NA,NA,"16.49862","9.798951","0.002664805",NA,"-47.18083","9.798951","43.24541","19.68932","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_1"
"N_C_1","1.438184","212.2069","334.746","333.6031","0.603141","0.5700694","19.55","18.68",NA,NA,NA,NA,NA,NA,"17.33123","10.46067","0.01953684",NA,"-29.68277","10.46067","45.88595","19.59838","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_1"
"S_C_1","1.625313","289.1121","347.1161","345.9732","0.5731543","0.5375838","18.82","18.37",NA,NA,NA,NA,NA,NA,"19.17749","11.34129","0.002557877",NA,"-54.59467","11.34129","49.74993","18.83382","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_1"
"H_T_1","1.484631","274.5347","345.0466","343.9038","0.6055374","0.5726655","20.84","20.32",NA,NA,NA,NA,NA,NA,"22.51764","14.45965","0.007332208",NA,"-52.33538","14.45965","54.23716","20.85905","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_1"
"N_T_1","1.25271","241.6778","339.9477","338.8049","0.5600743","0.5234138","20.82","19.45",NA,NA,NA,NA,NA,NA,"19.7973","13.20083","0.2474069",NA,"-20.09638","13.20083","48.38317","20.92227","l4",NA,"1.000024",NA,"19","122.808","29.26812","4.964558","4253.31",NA,NA,NA,"N_T_1"
"S_T_1","1.484505","267.5977","344.0229","342.8801","0.5075235","0.4664838","20.31","19.66",NA,NA,NA,NA,NA,NA,"16.92812","10.51383","0.007166585",NA,"-41.54424","10.51383","42.87914","20.33268","l4","1.00145","1.388613",NA,"19","136.9921","61.74611","7.210875","9.539711e-12","0.04093899","14.80143","0","S_T_1"
"**NT_C_1**","0.8642422","132.6763","315.96","314.8171","0.1360346","0.06403748","82","4.84",NA,NA,NA,NA,NA,NA,"27.69609","41.31922","56.11807",NA,"3.596084","19.98931","41.31922","4.130924","l4",NA,"1.000249",NA,"4","16.15748","1.800001","0.6708206","72.69949",NA,NA,NA,"**NT_C_1**"
"H_C_2","1.431868","174.1214","326.8336","325.6908","0.654063","0.6252349","19.42","18.86",NA,NA,NA,NA,NA,NA,"21.10933","14.03168","0.02421836",NA,"-45.91142","14.03168","49.39973","19.43786","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_2"
"N_C_2","1.556099","310.137","349.9241","348.7812","0.6177702","0.5859177","18.02","17.39",NA,NA,NA,NA,NA,NA,"21.31837","12.59084","0.009755002",NA,"-38.11727","12.59084","56.80881","18.0419","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_2"
"S_C_2","1.572793","331.036","352.5326","351.3897","0.6409112","0.6109871","18.41","17.92",NA,NA,NA,NA,NA,NA,"24.63758","14.9694","0.007366177",NA,"-49.5375","14.9694","62.54103","18.4211","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_2"
