"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.145687","1146.272","402.2143","401.0715","0.9998608","0.9998492","30.91","28.89",NA,NA,NA,NA,NA,NA,"4898.664","3544.372","96.30845",NA,"-20.33809","3544.372","10800.19","31.05838","l4","1.163189","0.9899081","64.38087","0","28","1.821005","264.9698","634.5689","23.80293","7.441925e-05",NA,NA,NA,"H_C_1"
"N_C_1","1.14598","672.5285","380.8853","379.7424","0.9999059","0.999898","32.31","30.3",NA,NA,NA,NA,NA,NA,"4930.406","3556.909","79.40017",NA,"-21.21976","3556.909","10840.05","32.45696","l4","1.1679","0.9952459","45.69346","0","30","1.871523","189.2754","27.38504","4.964528","1.470701e-05","1.086089","0.1358319","0","N_C_1"
"S_C_1","1.157148","854.7058","390.4738","389.331","0.9999204","0.9999138","30.65","28.63",NA,NA,NA,NA,NA,NA,"5172.657","3640.96","79.22942",NA,"-20.07864","3640.96","11837.7","30.80547","l4","1.177361","0.9945271","49.64506","0","28","1.951991","219.177","123.654","10.50739","1.51289e-05","1.058141","0.278694","0","S_C_1"
"H_T_1","1.151583","538.4425","371.9907","370.8479","0.9999209","0.9999143","33.24","31.21",NA,NA,NA,NA,NA,NA,"4927.714","3497.116","60.20339",NA,"-21.63184","3497.116","11068.57","33.38434","l4","1.173342","0.9951809","34.22239","0","31","1.899609","235.6608","100.2635","9.516332","5.497778e-06","1.108841","0.0785989","0","H_T_1"
"N_T_1","1.149168","604.827","376.6412","375.4984","0.9999127","0.9999054","33.36","31.28",NA,NA,NA,NA,NA,NA,"5007.208","3552.675","64.68426",NA,"-21.25349","3552.675","11291.07","33.50949","l4","1.172105","0.9951452","35.50605","0","31","1.845092","194.7437","26.78643","4.91876","1.27262e-05","1.094961","0.1134151","0","N_T_1"
"S_T_1","1.152595","817.9924","388.7176","387.5748","0.9999077","0.9999001","31.33","29.31",NA,NA,NA,NA,NA,NA,"4985.158","3547.705","77.61338",NA,"-20.59754","3547.705","11233.4","31.47736","l4","1.174278","0.9951556","45.96282","0","29","1.910425","220.4062","99.05476","9.423784","1.610714e-05","1.095207","0.1197404","0","S_T_1"
"**NT_C_1**","0.9994653","2.808913","161.7554","160.6126","0.7776002","0.7590669","40","1",NA,NA,NA,NA,NA,NA,"3457.164","3459.014","3459.014",NA,"0.9399601","3442.177","3459.014","9.261705","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**NT_C_1**"
"H_C_2","1.162071","1413.415","410.5941","409.4512","0.9998759","0.9998655","31.51","29.52",NA,NA,NA,NA,NA,NA,"5462.74","3813.263","64.82555",NA,"-20.92831","3813.263","12590.5","31.65826","l4","1.181619","0.9948354","40.71201","0","29","1.840182","273.2411","612.5113","23.43391","4.657087e-05","1.071736","0.2379428","0","H_C_2"
"N_C_2","1.168851","1053.96","398.8559","397.713","0.9999327","0.9999271","30.24","28.24",NA,NA,NA,NA,NA,NA,"5810.443","3999.992","70.90724",NA,"-20.07899","3999.992","13709.71","30.38987","l4","1.188139","0.9952156","45.68826","0","28","1.914058","222.812","140.7956","11.21206","3.857228e-05","1.124067","0.06973195","0","N_C_2"
"S_C_2","1.152585","865.3877","390.9706","389.8278","0.9999198","0.9999132","30.27","28.27",NA,NA,NA,NA,NA,NA,"5269.007","3757.462","95.11236",NA,"-19.98911","3757.462","11834.44","30.42533","l4","1.173865","0.9953718","57.98166","0","28","1.924847","231.0568","189.0037","12.99051","2.716794e-05","1.09966","0.1083471","0","S_C_2"
