"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.18763","16039.4","507.7556","506.6128","0.9987352","0.9986298","36.89","34.05",NA,NA,NA,NA,NA,NA,"6890.488","3813.885","19.74051",NA,"-17.20962","3813.885","20621.7","37.14203","l4","1.203952","0.9926263","12.56827","0","34","1.826785","329.1247","811.869","27.20723","7.238993e-06","1.335396","0.6335099","0","H_C_1"
"N_C_1","1.182921","21011.42","518.5564","517.4135","0.9986798","0.9985697","35.87","32.97",NA,NA,NA,NA,NA,NA,"6716.022","3744.209","26.40937",NA,"-16.38525","3744.209","20103.57","36.1421","l4","1.163734","0.9895554","48.36787","0","32","1.930805","208.862","34.38082","5.581901","2.435044e-06","1.338294","0.4497829","0","N_C_1"
"*S_C_1*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_1*"
"H_T_1","0.9996869","9.152368","209.004","207.8612","0.6557667","0.6270806","1","29.97",NA,NA,NA,NA,NA,NA,"3609.035","3616.287","3643.068",NA,"16.7068","3606.719","3616.287","27.99085","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_1"
"N_T_1","1.156459","484.7513","367.789","366.6461","0.9997971","0.9997802","38.17","35.95",NA,NA,NA,NA,NA,NA,"5267.249","3578.69","28.31754",NA,"-22.7764","3578.69","12472.36","38.31462","l4","1.176711","0.9965478","15.36616","0","35","1.805757","258.5132","82.20817","8.669588","1.812741e-06","1.028035","0.433079","0","N_T_1"
"S_T_1","1.187023","4861.736","460.0096","458.8667","0.9989448","0.9988569","37.79","35.48",NA,NA,NA,NA,NA,NA,"5617.744","3459.919","12.81595",NA,"-21.65179","3459.919","14901.06","37.95341","l4","1.20324","0.9934517","8.026864","0","35","1.863227","214.3327","23.26514","4.612048","1.039041e-06","1.025132","0.3772332","0","S_T_1"
"NT_C_1","1.000192","8.007332","203.6578","202.515","0.9900342","0.9892037","9.07","1",NA,NA,NA,NA,NA,NA,"3373.55","3372.903","3372.903",NA,"-1.723422","3372.903","3482.402","19.56776","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_1"
"H_C_2","1.002992","60.19104","284.3445","283.2016","0.8333118","0.8194211","1.77","1.29",NA,NA,NA,NA,NA,NA,"4002.649","3990.7","3987.251",NA,"-5.069603","3990.7","4090.979","1.91408","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_2"
"N_C_2","1.199722","23114.84","522.3727","521.2299","0.998885","0.9987921","36.64","33.77",NA,NA,NA,NA,NA,NA,"7986.35","4213.259","17.05286",NA,"-16.96851","4213.259","24909.06","36.89281","l4","1.168405","0.9940641","45.23508","0","33","1.887699","204.9074","25.13658","4.780318","3.767665e-06","1.367302","0.7250369","0","N_C_2"
"*S_C_2*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_2*"
"H_T_2","0.9998682","3.948563","175.3776","174.2347","0.8615312","0.8499921","1","40",NA,NA,NA,NA,NA,NA,"3658.533","3674.274","3677.871",NA,"1.234154","3.974508","3674.274","3303.746","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_2"
"**N_T_2**","1.000017","5.298353","187.1394","185.9965","0.8284331","0.8141358","20.15","1",NA,NA,NA,NA,NA,NA,"3691.373","3691.31","3691.31",NA,"-1.637201","3691.31","3727.056","47.96992","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**N_T_2**"
"**S_T_2**","1.000056","6.437566","194.9295","193.7867","0.9183532","0.9115493","11.34","1",NA,NA,NA,NA,NA,NA,"3557.305","3557.107","3557.107",NA,"-1.584325","3557.107","3598.308","28.97686","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**S_T_2**"
"NT_C_2","1.000302","7.711101","202.15","201.0071","0.9654364","0.9625561","1","40",NA,NA,NA,NA,NA,NA,"3472.548","3422.108","3430.854",NA,"-0.8297271","3422.108","1292658","8205255","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_2"
"H_C_3","1.002323","56.02889","281.4782","280.3354","0.915724","0.908701","1.83","1",NA,NA,NA,NA,NA,NA,"4202.772","4193.03","4193.03",NA,"-3.115097","4193.03","4327.453","2.266828","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_3"
"*N_C_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_C_3*"
"*S_C_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_3*"
"H_T_3","1.141778","828.5789","389.232","388.0891","0.9991837","0.9991157","38.42","36.84",NA,NA,NA,NA,NA,NA,"4925.436","3777.838","37.25107",NA,"-32.09542","3777.838","9641.122","38.49838","l4","1.135693","0.9355411","48.26795","0","36","1.999856","236.8449","36.81613","5.809313","1.883752e-08",NA,NA,NA,"H_T_3"
"*N_T_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_T_3*"
"S_T_3","1.171434","1020.981","397.5843","396.4414","0.999299","0.9992406","38.65","36.9",NA,NA,NA,NA,NA,NA,"5045.021","3561.006","14.6954",NA,"-29.1865","3561.006","11176.67","38.73796","l4","1.187811","0.9852967","9.174533","0","36","1.872364","245.5312","46.86269","6.554195","2.405295e-07","1.015722","0.3627202","0","S_T_3"
"**NT_C_3**","1.000093","5.759667","190.4787","189.3358","0.9539798","0.9501448","18.88","4.76",NA,NA,NA,NA,NA,NA,"3502.391","3501.585","3500.841",NA,"-2.22512","3501.585","3547.933","29.17483","l4",NA,NA,NA,NA,"4","0.1129143","23.01424","9.993918","1.580658","4.98198",NA,NA,NA,"**NT_C_3**"
"H_C_4","1.211992","27103.49","528.7402","527.5974","0.9989585","0.9988717","36.22","33.4",NA,NA,NA,NA,NA,NA,"8096.781","4125.272","13.16516",NA,"-17.0266","4125.272","25890.09","36.47526","l4","1.16288","0.9939351","59.02553","0","33","1.875158","318.5509","786.8729","26.74582","5.976866e-06","1.406104","0.7541901","0","H_C_4"
"N_C_4","1.199585","25974.07","527.0377","525.8948","0.9986758","0.9985655","36.59","33.79",NA,NA,NA,NA,NA,NA,"7835.319","4195.702","16.734",NA,"-17.33063","4195.702","24079.95","36.83614","l4","1.169135","0.9906848","43.27549","0","33","1.902497","203.627","24.17994","4.688471","2.724807e-06","1.376675","0.6564388","0","N_C_4"
"*S_C_4*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_4*"
"*H_T_4*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_T_4*"
"N_T_4","1.187535","3183.191","443.0691","441.9262","0.9993605","0.9993072","37.84","35.59",NA,NA,NA,NA,NA,NA,"5985.576","3726.119","13.19584",NA,"-22.27289","3726.119","15695.61","37.99775","l4","1.204173","0.9947762","8.179494","0","35","1.841787","234.0224","40.83417","6.110163","1.508721e-06","1.242289","0.1452651","0","N_T_4"
"S_T_4","1.207189","12819.23","498.7916","497.6487","0.9987349","0.9986295","37.6","35.1",NA,NA,NA,NA,NA,NA,"6990.691","3900.561","9.423472",NA,"-19.9594","3900.561","20442.62","37.7844","l4","1.221001","0.9929","6.429028","0","35","1.844666","247.8515","60.62061","7.444767","2.654327e-06","1.346285","0.6283702","0","S_T_4"
"**NT_C_4**","1.000042","3.837436","174.2357","173.0928","0.9663206","0.963514","18.72","2.36",NA,NA,NA,NA,NA,NA,"3761.179","3760.944","3760.803",NA,"-2.059138","3760.944","3809.41","31.3256","l4",NA,NA,NA,NA,"2","0.9750801","-100.0004","-4.135903e-25","4.547474e-13","192.8825",NA,NA,NA,"**NT_C_4**"
"H_C_5","1.202139","1385.259","409.7892","408.6463","0.9992842","0.9992245","39.57","37.72",NA,NA,NA,NA,NA,NA,"6639.749","4298.916","6.401185",NA,"-28.17186","4298.916","16347.63","39.67343","l4","1.22107","0.988856","3.66672","0","37","1.925351","360.8206","882.1598","28.47162","8.347584e-08",NA,NA,NA,"H_C_5"
