"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.eff","LRE.eff","sli.rsq","sli.init","sli.base","LRE.rsq","LRE.base","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"H_C_1","1.412129","267.5067","344.0093","342.8664","0.552521","0.5152311","25.6","24.44",NA,NA,NA,NA,NA,NA,"16.24956","9.033822","0.003531109",NA,"-29.16332","9.033822","46.0549","25.65808","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_1"
"N_C_1","1.317437","403.4893","360.4495","359.3067","0.5352394","0.4965093","23.52","22.1",NA,NA,NA,NA,NA,NA,"20.10936","11.87026","0.04543286",NA,"-21.92785","11.87026","55.47397","23.61813","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_1"
"S_C_1","1.305853","358.9842","355.7747","354.6318","0.5645153","0.528225","23.45","21.88",NA,NA,NA,NA,NA,NA,"19.34698","11.14908","0.05634365",NA,"-19.75281","11.14908","55.07102","23.57275","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_1"
"**H_T_1**","1","53.88032","279.9141","278.7713","0.4691449","0.4249069","28.4","5.94",NA,NA,NA,NA,NA,NA,"11.42484","11.42484","11.42484",NA,"-109.0426","11.42484","25.56988","28.40552","l4","1.055597",NA,"1.028504","1","5.560662","0","0.02092343","0",NA,NA,NA,NA,NA,"**H_T_1**"
"N_T_1","1.250869","546.7476","372.603","371.4602","0.3890026","0.3380862","23.12","21.26",NA,NA,NA,NA,NA,NA,"17.31104","10.34586","0.1484559",NA,"-16.49565","10.34586","48.77166","23.29489","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_1"
"*S_T_1*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_1*"
"NT_C_1","1.000046","61.15341","284.9789","283.8361","3.498933e-05","-0.08329543","2","82",NA,NA,NA,NA,NA,NA,"13.97819","1.116399","13.92571",NA,"-0.00818459","1.116399","26.65563","14.05335","l4",NA,"1.005732",NA,NA,NA,NA,NA,NA,"82","280.7398","57.89208","7.317798","9.016523","NT_C_1"
"H_C_2","1.363728","65.09206","287.4756","286.3328","0.6657648","0.6379119","27.81","27",NA,NA,NA,NA,NA,NA,"13.88068","9.174905","0.003197158",NA,"-45.68455","9.174905","32.77545","27.83419","l4",NA,"1.007007",NA,NA,NA,NA,NA,NA,"27","182.3771","42.02722","6.112081","18.55581","H_C_2"
"N_C_2","1.249569","505.8316","369.4917","368.3488","0.5042726","0.462962","22.13","20.27",NA,NA,NA,NA,NA,NA,"21.07741","12.66883","0.2304029",NA,"-15.79639","12.66883","59.19592","22.30531","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_2"
"S_C_2","1.30234","541.1376","372.1905","371.0476","0.525357","0.4858034","21.02","19.29",NA,NA,NA,NA,NA,NA,"20.51209","11.46911","0.1255968",NA,"-16.12101","11.46911","61.318","21.18","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_2"
"H_T_2","1.227383","65.45079","287.6955","286.5526","0.5020412","0.4605446","28.3","27.47",NA,NA,NA,NA,NA,NA,"14.22236","10.82975","0.05113186",NA,"-45.1877","10.82975","27.85128","28.3285","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_2"
"N_T_2","1.246755","59.42221","283.8302","282.6874","0.526073","0.4865791","29.51","28.94",NA,NA,NA,NA,NA,NA,"15.77276","12.2574","0.02666879",NA,"-68.07448","12.2574","29.53533","29.52607","l4",NA,"1.016359",NA,NA,NA,NA,NA,NA,"28","206.1628","77.6874","8.32849","4.30008","N_T_2"
"S_T_2","1.170156","58.65425","283.3099","282.1671","0.4580064","0.4128403","29.88","29.19",NA,NA,NA,NA,NA,NA,"17.74567","14.6416","0.1807418",NA,"-56.59237","14.6416","29.86431","29.90105","l4",NA,"1.013433",NA,NA,NA,NA,NA,NA,"29","209.0499","66.95873","7.748029","4.663448","S_T_2"
"**NT_C_2**","0.7855846","82.74198","297.0726","295.9297","0.1566318","0.08635116","82","2.43",NA,NA,NA,NA,NA,NA,"29.69347","46.20756","53.37553",NA,"2.046757","13.72104","46.20756","2.390727","l4",NA,"0.9303658",NA,NA,NA,NA,NA,NA,"2","-Inf","0","0","3.923188","**NT_C_2**"
"H_C_3","1.013146","93.2723","301.8644","300.7216","0.6316421","0.6009456","29.06","27.27",NA,NA,NA,NA,NA,NA,"15.57439","15.35916","10.90781",NA,"-75.03104","15.35916","41.90725","29.07423","l4",NA,"1.011744",NA,NA,NA,NA,NA,NA,"27","205.3489","98.4084","9.352761","11.38752","H_C_3"
"N_C_3","1.311259","488.2701","368.0783","366.9354","0.5568343","0.5199038","22.89","21.37",NA,NA,NA,NA,NA,NA,"22.31415","12.92615","0.06816781",NA,"-19.87896","12.92615","63.09959","23.00887","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_3"
