"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.191366","45272.99","549.2622","548.1193","0.9989371","0.9988486","31.87","28.76",NA,NA,NA,NA,NA,NA,"7030.256","3687.771","45.69978",NA,"-13.61246","3687.771","22725.63","32.22059","l4","1.228622","0.9865141","18.5699","0","28","1.860698","265.563","648.1554","24.0564","0.0001033029","1.444154","0.7214107","0","H_C_1"
"N_C_1","1.187878","40721.97","545.0244","543.8816","0.9989561","0.9988691","32","28.88",NA,NA,NA,NA,NA,NA,"6880.116","3658.714","47.66312",NA,"-13.66668","3658.714","22015.96","32.34187","l4","1.135492","0.9906255","206.6742","0","28","1.885078","192.6699","47.98108","6.545247","6.552761e-05","1.455891","0.7408731","0","N_C_1"
"S_C_1","1.195644","51294.79","554.2573","553.1144","0.9989147","0.9988242","31.67","28.57",NA,NA,NA,NA,NA,NA,"7198.487","3727.736","43.66758",NA,"-13.59281","3727.736","23509.29","32.01489","l4","1.235106","0.9869194","17.33227","0","28","1.866239","217.9448","118.3305","10.27873","0.0001103171","1.467198","0.7026495","0","S_C_1"
"H_T_1","1.191068","35248.88","539.2511","538.1082","0.9981331","0.9979776","35.02","32.16",NA,NA,NA,NA,NA,NA,"6418.957","3522.251","23.19247",NA,"-16.29676","3522.251","19541.69","35.28392","l4","1.225469","0.9876799","9.319996","0","32","1.846617","251.0294","128.4103","10.78758","1.373692e-05","1.392153","0.514487","0","H_T_1"
"N_T_1","1.190506","41551.72","545.8313","544.6884","0.9988214","0.9987232","32.66","29.6",NA,NA,NA,NA,NA,NA,"6845.294","3630.216","39.24054",NA,"-14.18054","3630.216","21782.65","32.98631","l4","1.226909","0.9865592","16.22826","0","29","1.872462","195.2912","41.66414","6.111796","4.992376e-05","1.448889","0.675471","0","N_T_1"
"S_T_1","1.184893","32955.96","536.5606","535.4178","0.9986809","0.998571","33.64","30.65",NA,NA,NA,NA,NA,NA,"6473.079","3546.894","35.71439",NA,"-14.94943","3546.894","19910.18","33.94012","l4","1.217669","0.9851026","15.69786","0","30","1.857903","234.664","124.3314","10.5782","2.96226e-05","1.435004","0.6783317","0","S_T_1"
"NT_C_1","1.255294","418.9505","361.9536","360.8108","0.9997924","0.9997751","40","38.17",NA,NA,NA,NA,NA,NA,"6568.609","3560.164","1.117783",NA,"-25.88666","3560.164","19248.18","40.35122","l4","1.253229","0.9896147","1.22769","0","38","1.849622","296.691","126.6582","10.80087","3.553189e-07","1.009786","0.7122777","0","NT_C_1"
"H_C_2","1.198931","65783.37","564.2084","563.0656","0.998945","0.9988571","31.59","28.42",NA,NA,NA,NA,NA,NA,"7995.115","4020.149","46.07774",NA,"-13.24028","4020.149","26788.68","31.95806","l4","1.240454","0.9897913","17.42858","0","28","1.862861","251.3164","389.6784","18.6528","0.0001466843","1.477052","0.7665282","0","H_C_2"
"N_C_2","1.204853","69375.45","566.3351","565.1922","0.9989067","0.9988155","31.81","28.7",NA,NA,NA,NA,NA,NA,"8070.447","4019.611","38.37901",NA,"-13.62017","4019.611","27154.34","32.15903","l4","1.244175","0.9864845","15.32758","0","28","1.891321","179.0691","29.51979","5.133902","8.308226e-05","1.478023","0.752852","0","N_C_2"
"S_C_2","1.18985","56243.6","557.9414","556.7986","0.9990098","0.9989273","30.79","27.55",NA,NA,NA,NA,NA,NA,"7481.268","3876.987","62.25309",NA,"-12.68632","3876.987","24762.15","31.17321","l4","1.128681","0.9940768","324.0016","0","27","1.883048","174.2012","31.04712","5.253327","0.0001721204","1.457294","0.7375846","0","S_C_2"
"H_T_2","1.206103","44975.69","548.9986","547.8558","0.9983109","0.9981702","34.85","32.03",NA,NA,NA,NA,NA,NA,"7091.883","3705.062","17.53939",NA,"-16.37336","3705.062","22346.82","35.1137","l4","1.239954","0.9883312","7.210116","0","32","1.855243","234.0248","75.47779","8.270535","1.501954e-05","1.433773","0.6355204","0","H_T_2"
"N_T_2","1.200752","38326.19","542.5991","541.4562","0.998599","0.9984822","34.82","31.92",NA,NA,NA,NA,NA,NA,"7196.095","3774.129","20.93842",NA,"-15.95276","3774.129","22740.79","35.09669","l4","1.231971","0.9890165","9.201626","0","31","1.882999","211.013","45.273","6.394665","1.082784e-05","1.430542","0.7299801","0","N_T_2"
"S_T_2","1.204608","40954.37","545.2521","544.1092","0.9982248","0.9980769","35.17","32.38",NA,NA,NA,NA,NA,NA,"6915.961","3665.246","16.67524",NA,"-16.75384","3665.246","21563.5","35.42419","l4","1.237037","0.9877638","7.12224","0","32","1.865604","224.9192","56.78596","7.173721","9.84594e-06","1.383017","0.4428101","0","S_T_2"
"NT_C_2","1.165538","89.25935","300.1054","298.9625","0.999345","0.9992904","40","40",NA,NA,NA,NA,NA,NA,"5508.46","3618.597","12.02207",NA,"-21.38842","3618.597","114979.4","48.35948","l4","1.049288","0.8818969","693.6652","0","40","1.730657","298.0342","89.20515","9.083764","9.728943e-07",NA,NA,NA,"NT_C_2"
