"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.eff","LRE.eff","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"H_C_1","1.404264","330.1714","352.428","351.2851","0.5865878","0.5521367","15.47","14.33",NA,NA,NA,NA,NA,NA,"19.76954","11.44396","0.1524254",NA,"-17.89391","11.44396","56.60194","15.57175","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_C_1"
"N_C_1","1.653677","424.0406","362.4367","361.2938","0.5501687","0.5126828","17.1","16.59",NA,NA,NA,NA,NA,NA,"20.98259","11.98349","0.004986091",NA,"-44.2808","11.98349","57.19944","17.11996","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_C_1"
"S_C_1","1.643896","385.1069","358.5844","357.4415","0.6393567","0.6093031","16.1","15.25",NA,NA,NA,NA,NA,NA,"20.53832","10.26853","0.01048293",NA,"-25.07633","10.26853","63.57592","16.14677","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_C_1"
"H_T_1","1.141522","442.6239","364.1523","363.0095","0.5490063","0.5114235","17.95","17.38",NA,NA,NA,NA,NA,NA,"20.25667","17.72978","2.029968",NA,"-86.88868","17.72978","63.1053","17.95553","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_T_1"
"N_T_1","1.682597","421.643","362.2099","361.067","0.5639275","0.5275881","17.38","16.91",NA,NA,NA,NA,NA,NA,"21.45761","12.15211","0.003237856",NA,"-48.43971","12.15211","58.271","17.39697","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_T_1"
"S_T_1","1.621669","423.7331","362.4077","361.2648","0.5747428","0.5393047","17.71","17.28",NA,NA,NA,NA,NA,NA,"23.47168","14.02455","0.005525805",NA,"-54.69658","14.02455","61.04949","17.72175","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_T_1"
"NT_C_1","1.146368","154.8207","322.1342","320.9914","0.5742061","0.5387233","24.48","22.94",NA,NA,NA,NA,NA,NA,"24.276","18.72959","1.057516",NA,"-21.07954","18.72959","48.33433","24.59372","l4",NA,"1.003982",NA,"22","171.8404","116.2821","10.02125","30.55507","NT_C_1"
"H_C_2","1.6558","397.5008","359.8514","358.7085","0.5999209","0.5665809","15.48","14.83",NA,NA,NA,NA,NA,NA,"21.4329","11.6082","0.01211139",NA,"-31.33235","11.6082","61.51228","15.51062","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_C_2"
"N_C_2","1.483844","436.4492","363.5904","362.4475","0.5604495","0.5238203","15.64","14.72",NA,NA,NA,NA,NA,NA,"21.4313","12.20295","0.06430059",NA,"-22.44452","12.20295","60.82868","15.70335","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_C_2"
"S_C_2","1.52017","425.1344","362.5397","361.3969","0.5873983","0.5530149","16.36","15.81",NA,NA,NA,NA,NA,NA,"26.12739","16.25696","0.03478418",NA,"-39.26952","16.25696","65.6426","16.37845","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_C_2"
"H_T_2","1.518529","358.1251","355.6788","354.536","0.6293287","0.5984394","17.23","16.77",NA,NA,NA,NA,NA,NA,"27.01078","17.19316","0.02449482",NA,"-49.07097","17.19316","65.97446","17.24776","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_T_2"
"N_T_2","1.615796","422.2269","362.2652","361.1224","0.582687","0.5479109","17.89","17.46",NA,NA,NA,NA,NA,NA,"23.89865","14.33737","0.005494701",NA,"-55.33017","14.33737","61.99949","17.90176","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_T_2"
"S_T_2","1.838122","433.1345","363.2855","362.1426","0.5989443","0.565523","17.18","16.71",NA,NA,NA,NA,NA,NA,"20.75854","10.66653","0.0007934151",NA,"-48.45176","10.66653","61.02992","17.19416","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_T_2"
"NT_C_2","1.153581","148.3269","320.4203","319.2774","0.6551511","0.6264137","24.19","22.64",NA,NA,NA,NA,NA,NA,"26.89876","20.44807","1.059156",NA,"-20.60588","20.44807","54.78175","24.30684","l4",NA,"1.001584",NA,"22","174.1279","129.0232","10.556","136.0581","NT_C_2"
"H_C_3","1.742943","379.3837","357.9854","356.8426","0.639684","0.6096576","16.48","16",NA,NA,NA,NA,NA,NA,"22.55431","12.26712","0.003109555",NA,"-45.47177","12.26712","64.10591","16.49884","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_C_3"
"N_C_3","1.542174","422.8062","362.3201","361.1772","0.5805158","0.5455588","16.71","16.28",NA,NA,NA,NA,NA,NA,"26.25504","16.56532","0.02271972",NA,"-51.49461","16.56532","64.65394","16.7212","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_C_3"
"S_C_3","1.523052","416.8562","361.7532","360.6103","0.6126512","0.5803721","16.47","15.95",NA,NA,NA,NA,NA,NA,"27.32677","17.08851","0.03328815",NA,"-41.54301","17.08851","68.48638","16.49323","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_C_3"
"H_T_3","1.507026","385.3211","358.6066","357.4637","0.6069701","0.5742176","18.22","17.76",NA,NA,NA,NA,NA,NA,"26.72665","17.18227","0.01834512",NA,"-52.81211","17.18227","64.95096","18.23279","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_T_3"
"N_T_3","1.654904","488.0793","368.0626","366.9198","0.5695359","0.5336639","15.47","14.86",NA,NA,NA,NA,NA,NA,"22.75997","12.51793","0.01277055",NA,"-33.17558","12.51793","64.38624","15.50155","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_T_3"
"S_T_3","1.457671","332.4909","352.708","351.5652","0.6331627","0.6025929","18.78","18.35",NA,NA,NA,NA,NA,NA,"28.55009","19.13774","0.0283436",NA,"-58.17324","19.13774","65.79343","18.78904","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_T_3"
"NT_C_3","1.096768","232.9258","338.4723","337.3295","0.4956466","0.4536172","25.5","23.56",NA,NA,NA,NA,NA,NA,"31.84528","26.00596","3.61357",NA,"-17.48456","26.00596","57.96911","25.66785","l4",NA,"1.007262",NA,"23","203.7281","334.221","17.04778","21.12471","NT_C_3"
"H_C_4","1.751784","388.9355","358.9801","357.8372","0.6356538","0.6052916","16.42","15.89",NA,NA,NA,NA,NA,NA,"22.06894","11.72344","0.002984513",NA,"-41.14833","11.72344","63.91402","16.4389","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_C_4"
"N_C_4","1.410237","434.8122","363.4401","362.2972","0.58404","0.5493767","15.86","15.17",NA,NA,NA,NA,NA,NA,"28.508","18.76004","0.1549554",NA,"-30.62331","18.76004","69.01804","15.89233","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_C_4"
"S_C_4","1.513468","405.4535","360.6438","359.5009","0.6187545","0.5869841","17.6","17.14",NA,NA,NA,NA,NA,NA,"27.98327","17.90061","0.0230228",NA,"-50.75769","17.90061","68.41087","17.61541","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_C_4"
"H_T_4","1.422384","378.7718","357.9209","356.778","0.6282985","0.5973234","18.55","18.08",NA,NA,NA,NA,NA,NA,"31.28367","21.35373","0.05355189",NA,"-51.89884","21.35373","70.77507","18.56739","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_T_4"
"N_T_4","1.460688","392.0849","359.3027","358.1598","0.6547196","0.6259462","18.58","18.1",NA,NA,NA,NA,NA,NA,"31.66912","20.98742","0.0332772",NA,"-51.82242","20.98742","74.23918","18.58941","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_T_4"
"S_T_4","1.471137","310.3772","349.9551","348.8122","0.6780792","0.6512525","19.2","18.62",NA,NA,NA,NA,NA,NA,"27.89863","17.84345","0.02108062",NA,"-43.4099","17.84345","67.80665","19.22077","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_T_4"
"NT_C_4","1.100938","251.4015","341.5256","340.3827","0.4457426","0.3995545","26.75","24.85",NA,NA,NA,NA,NA,NA,"29.80745","24.17001","2.732259",NA,"-18.67861","24.17001","54.72661","26.90804","l4",NA,"1.01137",NA,"24","215.0834","373.9534","18.08892","12.96344","NT_C_4"
"H_C_5","1.445561","455.072","365.2617","364.1189","0.5818378","0.5469909","14.97","13.95",NA,NA,NA,NA,NA,NA,"23.10381","13.32996","0.1352616",NA,"-19.59637","13.32996","66.02944","15.04418","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_C_5"
"N_C_5","1.499781","456.2274","365.3632","364.2203","0.5564264","0.519462","16.48","16",NA,NA,NA,NA,NA,NA,"26.70743","17.17189","0.04075567",NA,"-45.20212","17.17189","64.96229","16.49938","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_C_5"
"S_C_5","1.569725","444.0555","364.2815","363.1386","0.5824232","0.5476251","16.74","16.32",NA,NA,NA,NA,NA,NA,"26.31617","16.33361","0.01676412",NA,"-53.11785","16.33361","65.77374","16.74778","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_C_5"
