Rep 1,,Rep 2,,Rep diff
Well,Cq,Well,Cq,
A01,26.89455893,A07,27.60051074,0.705951809
A02,28.22090545,A08,28.00472029,0.216185157
A03,27.17780876,A09,27.2197144,0.041905646
A04,29.6156953,A10,29.8276431,0.211947804
A05,29.17490742,A11,29.25910246,0.084195048
A06,29.5768209,A12,29.98455115,0.407730249
B01,27.22548817,B07,27.8246657,0.599177529
B02,26.77018323,B08,25.1619237,1.608259532
B03,26.86330342,B09,26.91912164,0.055818214
B04,28.5194899,B10,28.66371749,0.144227588
B05,29.57075912,B11,29.63103291,0.06027379
B06,28.73888682,B12,28.57647249,0.162414338
C01,28.13034293,C07,28.31224332,0.181900393
C02,27.36524768,C08,27.60814663,0.242898946
C03,26.90043076,C09,27.06730189,0.166871131
C04,29.18105571,C10,29.43317719,0.252121488
C05,27.00055841,C11,26.66758805,0.332970359
C06,30.36885935,C12,30.53989453,0.171035186
D01,28.51876714,D07,28.81331152,0.294544375
D02,26.19423582,D08,25.88833491,0.305900911
D03,27.41052539,D09,27.38913821,0.02138718
D04,29.40074233,D10,29.11735482,0.28338751
D05,29.78021891,D11,29.90100234,0.120783437
D06,29.4158297,D12,29.64293904,0.227109338
E01,27.19757494,E07,27.10508273,0.09249221
E02,26.46834848,E08,26.29760195,0.170746529
E03,26.9692158,E09,27.0206042,0.0513884
E04,29.12498616,E10,29.21377334,0.088787176
E05,27.31349064,E11,27.42306239,0.10957175
E06,30.24174403,E12,30.71898028,0.477236254
F01,33.96162049,F07,34.08550721,0.123886719
F02,27.50772945,F08,27.77163912,0.263909668
F03,26.43705729,F09,26.55265712,0.115599835
F04,29.06626751,F10,28.82280407,0.243463434
F05,29.59162725,F11,29.18196196,0.409665294
F06,29.21818025,F12,29.12982623,0.088354027
G01,26.73940119,G07,26.67675027,0.062650921
G02,26.46424908,G08,26.51755393,0.053304853
G03,27.250278,G09,27.02753936,0.222738638
G04,28.05099168,G10,28.19007863,0.139086953
G05,NaN,G11,29.09527997,#VALUE!
G06,27.66168207,G12,27.40699301,0.254689055
H01,26.81311221,H07,26.55684714,0.256265076
H02,28.13723655,H08,28.12702137,0.010215183
H03,27.34756031,H09,27.14364863,0.203911676
H04,28.58444235,H10,28.58917157,0.004729216
H05,31.87168961,H11,31.30880897,0.562880637
H06,29.49135228,H12,29.82533071,0.333978428
