,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,4033.82621963056,4193.44964514898,4052.86784291882,4018.91675007467,3855.69896733239,3925.54940651322,3719.209924098,4118.11921214685,4233.8926899537,4178.24566580261,4199.08884469187,3979.14588344332,3939.81808889289,3860.17229927661,4144.05863209328,4436.64888205949,4204.43849729433,4235.4664893288,4044.6892667008,4088.95674094939,3936.37246019911,3988.2033568652,4473.89085144834,4085.19635662331,4262.26925343106,4185.27055646174,4398.5939261363,4033.19677860736,4001.97015393877,4289.50316234069,4173.00090977788,4325.0105276657,4153.33711895774,4300.20045529382,4080.32700550363,4201.85530878546,4066.98437329066,4277.1185994492,4224.04930915845,4234.96031482148,3890.22003805256,4084.9499737209,4173.83761881327,4142.51490888422,4080.47342912737,3980.26504537625,3832.11385925876,3783.07670539132,3942.86863488757,3893.33511526215,3874.85369015994,3792.44418518756
,2,4090.58789532797,4197.73253376774,4042.54859423612,4011.12155170751,3850.15264434451,3914.54584258985,3710.84384727394,4163.8728652889,4225.54784115803,4159.62413837934,4180.47704786046,3967.56517051788,3943.51860230046,3849.79690672296,4175.5089965202,4423.82491845598,4190.62534489072,4219.41442854255,4027.49963031807,4079.91777508201,3922.3355356269,4011.69747773477,4461.40437933188,4070.12183548277,4245.52572017767,4163.39547246191,4376.47506905525,4022.30005563895,4026.13461552925,4273.77080163371,4157.35347469619,4302.30783471994,4130.89023052345,4281.63305658869,4115.71944606764,4188.88546683422,4050.99376907152,4261.92429363699,4201.86573120813,4220.0751412176,3922.80061409391,4073.90757105293,4163.85416159089,4126.7334129194,4063.66391201185,3966.48925065812,3863.55493386424,3801.25485212539,3974.95384809128,3913.45043309514,3873.28254488279,3787.24876720373
,3,4135.00087437808,4205.52179739717,4039.09998932273,4010.08884934517,3839.98993268041,3906.71383244493,3703.25937311717,4195.8143429416,4225.03018427256,4153.61397507422,4174.96328691817,3966.26859330407,3936.4084906787,3843.34543566529,4207.21501685936,4420.81120293496,4185.13363306279,4205.66010942026,4021.54003296519,4072.49028684014,3908.92110431759,4034.26979231774,4450.81736637116,4057.96607067458,4236.97995219153,4153.08803043669,4370.72822102949,4006.40380959953,4049.19501285314,4271.35927202628,4152.26562830665,4289.72896626565,4122.50734651922,4280.18838068812,4134.43786336105,4186.04728424429,4045.63225240633,4262.78868400755,4194.45770233212,4207.19054752066,3936.17215904591,4065.99670179833,4152.50258723887,4111.39267179407,4054.32110228429,3959.27192228039,3890.37314145224,3839.64870091825,4000.17654809496,3918.28836158585,3861.29395534337,3780.94756401072
,4,4157.9593290698,4211.67655753143,4033.60455484062,4004.46313451424,3839.45696691628,3903.58811768886,3700.77468039117,4217.52301237151,4225.62238745097,4148.96693399693,4171.98496886037,3963.50255455992,3933.94967439727,3831.41441448756,4222.97074861399,4424.06662531235,4183.04700031589,4204.46523318415,4017.49926142882,4072.33203391721,3902.05062335001,4046.33313199912,4450.55576708944,4055.71747971908,4232.90814558098,4145.99447190552,4371.83250369485,4003.39337738561,4069.94619681397,4270.28094686967,4153.20342817433,4292.68957138057,4117.18689445262,4274.89223037078,4169.64070204215,4189.89009113642,4038.2619582368,4259.54728383231,4190.89018594544,4207.39775384922,3956.16907622406,4066.56923021667,4147.78700154413,4103.32135387849,4050.15745404735,3954.45052559409,3900.11326432826,3836.78715864591,4007.61758194961,3915.31950387202,3868.24033279444,3787.15642348909
,5,4176.03957801275,4220.79774146374,4030.66785277982,4002.32590872287,3842.88055808556,3903.31552107356,3702.4465653523,4229.18852469278,4225.39785517188,4152.48418148214,4170.57776348808,3962.86752503427,3937.33433793385,3836.07693698812,4231.31673418751,4422.3586646199,4179.03029421909,4202.99104937759,4012.42009209835,4076.27776732849,3902.45475310163,4053.52836163376,4454.71548611522,4052.58131032571,4232.36271463176,4145.02509118882,4365.1428932789,3989.23161510965,4074.914501968,4269.79488753933,4150.15679269747,4286.48241038046,4120.98032160673,4272.29767158476,4163.45811122395,4188.46908918967,4040.08342274719,4251.90570669333,4192.07924686482,4206.16263276249,3959.86370860881,4069.7106900499,4145.75502947522,4107.46081957346,4044.48318406841,3958.38125382962,3925.10708005386,3830.32837660136,4010.85737539582,3913.2006493321,3868.07393210667,3784.90548168744
,6,4185.66531941113,4220.25357587742,4032.34821331499,3997.72618705191,3841.95796559812,3904.93147703947,3702.01598160302,4232.62984243939,4233.08059406355,4150.94787400779,4168.27117176118,3961.87440280726,3937.36694486103,3833.21147555662,4240.38387052472,4421.60999211549,4177.00306662657,4197.84146538935,4007.79576879939,4068.43892611418,3898.95959383327,4053.4340346283,4451.1572106324,4048.13870544562,4224.92887223736,4140.62971697747,4368.42341463012,3985.45295198679,4079.51620928658,4266.48136156051,4145.63946198712,4282.95932003688,4112.5871562595,4268.0947278049,4165.85422760739,4192.75554459447,4034.82096425431,4251.06533649021,4186.48579389241,4199.78712782845,3965.91393894203,4067.37659824797,4140.90437437834,4101.24468310346,4043.11116288477,3953.83833173361,3936.81849629426,3826.59871730928,4011.73079160246,3913.27862513398,3864.97755932751,3783.86104196025
,7,4185.60104345403,4224.01948943262,4025.31698914043,3998.81544175187,3841.98780201505,3896.70908532123,3703.8350735275,4234.66782820363,4226.60455394542,4145.54482555209,4160.46358461696,3960.10281355221,3938.32418752626,3833.41521196882,4243.85877837554,4418.90144660513,4173.30065904573,4197.30941743303,4005.10688133944,4070.55387421869,3893.9538366937,4061.39816890727,4450.65314075323,4043.27831069929,4218.06080020209,4141.99208433633,4366.44511726762,3985.35275925709,4087.82779335658,4265.15190579123,4144.09155006266,4274.55531205963,4109.53211471523,4261.43691704489,4194.62918613851,4191.75021569098,4028.48089229349,4247.99932509202,4181.32098350115,4197.94696343195,3974.41254498804,4063.8926219016,4137.56558382965,4091.30717479077,4038.89090368374,3954.12012873922,3945.73735664547,3817.05751639687,4007.94280380796,3913.99374008552,3863.26805051886,3781.24391790038
,8,4190.81056867158,4225.78493185868,4026.76413674946,3996.73610908881,3835.68534806645,3900.96215236943,3700.31329444003,4234.46963807692,4228.15957379028,4147.51178062991,4159.7816230041,3958.81655407992,3937.13924186124,3834.24987549257,4244.71815659042,4418.2713122005,4174.37618001483,4192.35199520391,4004.08921729381,4068.42817579666,3895.94926789179,4063.21222228893,4447.80070029549,4038.05522372014,4216.00078262795,4136.48418176542,4363.46917087305,3984.72285235346,4089.63297381289,4261.33313361327,4132.37397720857,4272.38957217993,4115.75802099641,4261.26216196562,4193.25201805023,4192.54508528747,4026.20539847046,4248.29556490941,4176.70301743437,4196.99165851743,3980.02624656742,4063.81581610891,4132.11137414104,4094.14083686005,4040.33261739449,3956.01672750426,3959.66341252405,3813.46961650268,4003.35864621385,3909.77967608892,3861.90612216435,3781.05520097752
,9,4195.20690868746,4226.50771433325,4025.12378394308,3996.42875367943,3837.54445055931,3901.47433786379,3702.67613688842,4237.75369008067,4231.15201481961,4148.16450636933,4157.84766471738,3957.61700710547,3940.51105550997,3831.82865018386,4246.53853339662,4416.27283401105,4170.10650516816,4188.16384620893,4001.17593912954,4067.53580027921,3896.22894329458,4068.05124272062,4447.59767603751,4040.15022391471,4213.71717640922,4135.85768529637,4361.41085733356,3980.28590287896,4098.82746378127,4269.484227432,4136.64999489744,4273.52955181646,4110.75743534632,4259.6426084814,4195.05673414773,4193.82758410711,4023.26632154157,4246.16720547611,4177.83388606823,4198.14099214777,3983.32788785574,4066.19776818918,4133.14924114859,4089.03001420217,4037.65692652194,3951.90036246881,3969.46299261578,3813.98269583863,4000.61078810969,3909.43347875589,3862.60591892568,3785.91068427792
,10,4194.9858328925,4229.23207777475,4021.80158468748,3995.30193089903,3840.12674833549,3895.92797517435,3700.94015121772,4238.81982449064,4233.39373986351,4145.40984621551,4157.05004559966,3955.13713504767,3938.31183205315,3832.2810138687,4250.13351883475,4416.98953126181,4167.41533923431,4180.20332361373,3997.59211553673,4068.31279783525,3898.17404086267,4071.21864249226,4448.18302636255,4035.53567041553,4210.43601730579,4132.30036567692,4359.51200162657,3978.54092422595,4100.84168215104,4265.69625405905,4135.464468247,4265.56465832512,4113.38682930784,4255.09807821799,4193.37040748347,4198.82143374278,4023.82629145917,4241.20687231469,4178.15472717714,4192.50124691156,3989.28575846319,4067.29423999531,4126.64798344432,4086.75389876425,4039.62367242614,3952.81228329728,3975.34639915451,3806.99244564929,3990.12604374843,3907.86644205384,3862.0121922333,3780.11021867406
,11,4194.17319373796,4230.0341439649,4020.15252460596,3987.48958024409,3840.48015878424,3893.84201600306,3699.38420636977,4234.72008705938,4231.02600863417,4141.66847469237,4150.26334179714,3954.54664001417,3937.15321481119,3833.45851585802,4251.83462747022,4415.72404930558,4167.88913837698,4178.87691484715,3998.34519400027,4067.72655150711,3895.03218379799,4074.71233698307,4450.48478144015,4031.32396520808,4202.76022962466,4132.02118460765,4355.96895112131,3978.2683754939,4100.06274752601,4260.4503709914,4129.98670057574,4262.01806779814,4110.27827723553,4250.92404578033,4192.58550068295,4195.26894199649,4018.17839539943,4239.90721643062,4175.66913010439,4191.54087964484,3989.81227958866,4064.64194443078,4125.78362497397,4084.67395995487,4033.71868807799,3951.17412389223,3982.1834840528,3804.40870291195,3993.96160353438,3906.37477557484,3862.44979844689,3780.31190090701
,12,4195.64126966575,4235.22527117079,4021.35328273225,3986.79745609761,3841.09076511208,3892.10654766714,3700.14900322553,4237.942346645,4228.22041325032,4142.24094862049,4151.32071456852,3951.57911170771,3935.68784790483,3832.74366794156,4253.93580153329,4413.99533701875,4162.53052687116,4174.86885774538,3996.53701315596,4069.6455142707,3898.84962271879,4075.98636487763,4445.93695950656,4030.67205141524,4198.93917534625,4124.1756486508,4351.69377590304,3981.12124462614,4099.03256126663,4264.47067978732,4124.3049876726,4259.8193270311,4108.97110876189,4253.9677303488,4195.5133257667,4201.05323049917,4017.53968240905,4241.1975658489,4172.87618849271,4191.903985331,3995.58013303863,4069.8013715642,4125.62472863514,4077.80227867679,4036.15688558287,3949.40933774194,3988.66374306759,3803.91052517507,3990.85856154257,3902.37379122065,3859.31772036692,3782.37072455046
,13,4199.3244958956,4237.15236697361,4019.96186074019,3981.02228123123,3838.6425438355,3886.19358278358,3697.42913847576,4234.27874142062,4226.66884657583,4141.52226108767,4143.98365156804,3948.15423778349,3934.77972421931,3828.35413206254,4249.93114787185,4415.33234193998,4160.36754803322,4174.78357721335,3991.67677739264,4062.58903398998,3896.51949179838,4082.10418078529,4453.09675904212,4028.75113732381,4199.61325493283,4120.06932613226,4352.61993325003,3976.06546748708,4102.4928423336,4260.55917911484,4123.54016518162,4257.34972934034,4106.93900057818,4249.79215467447,4196.18534033234,4200.87885921466,4015.78859851423,4234.8855226633,4168.6270928938,4193.21921625708,3995.50702816624,4067.4098572676,4117.98206963367,4077.45057322532,4035.08467866433,3953.90366381357,3990.1056920956,3798.59895547011,3990.27039466216,3901.3202327087,3861.52948697005,3782.30479714016
