,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3353.6073464335,3523.35916521566,3538.06359205999,3351.8569006909,3432.04671085775,3305.30632455948,3267.65914994284,3778.3862374613,3794.29805741719,3667.97310279052,3539.68130069459,3590.23071901397,3472.37778531551,3356.74324212319,3622.20211511187,4363.32482414316,3808.21798570645,3606.37690521792,3550.82368438409,3507.45358525487,3330.20631814699,3484.42875741246,3877.175928041,3798.87515913812,3556.24151659454,3614.79487608028,3775.0876668841,3536.59352625256,3676.46314830407,3902.78586166526,3719.90543548935,3598.07719295423,3699.10435822121,3702.61703714734,3819.88667898506,4325.12738190759,3757.85606195149,3668.71236569415,3550.58186236282,3527.38245131014,3522.3608586013,3638.64769580381,3533.53251174828,3610.69356613145,3540.69857024298,3550.66461387416,3354.02612831983,3436.28537180142,3504.29703319136,3500.7414020826,3393.51495008699,3299.80150005651
,2,3400.16244428612,3535.89060399278,3538.64874018107,3352.00350057851,3424.32404178157,3304.12936831619,3272.36229247517,3830.69661372592,3797.34854459194,3660.46582191749,3536.80765771982,3593.1010142855,3471.75877318844,3359.21850450888,3651.31407826206,4359.78547275403,3800.09933733915,3606.28024248002,3547.33725199933,3504.67013553169,3327.34447432359,3512.13448526477,3870.04780100329,3796.39423225462,3556.28992927654,3608.66429142335,3767.77947509956,3531.83144134321,3710.12365637972,3898.77956398745,3715.43414688779,3592.46945471029,3691.77680107569,3690.20407584278,3844.37640145678,4314.95294118741,3754.01903830385,3664.78508962819,3544.05625514196,3518.68859365109,3548.95646396571,3630.42929374516,3529.78374455592,3611.45028220615,3541.54967652026,3542.78615515266,3365.9442051971,3462.9453896952,3522.97063622975,3510.93036887119,3392.41337891366,3293.69462906894
,3,3424.32240277522,3537.21136470685,3541.09711326597,3347.86948517731,3425.78565832555,3305.50319751471,3272.87210387283,3851.12063362109,3797.17185329946,3662.0919267812,3532.54391314463,3591.37580833047,3477.34355832351,3362.69713217745,3671.56895289877,4361.56784802345,3797.30638851659,3603.69813139804,3547.02335267393,3502.75807810804,3329.27652726663,3523.6154014507,3871.41412835374,3792.58720731105,3548.10724299605,3605.15086197326,3759.76637027147,3530.90537657363,3727.35071324638,3893.53369652848,3714.35425170222,3589.64571137914,3693.24291821029,3684.8595528152,3876.93379148062,4311.28946221105,3753.22073903309,3665.28293967304,3544.08609479847,3522.94944549605,3565.66711902771,3638.32982567694,3525.20107702285,3603.65361242174,3535.85381370432,3541.10511706152,3373.73167249124,3465.66479769068,3533.37453910759,3511.07602040018,3390.65837310409,3295.60790025993
,4,3439.16495257371,3539.26567881715,3536.53353888494,3347.76618021521,3427.14819147973,3304.83498362802,3277.66344222929,3863.94863907546,3795.6553077768,3662.70935447029,3534.8287351107,3590.5982682025,3473.927759361,3361.16191281859,3683.68098862314,4366.3381416313,3796.02157897488,3601.51643164988,3544.5766527069,3499.35830460148,3322.14776202952,3537.13550873003,3870.484612071,3788.77233703775,3548.62288559227,3604.29411532963,3757.41840066085,3527.43793306334,3753.39180349438,3895.97414693034,3713.36367340446,3584.88531416038,3690.37502596296,3691.65335740314,3896.61600024692,4314.87558415265,3750.56708695712,3663.04329711008,3541.52923277177,3522.3404403048,3583.83074592324,3633.42276195651,3526.98983222086,3604.80887427247,3533.29306139024,3542.67382601158,3390.17203615446,3473.57358842869,3532.66188806806,3512.15934392437,3394.02191766651,3292.18274694892
,5,3447.09890223622,3545.82394356986,3533.97979180282,3343.99017785628,3424.32764790669,3306.03948606258,3280.29847989407,3869.08859211083,3794.75604414036,3661.33610307076,3532.31404135534,3590.70788883389,3472.9584887531,3367.81068542906,3691.56193945968,4364.78087911981,3795.19049940797,3602.01627152604,3549.32293740558,3494.1871154187,3326.02342304798,3536.3695502211,3872.69002937594,3788.4312953613,3544.30527328689,3603.01082765286,3757.057473698,3529.49780361146,3747.80967079434,3892.9024427321,3712.39962492647,3586.72173461389,3688.69960262664,3692.50288001885,3900.75451710135,4313.58914031678,3748.73637827831,3662.14499342329,3546.27518396204,3524.23313399891,3597.4983808919,3633.19863015396,3521.5597981802,3603.75667299056,3531.0599652205,3545.80606870399,3409.07955370289,3479.6737992084,3528.03653235467,3510.35567953582,3395.81917893205,3290.28475230318
,6,3455.57549918734,3546.13042063668,3536.01785211736,3346.27306958206,3422.96892713382,3306.79593057549,3280.82319586653,3871.83298375733,3794.85426993403,3660.91624264184,3531.17341492914,3587.94394818022,3475.95787915941,3371.58892797579,3702.39671443099,4368.58589724251,3795.35613527076,3601.7342494904,3544.54373389012,3498.04236773948,3326.8278787199,3541.74164771973,3875.43566855931,3785.53820801024,3544.36674230403,3601.97716190703,3756.18275995275,3538.00283085707,3746.29846101594,3896.29956169707,3708.88341653045,3590.16620441871,3684.16026778784,3693.38297682015,3902.40340493222,4312.26285600804,3747.85133844781,3659.85665274545,3543.02732287905,3527.2065859777,3597.96502381295,3639.43236385722,3521.36813078893,3601.62323157681,3531.3530547917,3545.39459196184,3411.11031113389,3483.34616549978,3526.93230329705,3514.8257111536,3396.60130551514,3293.34001020998
,7,3455.52819151732,3541.68492046126,3533.80204045035,3343.76661493144,3426.14773921464,3307.5041747455,3285.64533320031,3867.34810220675,3795.06277581652,3659.51734501997,3530.67961594181,3587.79338716941,3472.24656898326,3372.85985158848,3704.38532417176,4369.38770126713,3796.4138437313,3599.64067848615,3543.48333176215,3495.49507187271,3325.79409271645,3541.05666870537,3870.37813176581,3786.04965667302,3540.25942455037,3600.82679778744,3755.0989359318,3540.28543856787,3750.86618704102,3898.98321884759,3707.46537998479,3585.15806164509,3687.70799162111,3695.43883944597,3904.99741740085,4314.97621764022,3744.46056385921,3661.82646026393,3541.30833558475,3527.47952653808,3603.04323024315,3633.63243038785,3524.72155539896,3600.58942660681,3531.88765754255,3552.45843611262,3416.88151488566,3488.63855886351,3520.97207716149,3512.50961870882,3394.66148547587,3288.48222988512
,8,3457.41494454652,3541.2171872092,3535.98689273302,3343.97014775835,3427.03818532579,3306.19671234427,3283.30517944606,3873.75717617751,3802.6055668811,3662.03713231411,3531.30914223431,3586.59261522333,3472.62409160455,3381.70219449052,3708.96739248681,4368.49279273221,3794.49632009205,3606.19874837422,3547.30387874067,3498.01271180421,3323.34775583588,3545.53146337958,3870.08778920825,3779.24056785965,3536.25122272312,3597.50997652088,3755.78232920251,3539.86309429614,3754.83103685644,3901.24292344696,3713.82875956949,3588.55915342638,3691.75022287581,3697.02097874523,3907.9212513011,4315.37328191842,3748.69895944765,3655.94932740473,3540.09526668968,3526.44654973039,3604.04133838011,3633.89669422333,3522.58697651043,3606.52472356593,3524.66598678285,3554.09233962976,3418.50715564793,3493.2650541585,3522.53714336719,3513.94757343212,3398.58886409854,3288.99919200671
,9,3456.24730161404,3539.06384376332,3535.94315057542,3343.22054224296,3421.86369143629,3311.09860335254,3284.33366061929,3872.74638263922,3799.07957263198,3659.21263951552,3529.59481122429,3592.02262057666,3471.95029739982,3388.41977250147,3721.06005046637,4371.03577084873,3790.07165864372,3600.97011666902,3543.99060581058,3495.4644362688,3321.56106009948,3543.82587944152,3872.03426958274,3780.37781259419,3537.46510639791,3598.90667528894,3752.1330226087,3541.44109694252,3755.39816859708,3901.96682202413,3706.88392800065,3584.66917150643,3685.73046204483,3694.84525709652,3912.18489921593,4311.87124009424,3745.24727409135,3658.56009199883,3539.40054708662,3525.70688304406,3610.18489198725,3631.37911043174,3522.3359455317,3600.01587447351,3524.96697258368,3552.03954210409,3419.3155564827,3495.43165046958,3521.61306789105,3513.00482423897,3400.95846609237,3294.98672138082
,10,3456.80910335007,3539.49682477416,3535.07637073931,3342.83541391975,3420.18049416454,3303.11348895966,3287.95488702881,3867.86188137371,3806.98370643362,3656.14621869476,3530.8630998606,3587.01377202039,3473.39938118687,3387.13802165288,3726.09101979127,4369.90815237088,3790.54507214235,3599.99726670495,3542.51411976584,3491.56331346622,3325.88183291864,3548.48732521973,3871.17865911152,3783.46824700622,3539.4780752879,3598.70201121643,3754.94674993464,3545.65370155825,3755.78226469715,3901.03010003326,3706.36320406181,3586.13541547808,3685.75122149781,3697.54863227959,3912.87209035975,4313.35545574411,3739.60857074231,3656.65014870722,3540.59932080115,3528.01713810099,3609.8452538551,3638.09840142483,3517.55686342125,3599.89977614373,3522.90633772109,3549.91773572886,3424.83933297095,3494.77226834693,3520.84593913983,3513.79270054118,3398.91208735303,3292.40998962333
