"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.230072","5611.872","465.7491","464.6062","0.9998704","0.9998595","29.06","26.8",NA,NA,NA,NA,NA,NA,"6566.111","3688.098","25.53677",NA,"-17.03051","3688.098","19422.64","29.26196","l4","1.241188","0.9966735","20.48685","0","26","1.864272","251.9626","786.7437","26.38116","0.0003110592","1.13848","0.2051112","0","H_C_1"
"N_C_1","1.24186","4410.165","456.1102","454.9674","0.9998973","0.9998887","30.46","28.24",NA,NA,NA,NA,NA,NA,"6733.809","3691.124","14.84749",NA,"-18.22208","3691.124","20181.66","30.6396","l4","1.247445","0.994082","13.2368","0","28","1.878541","217.2602","115.4723","10.15383","0.0001068232","1.089713","0.4334533","0","N_C_1"
"S_C_1","1.221527","4259.307","454.718","453.5751","0.9998595","0.9998478","30.83","28.58",NA,NA,NA,NA,NA,NA,"6117.557","3511.155","20.08563",NA,"-18.14926","3511.155","17646.23","31.01998","l4","1.23788","0.9962049","13.91875","0","28","1.896499","179.8369","30.34051","5.20478","5.694714e-05","1.014812","0.6453891","0","S_C_1"
"H_T_1","1.216043","3945.096","451.6527","450.5098","0.9998752","0.9998648","31.28","28.9",NA,NA,NA,NA,NA,NA,"6289.712","3555.262","22.05996",NA,"-17.41104","3555.262","18469.17","31.48902","l4","1.232066","0.9965027","15.36861","0","28","1.868273","198.9293","60.00069","7.319293","7.50263e-05","1.119196","0.2654701","0","H_T_1"
"N_T_1","1.235446","3994.735","452.1528","451.01","0.9998912","0.9998821","31.56","29.25",NA,NA,NA,NA,NA,NA,"6532.271","3552.472","13.4655",NA,"-18.13313","3552.472","19769.77","31.75708","l4","1.244824","0.9944203","10.87587","0","29","1.851097","222.9386","108.0938","9.844371","8.287049e-05","1.087844","0.4363532","0","N_T_1"
"S_T_1","1.229415","3823.355","450.3989","449.256","0.9998876","0.9998782","30.04","27.82",NA,NA,NA,NA,NA,NA,"6140.807","3481.116","19.6253",NA,"-17.93445","3481.116","17906.69","30.22496","l4","1.241059","0.9963999","15.4287","0","27","1.900704","166.5527","23.38811","4.559543","9.157898e-05","1.133259","0.2206856","0","S_T_1"
"NT_C_1","1.060053","52.03588","278.5209","277.378","0.9949129","0.994489","40","40",NA,NA,NA,NA,NA,NA,"3897.42","3377.137","378.1631",NA,"-21.81429","3377.137","80010288","69.15677","l4","1.008026","0.8669106","2591.526","0","40","1.755481","269.7237","43.95543","6.376423","1.535443e-07",NA,NA,NA,"NT_C_1"
"H_C_2","1.249009","4608.735","457.8719","456.729","0.9999026","0.9998945","31.08","28.87",NA,NA,NA,NA,NA,NA,"7131.691","3830.024","11.62357",NA,"-18.62841","3830.024","21645.27","31.25836","l4","1.256654","0.9965717","9.94604","0","28","1.895614","252.8581","411.736","19.17346","6.230802e-05","1.004763","0.6994011","0","H_C_2"
"N_C_2","1.25065","7083.638","475.0652","473.9224","0.9998827","0.9998729","29.11","26.9",NA,NA,NA,NA,NA,NA,"7366.202","3967.213","17.95936",NA,"-17.49528","3967.213","22509.6","29.29819","l4","1.25653","0.9965541","16.21395","0","26","1.92637","174.3653","39.78109","5.932197","0.0001530014","1.003531","0.7103362","0","N_C_2"
"S_C_2","1.249225","5306.74","463.5128","462.37","0.9998948","0.999886","29.75","27.56",NA,NA,NA,NA,NA,NA,"6964.487","3782.323","15.11735",NA,"-18.06246","3782.323","21101.63","29.93193","l4","1.256281","0.9962918","13.15992","0","27","1.900712","190.6484","57.09185","7.123785","0.0001282849","1.046422","0.5875594","0","S_C_2"
"H_T_2","1.23945","4295.344","455.055","453.9121","0.9998962","0.9998875","31.05","28.78",NA,NA,NA,NA,NA,NA,"6743.941","3673.21","13.98881",NA,"-18.1952","3673.21","20369.73","31.23606","l4","1.250559","0.9967229","11.00715","0","28","1.896647","177.8555","28.26768","5.023843","6.027913e-05","1.0132","0.6718797","0","H_T_2"
"N_T_2","1.236336","3549.056","447.421","446.2781","0.9998816","0.9998717","33.44","31.13",NA,NA,NA,NA,NA,NA,"6677.681","3596.231","9.045112",NA,"-19.15183","3596.231","20161.09","33.62411","l4","1.247598","0.9951539","6.96272","0","31","1.854746","234.6251","96.96899","9.35868","2.516682e-05","1.11063","0.3501209","0","N_T_2"
"S_T_2","1.236299","4662.339","458.3344","457.1916","0.9998864","0.9998769","29.56","27.34",NA,NA,NA,NA,NA,NA,"6444.48","3585.188","19.52211",NA,"-17.60709","3585.188","19144.8","29.75615","l4","1.244156","0.9952029","16.64251","0","27","1.8708","192.2978","60.68837","7.344741","0.0001986497","1.067688","0.4993132","0","S_T_2"
"NT_C_2","1.016037","19.76829","239.8067","238.6638","0.9777776","0.9759257","40","40",NA,NA,NA,NA,NA,NA,"3635.346","3487.331","1923.824",NA,"-19.37283","3487.331","9760792","70.92697","l4",NA,NA,NA,NA,"40","1.649283","234.6748","18.30098","4.114414","4.98244e-07",NA,NA,NA,"NT_C_2"
"H_C_3","1.247471","4097.112","453.165","452.0222","0.9999086","0.9999009","31.42","29.22",NA,NA,NA,NA,NA,NA,"7117.035","3852.52","11.12462",NA,"-18.96385","3852.52","21462.3","31.59228","l4","1.251776","0.9937814","10.1675","0","29","1.860937","271.0528","567.992","22.56622","7.996655e-05","1.095214","0.4238132","0","H_C_3"
"N_C_3","1.266203","7846.93","479.1586","478.0158","0.9998957","0.999887","29.5","27.36",NA,NA,NA,NA,NA,NA,"8110.432","4265.431","12.72188",NA,"-18.29964","4265.431","25153.35","29.67924","l4","1.266075","0.9945708","12.94436","0","27","1.893073","214.9938","140.6595","11.18171","0.0001940115","1.090122","0.4717786","0","N_C_3"
"S_C_3","1.252517","5647.345","466.0012","464.8583","0.9998961","0.9998874","29.42","27.25",NA,NA,NA,NA,NA,NA,"7101.489","3838.854","15.37257",NA,"-17.97443","3838.854","21578.85","29.60525","l4","1.254501","0.9939323","14.93136","0","27","1.878052","204.8582","96.63593","9.26815","0.0002161606","1.094536","0.4321365","0","S_C_3"
"H_T_3","1.239856","4693.796","458.6034","457.4605","0.9998947","0.9998859","30.51","28.25",NA,NA,NA,NA,NA,NA,"6825.408","3720.698","15.71766",NA,"-17.90488","3720.698","20622.17","30.70408","l4","1.246464","0.9943793","13.67347","0","28","1.871077","219.5071","125.1202","10.56951","0.0001206634","1.090911","0.4312033","0","H_T_3"
"N_T_3","1.24889","4955.71","460.7753","459.6325","0.9998928","0.9998838","30.61","28.37",NA,NA,NA,NA,NA,NA,"6830.121","3643.281","12.47491",NA,"-18.09659","3643.281","20905.63","30.79691","l4","1.254421","0.9950725","11.1274","0","28","1.883144","212.6695","98.01062","9.35465","9.717986e-05","1.083829","0.4760532","0","N_T_3"
"S_T_3","1.239072","4803.611","459.5284","458.3856","0.9998915","0.9998825","29.37","27.17",NA,NA,NA,NA,NA,NA,"6637.554","3693.319","19.6143",NA,"-17.71704","3693.319","19705.53","29.55435","l4","1.244203","0.9941198","18.09322","0","27","1.866226","206.573","102.9723","9.567181","0.0002407956","1.092612","0.4097145","0","S_T_3"
"NT_C_3","1.034207","16.84089","233.3959","232.2531","0.9949163","0.9944926","40","40",NA,NA,NA,NA,NA,NA,"3810.585","3514.293","992.4235",NA,"-21.88365","3514.293","48754759","69.25058","l4",NA,NA,NA,NA,"40","1.759088","225.0196","14.37619","3.646639","8.07216e-08",NA,NA,NA,"NT_C_3"
"H_C_4","1.243727","3772.402","449.8622","448.7194","0.9999075","0.9998998","31.31","29.08",NA,NA,NA,NA,NA,NA,"6767.555","3674.391","11.9078",NA,"-18.65022","3674.391","20421.79","31.48989","l4","1.250636","0.9951716","10.40153","0","29","1.842099","265.4063","467.5017","20.4729","0.00010932","1.113766","0.3440892","0","H_C_4"
