"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.20802","13043.5","499.4853","498.3425","0.9994795","0.9994362","34.71","32.27",NA,NA,NA,NA,NA,NA,"7342.893","4168.878","16.4944",NA,"-18.89111","4168.878","21328.54","34.90543","l4","1.227553","0.9943751","9.848612","0","32","1.820414","324.639","1281.172","34.07436","2.266927e-05","1.348133","0.5650326","0","H_C_1"
"N_C_1","1.216004","11488.23","494.4067","493.2638","0.9995488","0.9995112","35.07","32.68",NA,NA,NA,NA,NA,NA,"7551.434","4219.538","12.65771",NA,"-19.4109","4219.538","22117.71","35.26039","l4","1.235821","0.9964579","7.52874","0","32","1.849625","263.1279","187.4124","13.03236","1.153524e-05","1.00986","0.6722834","0","N_C_1"
"*S_C_1*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_1*"
"H_T_1","1.193103","16021.31","507.7105","506.5677","0.9993394","0.9992844","33.81","31.24",NA,NA,NA,NA,NA,NA,"6840.321","3963.193","27.52048",NA,"-17.47198","3963.193","19692.56","34.03412","l4","1.216874","0.993975","14.84589","0","31","1.882935","278.6916","401.7753","19.04977","1.380172e-05","1.339074","0.6075935","0","H_T_1"
"N_T_1","1.198309","15583.13","506.6013","505.4584","0.9993601","0.9993068","33.71","31.16",NA,NA,NA,NA,NA,NA,"6682.334","3820.592","23.80775",NA,"-17.52604","3820.592","19426.61","33.93205","l4","1.222333","0.9936677","13.00117","0","31","1.84248","234.3203","96.02034","9.31279","2.719387e-05","1.356668","0.6308817","0","N_T_1"
"S_T_1","1.205192","14419.15","503.496","502.3532","0.9993992","0.9993491","34.16","31.68",NA,NA,NA,NA,NA,NA,"6826.332","3874.002","18.46376",NA,"-18.25942","3874.002","19872.4","34.36582","l4","1.229891","0.9960766","9.75682","0","31","1.908562","254.499","184.1013","12.89516","7.275649e-06","1.005442","0.6678976","0","S_T_1"
"**NT_C_1**","0.3194231","12.8686","222.6351","221.4923","0.7391039","0.7173625","40","1",NA,NA,NA,NA,NA,NA,"3718.104","11640.06","11640.06",NA,"0.2808789","3676.177","11640.06","7.864695e-09","l4","1.003908","1","3171.625","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"**NT_C_1**"
"H_C_2","1.209833","16661.5","509.2778","508.1349","0.9994747","0.9994309","34.1","31.58",NA,NA,NA,NA,NA,NA,"7581.139","4207.734","18.50393",NA,"-17.96323","4207.734","22569.57","34.31377","l4","1.232804","0.9964612","10.23896","0","31","1.843214","294.5119","669.295","24.58708","2.528697e-05","1.02636","0.6257004","0","H_C_2"
"N_C_2","1.209058","17413.42","511.0434","509.9005","0.9994526","0.999407","34.08","31.55",NA,NA,NA,NA,NA,NA,"7592.432","4210.207","19.01835",NA,"-17.85831","4210.207","22586.82","34.29365","l4","1.232185","0.996214","10.47298","0","31","1.859642","210.7849","44.94112","6.371183","1.979268e-05","1.033103","0.6054638","0","N_C_2"
"S_C_2","1.208884","16254.42","508.2883","507.1455","0.9994146","0.9993659","34.3","31.82",NA,NA,NA,NA,NA,NA,"7332.428","4119.051","17.52946",NA,"-18.37676","4119.051","21534.82","34.50012","l4","1.232548","0.9964297","9.536638","0","31","1.932578","263.2219","243.9272","14.84322","5.048225e-06","1.278719","0.2026497","0","S_C_2"
