,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3365.76706029494,3483.93203389629,3514.64752317612,3382.64932985185,3582.29856329563,3392.43488521142,3266.53862043814,3734.59766242173,3964.93109949927,3846.01217467064,3658.06981988085,3529.05184711452,3514.8061872057,3333.63791204378,3720.46143149236,4334.60537159647,3790.03303311471,3613.24659583987,3672.8756791992,3486.39743488784,3410.78760857439,3589.9834356437,3908.61873795238,3768.90531990937,3556.1079938489,3817.03009400939,3911.07211493275,3555.83621330537,3523.01945679637,3882.26887689307,3770.42561367429,3593.89863264216,3701.40392219624,3773.77948205232,3933.57272398127,4311.671555601,3782.5852054304,3637.61488545552,3690.32907830218,3531.59599898774,3307.21779751882,3780.09929271123,3493.19333180464,3499.65387014549,3556.75668586752,3444.82846543774,3209.36503144693,3341.12295354352,3342.89706360662,3459.36080398213,3588.81681947994,3397.85102897364
,2,3422.13247448663,3493.34518095645,3516.21002017603,3381.8768557077,3589.12326362239,3400.29432700688,3272.31440522903,3776.04201068351,3966.65263593448,3838.49430269416,3655.86153123917,3537.11393755738,3519.27755213693,3341.20273249971,3750.90585949152,4339.3018484212,3791.11436670295,3609.01209477574,3677.46257333988,3480.10557906227,3415.76766828304,3625.95732212659,3909.30111341173,3768.76290269011,3551.93701839413,3813.25624518464,3911.45074956681,3555.4722525592,3545.0365140839,3877.27733682758,3769.43346367108,3594.263508817,3691.00623403109,3767.01763278291,3954.51295997321,4306.37850251147,3781.4120048023,3635.30805479804,3685.24567596994,3532.87046425586,3325.95467967774,3773.64491450143,3497.6941840068,3494.26421313884,3547.18828600768,3440.64341100356,3226.62558930366,3365.54763745592,3363.53972155208,3480.2066139143,3593.46010742937,3396.58574905272
,3,3448.41624679883,3496.44203455304,3518.40703187063,3384.09571836209,3590.39986526647,3402.80747462254,3274.47017309051,3802.22098895947,3962.99554993111,3836.06413354701,3653.61884641364,3544.26585500624,3518.63238608789,3346.29519127511,3775.50845024986,4339.57675855399,3785.37657261877,3604.34122334992,3675.52138224786,3486.03523375983,3414.58790296037,3642.24881536724,3905.66603960895,3771.01234434856,3551.09976379832,3808.43977571835,3903.08334868001,3553.40222202878,3571.96865268675,3876.07572856406,3764.19397833235,3593.37589159327,3692.33883024924,3763.18438342158,3982.59732205288,4308.62900653288,3777.06462720012,3637.50822538212,3682.93323641811,3533.12201506122,3343.39629315853,3772.94970782357,3502.68910614027,3492.28341734842,3544.0818603933,3435.31236544859,3236.29419080412,3380.86327651314,3370.68315698653,3488.46526211397,3595.17997577177,3394.46903421695
,4,3460.52027055802,3495.49514918737,3517.19940407269,3381.90448475581,3592.67794443881,3404.60461090866,3274.82527953715,3817.67462276335,3961.5994718727,3836.90996445624,3651.06129280203,3545.16261108195,3519.20189142752,3353.13688257082,3791.30154751279,4336.24389039456,3786.51275925367,3602.83609680481,3675.03927501692,3488.64253617582,3413.65046749449,3653.74180274946,3904.98581639771,3774.82316125723,3551.00850159286,3806.0970498691,3901.28202728453,3551.28302482359,3591.73328276108,3878.25813734383,3766.02973285692,3590.78730280088,3694.75947823938,3767.13374463741,4006.57561965777,4304.7799250932,3780.33104762998,3638.10829090817,3680.61687351005,3538.6194203088,3355.34282475255,3773.25164064428,3503.57646887392,3496.2117156516,3543.42985028293,3435.42447165047,3238.68945001165,3390.36733856393,3371.90540375794,3491.26920254313,3599.85285851891,3396.98790208922
,5,3468.45919151354,3493.73527947457,3519.12390586522,3381.88843385195,3593.98580275371,3409.73512020944,3283.07909135516,3821.15953238514,3962.87162430661,3839.41644068525,3653.88342005793,3543.05262698208,3531.59329844238,3351.4006308808,3805.17175061421,4328.19263776769,3781.79460133395,3599.85385355966,3676.24234953972,3489.80358557636,3410.19807201056,3664.70904248429,3902.70310017079,3772.46186346909,3552.20097571947,3804.49233954368,3901.1895624364,3548.99198479788,3593.51713140986,3876.15310870406,3764.66908326934,3601.41199485635,3691.46634741022,3761.68602422782,4031.51001639313,4305.36201374815,3777.78573332709,3641.5788662556,3682.05510217957,3539.99198963511,3363.84897046676,3775.31923907396,3499.67982853099,3493.46122155714,3538.59686814281,3440.23138913265,3249.95337329477,3400.76816548665,3367.34742016748,3494.3712880698,3609.1206290969,3391.61076137859
,6,3476.31890797363,3492.64608776344,3517.92352453096,3381.39975625814,3595.91293126145,3409.31148136739,3281.251715431,3830.9875093642,3963.71436856028,3833.06407723116,3652.56816352008,3547.12925625229,3535.68767356329,3352.9068392083,3811.6845937247,4327.65825417519,3780.72378154947,3602.28399045105,3676.04926530593,3490.08583320415,3409.39780079332,3672.31188961778,3901.26006903578,3773.21929454419,3547.65347618794,3801.74321850548,3901.26769763646,3548.94774840977,3595.05033767071,3874.33224836786,3768.00661124927,3598.61675889609,3691.04124621416,3763.23177974192,4036.35435210228,4307.59691725195,3773.96585512796,3637.48315088599,3682.32228318462,3536.14227538432,3372.39792158404,3774.05695853765,3501.4842136501,3496.82303072689,3539.8314025645,3441.10121284939,3254.96483100242,3406.61285953685,3368.82088712115,3501.01245376225,3610.50427026603,3392.61549088036
,7,3476.6161283001,3492.60502259082,3521.01057010912,3377.05731441287,3601.05794680585,3410.28095290233,3282.6323843934,3836.40715363526,3960.11290961251,3832.65293044413,3649.41124391711,3541.91953546454,3535.56881868213,3357.10046879194,3819.19732099906,4325.62322778035,3773.09026015474,3601.86450865862,3674.45553253401,3487.44031148044,3412.04806235897,3679.07963422317,3901.26189193772,3774.00236903728,3552.99727960752,3802.28320533525,3894.92360271445,3549.3889275492,3609.62180722178,3874.08382031909,3763.96983100829,3597.73908633423,3690.32206579432,3761.45420397751,4039.23868498319,4309.94444998621,3778.76185417315,3640.90976073018,3686.70921225493,3538.67228618812,3379.16047073374,3775.50182726573,3503.64567936642,3496.06286744065,3542.79666511488,3439.91810591921,3260.7831783032,3410.57479482529,3366.57767905823,3500.53083703319,3613.31645873978,3398.702457574
,8,3481.9887631451,3493.35317973097,3518.10083131861,3379.29936176249,3599.90434230713,3415.36626931283,3283.1556433666,3835.2485680686,3960.53481340761,3826.90562045621,3653.36211720378,3541.39874183241,3544.72584491458,3357.03529482733,3815.08109160318,4325.7938903923,3775.73017302641,3603.0006841971,3672.81015108051,3484.75009738778,3408.35418457311,3687.93158643413,3895.93645609514,3773.71295174651,3553.23055356762,3802.9768592344,3898.08069393127,3551.18148867132,3610.10417074608,3868.06262090216,3765.97056092352,3601.76731443653,3693.5410866284,3767.43256950169,4067.55601548218,4311.05938423356,3774.72758426877,3639.3943325662,3683.90303692296,3542.38241497033,3387.58661933097,3775.86980423623,3500.74032276944,3497.73309151094,3545.48232050528,3446.89355543351,3266.07187432684,3416.74926686726,3368.56533327568,3499.86089528545,3615.23322887092,3392.89208904038
,9,3484.24349543128,3493.83533426606,3521.57040320268,3381.92693064937,3599.85764315153,3412.39004316061,3286.87231597069,3834.228828553,3958.98938086158,3825.26362940812,3653.56520842388,3545.87953695233,3539.55843361187,3357.6969839143,3815.61839838439,4325.13785512519,3774.41146805165,3601.19784862658,3669.02393763493,3491.26068395065,3407.06264534305,3698.25308068394,3897.45698757904,3772.44587903855,3555.07500077173,3800.72659437297,3896.41493185609,3548.50599654283,3609.35526193305,3869.53792807135,3766.71570544786,3599.56632894646,3691.66468081343,3766.59461185012,4054.15709271428,4312.42582964024,3772.504535149,3639.66748644382,3680.73851238456,3540.75204664892,3392.98204616991,3778.97927952554,3502.45862793148,3499.18581055174,3546.95109607673,3449.73889257138,3271.86264991702,3416.89119390784,3368.83840074432,3496.9065055359,3611.76834703006,3395.3413579282
,10,3485.39749136694,3486.50000517201,3522.88615249419,3374.46897576965,3602.82936181779,3411.96006429368,3293.39522924331,3837.47228742085,3953.7915779562,3829.96688951274,3650.58674719248,3537.76641603943,3540.8059917682,3358.89787005607,3818.7585015938,4321.99026646632,3773.5486864937,3599.06240594081,3670.34541864552,3489.8882124813,3405.36405767986,3701.64201310039,3897.77426231959,3773.70037122727,3551.76472509892,3800.6885989524,3900.88978218948,3546.74795719078,3610.69867416605,3870.51334196994,3767.9897254308,3602.23703915362,3693.86235393419,3771.43069635693,4060.78893692908,4312.82929400594,3770.9113025712,3642.94580306644,3685.60452356644,3545.38275552825,3395.06462226516,3778.71825506419,3504.68169118996,3499.02139040743,3550.58422544975,3448.03224589033,3277.47229183596,3417.67060233789,3369.81599114895,3503.21596245459,3613.33935367952,3393.08077424392
,11,3484.11581127365,3490.75196615756,3525.32422706842,3374.70060691063,3596.37462404678,3413.33181072276,3295.42233367532,3830.41244002138,3956.28339096682,3826.15950964948,3654.34280651158,3540.55030702619,3540.01549090941,3361.51996649032,3816.00993391165,4325.88517815689,3767.93385509199,3599.39197333745,3668.07596402701,3490.20896147219,3407.59960973687,3703.84372498493,3893.96130367353,3769.5450446316,3555.64811312418,3797.41950528499,3896.91658265109,3545.77955676749,3606.01038245236,3872.19715607519,3766.62500901145,3603.18926071327,3690.61575394616,3776.33422539868,4059.55485220146,4313.18253158645,3772.27025279593,3643.70738033677,3685.21331524059,3543.70293626762,3397.63908901817,3780.54964932666,3506.43353642112,3498.28573460344,3549.57273274256,3451.28316989857,3285.51019903753,3420.35864439668,3365.90749070135,3498.47912952121,3617.98018992176,3392.5775432095
,12,3488.03691415863,3491.69211467876,3523.89557247761,3379.83726435358,3600.28086844821,3410.46419354935,3297.90250932898,3830.00200341537,3957.27503465705,3826.66452210165,3655.44496907223,3542.12472933229,3540.1163498352,3359.5404054426,3820.3309092116,4320.8836344325,3769.37392985344,3596.11970475931,3670.65089666283,3487.54055067323,3405.65740588578,3707.33312571303,3896.67286554644,3770.20016394329,3556.54551235069,3799.4901604311,3896.57997244916,3547.79987460283,3611.16615143475,3863.74065964495,3772.31641031935,3602.1942414314,3695.77847003451,3775.34288122932,4061.20316196589,4315.78950885627,3769.70795463848,3643.42341880578,3684.04101451034,3545.10121545329,3398.20050638081,3777.80741107138,3502.84748007512,3502.48654060339,3548.72935749582,3448.10629086164,3281.87113292221,3418.4703606309,3368.12019950925,3495.87916317236,3619.74007557026,3396.8523585929
,13,3485.41801230408,3492.59271640644,3524.58091387303,3375.38430176239,3602.46657365125,3415.3132291718,3297.94517848371,3833.78833962011,3958.1185964187,3824.27717405918,3654.78910228499,3540.98602445135,3542.45510012788,3362.12335504055,3816.7917667289,4320.1134563936,3772.98489978535,3596.45179116388,3666.00438628503,3490.4603729343,3407.9706764089,3705.43697546889,3888.7588126465,3772.93158520212,3549.65117277683,3800.83300783955,3902.1493498759,3548.26985962203,3607.45401335438,3866.86798063928,3767.26842318645,3605.31390796962,3693.34833365922,3774.89048822423,4057.83311488838,4317.37556525287,3769.03678281753,3645.58795564867,3689.01915401646,3545.37114182633,3401.3884775926,3782.86221395361,3507.17065441208,3498.67266360068,3553.44611987163,3450.97203074709,3285.31891103145,3419.41166976101,3369.23540183565,3501.23315152929,3619.39206721558,3402.76126752862
,14,3484.34270310335,3489.60022832145,3523.80540572235,3376.78710671087,3597.84242908969,3413.97360141581,3299.40343736939,3829.39759899171,3957.07618550468,3826.43368468067,3653.86496967484,3538.23707615891,3538.2898635818,3365.87648755797,3815.16052877498,4315.10072717558,3766.34089483283,3603.42683253737,3664.46608776762,3484.85062784279,3406.56820034255,3703.83132373473,3891.86933131768,3772.11975557057,3554.05772124022,3802.40975643219,3898.82960526224,3548.53735016929,3610.6528672748,3868.31938928681,3766.97141811285,3609.27008783448,3690.15378328442,3774.52463284078,4061.46218622762,4319.22470027083,3770.83191163893,3642.97344632091,3687.48746574162,3546.53510816687,3402.35389798507,3782.6249203712,3507.19624063185,3497.57992773182,3553.08179368081,3449.86066325078,3285.58015536856,3423.58452443173,3370.291170465,3493.52186710024,3623.21176881917,3400.13628612503
