"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.201936","32159.24","535.5817","534.4389","0.9990635","0.9989854","31.56","28.77",NA,NA,NA,NA,NA,NA,"6354.477","3435.213","31.98086",NA,"-15.03583","3435.213","19752.55","31.8385","l4","1.239475","0.9948504","13.02679","0","28","1.868318","266.5404","671.1789","24.47993","7.901498e-05","1.438892","0.8068166","0","H_C_1"
"N_C_1","1.195208","36530.75","540.6799","539.537","0.9990475","0.9989681","30.29","27.4",NA,NA,NA,NA,NA,NA,"6308.229","3443.116","47.63875",NA,"-13.97648","3443.116","19727.93","30.60069","l4","1.234061","0.9925729","19.35798","0","27","1.895718","195.9091","69.37337","7.85272","0.0001215025","1.477088","0.9041623","0","N_C_1"
"S_C_1","1.197611","39199.85","543.5006","542.3578","0.9991073","0.9990329","29.48","26.58",NA,NA,NA,NA,NA,NA,"6428.043","3472.223","53.26595",NA,"-13.50685","3472.223","20335.87","29.80922","l4","1.239027","0.9939131","21.04993","0","26","1.887187","156.8824","20.30713","4.238396","0.0002366991","1.459044","0.8472679","0","S_C_1"
"H_T_1","1.193965","31292.35","534.4887","533.3458","0.9990435","0.9989638","30.84","27.98",NA,NA,NA,NA,NA,NA,"6063.777","3336.681","42.51298",NA,"-14.37095","3336.681","18743.49","31.1379","l4","1.233783","0.9942445","16.80611","0","27","1.922391","159.6385","18.10423","4.011564","5.690628e-05","1.404483","0.7181949","0","H_T_1"
"N_T_1","1.213323","30525.19","533.4958","532.353","0.9991027","0.9990279","32.85","30.17",NA,NA,NA,NA,NA,NA,"6737.804","3566.842","19.72198",NA,"-16.23615","3566.842","21047.58","33.10419","l4","1.245194","0.9935965","9.028801","0","30","1.852319","216.9289","68.83957","7.871189","4.58168e-05","1.402296","0.6627344","0","N_T_1"
"S_T_1","1.165807","23157.31","522.4461","521.3033","0.9989237","0.998834","31.95","28.91",NA,NA,NA,NA,NA,NA,"5755.301","3375.582","68.2173",NA,"-13.99205","3375.582","16878.11","32.27826","l4","1.203913","0.9949067","26.76232","0","28","1.87152","184.5859","35.94867","5.665424","5.795284e-05","1.365878","0.774406","0","S_T_1"
"NT_C_1","1.000498","7.369972","200.3401","199.1972","0.9607121","0.9574381","3.38","1",NA,NA,NA,NA,NA,NA,"3267.68","3266.053","3266.053",NA,"-1.486572","3266.053","3318.585","10.14114","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_1"
"H_C_2","1.227718","54151.46","556.4251","555.2823","0.9990744","0.9989973","31.34","28.61",NA,NA,NA,NA,NA,NA,"7516.715","3773.513","21.22861",NA,"-15.28937","3773.513","24699.08","31.60861","l4","1.263709","0.993576","9.077919","0","28","1.894288","257.594","487.6134","20.8655","7.607129e-05","1.503132","0.859405","0","H_C_2"
"N_C_2","1.214226","69751.35","566.5512","565.4083","0.999103","0.9990282","28.75","25.8",NA,NA,NA,NA,NA,NA,"7685.154","3886.343","51.37137",NA,"-12.99616","3886.343","25781.1","29.09269","l4","1.258313","0.9952492","19.89647","0","25","1.923719","179.7806","64.14709","7.513284","0.0003142761","1.459434","0.8133979","0","N_C_2"
"S_C_2","1.212583","65998.96","564.3393","563.1964","0.9991025","0.9990277","28.47","25.5",NA,NA,NA,NA,NA,NA,"7414.818","3757.074","54.38208",NA,"-12.77086","3757.074","24879.04","28.8206","l4","1.255055","0.993556","21.83145","0","25","1.909631","200.6579","147.8608","11.40691","0.0004321537","1.494213","0.8925069","0","S_C_2"
