Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\7242015c\HSP702rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 1, SBGnew, 60.0, 0.1248,0.1685,0.1804,0.1884,0.1691,0.1205,0.1370,0.1502,0.2797,0.2541,0.2976,0.2361,0.2074,0.2114,0.2259,0.3266,0.3601,0.3279,0.2621,0.2109,0.2355,0.2788,0.3550,0.3689,0.3572,0.4051,0.2644,0.2935,0.2863,0.2684,0.2949,0.3681,0.3573,0.2887,0.2329,0.3344,0.3851,0.4679,0.3109,0.2760,0.1738,0.2400,0.3466,0.3348,0.2849,0.2351,0.1585,0.1712,0.1979,0.2347,0.2262,0.1945,
4, 2, SBGnew, 60.0, 0.1252,0.1682,0.1810,0.1883,0.1695,0.1204,0.1373,0.1519,0.2793,0.2545,0.2975,0.2358,0.2084,0.2121,0.2257,0.3259,0.3601,0.3271,0.2624,0.2125,0.2364,0.2786,0.3550,0.3674,0.3564,0.4040,0.2646,0.2933,0.2879,0.2681,0.2951,0.3680,0.3589,0.2895,0.2331,0.3342,0.3856,0.4673,0.3121,0.2752,0.1746,0.2396,0.3475,0.3344,0.2855,0.2354,0.1595,0.1718,0.1995,0.2352,0.2268,0.1950,
4, 3, SBGnew, 60.0, 0.1258,0.1684,0.1817,0.1887,0.1697,0.1203,0.1373,0.1532,0.2789,0.2555,0.2972,0.2363,0.2096,0.2128,0.2267,0.3263,0.3597,0.3258,0.2628,0.2142,0.2369,0.2789,0.3559,0.3669,0.3560,0.4043,0.2653,0.2930,0.2900,0.2678,0.2961,0.3686,0.3599,0.2907,0.2337,0.3339,0.3863,0.4667,0.3128,0.2750,0.1759,0.2399,0.3481,0.3335,0.2864,0.2361,0.1611,0.1720,0.2009,0.2355,0.2279,0.1960,
4, 4, SBGnew, 60.0, 0.1260,0.1689,0.1829,0.1887,0.1702,0.1210,0.1372,0.1550,0.2789,0.2562,0.2965,0.2368,0.2105,0.2133,0.2273,0.3253,0.3595,0.3253,0.2637,0.2162,0.2376,0.2792,0.3557,0.3649,0.3555,0.4042,0.2659,0.2926,0.2916,0.2678,0.2962,0.3680,0.3614,0.2920,0.2340,0.3334,0.3858,0.4655,0.3136,0.2752,0.1770,0.2395,0.3487,0.3335,0.2872,0.2372,0.1626,0.1725,0.2022,0.2359,0.2285,0.1967,
4, 5, SBGnew, 60.0, 0.1258,0.1693,0.1834,0.1895,0.1704,0.1207,0.1377,0.1557,0.2789,0.2570,0.2963,0.2368,0.2106,0.2136,0.2283,0.3257,0.3593,0.3249,0.2644,0.2167,0.2376,0.2793,0.3549,0.3644,0.3550,0.4053,0.2666,0.2942,0.2925,0.2672,0.2967,0.3688,0.3612,0.2923,0.2346,0.3335,0.3871,0.4650,0.3137,0.2767,0.1778,0.2391,0.3498,0.3342,0.2863,0.2380,0.1632,0.1732,0.2020,0.2365,0.2288,0.1966,
4, 6, SBGnew, 60.0, 0.1261,0.1698,0.1833,0.1898,0.1707,0.1207,0.1371,0.1570,0.2788,0.2575,0.2962,0.2372,0.2119,0.2143,0.2283,0.3259,0.3587,0.3249,0.2652,0.2170,0.2374,0.2796,0.3550,0.3641,0.3541,0.4065,0.2675,0.2945,0.2926,0.2673,0.2979,0.3698,0.3622,0.2920,0.2346,0.3340,0.3869,0.4634,0.3139,0.2777,0.1780,0.2395,0.3503,0.3341,0.2866,0.2390,0.1636,0.1738,0.2019,0.2360,0.2291,0.1962,
4, 7, SBGnew, 60.0, 0.1258,0.1704,0.1828,0.1895,0.1710,0.1212,0.1367,0.1569,0.2788,0.2581,0.2964,0.2381,0.2122,0.2144,0.2290,0.3255,0.3585,0.3250,0.2654,0.2175,0.2377,0.2798,0.3541,0.3653,0.3545,0.4076,0.2679,0.2949,0.2925,0.2674,0.2982,0.3696,0.3626,0.2927,0.2353,0.3341,0.3867,0.4633,0.3133,0.2785,0.1791,0.2395,0.3498,0.3331,0.2863,0.2388,0.1645,0.1734,0.2021,0.2353,0.2295,0.1957,
4, 8, SBGnew, 60.0, 0.1257,0.1706,0.1835,0.1891,0.1716,0.1217,0.1372,0.1572,0.2787,0.2584,0.2961,0.2387,0.2118,0.2142,0.2289,0.3247,0.3595,0.3263,0.2657,0.2179,0.2377,0.2797,0.3524,0.3657,0.3545,0.4081,0.2682,0.2950,0.2925,0.2677,0.2973,0.3687,0.3629,0.2924,0.2353,0.3339,0.3856,0.4634,0.3142,0.2793,0.1793,0.2396,0.3507,0.3335,0.2866,0.2390,0.1643,0.1734,0.2029,0.2358,0.2286,0.1949,
4, 9, SBGnew, 60.0, 0.1258,0.1704,0.1835,0.1886,0.1719,0.1214,0.1372,0.1574,0.2784,0.2581,0.2961,0.2381,0.2125,0.2149,0.2292,0.3253,0.3592,0.3261,0.2657,0.2175,0.2376,0.2808,0.3529,0.3662,0.3546,0.4087,0.2683,0.2957,0.2920,0.2674,0.2973,0.3687,0.3627,0.2935,0.2367,0.3333,0.3862,0.4635,0.3143,0.2787,0.1797,0.2394,0.3503,0.3328,0.2867,0.2384,0.1648,0.1728,0.2033,0.2365,0.2283,0.1953,
4, 10, SBGnew, 60.0, 0.1261,0.1705,0.1834,0.1885,0.1719,0.1220,0.1368,0.1571,0.2788,0.2579,0.2959,0.2391,0.2126,0.2149,0.2290,0.3249,0.3599,0.3261,0.2659,0.2183,0.2370,0.2817,0.3534,0.3669,0.3543,0.4083,0.2690,0.2954,0.2921,0.2671,0.2972,0.3686,0.3630,0.2946,0.2362,0.3329,0.3867,0.4634,0.3152,0.2777,0.1796,0.2401,0.3499,0.3321,0.2868,0.2381,0.1649,0.1721,0.2037,0.2360,0.2288,0.1959,
