"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.232871","4309.146","455.1833","454.0405","0.9997847","0.9997668","34.03","31.96",NA,NA,NA,NA,NA,NA,"6192.738","3585.02","7.694111",NA,"-21.8364","3585.02","17440.12","34.17253","l4","1.245867","0.9933342","5.653838","0","31","1.869677","292.9746","636.915","23.98496","9.908637e-06","1.093014","0.3813656","0","H_C_1"
"N_C_1","1.229257","3672.556","448.7893","447.6464","0.9998299","0.9998157","33.5","31.43",NA,NA,NA,NA,NA,NA,"6235.942","3637.022","9.493732",NA,"-21.40348","3637.022","17439.55","33.65055","l4","1.24485","0.9947606","6.469782","0","31","1.907904","208.3171","41.50227","6.122575","7.456581e-06","1.021503","0.6314285","0","N_C_1"
"S_C_1","1.234118","3274.385","444.1989","443.0561","0.9998642","0.9998529","32.58","30.54",NA,NA,NA,NA,NA,NA,"6139.729","3571.191","9.956727",NA,"-21.15442","3571.191","17200.35","32.72228","l4","1.248546","0.9950762","7.096435","0","30","1.888546","212.5401","59.47081","7.315991","1.766191e-05","1.003052","0.6870426","0","S_C_1"
"H_T_1","1.22987","3254.636","443.9569","442.8141","0.9998125","0.9997969","34.43","32.38",NA,NA,NA,NA,NA,NA,"6077.732","3553.174","7.483409",NA,"-22.23392","3553.174","16912.09","34.57241","l4","1.243922","0.9943558","5.250064","0","32","1.878574","223.2245","53.85674","6.986249","6.342e-06","1.026575","0.6194298","0","H_T_1"
"N_T_1","1.241451","1521.124","413.5317","412.3888","0.9998657","0.9998546","36.17","34.26",NA,NA,NA,NA,NA,NA,"6016.514","3526.333","3.64186",NA,"-24.99459","3526.333","16511.18","36.28961","l4","1.247238","0.9922562","3.164335","0","34","1.880119","221.3561","34.1129","5.577001","1.879884e-06","1.045473","0.5690799","0","N_T_1"
"S_T_1","1.212791","2603.074","435.0215","433.8786","0.9999002","0.9998919","27.69","25.62",NA,NA,NA,NA,NA,NA,"5518.976","3392.357","39.37896",NA,"-17.71112","3392.357","14968.19","27.87082","l4","1.229958","0.9950537","28.10175","0","25","1.886316","165.1723","35.76059","5.609752","0.0003480752","1.120249","0.2050233","0","S_T_1"
"NT_C_1","1.019995","53.0095","279.2624","278.1195","0.9648633","0.9619352","40","40",NA,NA,NA,NA,NA,NA,"3788.851","3597.346","1716.304",NA,"-19.38346","3597.346","18889180","72.3935","l4",NA,NA,NA,NA,"40","1.643351","273.4639","48.26379","6.681617","7.409968e-07",NA,NA,NA,"NT_C_1"
"H_C_2","1.251177","3399.266","445.6961","444.5533","0.9998599","0.9998483","34.91","32.87",NA,NA,NA,NA,NA,NA,"7053.196","3916.402","4.461883",NA,"-22.68678","3916.402","20442.05","35.04133","l4","1.259039","0.9951703","3.7238","0","32","1.891769","301.0123","612.2844","23.55595","4.760153e-06","1.131163","0.2746936","0","H_C_2"
"N_C_2","1.251751","4268.891","454.8079","453.665","0.9999038","0.9998957","31.08","29.04",NA,NA,NA,NA,NA,NA,"7208.537","4023.582","10.61523",NA,"-20.17591","4023.582","21039.8","31.23248","l4","1.258508","0.9933301","9.353564","0","29","1.878107","214.1959","79.95986","8.466885","6.574838e-05","1.101483","0.402858","0","N_C_2"
"S_C_2","1.250231","3861.88","450.7999","449.657","0.9998946","0.9998858","31.72","29.67",NA,NA,NA,NA,NA,NA,"6790.353","3790.73","8.999029",NA,"-20.50464","3790.73","19774.28","31.86776","l4","1.260674","0.9957439","7.163205","0","29","1.899304","198.2978","46.21558","6.436976","3.097373e-05","1.0045","0.7040168","0","S_C_2"
"H_T_2","1.233515","2470.244","432.9264","431.7835","0.9998464","0.9998336","35.22","33.2",NA,NA,NA,NA,NA,NA,"6335.563","3691.152","5.967397",NA,"-23.0739","3691.152","17578.55","35.34915","l4","1.242248","0.9925024","4.787027","0","33","1.881629","224.0236","44.86253","6.386245","3.780903e-06","1.058547","0.5217977","0","H_T_2"
"N_T_2","1.239334","1404.922","410.353","409.2101","0.9999157","0.9999086","35.63","33.55",NA,NA,NA,NA,NA,NA,"6513.296","3678.034","4.867799",NA,"-22.64154","3678.034","18626.3","35.77228","l4","1.249334","0.996121","3.78211","0","33","1.886433","214.6306","33.74952","5.539078","3.064793e-06","1.024006","0.6408786","0","N_T_2"
"S_T_2","1.227776","3672.508","448.7887","447.6459","0.99983","0.9998159","33.22","31.11",NA,NA,NA,NA,NA,NA,"6074.253","3533.25","10.25637",NA,"-20.91959","3533.25","17086.51","33.36904","l4","1.239996","0.991672","7.599163","0","31","1.874086","200.6011","32.35744","5.406114","1.508166e-05","1.069609","0.4701943","0","S_T_2"
"NT_C_2","1.246304","65.88226","287.9583","286.8154","0.9998475","0.9998347","40","40",NA,NA,NA,NA,NA,NA,"7073.151","3697.167","1.058405",NA,"-24.07871","3697.167","24999.33","42.87195","l4","1.08164","0.8874764","248.4629","0","40","1.765099","340.1481","255.6444","15.37761","8.095145e-07",NA,NA,NA,"NT_C_2"
"H_C_3","1.235472","5587.843","465.5775","464.4346","0.9998151","0.9997997","33.91","31.73",NA,NA,NA,NA,NA,NA,"7248.708","4049.221","8.839031",NA,"-20.62361","4049.221","21089.12","34.06527","l4","1.249716","0.9962148","6.239432","0","31","1.874498","302.5278","866.7938","27.98054","1.317739e-05","1.299854","0.2066981","0","H_C_3"
"N_C_3","1.251143","6746.102","473.1123","471.9695","0.9998202","0.9998052","33.99","31.92",NA,NA,NA,NA,NA,NA,"7944.618","4379.276","6.223524",NA,"-21.73094","4379.276","23306.18","34.13919","l4","1.261677","0.9948621","4.872873","0","31","1.936045","192.7009","25.07818","4.759334","4.892026e-06","1.126786","0.2987065","0","N_C_3"
"S_C_3","1.218813","16225.95","508.2182","507.0753","0.9994698","0.9994256","32.48","30.19",NA,NA,NA,NA,NA,NA,"6735.456","3849.044","17.1365",NA,"-18.81457","3849.044","19447.1","32.66507","l4","1.240615","0.9897141","10.22991","0","30","1.881841","206.9642","49.38387","6.666745","2.608924e-05","1.060447","0.4902354","0","S_C_3"
