"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.eff","LRE.eff","LRE.rsq","LRE.base","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"H_C_1","1.173126","445.0416","364.3702","363.2274","0.3672295","0.3144986","22.92","21.02",NA,NA,NA,NA,NA,NA,"19.95469","13.9865","0.6956965",NA,"-16.06531","13.9865","47.10264","23.09851","l4","1.097653","0.923489","5.689403","0",NA,"1.688978","0.2119132","0",NA,NA,NA,NA,NA,"H_C_1"
"N_C_1","1.245295","537.5486","371.9243","370.7814","0.400373","0.3504041","20.71","18.69",NA,NA,NA,NA,NA,NA,"16.71207","9.849878","0.2769431",NA,"-13.65001","9.849878","48.95274","20.93321","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_1"
"S_C_1","1.189426","627.7081","378.1265","376.9837","0.3519205","0.2979139","19.2","16.89",NA,NA,NA,NA,NA,NA,"18.231","11.71947","0.9735606",NA,"-11.08377","11.71947","50.5349","19.51577","l4","1.08262","0.8099864","7.211881","0","1.208373","1.697958","0.4245622","0","16","95.00401","16.56866","3.669065","1.220622e-07","S_C_1"
"H_T_1","1.238063","614.5061","377.2763","376.1334","0.3467932","0.2923593","19.77","17.83",NA,NA,NA,NA,NA,NA,"16.82024","10.28604","0.3734473",NA,"-13.57108","10.28604","47.523","19.9833","l4",NA,NA,NA,NA,"0.9503155",NA,NA,NA,"17","92.12681","10.02332","2.873065","8.861769","H_T_1"
"N_T_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_1"
"S_T_1","1.195893","755.1965","385.5226","384.3798","0.3549861","0.301235","16.66","14.65",NA,NA,NA,NA,NA,NA,"22.00975","14.753","1.601106",NA,"-11.06261","14.753","58.05701","16.93417","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_1"
"NT_C_1","1","84.37068","297.8523","296.7095","0.2466903","0.1839145","20.55","13.55",NA,NA,NA,NA,NA,NA,"9.222952","9.222952","9.222952",NA,"-91.21019","9.222952","19.29991","20.55952","l4","1.3791","0.8535377","0.01917681","0","0.9648767","1.035323","0.0003560766","0","13","64.94433","6.07888","2.16242","7.016083","NT_C_1"
"H_C_2","1.165724","419.4205","361.9985","360.8556","0.3003309","0.2420252","25.49","24.69",NA,NA,NA,NA,NA,NA,"29.87172","24.48351","0.6776598",NA,"-41.89831","24.48351","51.34574","25.51835","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_2"
"N_C_2","1.299793","610.8482","377.0375","375.8946","0.4226251","0.3745105","18.05","15.98",NA,NA,NA,NA,NA,NA,"15.71099","8.203667","0.237954",NA,"-11.65191","8.203667","52.53434","18.31679","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_2"
"S_C_2","1.198942","692.8619","382.0767","380.9339","0.3844556","0.3331602","18.67","16.29",NA,NA,NA,NA,NA,NA,"19.27425","12.02171","1.003123",NA,"-10.49681","12.02171","56.03006","19.01379","l4","1.160328","0.9536786","1.984921","0","1.202128",NA,NA,NA,"16","104.9608","30.87077","5.008243","1.949318e-06","S_C_2"
