"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.211202","2314.427","430.3202","429.1774","0.9999163","0.9999093","31.16","28.96",NA,NA,NA,NA,NA,NA,"6271.423","3749.174","24.40124",NA,"-18.84401","3749.174","17393.27","31.33246","l4","1.222143","0.9952918","19.37144","0","28","1.885967","269.1043","735.5409","25.6268","5.246543e-05","1.087905","0.3702356","0","H_C_1"
"N_C_1","1.173898","2662.561","435.9253","434.7824","0.9998828","0.9998731","31","28.65",NA,NA,NA,NA,NA,NA,"6364.029","4084.315","64.39",NA,"-17.52131","4084.315","16511.11","31.19855","l4","1.193666","0.997281","40.71819","0","28","1.949585","239.8232","258.4885","15.19188","2.359746e-05","1.101761","0.2291224","0","N_C_1"
"S_C_1","1.199268","1719.359","418.4318","417.2889","0.9999271","0.9999211","31.51","29.29",NA,NA,NA,NA,NA,NA,"6154.985","3769.617","30.04488",NA,"-18.79725","3769.617","16640.57","31.69046","l4","1.214249","0.9961309","21.22499","0","29","1.895365","239.3553","190.3935","13.06513","3.408671e-05","1.034984","0.544383","0","S_C_1"
"H_T_1","1.176861","1796.653","420.1907","419.0479","0.9999035","0.9998955","32.68","30.37",NA,NA,NA,NA,NA,NA,"6327.998","4039.643","45.01304",NA,"-18.73825","4039.643","16396.16","32.86869","l4","1.197158","0.9969055","27.17868","0","30","1.921263","262.1899","311.2137","16.73596","1.110688e-05","1.007631","0.6088519","0","H_T_1"
"N_T_1","1.195774","952.7815","394.8189","393.6761","0.999946","0.9999415","32.73","30.49",NA,NA,NA,NA,NA,NA,"5791.798","3566.686","24.848",NA,"-19.4364","3566.686","15547.49","32.89905","l4","1.213106","0.9968472","16.30665","0","30","1.888133","205.3967","46.86978","6.494829","1.659208e-05","1.002067","0.6493241","0","N_T_1"
"S_T_1","1.162412","1539.299","414.0068","412.864","0.9998905","0.9998814","31.83","29.47",NA,NA,NA,NA,NA,NA,"5530.367","3645.247","65.55357",NA,"-17.84228","3645.247","13881.24","32.03379","l4","1.184351","0.9974566","38.39829","0","29","1.909279","224.0556","112.3385","10.0358","1.984888e-05","1.238797","0.2902335","0","S_T_1"
"NT_C_1","1.070395","90.99771","300.8769","299.734","0.9926309","0.9920169","40","40",NA,NA,NA,NA,NA,NA,"4348.741","3756.067","286.1531",NA,"-26.02343","3756.067","54689803","62.06571","l4",NA,NA,NA,NA,"40","1.949887","295.1703","83.04159","8.76433","2.906451e-09",NA,NA,NA,"NT_C_1"
"H_C_2","1.213111","2637.15","435.5417","434.3988","0.9999202","0.9999135","31.37","29.16",NA,NA,NA,NA,NA,NA,"6864.374","4069.753","24.55069",NA,"-18.86547","4069.753","19159.7","31.54228","l4","1.223261","0.9950283","19.56083","0","29","1.855728","279.2115","752.5314","25.97467","7.778688e-05","1.065825","0.4658248","0","H_C_2"
"N_C_2","1.192166","5390.561","464.1397","462.9969","0.9998723","0.9998617","29.7","27.33",NA,NA,NA,NA,NA,NA,"7457.838","4549.422","61.14017",NA,"-16.65869","4549.422","20576.55","29.91662","l4","1.208402","0.9967759","42.91313","0","27","1.895516","249.7322","509.2556","21.27608","0.0001473931","1.035794","0.5505833","0","N_C_2"
"S_C_2","1.208237","3075.282","441.6896","440.5467","0.9999081","0.9999004","29.9","27.72",NA,NA,NA,NA,NA,NA,"6630.228","4012.698","35.01645",NA,"-18.17832","4012.698","18196.81","30.081","l4","1.220973","0.996813","26.86919","0","27","1.952569","227.7866","225.9127","14.17079","4.859082e-05","1.122421","0.2162963","0","S_C_2"
"H_T_2","1.175041","2653.562","435.7898","434.647","0.9998884","0.9998791","31.08","28.74",NA,NA,NA,NA,NA,NA,"6505.616","4163.377","63.09024",NA,"-17.58952","4163.377","16928.91","31.28586","l4","1.194561","0.9968575","40.14492","0","28","1.949596","241.188","271.4001","15.56668","2.288707e-05","1.089035","0.2830461","0","H_T_2"
"N_T_2","1.169944","3458.564","446.3879","445.245","0.9998444","0.9998315","31.74","29.3",NA,NA,NA,NA,NA,NA,"6509.024","4156.778","65.505",NA,"-17.28028","4156.778","17039.09","31.95491","l4","1.191152","0.9969281","39.18467","0","29","1.915011","276.5661","686.9227","24.81656","2.514354e-05","1.020641","0.5625731","0","N_T_2"
"S_T_2","1.108178","3339.576","444.9875","443.8446","0.9996634","0.9996353","33.01","29.41",NA,NA,NA,NA,NA,NA,"5521.217","3742.962","269.1933",NA,"-12.19817","3742.962","14107.61","33.46216","l4","1.12677","0.9982307","165.5802","0","29","1.642715","295.1668","1304.564","34.19955","0.001454165","1.261084","0.9432102","0","S_T_2"
"**NT_C_2**","1.000087","6.505458","195.3492","194.2063","0.8752481","0.8648521","18.74","8.42",NA,NA,NA,NA,NA,NA,"3728.169","3727.027","3725.446",NA,"-2.748125","3727.027","3750.258","24.73805","l4",NA,NA,NA,NA,"8","0.4576436","42.08772","6.639866","2.037134","10.57395",NA,NA,NA,"**NT_C_2**"
"H_C_3","1.221807","3030.416","441.1017","439.9589","0.9999232","0.9999168","32.2","29.92",NA,NA,NA,NA,NA,NA,"7453.951","4241.749","18.58966",NA,"-18.77123","4241.749","21626.35","32.38199","l4","1.233516","0.9965326","14.30021","0","29","1.907053","281.9901","828.2009","27.24931","2.664547e-05","1.117162","0.2901501","0","H_C_3"
"N_C_3","1.228183","3039.876","441.2264","440.0835","0.999937","0.9999317","32.2","29.97",NA,NA,NA,NA,NA,NA,"8161.167","4614.365","17.24004",NA,"-19.16817","4614.365","23762.35","32.3779","l4","1.238371","0.9961974","13.80293","0","29","1.959394","243.2649","217.8715","13.97616","1.328445e-05","1.116989","0.3044322","0","N_C_3"
"S_C_3","1.231384","3080.093","441.7521","440.6093","0.9999303","0.9999245","31.35","29.15",NA,NA,NA,NA,NA,NA,"7427.948","4198.401","17.21446",NA,"-18.89711","4198.401","21637.65","31.52742","l4","1.237604","0.9946209","15.3358","0","29","1.883163","259.9362","387.1365","18.6303","6.002686e-05","1.092083","0.405568","0","S_C_3"
"H_T_3","1.214156","1597.819","415.4993","414.3565","0.9999489","0.9999446","32.72","30.51",NA,NA,NA,NA,NA,NA,"7203.206","4233.148","19.33357",NA,"-19.56008","4233.148","20148.79","32.89494","l4","1.228007","0.9967825","13.90487","0","30","1.901328","221.0973","79.10116","8.437479","1.789417e-05","1.021757","0.6173609","0","H_T_3"
"N_T_3","1.158989","4097.713","453.1709","452.028","0.9998129","0.9997973","29.04","26.7",NA,NA,NA,NA,NA,NA,"6215.696","4175.464","120.9411",NA,"-16.49856","4175.464","15415.29","29.25206","l4","1.179884","0.9970459","76.83717","0","26","2.063892","265.7436","1336.676","34.38669","1.885082e-05","1.07873","0.2894345","0","N_T_3"
"S_T_3","1.205886","1093.284","400.3212","399.1783","0.9999411","0.9999361","33.88","31.64",NA,NA,NA,NA,NA,NA,"6212.127","3706.077","16.62312",NA,"-20.02592","3706.077","17113.45","34.0502","l4","1.222245","0.9970115","11.04948","0","31","1.922553","233.523","93.58236","9.193802","5.262188e-06","1.275551","0.2581858","0","S_T_3"
"NT_C_3","1.000119","21.06758","242.3529","241.2101","0.4960476","0.4540516","22.42","18.13",NA,NA,NA,NA,NA,NA,"3869.83","3868.28","3861.501",NA,"-7.059864","3868.28","3879.073","23.34799","l4","1.000319","0.6450005","3847.466","0","18","0.4272282","99.95103","11.62125","3.111973","22.07346",NA,NA,NA,"NT_C_3"
"H_C_4","1.216558","2741.219","437.0898","435.947","0.9999237","0.9999174","31.51","29.26",NA,NA,NA,NA,NA,NA,"7028.891","4083.002","22.69355",NA,"-18.5463","4083.002","20010.53","31.69599","l4","1.226869","0.9957873","17.99248","0","29","1.849105","272.8204","603.6889","23.26453","8.566256e-05","1.060662","0.4970407","0","H_C_4"
"N_C_4","1.197501","4065.508","452.8553","451.7124","0.9998908","0.9998817","29.79","27.52",NA,NA,NA,NA,NA,NA,"7077.579","4334.292","49.62837",NA,"-17.43332","4334.292","19329.33","29.98673","l4","1.212977","0.9972578","35.57224","0","27","1.941277","254.5842","609.5091","23.27629","6.705291e-05","1.009368","0.6382653","0","N_C_4"
"S_C_4","1.229899","2998.81","440.6823","439.5395","0.9999278","0.9999218","31.07","28.87",NA,NA,NA,NA,NA,NA,"7143.863","4062.119","18.17189",NA,"-18.77289","4062.119","20718.14","31.24261","l4","1.238745","0.9966355","15.16096","0","28","1.936528","219.1278","123.437","10.49817","3.32951e-05","1.127824","0.2546603","0","S_C_4"
"H_T_4","1.187537","2903.413","439.3892","438.2464","0.9998903","0.9998812","32.44","30.05",NA,NA,NA,NA,NA,NA,"6909.053","4226.919","39.4708",NA,"-18.01796","4226.919","18828.83","32.64351","l4","1.204569","0.9951182","26.36025","0","30","1.856924","265.3921","346.27","17.65341","4.16665e-05","1.068683","0.4194897","0","H_T_4"
"N_T_4","1.18302","3369.757","445.3474","444.2045","0.9998507","0.9998382","33.19","30.78",NA,NA,NA,NA,NA,NA,"6836.347","4208.008","38.73718",NA,"-18.22717","4208.008","18445.47","33.39349","l4","1.203131","0.9971721","23.46916","0","30","1.971358","277.5855","519.9155","21.63155","4.768972e-06","1.104713","0.25062","0","N_T_4"
"S_T_4","1.226678","1709.215","418.1951","417.0522","0.9999398","0.9999348","34.05","31.81",NA,NA,NA,NA,NA,NA,"7213.243","4064.066","10.8546",NA,"-20.14131","4064.066","20894.38","34.21654","l4","1.239557","0.9966887","7.933911","0","31","1.89817","194.1598","26.28662","4.872654","8.692478e-06","1.136393","0.2143524","0","S_T_4"
"NT_C_4","1.000125","25.53628","250.0475","248.9047","0.6992872","0.6742277","19.6","12.44",NA,NA,NA,NA,NA,NA,"4126.231","4124.243","4119.845",NA,"-3.874847","4124.243","4145.865","22.46279","l4","1.00051","0.8364079","4101.058","0","12","0.4518469","74.46009","19.84884","3.85832","25.76909",NA,NA,NA,"NT_C_4"
"H_C_5","1.210959","3828.916","450.457","449.3141","0.9998977","0.9998891","30.32","28.07",NA,NA,NA,NA,NA,NA,"6917.341","4102.195","32.09956",NA,"-17.93677","4102.195","19431.4","30.50448","l4","1.220319","0.9948804","26.68405","0","28","1.837771","281.0247","1125.896","31.7059","0.0001998007","1.078727","0.4170018","0","H_C_5"
"N_C_5","1.195471","5471.771","464.7378","463.595","0.9998606","0.9998489","30.11","27.81",NA,NA,NA,NA,NA,NA,"7352.731","4497.642","51.29681",NA,"-17.38167","4497.642","20129.82","30.31401","l4","1.211813","0.9970117","36.0167","0","27","2.025315","280.3943","1585.387","37.53975","1.940542e-05","1.13316","0.5327561","0","N_C_5"
"S_C_5","1.225414","2665.976","435.9765","434.8337","0.999931","0.9999253","31.17","28.98",NA,NA,NA,NA,NA,NA,"7052.751","4061.08","19.49482",NA,"-18.86902","4061.08","20207.9","31.34621","l4","1.233795","0.9957564","16.47145","0","28","1.932328","195.7572","53.57411","6.916215","3.198979e-05","1.106224","0.3343239","0","S_C_5"
"H_T_5","1.218393","1405.217","410.3614","409.2185","0.999952","0.999948","33.44","31.2",NA,NA,NA,NA,NA,NA,"7166.121","4138.127","15.09098",NA,"-19.79257","4138.127","20382.18","33.61145","l4","1.229377","0.9948841","11.54194","0","31","1.864526","239.8891","114.9158","10.18798","2.056151e-05","1.07147","0.4607648","0","H_T_5"
