"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","Names"
"H_C_1","1.389567","343.2046","353.9766","352.8337","0.5677036","0.531679","19.68","18.87",NA,NA,NA,NA,NA,NA,"23.18146","14.97041","0.04666644",NA,"-32.04531","14.97041","56.7236","19.71717","l4",NA,"18","1.019281","128.4267","56.53255","6.863706","3.337916",NA,"H_C_1"
"N_C_1","1.363216","322.8849","351.5354","350.3925","0.5651365","0.5288979","20.15","19.42",NA,NA,NA,NA,NA,NA,"24.56079","16.61204","0.05984035",NA,"-36.28942","16.61204","56.69739","20.18216","l4",NA,"19","1.016337","145.9015","98.68615","9.116146","3.700496",NA,"N_C_1"
"S_C_1","1.469214","402.0157","360.3032","359.1603","0.5691788","0.533277","18.71","18.13",NA,NA,NA,NA,NA,NA,"25.07496","16.08328","0.02344167",NA,"-42.52514","16.08328","61.25463","18.73337","l4",NA,"18","1.02414","136.0502","86.34468","8.482564","2.00376",NA,"S_C_1"
"H_T_1","1.27585","334.7893","352.9836","351.8407","0.6260487","0.5948861","21.16","19.93",NA,NA,NA,NA,NA,NA,"26.64794","17.73581","0.2075286",NA,"-22.92443","17.73581","64.90262","21.23767","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_T_1"
"N_T_1","1.254738","318.3631","350.9712","349.8284","0.5700825","0.5342561","19.82","18.73",NA,NA,NA,NA,NA,NA,"26.43639","18.66869","0.3769687",NA,"-24.14271","18.66869","59.50521","19.88824","l4",NA,"18","1.005469","143.9869","134.192","10.57481","17.8917",NA,"N_T_1"
"S_T_1","1.220266","298.8454","348.4406","347.2977","0.6135605","0.5813572","20.96","19.35",NA,NA,NA,NA,NA,NA,"24.63984","16.57233","0.5232921",NA,"-17.29477","16.57233","60.70174","21.1","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_T_1"
"NT_C_1","1.090386","126.9688","314.2012","313.0583","0.5260284","0.4865308","22.04","19.79",NA,NA,NA,NA,NA,NA,"23.11017","18.807","4.169543",NA,"-13.08592","18.807","43.59053","22.29578","l4",NA,"19","1.000226","157.9142","185.7112","12.50553","924.5953",NA,"NT_C_1"
"H_C_2","1.418377","386.762","358.7559","357.613","0.597648","0.5641187","18.67","17.78",NA,NA,NA,NA,NA,NA,"23.83659","14.59773","0.04768575",NA,"-27.63636","14.59773","62.18309","18.71964","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_C_2"
"N_C_2","1.51854","336.4046","353.1761","352.0332","0.6372463","0.6070169","18.51","17.77",NA,NA,NA,NA,NA,NA,"22.70587","13.32345","0.013558",NA,"-33.38733","13.32345","61.33516","18.5394","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_C_2"
"S_C_2","1.470958","470.0989","366.5612","365.4184","0.5980906","0.5645981","17.19","16.6",NA,NA,NA,NA,NA,NA,"28.97595","18.52775","0.04784897",NA,"-38.42576","18.52775","71.14779","17.21386","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_C_2"
"H_T_2","1.241296","382.3828","358.3004","357.1576","0.6028885","0.5697958","19.83","18.71",NA,NA,NA,NA,NA,NA,"31.99188","22.85289","0.56057",NA,"-23.47725","22.85289","70.8008","19.89869","l4",NA,NA,NA,NA,NA,NA,NA,NA,"H_T_2"
"N_T_2","1.221301","331.9758","352.646","351.5031","0.5784103","0.5432779","21.26","19.82",NA,NA,NA,NA,NA,NA,"25.89302","17.93205","0.4924475",NA,"-19.62483","17.93205","60.83902","21.37171","l4",NA,NA,NA,NA,NA,NA,NA,NA,"N_T_2"
"S_T_2","1.245622","382.1314","358.2741","357.1312","0.6146618","0.5825502","20.41","19.2",NA,NA,NA,NA,NA,NA,"30.74905","21.43303","0.4533343",NA,"-22.31685","21.43303","70.65637","20.49334","l4",NA,NA,NA,NA,NA,NA,NA,NA,"S_T_2"
"NT_C_2","1.079036","225.1637","337.1166","335.9738","0.4883215","0.4456816","26.09","23.36",NA,NA,NA,NA,NA,NA,"29.34776","23.72312","4.964237",NA,"-12.76212","23.72312","56.27701","26.40984","l4",NA,"23","1.000195","209.1457","422.991","19.17859","1632.442",NA,"NT_C_2"
