,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3637.81033067464,4098.61179543213,3782.76506112745,4062.23656733081,3567.37424522807,3665.37592370069,3744.48328734562,3961.6911511649,4591.44341161571,4034.39930245811,4193.47290156379,4202.24326647067,3791.95715660817,3734.19986456787,4138.30659032809,4644.87858712444,4230.48108788075,4243.27478695543,4239.93547452904,3727.73841605961,3887.47957939484,3988.91243623318,4378.55438413205,4085.72672583096,4253.10538565814,4245.24801096757,4070.54403934371,4144.76838346965,3984.95778020412,4589.30857908301,4071.45112637453,4155.98922510799,4222.46111871667,4013.85289294277,4140.42322446963,4639.69146773633,4048.78839099794,4025.58353557093,4060.86188744488,3960.41846965237,3892.37662136243,4246.43401060653,3950.00561949498,3721.70908176146,3730.28482833207,3618.71383992788,3633.84422242197,3727.48291987098,3588.26787427684,3678.78747883018,3626.53344609171,3596.31141675475
,2,3686.04813932514,4111.00036817848,3782.80074611552,4067.73731823216,3570.98208604065,3662.10085140621,3739.4906919859,4010.69707473469,4587.67310073704,4032.1680172072,4186.36012101352,4205.18483726838,3787.13017724404,3732.96967114816,4176.04263499469,4639.10235460897,4221.10898064833,4240.71381788064,4236.15050059416,3720.41680518734,3878.27838874434,4034.06267836023,4379.05500124753,4081.15587531174,4247.74082289353,4244.39009537173,4063.55892624142,4135.5171379727,4020.44453250208,4575.42661071273,4064.1151970608,4146.61718471418,4219.89321699724,4002.57070400542,4172.37796482339,4632.29252888404,4042.55629065409,4018.82988217102,4056.61028696577,3956.1761370888,3922.80398626206,4244.63084389582,3947.51072058647,3713.68867002681,3720.14512478291,3606.57273835396,3650.93179744201,3742.03178390762,3620.82897461106,3705.7348907099,3624.50390160531,3588.39299668553
,3,3723.3527793873,4111.51816530844,3786.54059588954,4064.81669282813,3566.07316490993,3660.99157769671,3738.87595371643,4051.86510828826,4580.58694471235,4026.81756873752,4192.65741370223,4201.20706632895,3789.22669464814,3724.22330292842,4207.0542238887,4636.14491510624,4214.8739622227,4240.77428342142,4235.64123167453,3719.4251431761,3871.81652598769,4062.7123496052,4367.8625172089,4073.53442051701,4247.69614708984,4244.06754746224,4060.56570544276,4126.47469873127,4060.49142131634,4567.62386880613,4065.78940503022,4136.17440299232,4224.14810046731,4003.70687322563,4210.52452125946,4630.15833557072,4041.48602698773,4011.02513351038,4052.42360812467,3954.34483249278,3955.81262056102,4242.04194222402,3945.07378986542,3702.71779569471,3716.37656780285,3607.37608342408,3656.10101031702,3769.04197185631,3632.71060374409,3703.82277355817,3613.79961199576,3585.98768548424
,4,3739.49594608815,4111.79578764681,3782.91895581985,4067.27729860152,3570.96402067594,3659.0350758868,3739.72183216735,4064.99168486533,4576.90357809461,4027.00815764583,4188.13769725436,4195.0179390848,3777.05204574184,3723.74718572857,4234.64007188401,4634.38619164729,4213.95212349908,4240.15291586936,4233.96281150223,3719.76212153884,3867.8471835009,4069.44140486012,4362.06452388723,4069.35725162509,4249.73644293458,4249.25418183311,4058.55543727228,4121.3566591339,4092.95888176988,4554.0238846279,4060.36088846618,4141.03311787385,4225.06092380597,4000.81213716819,4237.36977079704,4625.92684163686,4033.42584628035,4008.79918887091,4048.4207442261,3950.3022222109,3993.97168092357,4237.25303285787,3945.01474013357,3703.5449128568,3713.57591883752,3607.87784919806,3700.55713913155,3778.79372272665,3642.2765924164,3702.35314998811,3613.6940272847,3585.57814896289
,5,3746.55806752928,4105.52154635884,3781.74030169738,4062.3256437436,3569.8391157118,3656.61748645774,3741.52030552029,4076.34050582386,4572.78017328441,4023.33474845938,4185.03475017723,4195.16644121641,3774.63422554558,3723.2584043063,4251.04386020782,4632.90673865991,4211.37208828012,4241.28704243682,4222.36557408852,3719.12025030583,3860.52080050246,4080.07848251203,4355.52712526575,4066.89940908953,4249.58243497314,4249.75643736035,4063.34160632262,4115.79227521275,4101.55086998918,4542.00611292551,4063.48207770692,4138.14070257608,4220.97619033187,4003.29021967689,4242.18966378757,4619.47446786384,4032.89527547645,4008.75499080009,4043.03038396678,3943.45376893196,4011.49817867554,4234.1691096609,3944.14019752171,3700.59186855286,3709.85573929895,3603.54713613224,3710.20833754928,3787.55748119931,3642.1492690978,3706.08070835982,3615.07184076701,3586.40844049791
,6,3749.1497697134,4104.26717664225,3784.04734827899,4067.42386304945,3569.78947974389,3659.25576116125,3737.92395714733,4080.1278938196,4568.34765935931,4025.58370055616,4185.12911055541,4187.52013367979,3771.81659480807,3725.8258537702,4260.55539286081,4628.49427929359,4207.61477526982,4239.72470537021,4218.75262750502,3716.20746904959,3859.59414118794,4084.64143383391,4357.00969995922,4063.7873855558,4248.29918069546,4243.66931125287,4063.55271983037,4114.69445764688,4125.51879631475,4530.12729391523,4063.78012298752,4142.24660025705,4213.66932105487,4003.19984302257,4246.59386673555,4613.08276566893,4026.94575378497,4010.69363063434,4037.10162036019,3943.73143603161,4018.40831129978,4232.73083085302,3938.39788252516,3701.92148367334,3707.77389676377,3606.48906412497,3724.19088422167,3792.96008067559,3643.6437301906,3705.38690913225,3612.24236183266,3583.19201088492
,7,3758.04778901235,4103.74963722677,3777.98829113535,4059.90636735891,3571.26470066904,3658.06343801207,3743.38288074902,4082.06916459286,4563.50851234301,4022.77080156301,4179.13399838084,4185.35919695871,3771.63786125252,3727.00317196172,4259.86808462837,4628.73822460459,4210.16544502321,4239.28865385614,4209.90924119701,3717.57881212397,3862.85308676173,4087.26212606588,4348.92009800808,4064.77977981804,4245.94447955965,4242.36664401274,4065.84892020035,4117.15517184685,4126.43995522102,4525.63421713263,4063.57966989624,4140.62850620697,4209.32937588258,4006.73306823141,4258.13007305453,4607.31589563703,4031.88109882096,4009.40014599638,4034.97407855573,3939.2132648124,4024.0675090296,4231.88784499794,3934.07018948864,3696.56174579841,3704.55173837092,3602.16477709842,3734.24667622498,3792.95242240219,3645.21925946356,3708.81721788675,3612.13489091163,3583.69215236489
,8,3759.29068609608,4100.58676715783,3778.799898619,4052.56137266931,3570.38074444637,3656.17027086767,3744.6020678238,4087.76752011209,4562.73837430023,4020.43722631617,4179.21875474441,4183.26889050333,3771.67751093801,3724.51783569368,4264.16419644727,4630.48637900738,4203.99622257859,4239.87466309965,4200.0180664782,3712.76957187772,3865.64751267707,4090.52798020051,4345.95863188788,4065.48753884086,4243.3838199187,4239.58258086647,4069.65675810938,4121.76573597314,4122.7265216626,4518.57702111514,4060.51570268346,4143.46585208451,4205.25765163707,4005.6674144053,4267.25454023172,4605.26131274883,4025.70426677601,4009.59845825641,4029.11684132246,3938.47332977788,4047.60037926623,4231.89609624515,3933.59080435566,3700.70444064802,3703.99074774491,3601.33944405345,3740.07958711668,3796.27858950398,3647.01391212481,3706.01030551788,3611.57058015534,3582.4639798805
,9,3761.81774076262,4101.39708411164,3779.04335141782,4053.73586014116,3574.55069734216,3655.84922518211,3747.12849952712,4082.08408659679,4559.32330646855,4016.29658534227,4175.77952767297,4178.11589341687,3764.39935208725,3726.68251955688,4263.39168637185,4622.26557703594,4208.09098986664,4237.50903927538,4192.25263152178,3713.13966955699,3866.71186572669,4092.90626300454,4344.2543543869,4061.5275696944,4246.71764975375,4234.21532129263,4063.67317422728,4119.64036649881,4118.86383349141,4511.83771444426,4057.70699244738,4142.9899907671,4198.28667690596,4008.15138519277,4273.59519583827,4599.36370435054,4027.85755198353,4007.6955602368,4027.6751304042,3935.53858972901,4044.74969863897,4225.89186863581,3929.05899895453,3701.32430231066,3698.72971230034,3599.92603171431,3746.19806421661,3797.73573918592,3643.16361868797,3703.42180862216,3610.08240482727,3583.37187071532
,10,3758.19594205649,4096.01083239835,3776.71223091184,4053.88159085034,3570.53910796549,3655.06520543049,3749.79633305595,4086.20388680953,4558.09960371611,4016.01982687949,4173.35546388069,4177.4936432952,3766.73759608151,3731.70980093241,4267.73172786114,4623.01920802457,4206.09599372286,4238.27675307116,4188.64261505918,3711.52758454109,3866.67438487618,4092.59531243171,4339.78604517115,4064.53316392725,4243.66781187622,4234.64599318342,4069.30333404908,4120.41932488317,4123.50543682064,4509.15832213583,4061.73442132482,4144.07705003409,4194.59019400996,4007.08184339873,4283.40707127303,4595.24993857958,4028.83201804712,4007.24019674433,4024.01495586419,3937.33012375224,4039.52870544664,4226.72235569228,3929.47613304994,3693.81936939119,3698.21276691606,3602.22936323327,3749.67775134321,3799.06187513816,3645.40216536537,3703.05518072595,3610.45443958226,3584.78150929257
