Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\7232015b\PGEEP42rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 1, SBGnew, 60.0, 0.1087,0.1326,0.1750,0.1714,0.1657,0.1250,0.1392,0.1620,0.2609,0.2751,0.2554,0.2361,0.2107,0.2070,0.2292,0.3451,0.3627,0.2750,0.2542,0.2029,0.2264,0.2752,0.3334,0.3774,0.3479,0.3924,0.2566,0.2875,0.2794,0.2872,0.3614,0.3504,0.3675,0.3142,0.2373,0.3353,0.4474,0.3834,0.3159,0.2662,0.1709,0.2174,0.3485,0.3485,0.2804,0.2328,0.1549,0.1597,0.1950,0.2136,0.2288,0.1903,
4, 2, SBGnew, 60.0, 0.1090,0.1331,0.1751,0.1722,0.1669,0.1248,0.1391,0.1628,0.2615,0.2752,0.2559,0.2374,0.2117,0.2072,0.2292,0.3447,0.3631,0.2749,0.2554,0.2040,0.2261,0.2762,0.3331,0.3778,0.3496,0.3938,0.2578,0.2879,0.2807,0.2878,0.3621,0.3508,0.3693,0.3164,0.2393,0.3350,0.4481,0.3851,0.3180,0.2669,0.1717,0.2175,0.3502,0.3502,0.2814,0.2342,0.1558,0.1603,0.1965,0.2147,0.2286,0.1909,
4, 3, SBGnew, 60.0, 0.1098,0.1340,0.1749,0.1735,0.1682,0.1247,0.1392,0.1635,0.2624,0.2747,0.2567,0.2392,0.2131,0.2072,0.2301,0.3451,0.3630,0.2745,0.2569,0.2046,0.2262,0.2776,0.3332,0.3779,0.3516,0.3960,0.2582,0.2884,0.2820,0.2872,0.3633,0.3508,0.3719,0.3177,0.2407,0.3354,0.4480,0.3856,0.3188,0.2681,0.1730,0.2184,0.3515,0.3515,0.2825,0.2355,0.1574,0.1605,0.1981,0.2158,0.2288,0.1916,
4, 4, SBGnew, 60.0, 0.1103,0.1350,0.1758,0.1747,0.1697,0.1246,0.1389,0.1642,0.2628,0.2742,0.2576,0.2409,0.2140,0.2073,0.2306,0.3450,0.3623,0.2741,0.2589,0.2061,0.2264,0.2793,0.3324,0.3777,0.3549,0.3979,0.2599,0.2889,0.2833,0.2871,0.3643,0.3511,0.3740,0.3202,0.2421,0.3350,0.4470,0.3870,0.3205,0.2702,0.1741,0.2185,0.3527,0.3525,0.2835,0.2366,0.1589,0.1611,0.1997,0.2168,0.2286,0.1920,
4, 5, SBGnew, 60.0, 0.1109,0.1359,0.1760,0.1749,0.1694,0.1250,0.1392,0.1648,0.2626,0.2740,0.2585,0.2418,0.2149,0.2082,0.2310,0.3450,0.3625,0.2753,0.2593,0.2068,0.2269,0.2807,0.3334,0.3780,0.3570,0.3999,0.2605,0.2895,0.2846,0.2880,0.3650,0.3517,0.3745,0.3201,0.2431,0.3356,0.4477,0.3890,0.3219,0.2713,0.1741,0.2194,0.3534,0.3537,0.2836,0.2381,0.1598,0.1616,0.2000,0.2164,0.2296,0.1920,
4, 6, SBGnew, 60.0, 0.1118,0.1362,0.1755,0.1757,0.1702,0.1249,0.1395,0.1649,0.2632,0.2737,0.2589,0.2428,0.2150,0.2092,0.2315,0.3462,0.3630,0.2758,0.2603,0.2071,0.2259,0.2814,0.3337,0.3773,0.3579,0.4001,0.2618,0.2894,0.2859,0.2883,0.3646,0.3521,0.3758,0.3212,0.2434,0.3355,0.4478,0.3904,0.3237,0.2723,0.1745,0.2199,0.3547,0.3544,0.2845,0.2400,0.1598,0.1623,0.2001,0.2166,0.2297,0.1921,
4, 7, SBGnew, 60.0, 0.1122,0.1371,0.1755,0.1755,0.1702,0.1243,0.1397,0.1652,0.2638,0.2737,0.2597,0.2428,0.2155,0.2091,0.2313,0.3463,0.3623,0.2752,0.2604,0.2075,0.2262,0.2821,0.3343,0.3771,0.3579,0.4013,0.2620,0.2887,0.2856,0.2877,0.3661,0.3521,0.3765,0.3207,0.2429,0.3349,0.4465,0.3898,0.3232,0.2735,0.1753,0.2201,0.3545,0.3532,0.2855,0.2402,0.1601,0.1622,0.2000,0.2166,0.2298,0.1918,
4, 8, SBGnew, 60.0, 0.1125,0.1373,0.1761,0.1757,0.1708,0.1244,0.1388,0.1660,0.2634,0.2741,0.2604,0.2422,0.2160,0.2093,0.2306,0.3456,0.3624,0.2764,0.2607,0.2089,0.2257,0.2826,0.3341,0.3772,0.3566,0.4023,0.2626,0.2890,0.2851,0.2882,0.3659,0.3531,0.3763,0.3211,0.2441,0.3340,0.4471,0.3902,0.3238,0.2739,0.1754,0.2200,0.3547,0.3529,0.2860,0.2405,0.1599,0.1625,0.1997,0.2163,0.2301,0.1914,
4, 9, SBGnew, 60.0, 0.1133,0.1368,0.1751,0.1763,0.1713,0.1246,0.1391,0.1662,0.2638,0.2735,0.2609,0.2427,0.2169,0.2091,0.2303,0.3444,0.3631,0.2771,0.2609,0.2088,0.2257,0.2835,0.3355,0.3771,0.3554,0.4029,0.2622,0.2880,0.2846,0.2877,0.3661,0.3527,0.3766,0.3212,0.2451,0.3345,0.4478,0.3914,0.3234,0.2739,0.1759,0.2198,0.3559,0.3535,0.2867,0.2413,0.1596,0.1623,0.1993,0.2165,0.2302,0.1921,
4, 10, SBGnew, 60.0, 0.1132,0.1364,0.1751,0.1760,0.1723,0.1240,0.1387,0.1664,0.2639,0.2737,0.2605,0.2429,0.2165,0.2093,0.2297,0.3450,0.3632,0.2779,0.2615,0.2087,0.2251,0.2835,0.3342,0.3771,0.3554,0.4029,0.2632,0.2875,0.2850,0.2874,0.3648,0.3525,0.3775,0.3217,0.2444,0.3346,0.4471,0.3905,0.3237,0.2742,0.1757,0.2190,0.3554,0.3531,0.2875,0.2404,0.1593,0.1624,0.1993,0.2161,0.2308,0.1924,
