"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.19817","35620.94","539.6711","538.5282","0.9989599","0.9988732","32.88","30.04",NA,NA,NA,NA,NA,NA,"6948.85","3747.005","30.42385",NA,"-15.36892","3747.005","21568.14","33.15988","l4","1.233464","0.9948512","12.66918","0","30","1.834249","282.8616","619.8867","23.61987","6.656176e-05","1.400364","0.7557664","0","H_C_1"
"N_C_1","1.193932","28594.21","530.8819","529.739","0.9989756","0.9988902","32.96","30.2",NA,NA,NA,NA,NA,NA,"6536.526","3643.236","30.94344",NA,"-15.88197","3643.236","19700.3","33.22285","l4","1.227504","0.9927091","13.44056","0","30","1.877519","223.0471","84.41279","8.716164","2.782111e-05","1.373652","0.6327933","0","N_C_1"
"S_C_1","1.207703","33046.62","536.6705","535.5276","0.998994","0.9989102","32.87","30.17",NA,NA,NA,NA,NA,NA,"6748.297","3629.353","22.72231",NA,"-16.15281","3629.353","20851.96","33.12422","l4","1.241369","0.9933056","9.921581","0","30","1.882364","234.081","121.9383","10.4759","2.819761e-05","1.398164","0.6569553","0","S_C_1"
"H_T_1","1.200074","19430.09","515.4266","514.2838","0.9990377","0.9989575","34.42","31.88",NA,NA,NA,NA,NA,NA,"6450.247","3669.731","19.24984",NA,"-17.96269","3669.731","18800.81","34.63927","l4","1.229428","0.9943091","8.956449","0","31","1.940342","218.9275","58.44111","7.265364","3.59643e-06","1.276634","0.1644072","0","H_T_1"
"N_T_1","1.217784","19149.52","514.8448","513.702","0.9991186","0.9990452","34.79","32.32",NA,NA,NA,NA,NA,NA,"6586.176","3601.169","11.29794",NA,"-18.69139","3601.169","19763.66","34.99236","l4","1.24025","0.9912889","6.367513","0","32","1.883489","219.217","47.51737","6.562211","7.044396e-06","1.377457","0.5549487","0","N_T_1"
"S_T_1","1.193678","18371","513.1847","512.0418","0.9990135","0.9989313","34.34","31.76",NA,NA,NA,NA,NA,NA,"6264.097","3613.53","22.64245",NA,"-17.69858","3613.53","18067.56","34.55664","l4","1.224174","0.9942172","10.18296","0","31","1.917168","196.3185","28.18235","5.045298","5.276535e-06","1.287463","0.2335402","0","S_T_1"
"NT_C_1","1.000081","4.672922","182.1149","180.972","0.7322703","0.7099595","5.32","1",NA,NA,NA,NA,NA,NA,"3423.429","3423.15","3423.15",NA,"-1.186919","3423.15","3447.096","42.23387","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_1"
"H_C_2","1.207677","47783.58","551.421","550.2782","0.9989535","0.9988663","32.53","29.75",NA,NA,NA,NA,NA,NA,"7621.449","4034.931","27.79724",NA,"-15.5528","4034.931","24002.89","32.80216","l4","1.24419","0.9945998","11.30863","0","29","1.898937","265.5926","470.5133","20.53873","3.376844e-05","1.452049","0.8391389","0","H_C_2"
"N_C_2","1.206004","56202.97","557.9125","556.7697","0.9989163","0.998826","31.73","28.87",NA,NA,NA,NA,NA,NA,"7631.11","3996.64","34.2018",NA,"-14.72602","3996.64","24381.46","32.02644","l4","1.245739","0.9947324","13.21147","0","28","1.930852","196.0941","54.22262","6.957949","3.803717e-05","1.443703","0.8104884","0","N_C_2"
"S_C_2","1.204502","51493.82","554.4122","553.2693","0.9989357","0.998847","31.6","28.74",NA,NA,NA,NA,NA,NA,"7354.997","3882.712","35.00833",NA,"-14.70045","3882.712","23411.15","31.89519","l4","1.244248","0.9942765","13.52328","0","28","1.904377","180.8149","31.419","5.296478","5.678406e-05","1.45637","0.8375954","0","S_C_2"
"H_T_2","1.205469","23754.57","523.4647","522.3219","0.9990255","0.9989443","33.95","31.41",NA,NA,NA,NA,NA,NA,"6639.174","3715.099","18.75018",NA,"-17.70542","3715.099","19640.33","34.17169","l4","1.233331","0.991343","9.087424","0","31","1.913176","230.1778","84.00976","8.7109","7.579335e-06","1.355756","0.4829092","0","H_T_2"
