"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","sli.rsq","sli.init","sli.base","LRE.rsq","LRE.base","Names"
"H_C_1","1.178873","527.8199","371.1937","370.0509","0.3631127","0.3100388","20.23","17.84",NA,NA,NA,NA,NA,NA,"17.51225","11.36891","0.9297521",NA,"-11.27779","11.36891","47.83373","20.55293","l4",NA,"17","1.144122","98.20425","14.3308","3.43538","0.000115172",NA,NA,NA,NA,NA,NA,"H_C_1"
"N_C_1","1.13545","538.526","371.997","370.8541","0.3098616","0.25235","20.3","17.78",NA,NA,NA,NA,NA,NA,"19.189","13.72932","2.005234",NA,"-10.77413","13.72932","46.60074","20.65255","l4","1.095822","17","0.9421578","106.1623","22.88609","4.341356","2.792922",NA,"0.9814875","4.559659","0",NA,NA,"N_C_1"
"S_C_1","1.165204","547.5084","372.6586","371.5158","0.384536","0.3332474","18.18","15.59",NA,NA,NA,NA,NA,NA,"18.81967","12.48334","1.735412",NA,"-9.407721","12.48334","52.14271","18.59839","l4","1.065374","15","1.012207","89.44226","16.68901","3.65393","3.501654","1.477865","0.9738488","9.089962","0","0.2246871","0","S_C_1"
"H_T_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_1"
"N_T_1","1.14449","588.236","375.5286","374.3858","0.3221216","0.2656318","20.76","18.42",NA,NA,NA,NA,NA,NA,"20.6427","14.6914","1.718437",NA,"-11.85921","14.6914","49.70675","21.05554","l4","1.141495","18","1.000031","119.8796","35.16236","5.413129","-1911.496","1.848038","0.9493364","6.87026","0","0.5897749","0","N_T_1"
"S_T_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_1"
"NT_C_1","1.133836","47.80462","275.1284","273.9855","0.2773907","0.2171733","25.35","24.62",NA,NA,NA,NA,NA,NA,"11.8672","10.16337","0.5386708",NA,"-46.14224","10.16337","18.69724","25.37209","l4",NA,"24","0.9792094","134.2087","12.86293","3.354857","2.304653",NA,NA,NA,NA,NA,NA,"NT_C_1"
"*H_C_2*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_C_2*"
"N_C_2","1.211829","703.4112","382.6812","381.5383","0.3602946","0.3069858","19.39","16.97",NA,NA,NA,NA,NA,NA,"17.24853","10.28536","0.661835",NA,"-10.7008","10.28536","52.30152","19.7368","l4","1.071841",NA,NA,NA,NA,NA,NA,NA,"0.6471852","6.900675","0",NA,NA,"N_C_2"
"S_C_2","1.210092","688.9436","381.8499","380.707","0.348414","0.2941152","18.03","16.16",NA,NA,NA,NA,NA,NA,"20.41957","13.48848","0.9369223",NA,"-12.81335","13.48848","53.39691","18.25195","l4",NA,"16","0.9500151","106.8267","34.68936","5.308965","7.200901",NA,NA,NA,NA,NA,NA,"S_C_2"
