,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3680.42519403606,3677.02435210789,3672.50809228022,3701.42520555747,3629.25111171737,3643.11896783666,3425.82436919684,3983.74405482357,4057.65663610505,3942.96837178168,3746.71836501866,3924.99162608121,4010.94865389769,3524.4122393479,3928.88922366687,4547.87588743113,4086.7696578196,3898.23022308541,4055.57519952945,3901.96872880171,3646.61765427227,3935.84987403584,4142.95033608802,3988.05148418686,3792.68314980535,4107.93396495531,4216.41678357385,3855.47313378792,3990.16178653137,4149.80510698183,3924.16187645974,3947.33418271226,4001.8332575303,4226.56202959579,4249.46488955615,4531.37727714147,3918.74862482454,3927.66238091105,4046.92625054876,4063.62532447415,3846.51964289867,4054.81085838533,3759.48083128711,3952.88412580729,3917.84297794382,3871.66935148587,3542.6165979209,3676.48342340139,3657.98864300456,3660.28855742045,3740.63090254664,3713.80102734332
,2,3744.72133115288,3684.65776105267,3672.52998304198,3702.16814703457,3622.05618825954,3637.14828841928,3424.19698336451,4039.73868814599,4058.65661481207,3937.30323758289,3749.22746400924,3921.90034808224,4014.64315895098,3523.30875871846,3973.74731782338,4547.00276403954,4086.38657227961,3897.82539150408,4057.6655150201,3905.04759554118,3646.784923935,3965.89247161548,4140.8720788497,3989.00896028013,3795.69050250268,4100.80092046419,4202.69303551632,3857.04778163633,4026.66540734121,4142.60847486288,3921.86872563799,3942.2082705915,3999.2415937847,4224.13829966644,4279.33861450534,4523.60215959937,3915.1428185578,3927.84908482544,4047.12394286741,4058.59914862281,3876.29257541694,4055.25701781389,3755.58802560149,3947.79734912406,3912.0409432235,3860.36372544268,3557.60977680933,3700.38964073428,3696.90083164063,3668.68394693352,3739.78507625469,3702.55095965407
,3,3766.57703103601,3684.86788994508,3671.94655123923,3701.67206403203,3620.37061830345,3640.50198544676,3420.06905780888,4067.17857570326,4051.2983364489,3937.98052409623,3748.7842978454,3920.32068307013,4013.68116262045,3527.16552399726,4010.95568348699,4540.98214089285,4084.1613548781,3894.11842611267,4051.73036146912,3900.83962121544,3640.03368169014,3993.98990830702,4132.38544593436,3985.6812400904,3795.97087016244,4094.15287650564,4189.24694792703,3853.71485770164,4066.21508525089,4137.99556558751,3919.96606530478,3943.48735251003,3988.87170944735,4230.51226637108,4310.64549704395,4516.21164655085,3912.12965949566,3925.97539895246,4047.21941500723,4052.9729082416,3901.61653733954,4051.57607344616,3749.75378153628,3948.18950328663,3903.34638983712,3854.46397113414,3569.36135399433,3717.11100718856,3704.73414496041,3670.53814790012,3736.11115928904,3699.49124651931
,4,3775.9177864776,3685.86919097287,3671.14934635584,3696.62951797785,3621.19187818404,3640.4433514163,3424.97572616984,4078.9204976575,4053.24701490128,3934.70094440027,3748.62752971208,3917.33991346536,4014.27438996447,3521.67758603634,4025.16348781097,4543.1703010455,4080.50166558534,3894.80848694428,4049.74743165019,3901.14395702447,3642.20118735502,4011.424637556,4126.84425857536,3983.34323947317,3798.51200923818,4098.99620169251,4186.63605254889,3854.04998363528,4099.01236266956,4140.8259130122,3919.03557516481,3943.80300519119,3990.82439955664,4235.48548199841,4333.88855192727,4519.07911738315,3910.89686987449,3929.66940991312,4047.49648189089,4049.72507918995,3919.58042255612,4050.65534139654,3752.81363655767,3943.71885304977,3908.35359503004,3854.60393001067,3591.62164020387,3732.45564604646,3708.57024206488,3675.30694720092,3742.75502954874,3695.71408657271
,5,3779.73770429775,3682.02304881044,3670.77525717117,3698.52618458321,3620.94264601963,3637.9611613267,3423.82903002369,4086.13543071336,4055.88495998195,3935.29647351301,3746.87468622052,3915.33867926919,4012.07348956843,3523.91342213001,4032.41666949287,4541.40733371734,4082.46373134309,3890.91525188481,4048.15061128297,3899.57741180538,3644.63415786029,4023.87828665901,4126.40411595901,3981.83751010595,3794.67439223329,4092.3427284751,4184.23658505347,3855.56264398401,4107.98571235991,4140.64913324169,3916.52595294855,3940.00506607824,3984.12316032926,4238.56976770756,4355.51778839051,4513.29043965784,3910.81436996271,3928.86724441167,4040.98397121943,4050.14330221831,3935.45219920348,4054.7069202688,3751.10866409601,3948.68252643786,3903.32192182315,3850.44095255122,3613.189130915,3734.25234858189,3707.05485342393,3673.63737524429,3742.25972526829,3702.78888472114
,6,3784.83098616286,3682.23078100193,3668.8596748725,3698.22481181261,3617.71525067631,3638.51335495643,3426.08045186716,4086.91749921695,4052.97292885348,3930.63703750749,3745.05179309409,3915.87890034239,4006.72350078762,3527.97254486971,4035.26573774716,4541.87250094126,4088.48612281876,3893.90969473504,4048.59318553209,3901.5932275216,3637.6614043921,4029.26696810161,4127.28993112906,3980.04796741445,3793.89508028697,4089.21883868483,4178.50695546905,3854.58955872049,4109.97859784835,4139.09543458697,3915.22401629742,3942.19172546131,3986.65350701905,4240.92002249885,4367.43937157761,4515.95616962719,3908.2849074821,3927.32857729817,4040.84810224668,4049.63782290528,3948.75767405408,4054.24963699212,3752.83515466562,3950.30418697968,3906.68116402709,3847.64302324159,3630.48212737089,3743.22179673778,3707.48494054142,3675.79764840488,3738.88579797175,3699.40383182765
,7,3788.77881708276,3676.26554694944,3671.05801974061,3699.96789607133,3621.1668763537,3637.84935134171,3421.06241071687,4091.06644312027,4052.73318382776,3930.86939490618,3746.82079062423,3916.51924019294,4007.50146601954,3527.57460682278,4041.25845548054,4539.7311840353,4088.33202750123,3894.85107637976,4045.73356255243,3901.78556052213,3640.27613569865,4037.40208913506,4128.88491018251,3984.28751227202,3797.60195161266,4090.35268642281,4177.98146849577,3851.68624106522,4110.65121373639,4142.30687257594,3913.71081199674,3942.0136141474,3984.95445675654,4239.59815371085,4370.26015965473,4517.23097939718,3909.71739319152,3930.00535244718,4037.57329213441,4048.4031995492,3957.1590536794,4053.84595563801,3752.85032115271,3949.04401987972,3902.01114047603,3847.34374076327,3633.9599883188,3744.11055616979,3712.31959429883,3675.55805015844,3744.89658860901,3700.95973695104
,8,3794.34427935341,3679.87699032127,3668.30713009388,3696.60884178458,3622.29675066064,3637.26995731129,3427.10302938295,4089.67803842682,4054.28902460987,3931.53976617963,3746.17257423914,3917.40482988273,4007.86973161084,3529.87379683539,4040.26587525329,4539.30175297621,4087.64715672802,3894.28378684647,4046.63335508334,3901.78560834304,3641.87876415439,4045.09746309332,4131.41795358421,3984.08980910061,3800.50341021876,4092.90770946685,4175.79463713265,3854.61888982285,4121.23558077749,4136.97064861648,3914.15289745977,3942.75850641426,3983.48369717091,4243.21907506044,4381.01086839711,4521.30480717181,3911.25858975344,3930.70744619066,4041.45938880803,4050.7711346898,3968.01034424085,4061.04073437541,3759.7165840101,3949.0558915508,3900.21226992998,3850.20731672619,3640.42574806574,3749.74981093905,3715.06511094087,3674.07092633005,3743.35428397317,3699.62864396728
,9,3796.62175045889,3679.57343474771,3670.09611820899,3697.1287903433,3620.17526110599,3640.92087208855,3428.18323469483,4091.39910406167,4053.40678749273,3935.25064068244,3744.84466407243,3917.53782676305,4005.94999698235,3531.12487830071,4042.44401905771,4535.79657689397,4084.08277209308,3893.70414848736,4042.03111498386,3900.78875948654,3642.25019851449,4045.90948816551,4123.52612742736,3980.73918727573,3797.77194854461,4087.29228432524,4172.12154726073,3853.26009659563,4119.63613684253,4144.41939216014,3911.58343984008,3943.75782258014,3982.09558830084,4245.95890325437,4379.66423977568,4517.83351702294,3910.90716831925,3927.53971957028,4037.42669494605,4048.40227902055,3967.29057880991,4055.59687234081,3757.54037276021,3949.632841185,3900.27843055988,3850.06577439673,3645.64180901006,3750.7874025753,3715.01453808576,3678.78552298158,3743.70209052825,3700.83345247361
,10,3793.11394830119,3680.31604872983,3666.73747770368,3696.01858158987,3619.69007600111,3637.28225718356,3429.14337660498,4090.87917713701,4054.878118057,3931.9416081312,3742.81926042576,3917.52936538956,4009.73108141833,3533.04816388895,4039.22208168955,4538.49956864681,4087.6806268862,3894.65707607024,4042.85654450895,3903.53919209852,3644.95304995029,4052.43015301797,4127.04714298507,3979.00524369877,3799.02758281471,4095.5286174669,4174.07051187843,3858.48077875991,4121.37056590132,4141.22858035809,3909.15940903428,3948.09194619691,3984.23120277875,4249.41832296786,4381.67785001388,4518.16631976677,3914.23538592716,3933.64343758522,4037.08274366981,4048.8360197568,3974.94755185372,4053.40358356794,3756.8181230527,3952.4231384111,3900.08644749445,3851.30495509007,3646.21509451456,3753.64469764715,3717.69338692131,3678.16502794538,3744.66956518799,3704.070074489
