,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3507.66398760318,3628.44705828668,3639.51051612725,3478.44435872935,3506.34518663686,3445.23650487202,3462.87149353583,3785.06648657724,3941.58361840133,3859.92160394102,3586.85633203328,3666.59094384691,3609.98059263268,3464.45245240197,3757.32737804911,4321.99486924428,3770.32679116126,3729.13714895887,3626.17834770888,3483.46178277207,3398.26522349562,3715.78963423339,3794.7473008096,3867.81057317036,3610.24262042814,3816.34206129835,3917.49297716069,3604.4074540691,3671.37509447586,3817.46423303285,3842.05057093566,3709.02289136594,3655.55808751705,3890.62901752544,3873.35454579978,4060.6034977554,3731.06859075442,3689.20620475639,3645.6481021486,3593.15256694261,3541.85522203131,3570.51711310595,3507.19683094751,3470.98391290092,3482.3416549278,3428.14634080041,3443.27190689845,3370.48992935775,3480.95845884576,3425.105518109,3365.42400096132,3424.97857107917
,2,3551.71419649211,3635.58480390248,3639.42218999451,3479.98978686263,3507.79260886733,3449.81422396664,3467.18426756544,3819.49148628884,3940.82488560309,3878.89017545808,3585.91717613146,3660.80041979776,3617.36262003182,3463.95344929609,3790.89005905215,4313.82313750049,3766.95646862444,3724.30854682117,3627.21669876774,3483.71528952612,3398.31731777381,3741.44861639623,3798.18638216097,3872.79053346852,3602.99627251326,3812.1708997677,3910.29163902437,3600.75729699218,3698.47414740915,3809.77790521673,3843.52099200183,3703.80889473239,3651.29189805946,3888.56866109746,3896.83015704027,4059.4228796653,3721.2068641923,3692.31788113549,3647.44821180244,3592.89029469339,3565.22527409101,3566.84268472615,3510.28584417656,3473.68399803197,3471.34825571589,3422.06881166476,3460.65501425638,3399.40468946699,3499.32411445485,3432.00605764719,3375.12948323313,3436.66070877573
,3,3569.31091875127,3641.7549748679,3638.15889995447,3480.85464459758,3510.03470165958,3448.44950782928,3470.16656394654,3841.24474038713,3943.24303160623,3895.35695769051,3587.23601617861,3658.69986050763,3611.88739548144,3469.27930657012,3813.38011260873,4311.95957210543,3771.05539696555,3728.41381607035,3630.527978966,3482.16130759354,3401.84251744575,3764.12142689801,3793.28727101449,3874.82599967731,3608.86730735335,3812.56430672492,3907.38443313193,3602.23840804618,3723.47209715731,3814.21333852116,3842.52264979762,3708.51995792148,3652.39799748468,3881.41912826487,3913.44965882968,4055.63706600335,3729.18354134672,3686.97220802908,3649.68478060568,3590.03126183842,3580.16871096574,3567.49506094939,3523.61438745938,3477.08835415009,3469.54074570092,3429.77398990318,3475.70570152309,3414.94858993174,3510.95338526912,3442.89453574352,3378.88686258028,3438.04560320391
,4,3580.90537183591,3644.07772906798,3642.91886389379,3477.81892023849,3512.12831333028,3456.47055491497,3478.74942815566,3854.63770953804,3946.78411204599,3898.18942329908,3592.85050496187,3662.69167087033,3619.09705193992,3470.6223760612,3819.95375739869,4316.43515945733,3777.74266252365,3727.00512660142,3633.81242544845,3485.67192517514,3404.78947875787,3775.29686501058,3794.19525843146,3872.87272768992,3609.79973631158,3813.68027298322,3905.59573873405,3599.58031387951,3729.89153130292,3817.2803647245,3843.14308900046,3711.17689235325,3657.98021249094,3881.58526520575,3927.61324787504,4060.06138277661,3721.56094572328,3692.18471665997,3650.16346841162,3593.50315845991,3590.0656758276,3569.07127624835,3531.37589984592,3484.24908501894,3468.44169714858,3440.0331202845,3491.32725075326,3420.09392585968,3516.19856843524,3445.31276950557,3383.75374660564,3447.0152282908
,5,3588.98584948996,3650.86468838497,3646.35819466659,3481.90633918308,3511.71357008764,3458.4049505977,3479.09127530034,3861.07028423016,3945.4000758274,3899.5824520471,3597.88707194862,3665.06118842976,3619.31477418765,3474.16600500736,3825.95675429446,4314.75481740287,3791.60719188382,3734.36067574939,3633.8065167417,3481.7251775331,3401.32232248825,3780.46580655414,3791.2196163135,3870.12806685405,3611.7515099445,3816.78107188601,3905.31789001061,3600.81772573054,3740.87225933397,3810.60271834611,3838.38206110904,3706.45509683743,3655.49651167774,3883.35523658438,3941.79691500332,4060.11279371763,3729.15336358853,3695.47282479013,3652.74241924805,3592.0836573275,3603.88516690656,3567.68891906395,3537.613061938,3493.86468816206,3474.25032546946,3439.98228153985,3510.48977672884,3428.90637801297,3520.93063319479,3448.79129440892,3391.69403969326,3450.18018626969
,6,3596.11531774315,3650.42644168415,3646.73558159404,3482.87862955743,3512.43599867112,3459.56852866382,3481.64767933879,3865.30582828357,3951.86999195167,3901.42423090145,3609.19286725154,3663.72368595265,3623.73775065024,3478.35758459096,3838.00996113951,4314.18029864953,3800.25474930982,3739.05367878196,3639.1908587145,3484.66689491331,3402.82449136491,3784.97056343712,3795.63174027217,3872.12198791105,3613.50217926426,3815.60171538415,3907.71854591025,3601.76409403958,3736.85722348862,3814.95650624279,3840.73206130495,3709.29892173473,3655.05949529084,3888.11002168415,3951.83559979212,4057.96796724066,3728.66957762446,3695.20979950681,3658.85859774753,3594.70332905356,3611.00597303287,3570.64680041911,3534.51197677006,3491.54043481165,3480.92172723096,3456.92648686354,3516.82739941676,3442.87176968057,3526.70845734474,3448.56514342817,3392.18309374356,3454.56267963354
,7,3596.62010836835,3649.60872107333,3647.38929918388,3484.33930416094,3513.2944633548,3464.23986084908,3486.13634097207,3873.5503291895,3951.30673452308,3901.66820749853,3621.9212687347,3664.50537134178,3624.13115840832,3480.2127556723,3846.52071857845,4316.05846624092,3809.50409775703,3755.88651209127,3630.87902184926,3489.37383695289,3408.68619377055,3791.65555042349,3796.97851399099,3868.13608573406,3613.93806146182,3818.28594974546,3905.33496542664,3602.09772192396,3750.30143059003,3816.74923912236,3840.57926376887,3709.27683717393,3661.56267692151,3886.25815137891,3959.5849508421,4062.8812838811,3729.18298049678,3695.64137258767,3671.86635774869,3599.92015407606,3622.06861349806,3574.90225394513,3541.45481063525,3499.41647269229,3476.90941122115,3462.13646900636,3526.18040974353,3443.99204224528,3522.97608726226,3456.61309422372,3398.3619179304,3453.90097412194
,8,3600.54787707629,3659.58972229978,3651.90112971373,3488.10836559969,3518.4198061889,3464.31806583269,3486.72323401676,3872.67308638874,3950.88769414055,3903.15343482684,3621.59977868065,3665.99776638266,3630.03125123633,3479.61262677495,3841.98017172868,4312.28828689181,3810.71535274988,3762.68858702609,3638.89068211661,3489.80893561697,3407.59771683725,3793.1530161166,3793.80887340257,3869.47756682735,3618.04316516797,3817.5773045958,3906.48694757598,3606.74075952173,3752.65050282448,3811.30450174439,3845.2109599552,3708.5074790302,3657.00864329655,3889.53137426888,3964.3349125772,4061.53690233111,3734.52161111279,3700.99709230627,3679.99417436807,3601.05491892274,3630.19103746612,3575.18944277907,3540.09698983852,3499.78678880667,3470.97277977623,3463.09579252111,3535.80852894642,3449.93818136672,3528.38234170232,3456.47334363393,3401.67672993419,3458.44969264092
,9,3599.25253805351,3657.84611673424,3647.93061182624,3486.97950832164,3518.17700232917,3465.5970297098,3488.07764756478,3878.3118360759,3952.9359339043,3909.68278282089,3621.60407308043,3666.47799574904,3628.86817987758,3479.65868771329,3846.13296391958,4318.22164295463,3811.60678704149,3765.36889087201,3635.73879379182,3492.96264846481,3413.11381963442,3797.68740166375,3798.37948601113,3873.33866568085,3617.54972472607,3820.67868931062,3911.93164280394,3605.47096172383,3750.26057674888,3811.71122996836,3842.10656260688,3709.83040351777,3657.93574809035,3895.08700552591,3967.69090908966,4063.53478462452,3735.32818871103,3697.30867442348,3689.68150793577,3604.44089143644,3632.24853494323,3575.88894582684,3542.01746559317,3497.95140522692,3481.94579329908,3469.25020372505,3539.75318890801,3452.25769159415,3527.34871403735,3459.35895440597,3404.87926973486,3462.3012095419
,10,3605.5305383383,3662.90746242585,3649.47836471399,3487.47047346534,3519.89541445345,3469.10565693712,3491.53353325832,3880.27869767246,3951.53425487055,3904.05053438663,3624.25671388345,3667.47483572832,3634.54451750682,3484.70266208099,3845.87474162282,4319.51435837356,3809.07069896019,3768.4300064268,3640.44028833272,3493.59422537195,3413.17617852574,3796.83246526887,3796.79526046578,3873.40443778076,3621.93844105025,3820.34138024163,3909.83376633172,3608.6069355277,3745.50729815722,3813.39254161238,3844.31767461832,3714.18342232193,3658.57406411539,3894.0341224896,3973.31632945592,4062.92513776483,3735.95684689087,3700.93990283654,3691.40140142368,3604.97495218161,3635.73478705483,3575.55161050585,3540.81042215963,3503.54785147092,3484.45506615366,3471.92015546063,3539.85596590303,3457.31213763114,3535.03001896714,3464.75512453698,3409.64387815057,3464.30724668816
