,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,sli.rsq,sli.init,sli.base,exp.point,exp.eff,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.eff,LRE.rsq,LRE.base,Names
H_C_1,1.222571,924.5802,393.6171,392.4743,0.9993124,0.9992551,40,38.33,NA,NA,NA,NA,NA,NA,6312.246,3632.184,2.850837,NA,-24.84427,3632.184,17619.01,40.61658,l4,1.21721,0.9873822,3.477441,0,38,1.832635,369.4207,858.7114,28.12327,4.14E-07,NA,NA,NA,H_C_1
N_C_1,1.214435,186.8786,329.6619,328.519,0.9999624,0.9999592,38.05,36,NA,NA,NA,NA,NA,NA,5956.567,3598.593,5.464093,NA,-24.52973,3598.593,15920.24,38.1784,l4,1.223683,0.993983,4.296378,0,36,1.844405,276.9383,112.1283,10.13826,1.16E-06,1.075242,0.4127468,0,N_C_1
*S_C_1*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*S_C_1*
H_T_1,1.115136,7.144252,199.0958,197.953,0.9998761,0.9998657,40,40,NA,NA,NA,NA,NA,NA,4606.939,3392.951,58.92394,NA,-22.78448,3392.951,10349.82,42.82345,l4,1.036419,0.8848229,991.7566,0,40,1.705773,266.9113,40.9711,6.156157,1.11E-06,NA,NA,NA,H_T_1
N_T_1,1.273156,120.196,312.0085,310.8656,0.999828,0.9998136,40,39.78,NA,NA,NA,NA,NA,NA,7370.974,3538.743,0.4958361,NA,-24.5525,3538.743,23609.97,42.18968,l4,1.15756,0.9355066,20.55519,0,39,1.836136,295.8385,101.7624,9.691981,2.41E-07,NA,NA,NA,N_T_1
S_T_1,1.21898,107.4302,307.5172,306.3743,0.9999773,0.9999754,38.29,36.23,NA,NA,NA,NA,NA,NA,6043.7,3602.347,4.630756,NA,-24.59161,3602.347,16362.84,38.41711,l4,1.228911,0.9954182,3.510913,0,36,1.861324,251.6514,55.547,7.135691,7.70E-07,1.04859,0.5242607,0,S_T_1
NT_C_1,1.063366,20.1296,240.5312,239.3883,0.9997497,0.9997289,40,37.97,NA,NA,NA,NA,NA,NA,3989.14,3399.456,387.0206,NA,-22.71272,3399.456,6508.756,40.47714,l4,1.081443,0.9940805,205.7498,0,37,1.788323,215.3638,17.30695,3.987942,2.90E-07,NA,NA,NA,NT_C_1
H_C_2,1.268568,965.0041,395.3288,394.186,0.9983412,0.998203,40,40,NA,NA,NA,NA,NA,NA,8199.017,4230.439,0.604251,NA,-23.43751,4230.439,102595.5,45.7913,l4,1.080124,0.8781806,298.2656,0,40,1.807103,393.5482,971.4502,29.97651,3.79E-07,NA,NA,NA,H_C_2
N_C_2,1.253273,397.6835,359.8698,358.7269,0.9999778,0.999976,36.68,34.59,NA,NA,NA,NA,NA,NA,7484.129,4059.257,3.039103,NA,-23.22956,4059.257,22053.55,36.81454,l4,1.257948,0.9964279,2.720106,0,34,1.892518,214.7572,28.09499,5.061227,1.75E-06,1.041204,0.6128983,0,N_C_2
*S_C_2*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*S_C_2*
H_T_2,1.023349,3.906955,174.9538,173.811,0.9975441,0.9973394,40,39.74,NA,NA,NA,NA,NA,NA,3790.429,3608.73,1514.774,NA,-29.6327,3608.73,4541.342,41.68922,l4,1.01058,0.84672,2479.258,0,39,2.062694,172.1496,4.267931,1.98485,1.28E-10,NA,NA,NA,H_T_2
N_T_2,1.00023,4.269077,178.4994,177.3566,0.9356085,0.9302426,2.85,1,NA,NA,NA,NA,NA,NA,3802.042,3801.166,3801.166,NA,-1.126543,3801.166,3849.809,34.82614,l4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N_T_2
S_T_2,1.221851,259.5029,342.7942,341.6514,0.9999168,0.9999098,39.31,37.21,NA,NA,NA,NA,NA,NA,6403.978,3748.637,3.702603,NA,-24.76567,3748.637,17624.69,39.43961,l4,1.243785,0.9984379,1.937851,0,37,1.835448,290.6755,132.4969,11.03422,7.54E-07,1.059597,0.5003497,0,S_T_2
NT_C_2,1.076393,18.29395,236.7063,235.5635,0.9998335,0.9998196,40,38.27,NA,NA,NA,NA,NA,NA,4245.235,3447.92,253.7315,NA,-21.0839,3447.92,7699.518,41.02591,l4,1.07984,0.9816946,228.4757,0,38,1.692416,218.8092,16.31316,3.876246,2.51E-06,NA,NA,NA,NT_C_2
H_C_3,1.29573,801.8179,387.9188,386.7759,0.9991908,0.9991234,40,39.96,NA,NA,NA,NA,NA,NA,8977.697,3980.652,0.2864711,NA,-24.4733,3980.652,30114.05,42.3855,l4,1.164623,0.9358632,18.66631,0,39,1.840553,373.3521,742.6075,26.18175,2.60E-07,NA,NA,NA,H_C_3
*N_C_3*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*N_C_3*
*S_C_3*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*S_C_3*
**H_T_3**,0.9993284,5.127321,185.8269,184.684,0.4700689,0.425908,40,1,NA,NA,NA,NA,NA,NA,3594.447,3596.863,3596.863,NA,0.3890714,2400.412,3596.863,8396427,l4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,**H_T_3**
N_T_3,1.25733,15.83333,230.9282,229.7854,0.9999767,0.9999748,40,39.55,NA,NA,NA,NA,NA,NA,7031.27,3660.659,0.8199963,NA,-25.50527,3660.659,21248.79,41.84617,l4,1.153572,0.9326347,23.82793,0,39,1.866233,276.9831,62.75055,7.610754,1.27E-07,NA,NA,NA,N_T_3
S_T_3,1.223925,114.9845,310.2354,309.0925,0.9999535,0.9999497,39.65,37.59,NA,NA,NA,NA,NA,NA,6464.962,3791.544,3.249856,NA,-25.38011,3791.544,17693.2,39.7767,l4,1.24144,0.9965045,1.949405,0,37,1.883135,249.7144,43.79418,6.343761,2.41E-07,1.007823,0.6545518,0,S_T_3
NT_C_3,1.144869,27.24411,252.637,251.4941,0.9996719,0.9996445,40,40,NA,NA,NA,NA,NA,NA,4979.592,3492.366,22.2308,NA,-23.01055,3492.366,24679.23,44.75317,l4,1.040566,0.8705621,888.0207,0,40,1.772075,265.57,39.62001,6.053801,3.05E-07,NA,NA,NA,NT_C_3
H_C_4,1.29455,805.7137,388.1127,386.9698,0.9990242,0.9989429,40,40,NA,NA,NA,NA,NA,NA,8442.315,3780.292,0.2765125,NA,-24.45876,3780.292,29283.11,42.52548,l4,1.105246,0.8937416,121.2095,0,40,1.765181,402.6396,1219.353,33.58425,1.12E-06,NA,NA,NA,H_C_4
