"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.299288","660.4783","380.1621","379.0192","0.9993318","0.9992761","40","39.84",NA,NA,NA,NA,NA,NA,"8297.071","3609.282","0.2448482",NA,"-24.20667","3609.282","28218.49","42.29384","l4","1.175382","0.9411094","12.3568","0","39","1.824082","364.2218","587.6071","23.28962","3.684927e-07",NA,NA,NA,"H_C_1"
"N_C_1","1.000212","9.203811","209.2282","208.0854","0.9701758","0.9676904","1","40",NA,NA,NA,NA,NA,NA,"3692.837","3608.975","3661.662",NA,"-0.3704634","3608.975","241243.1","83297084317","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_1"
"S_C_1","1.226042","1238.554","405.3115","404.1686","0.9998564","0.9998445","37.46","35.29",NA,NA,NA,NA,NA,NA,"6395.014","3654.076","4.813792",NA,"-22.90386","3654.076","18096.67","37.59873","l4","1.234043","0.9943317","3.880266","0","35","1.838777","246.5316","58.3771","7.305707","2.345673e-06","1.061924","0.4779504","0","S_C_1"
"H_T_1","1.126978","73.74985","292.4707","291.3278","0.9998051","0.9997888","40","38.14",NA,NA,NA,NA,NA,NA,"4862.872","3493.62","50.9149",NA,"-22.60306","3493.62","10716.98","40.67207","l4","1.133581","0.9863634","41.75717","0","38","1.73844","267.6423","58.97144","7.369926","1.674625e-06",NA,NA,NA,"H_T_1"
"**N_T_1**","1.000246","13.93129","225.809","224.6662","0.9300541","0.9242253","40","1",NA,NA,NA,NA,NA,NA,"3508.614","3507.751","3507.751",NA,"-1.067001","3507.751","3159399","1415931","l4","1.00434","1","3000.478","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"**N_T_1**"
"S_T_1","1.000443","15.07389","228.9621","227.8192","0.9717333","0.9693777","1","40",NA,NA,NA,NA,NA,NA,"3521.554","3441.944","3459.76",NA,"-0.7807737","3441.944","4064620","42811657","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_1"
"NT_C_1","1.000382","2.803328","161.6758","160.533","0.9952396","0.9948429","1","40",NA,NA,NA,NA,NA,NA,"3544.874","3454.128","3491.079",NA,"-0.6675535","3454.128","4273.654","906.5913","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_1"
"H_C_2","1.000435","324.3973","351.7223","350.5794","0.8169038","0.8016457","1","40",NA,NA,NA,NA,NA,NA,"3947.849","3762.799","3879.776",NA,"-0.3680788","3762.799","1846399","2.911762e+12","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_2"
"N_C_2","1.257111","663.3576","380.3361","379.1932","0.9999089","0.9999013","38.47","36.51",NA,NA,NA,NA,NA,NA,"7120.735","3963.673","1.676458",NA,"-26.02086","3963.673","20403.32","38.5827","l4","1.260341","0.9950656","1.558578","0","36","1.881942","253.1435","57.89766","7.285112","5.655934e-07","1.035133","0.6247573","0","N_C_2"
"S_C_2","1.243235","4234.193","454.4814","453.3386","0.9997417","0.9997202","36.72","34.52",NA,NA,NA,NA,NA,NA,"7219.906","3900.342","3.931486",NA,"-22.08083","3900.342","21424.2","36.86913","l4","1.251198","0.9945785","3.190606","0","34","1.882614","263.8368","118.9981","10.41625","2.079504e-06","1.054415","0.5463252","0","S_C_2"
"H_T_2","1.101198","425.4967","362.5738","361.4309","0.9985174","0.9983938","39.55","37.64",NA,NA,NA,NA,NA,NA,"4515.645","3629.054","119.9241",NA,"-27.38282","3629.054","8222.891","39.65884","l4","1.123252","0.9828947","58.24495","0","37","1.789761","317.7929","275.7407","15.91802","4.512322e-07",NA,NA,NA,"H_T_2"
"**N_T_2**","1.000089","3.875909","174.6347","173.4919","0.9606303","0.9573494","13.85","1",NA,NA,NA,NA,NA,NA,"3661.549","3661.222","3661.222",NA,"-1.361248","3661.222","3738.135","54.98779","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**N_T_2**"
"S_T_2","1.258196","416.363","361.7058","360.563","0.9998077","0.9997916","40","38.29",NA,NA,NA,NA,NA,NA,"6991.157","3646.013","1.059711",NA,"-24.82663","3646.013","21099.28","40.57534","l4","1.25106","0.9906236","1.35544","0","38","1.827969","321.7294","244.7896","15.01546","5.797499e-07","1.013399","0.7506592","0","S_T_2"
"NT_C_2","1.000195","2.767229","161.1574","160.0145","0.9886074","0.9876581","1","40",NA,NA,NA,NA,NA,NA,"3515.395","3458.757","3488.039",NA,"-0.8403071","3458.757","3590.659","56.10557","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_2"
"H_C_3","1.304283","574.9884","374.6175","373.4747","0.9994431","0.9993967","40","39.97",NA,NA,NA,NA,NA,NA,"8973.473","3850.376","0.2195604",NA,"-24.36033","3850.376","30722.46","42.41407","l4","1.170824","0.9376704","15.03007","0","39","1.8357","359.817","524.8504","22.01084","2.939241e-07",NA,NA,NA,"H_C_3"
"*N_C_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_C_3*"
"S_C_3","1.234276","528.7877","371.267","370.1241","0.9999097","0.9999022","38.31","36.32",NA,NA,NA,NA,NA,NA,"6533.883","3814.302","3.126634",NA,"-25.48849","3814.302","17991.67","38.42828","l4","1.241785","0.9947402","2.555463","0","36","1.866917","303.6047","235.1857","14.68288","7.256743e-07","1.043526","0.5594738","0","S_C_3"
"H_T_3","1.302552","473.9445","366.8871","365.7443","0.9995191","0.9994791","40","39.98",NA,NA,NA,NA,NA,NA,"8796.255","3771.763","0.2263525",NA,"-24.21655","3771.763","30128.44","42.43978","l4","1.170358","0.9388178","14.94438","0","39","1.829686","350.1553","409.6811","19.44652","3.259024e-07",NA,NA,NA,"H_T_3"
"N_T_3","1.000241","5.968179","191.9012","190.7583","0.9668497","0.9640872","1","40",NA,NA,NA,NA,NA,NA,"3670.495","3623.889","3635.347",NA,"-0.7553943","3623.889","1010258","21877943","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_3"
"S_T_3","1.000094","4.31539","178.931","177.7882","0.9774681","0.9755905","9.74","1",NA,NA,NA,NA,NA,NA,"3481.679","3481.351","3481.351",NA,"-1.651344","3481.351","3538.926","22.78304","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_3"
"NT_C_3","1.008418","143.2072","319.0152","317.8724","0.8392434","0.8258471","40","40",NA,NA,NA,NA,NA,NA,"3538.703","3419.402","2530.567",NA,"-11.23749","3419.402","13261195","112.4804","l4",NA,NA,NA,NA,"40","1.289935","312.4022","127.7583","10.8709","0.005682513",NA,NA,NA,"NT_C_3"
"H_C_4","1.306938","580.1743","374.9767","373.8338","0.9995064","0.9994652","40","39.8",NA,NA,NA,NA,NA,NA,"8824.579","3803.689","0.20833",NA,"-24.5774","3803.689","30071.42","42.20603","l4","1.180677","0.9410738","11.08867","0","39","1.838249","360.5864","535.3081","22.22905","2.984014e-07",NA,NA,NA,"H_C_4"
"N_C_4","1.251238","402.5514","360.3564","359.2136","0.9999437","0.999939","38.28","36.3",NA,NA,NA,NA,NA,NA,"6794.146","3808.388","1.989277",NA,"-25.53997","3808.388","19370.7","38.40244","l4","1.254051","0.9941681","1.865282","0","36","1.868203","242.2322","42.75923","6.260668","7.859934e-07","1.064899","0.5183557","0","N_C_4"
"S_C_4","1.256627","862.2981","390.8276","389.6847","0.9999307","0.9999249","37.49","35.42",NA,NA,NA,NA,NA,NA,"7172.796","3876.839","2.196832",NA,"-23.99715","3876.839","21175.75","37.62082","l4","1.258851","0.994657","2.095248","0","35","1.882416","229.1754","35.55331","5.701393","1.172134e-06","1.067542","0.5253823","0","S_C_4"
"H_T_4","1.088311","225.7855","337.2269","336.0841","0.9910682","0.9903239","40","40",NA,NA,NA,NA,NA,NA,"4456.027","3631.69","150.9484",NA,"-22.80566","3631.69","108755925","67.078","l4","1.02017","0.8461389","1832.016","0","40","1.797376","329.9391","198.0585","13.53529","9.690773e-08",NA,NA,NA,"H_T_4"
"**N_T_4**","1.000158","5.947649","191.7634","190.6205","0.9431425","0.9384044","40","1",NA,NA,NA,NA,NA,NA,"3813.195","3812.591","3812.591",NA,"-1.077995","3812.591","266442.5","170050.6","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**N_T_4**"
"S_T_4","1.252622","446.7659","364.5249","363.3821","0.9998971","0.9998885","39.39","37.35",NA,NA,NA,NA,NA,NA,"7161.339","3926.501","1.59005",NA,"-25.51829","3926.501","20737.95","39.50955","l4","1.269979","0.9979004","0.9661384","0","37","1.854723","284.2631","111.4137","10.11831","5.765441e-07","1.070577","0.4936905","0","S_T_4"
"**NT_C_4**","1.000038","3.061227","165.1962","164.0533","0.976115","0.9741246","14.11","1",NA,NA,NA,NA,NA,NA,"3600.62","3600.482","3600.482",NA,"-1.755343","3600.482","3652.899","29.48721","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**NT_C_4**"
"H_C_5","1.268163","442.2886","364.122","362.9792","0.9997576","0.9997374","40","38.71",NA,NA,NA,NA,NA,NA,"7440.035","3751.86","0.7545197",NA,"-24.92953","3751.86","22993.17","41.01041","l4","1.240866","0.9845035","1.795662","0","38","1.856383","335.5257","351.9388","18.00428","2.859758e-07",NA,NA,NA,"H_C_5"
"N_C_5","1.26381","160.4613","323.5656","322.4228","0.9999428","0.999938","40","38.11",NA,NA,NA,NA,NA,NA,"7322.804","3824.247","0.9762956",NA,"-25.30856","3824.247","22068.59","40.33903","l4","1.262457","0.9926062","1.04646","0","38","1.843108","283.3804","89.22977","9.065612","4.931696e-07","1.040307","0.7030905","0","N_C_5"
"*S_C_5*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_5*"
"H_T_5","1.276244","69.94169","290.35","289.2071","0.9999285","0.9999226","40","39.61",NA,NA,NA,NA,NA,NA,"7879.789","3717.946","0.5017341",NA,"-24.24075","3717.946","25474.43","42.03713","l4","1.170631","0.9440924","14.70375","0","39","1.813309","294.7009","98.837","9.551657","4.624277e-07",NA,NA,NA,"H_T_5"
"N_T_5","1.26155","183.6466","328.9641","327.8212","0.9999304","0.9999246","40","38.05",NA,NA,NA,NA,NA,NA,"6982.629","3669.073","1.010652",NA,"-25.27437","3669.073","20917.32","40.27503","l4","1.262364","0.9931943","1.01408","0","38","1.836209","290.4417","107.4513","9.948282","5.542781e-07","1.046912","0.6833987","0","N_T_5"
"S_T_5","1.296594","305.335","349.2999","348.157","0.9996742","0.999647","40","40",NA,NA,NA,NA,NA,NA,"8865.917","3909.291","0.2726262",NA,"-23.94849","3909.291","33181.6","42.74655","l4","1.107967","0.8982855","115.5159","0","40","1.752999","382.4489","736.0566","26.09315","1.555e-06",NA,NA,NA,"S_T_5"
"H_C_6","1.000065","6.708511","196.5786","195.4357","0.9933113","0.9927539","1","40",NA,NA,NA,NA,NA,NA,"4002.067","3846.992","3991.749",NA,"-1.244693","3846.992","4010.591","3.889252","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_6"
"N_C_6","1.281831","86.34259","298.7764","297.6336","0.9999235","0.9999172","40","39.63",NA,NA,NA,NA,NA,NA,"8592.204","4070.931","0.4578989",NA,"-24.86959","4070.931","27631.94","41.98857","l4","1.170042","0.9400766","16.24449","0","39","1.842034","299.2596","111.0923","10.12654","2.711372e-07",NA,NA,NA,"N_C_6"
"S_C_6","1.239179","1103.327","400.6869","399.5441","0.9998951","0.9998864","37.31","35.21",NA,NA,NA,NA,NA,NA,"6681.026","3748.42","3.512355",NA,"-23.52089","3748.42","19156.38","37.4455","l4","1.243657","0.9931819","3.135216","0","35","1.839271","281.4811","158.4566","12.03638","2.58208e-06","1.078658","0.4376388","0","S_C_6"
"H_T_6","1.281707","108.6475","307.9679","306.825","0.9998858","0.9998762","40","39.62",NA,NA,NA,NA,NA,NA,"7834.914","3707.102","0.4201818",NA,"-24.81017","3707.102","25236.4","41.9856","l4","1.170681","0.9401105","14.53253","0","39","1.839727","297.7418","106.8519","9.93139","2.61353e-07",NA,NA,NA,"H_T_6"
"N_T_6","1.2395","1207.339","404.2905","403.1476","0.9997748","0.999756","38.55","36.53",NA,NA,NA,NA,NA,NA,"6474.118","3704.483","2.540283",NA,"-25.30568","3704.483","18180.88","38.67121","l4","1.247313","0.9956202","2.060885","0","36","1.830971","339.3858","635.4254","24.13448","1.283379e-06","1.017324","0.65621","0","N_T_6"
"S_T_6","1.053843","363.6217","356.2881","355.1452","0.9710045","0.9685882","40","40",NA,NA,NA,NA,NA,NA,"4174.323","3621.366","512.3388",NA,"-19.24607","3621.366","59255223","73.01503","l4","1.014073","0.8534816","2254.813","0","40","1.638372","350.0884","327.7646","17.41213","2.408749e-06",NA,NA,NA,"S_T_6"
"H_C_7","1.000091","8.144469","204.3371","203.1942","0.9916115","0.9909125","1","40",NA,NA,NA,NA,NA,NA,"3667.25","3512.558","3653.901",NA,"-1.101138","3512.558","3680.084","4.171138","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_7"
"N_C_7","1.24633","199.219","332.2197","331.0769","0.9999068","0.9998991","40","38.04",NA,NA,NA,NA,NA,NA,"6559.39","3586.071","1.510032",NA,"-25.18545","3586.071","19123.6","40.28023","l4","1.249456","0.992716","1.412771","0","38","1.830785","295.9721","124.2847","10.69919","5.576291e-07","1.029933","0.7037781","0","N_C_7"
"S_C_7","1.234886","340.5056","353.6608","352.5179","0.9998501","0.9998376","39.86","37.75",NA,NA,NA,NA,NA,NA,"6290.843","3551.369","2.186726",NA,"-25.04936","3551.369","17862.04","39.98491","l4","1.247812","0.9954697","1.512352","0","37","1.851483","301.506","177.5541","12.77332","4.138669e-07","1.001412","0.6813261","0","S_C_7"
