,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,2515.92642700355,2497.90104405727,2532.81491560028,2509.65041835054,2512.71487760951,2536.85916130706,2476.71810992269,2193.37681901089,2215.35237839153,2164.15548229611,2137.17592629421,2205.23028034326,2598.56542765021,2610.40789387281,2533.3153152624,2549.48423500905,2556.92719131162,2538.01706853304,2498.69366930333,2195.80576092553,2135.10127124973,2168.93029196273,2178.73011112705,2171.79757225328,2566.09149313161,2628.72452505994,2628.432299476,2627.29638246954,2564.35011208085,2531.52189069209,2525.22486916265,2145.36948208997,2147.94453679658,2149.03940539325,2135.63270155496,2160.45452834971,2571.51183790924,2629.34000687092,2596.2295776649,2627.45251302819,2621.23954300449,2545.06371221258,2500.6742550754,2154.99215781921,2137.10286989823,2140.04222924167,2132.89149852304,2147.12088090741,2596.02140358671,2669.8303537502,2609.82442004803,2627.55660006728,2554.28005755212,2537.44361247493,2445.4951745594,2113.39594723349,2192.59518887459,2143.43092207078,2166.40728077567,2152.63627230055,2534.17000179468,2630.16366276009,2564.35011208085,2562.26543926969,2532.14739026974,2519.50228103441,2433.0782749356,2148.9873618737,2249.27546837696,2214.60177889834,2129.47177505082,2198.23470284018,2527.3105193169,2570.92836408446,2519.76249863214,2514.36218938786,2530.40600921898,2567.20639726163,2394.12015768581,2189.33159596101,2159.23455983751,2133.09967260122,2132.57826006266,2189.82197785647,2492.15744305259,2495.7533326168,2513.37238517337,2505.34497770293,2512.62178568018,2522.41060973474,2386.04070669582,2214.56073048856,2175.39346181749,2196.71249097736,2156.51436968202,2265.4133574805
,2,2529.95863041949,2498.44346947227,2532.08532898352,2504.07296567118,2512.46467777845,2538.24625548767,2480.12683828515,2190.12422120708,2213.11157502173,2163.66607774374,2139.73998589106,2204.93805475932,2608.92770776287,2608.7185563416,2534.44121450218,2552.46562010537,2559.82550224528,2538.78770355958,2500.51812451675,2198.16164644419,2136.00800130155,2174.51776240877,2177.85441171833,2166.13606806817,2576.32867332874,2628.66246377371,2629.34000687092,2625.79518348317,2564.13094289289,2529.18701804987,2524.86056452582,2146.45433291997,2149.02938762658,2143.68112190184,2138.52099472195,2163.36285705004,2583.40732499448,2627.82781277478,2595.75019087921,2622.14627305632,2616.94412012355,2538.05811694283,2501.61299311343,2156.9627258246,2131.98379112812,2137.98858707362,2134.89309717154,2142.41912763676,2599.23197563765,2668.89161571217,2613.76457871572,2628.27616891736,2554.63434442227,2536.35876164494,2441.7311819837,2109.77904479285,2188.96729132418,2143.97237014269,2164.85403826975,2157.59824316893,2538.05811694283,2625.01355334687,2559.98261014701,2561.38973986097,2530.08373033502,2518.00108204803,2435.13289444674,2147.7673933615,2248.06649497452,2211.88158874285,2127.87650679202,2201.58136991641,2533.83672780096,2571.6269200581,2519.85656790456,2512.42362936867,2529.01989238146,2567.01923605988,2396.57011247689,2193.65804948506,2156.62847448779,2130.95196116075,2130.58667918083,2192.80336295278,2495.0757895196,2498.98589488727,2521.03451066389,2516.59297499099,2517.03131336689,2525.81933809719,2384.33133363125,2212.40202393833,2169.06540964494,2199.5167326386,2159.13047279842,2266.70638238869
,3,2539.70588760103,2502.49916244608,2537.86041917773,2508.31679824098,2513.09063142707,2533.06557311141,2481.88870330258,2188.87361754245,2216.63578603986,2165.41786781383,2135.60205677731,2207.86779525869,2623.01242863025,2610.95079104037,2532.16886066424,2551.78853807115,2561.92163306006,2535.67165893201,2498.59003371519,2195.52492714382,2134.73637497885,2173.19409951515,2178.3442098589,2167.80478440687,2581.19704130128,2631.29003742737,2628.64192584631,2626.08788355466,2563.47487584662,2531.33518685776,2523.45389075528,2145.73515176622,2147.44452513964,2143.52537864026,2135.83124377335,2161.02837486737,2588.36976353542,2621.15694243846,2595.76165499712,2623.05347704745,2616.19399333027,2536.49531497,2500.75778108068,2156.18050792883,2135.41391819847,2140.12666743039,2134.94552643792,2150.49896718382,2613.18157704656,2666.8284376261,2608.68799704219,2624.99301476017,2553.9983111971,2534.7128851874,2443.68117864255,2111.34268654767,2191.07337289992,2142.21134061821,2165.34481140465,2160.31980099903,2542.65624258732,2626.41113984012,2561.40022042728,2560.00310822757,2525.28836406683,2517.09382944737,2433.77727064968,2147.54861219754,2244.05270802832,2208.56635135854,2128.03302184853,2198.72548200637,2540.72769998635,2569.64679857569,2519.50273626392,2513.68510046902,2528.84320586355,2566.59235653151,2394.91321565026,2194.08578918364,2161.27857474364,2129.84745962311,2128.03302184853,2186.45469295742,2501.96773204483,2505.05320473773,2527.90446765591,2513.52896988217,2514.42568232935,2523.01555230017,2383.48709551954,2211.77692398958,2174.92546311207,2200.0905862141,2158.55740675339,2264.40294952708
,4,2546.30515367346,2502.90549290921,2535.24431558865,2506.10604777176,2513.52896988217,2538.32978828155,2482.29601110897,2188.09198726492,2221.90000121,2165.35482917313,2140.78319776978,2204.15682287511,2622.42797735677,2612.28486459938,2532.51312982992,2551.69446878173,2560.66061591023,2537.98551911587,2501.14407600684,2198.11000008418,2136.98817386527,2175.62304186866,2180.54396521638,2167.36644595177,2593.10254830431,2625.21218398772,2627.10871859671,2628.2666260319,2563.30775014802,2528.65506728472,2524.16246462362,2147.49656866859,2148.48735040518,2144.80740867033,2138.85465516881,2157.85885065353,2589.67280644572,2624.24241513136,2600.06709642265,2620.82269104126,2618.51884862588,2540.73771775483,2502.92650578944,2156.6608721444,2134.06982687098,2137.88488631245,2131.93213281094,2147.78879430532,2619.70778670979,2668.1945191771,2612.09672602055,2626.51522689802,2550.90282073572,2535.49451546492,2445.84990335131,2108.25721385477,2191.20849060654,2143.77557851653,2170.33781381828,2153.39727864115,2548.60899608883,2630.17415575264,2557.78331733313,2560.37840804197,2527.96750629661,2517.33401155516,2435.90396959797,2149.55021120769,2251.57971719664,2213.5493360037,2128.58546513002,2200.24769414422,2546.73249701681,2574.23347052621,2520.77377118223,2513.25775712567,2529.71890543049,2567.25890463938,2400.06332599402,2189.73929934091,2159.40207567162,2131.95314569117,2130.44192866507,2191.94907246686,2511.82961427723,2512.62223966651,2530.06317459618,2511.266175884,2518.80418016406,2524.59982573546,2382.24709124994,2212.78871860641,2170.67206521549,2197.84978243943,2157.93190706272,2267.05106110814
,5,2545.30435416838,2503.39587489326,2537.80837564878,2505.8868785442,2512.73634449289,2536.25513286221,2477.8024311046,2190.08259116333,2215.14460455073,2161.33061827259,2140.16771584759,2207.46146479557,2630.40334274868,2612.29488236786,2533.20069081803,2555.43744915729,2561.71345894425,2538.46588333144,2497.72435191673,2197.96388726581,2135.47695683917,2172.99594316783,2177.48952317219,2168.99274514752,2597.18979784555,2626.44217048883,2622.58508528689,2626.34810119942,2560.01410333932,2530.86581775394,2527.89444988742,2147.46553801987,2147.60065572649,2145.62006959657,2138.54141665184,2159.12084514663,2594.2604557395,2624.07528943276,2598.71103264013,2621.657342191,2613.54588174921,2542.5211248807,2498.51697730601,2155.17970842375,2137.30141238224,2139.53219838844,2132.8388630266,2144.0257783928,2629.00623054896,2670.57141800166,2615.34932441205,2626.68137525335,2552.45606352229,2535.26532846889,2446.5694723314,2107.15232729179,2187.13223617705,2145.46393900972,2166.03237239275,2151.69792303622,2552.86239398541,2630.74761191436,2565.42443132783,2565.83076179095,2526.36221998109,2516.76055539344,2435.48762136636,2152.36544848736,2249.53706976928,2212.86177501559,2129.76438544545,2204.76130968555,2549.26552642822,2574.0663448276,2521.01395329002,2511.18310170633,2529.94809242653,2568.84415541793,2398.67623156279,2185.95429320488,2158.3802632863,2131.31762823201,2126.9391303973,2190.16664268426,2516.11404282253,2516.55238127764,2526.88363261386,2516.58341192635,2516.94869397227,2524.1314339749,2385.6558202283,2216.40562170056,2171.55778255091,2194.09678429539,2160.04858824252,2266.7588354714
,6,2549.07790461935,2505.42805186559,2537.46462535137,2507.93005017621,2511.97527322609,2540.70622804542,2484.0779920626,2190.83279494739,2221.35717433704,2167.7523492034,2135.70575795095,2207.70124801077,2634.48913894105,2614.24396550141,2533.71162788543,2556.09351765578,2560.33689701717,2540.65418452588,2503.96887863208,2194.31555704892,2139.69893748127,2176.5093432906,2179.16747215987,2166.89766267112,2602.63068623343,2627.54658230061,2628.27616891736,2627.32741311265,2559.28405417337,2526.11156368113,2525.1728256431,2148.13267534142,2147.80941911437,2145.44253848595,2141.6585103769,2164.47873852315,2598.07504575476,2628.90166849501,2599.56622697446,2622.3234164914,2615.71413384468,2541.45682753861,2502.77994076299,2155.33642692269,2130.10729239515,2141.81464093554,2134.70495862669,2147.70533207528,2628.39125106621,2671.41462689923,2610.56402443145,2629.1418505594,2552.67379418356,2536.85916130706,2447.45474745503,2112.7814427656,2188.18566118789,2143.43092207078,2164.68691260134,2155.46152683822,2558.03305501806,2627.19229543045,2562.59871326341,2561.20160131612,2527.76889322615,2516.42682666567,2441.04362111982,2148.29882366674,2249.76585027241,2212.73627527514,2129.4087364215,2202.4670870918,2552.77885856574,2574.91054850502,2524.87058229249,2511.89122172034,2528.11316232963,2570.00062115619,2399.57251044964,2191.81355873829,2158.00457355863,2130.57666141416,2127.28203785747,2199.57977126791,2516.34277515992,2519.30412472289,2530.04170458215,2517.05232624333,2517.42762598992,2528.07113657676,2388.07431333052,2212.69424952226,2174.53877528521,2200.04914028693,2162.67529618617,2269.48961117349
,7,2551.80955095138,2505.45953520085,2537.31897100799,2508.67108517515,2515.18629972664,2535.05617700982,2483.50498472985,2194.09678429539,2217.1361857924,2166.98112836888,2137.27038173353,2205.98127841818,2635.00100981094,2612.45199029798,2536.38023280035,2554.59278023906,2561.98467170076,2536.90164543312,2501.67550640809,2199.7783250404,2136.27959999693,2173.25713815585,2181.10740360962,2167.4504974727,2604.38255561666,2628.50583079642,2627.73421828738,2628.04745680435,2564.02731912811,2530.87583552242,2527.49813719279,2147.62166860672,2149.63426272863,2150.93730563892,2139.17791145426,2159.94450118462,2601.34912645271,2626.45218825732,2596.41818533651,2622.75123364223,2616.62133667363,2542.36401695058,2502.40509315667,2156.33761585895,2131.58786364525,2140.543015662,2132.44352767523,2145.432908361,2632.24881117198,2670.89369694384,2610.79368311025,2627.87031333727,2555.23929280997,2540.7797435153,2445.70379053294,2110.99939472525,2190.85420367237,2140.31382866596,2170.3277960498,2154.69030378296,2563.24568885059,2630.36131698821,2562.27591999423,2561.0149028444,2530.37543576988,2521.50433527407,2439.47982427492,2147.89288136323,2251.53866877944,2209.04573823085,2129.5862646351,2203.80253594094,2557.57416587406,2577.78831232293,2521.06599681897,2511.66248857863,2529.53076685166,2566.52931789081,2403.91039342748,2192.52252862859,2159.78837059777,2130.5039899625,2129.11787287454,2194.53414540723,2520.97192752955,2520.58660994666,2530.29236159222,2518.1466724814,2519.27257192462,2524.74593855382,2388.52310103691,2210.15062479383,2173.17406397818,2201.3525807072,2153.553409228,2271.4185638311
,8,2552.06930748234,2503.55155313262,2539.01786785729,2509.99468745403,2517.4686743997,2540.24785413617,2485.82939088004,2190.47850807723,2214.21646138508,2161.24715359577,2135.5496273923,2207.58616586192,2631.27856689011,2613.08703561852,2535.98346189834,2554.20700115613,2561.10850938679,2540.00767207178,2500.74731147138,2199.38161495639,2133.70415930244,2172.52715887003,2180.06418444502,2168.9092790863,2604.78841544058,2631.28956199987,2625.82621412628,2627.71370796901,2568.41634800716,2529.64539195912,2525.74628170121,2145.99498166762,2150.4155044641,2145.81783823255,2141.93974085107,2159.14146790818,2604.40309792731,2630.82019298086,2595.83326504187,2618.23714503174,2614.42110893649,2542.90598300544,2503.71867880102,2155.29440116982,2130.30544870666,2136.38330104815,2135.09027613996,2146.38127652398,2633.44729120702,2670.63299676293,2616.44372046143,2630.35082396184,2553.56048870204,2537.02628697547,2448.59066446149,2110.26844934521,2189.19647827881,2143.30582215525,2165.01016882839,2154.28358407889,2562.87994373758,2627.81779500811,2564.2980685613,2561.81708312711,2532.74185920429,2520.87838010525,2442.51378946309,2150.12327888016,2250.36031920696,2210.82874589906,2129.50280569393,2197.12981647683,2559.10691073829,2574.19097965495,2524.68342109074,2513.2262723814,2530.68821703624,2568.87472191641,2402.48181649306,2190.3534081617,2160.10024147956,2130.45156149863,2127.93954542133,2190.73970301806,2534.13897115157,2523.80772168202,2530.82333471845,2517.55272590545,2521.00348002078,2527.02831149963,2389.97182493993,2215.73867324789,2174.44470601279,2199.71488895011,2158.18171699371,2263.21360252049
,9,2555.88534357759,2508.43044983834,2541.05049714891,2511.80814755768,2516.07253979551,2543.5314825831,2482.90004930327,2189.11340411615,2218.63698418155,2162.20592716715,2136.28923177573,2208.83716501723,2636.88705021258,2613.40027407889,2539.12195489639,2553.10211479279,2565.246824366,2543.427395544,2504.89662156035,2195.60760461402,2136.26919624238,2175.19530550597,2177.1868863878,2170.71272142328,2606.98817040059,2631.62283599359,2630.78916233775,2633.17607849952,2566.11250600805,2532.55372065945,2527.3105193169,2146.19313797914,2148.87227972485,2143.53500910987,2138.24978201445,2163.89526469837,2610.90829353494,2626.96310847582,2597.83486369037,2621.55180412178,2617.38245849946,2545.76226818622,2499.36119463386,2156.80561792287,2132.88050341327,2140.30342418249,2133.01659843857,2149.82103552955,2639.67125634047,2670.13259710081,2611.96113637874,2630.73614147511,2552.53867650135,2541.99925295361,2454.73155543229,2107.7254026248,2188.97730909086,2141.28321063031,2163.70712615353,2155.84684435149,2562.74482605537,2632.83180939603,2565.789249781,2563.16215155484,2525.62118178568,2521.61798448868,2443.56663230689,2148.26779302363,2250.21420641499,2207.2528918682,2131.85869121258,2199.83998886565,2564.52725551592,2577.74679815246,2522.09737127436,2513.37238517337,2530.04170458215,2570.83429481204,2402.56489065572,2190.70769503186,2157.41108196718,2130.51460012794,2126.4903899545,2189.60280866851,2533.34634590551,2524.73546461029,2528.81171830327,2517.93804341872,2518.96987338608,2527.39359347955,2386.23886300733,2212.64220600272,2176.85361239408,2198.58898971033,2157.25397406545,2262.78625925434
,10,2554.29053683384,2506.33523476779,2543.21968098056,2511.62144016143,2516.38525557903,2539.01832661293,2493.1066493175,2194.19085358481,2220.06552789845,2166.19949809136,2138.90669869776,2207.54453897323,2637.87830838804,2617.38293141419,2537.87141428948,2554.17545466419,2564.5387139924,2541.30115614807,2505.73074795735,2197.27632627771,2135.78921801288,2172.82979481249,2177.74974081695,2170.67206521549,2609.11534038555,2626.45218825732,2631.50822931165,2631.00782955912,2565.6746312041,2531.61641738275,2527.49813719279,2145.68310823727,2151.64587950727,2145.20372136496,2136.88408680737,2160.12164465171,2606.37413685833,2630.84168120378,2600.86973958041,2623.7109847301,2617.31989277348,2546.1900715038,2504.39667439834,2155.42990830002,2134.79941361955,2142.41951473402,2132.12027138977,2146.71493839106,2637.25280869737,2672.66610895796,2614.67178119242,2627.63013122948,2553.44586791562,2542.69826834778,2451.45838768714,2110.59208691886,2188.38323555839,2146.12046934911,2165.3338162929,2153.09503523593,2567.82234303262,2629.37151259488,2564.46565758322,2566.84255640778,2529.36461849632,2520.22132790074,2445.57869059481,2147.20532037512,2252.99784227659,2213.40322318533,2131.2235589426,2199.945450739,2566.14400030792,2576.58935647053,2525.01715131033,2514.82199502398,2530.02114883571,2569.61576792697,2401.96083794627,2188.7174869556,2159.23494997301,2132.80783237788,2127.56463008797,2191.56375488398,2538.60100103806,2521.32719180699,2530.68867428685,2522.10882208451,2519.94009737576,2527.74833706906,2392.27609918095,2209.49409445444,2175.30076292647,2195.81715278056,2159.4751320808,2265.91416655318
