Cycles,TLR2.1_HC_1,TLR2.1_NC_1,TLR2.1_SC_1,TLR2.1_HT_1,TLR2.1_NT_1,TLR2.1_ST_1,TLR2.1_NTC_1,TLR2.1_HC_2,TLR2.1_NC_2,TLR2.1_SC_2,TLR2.1_HT_2,TLR2.1_NT_2,TLR2.1_ST_2,TLR2.1_NTC_2,TLR2.1_HC_3,TLR2.1_NC_3,TLR2.1_SC_3,TLR2.1_HT_3,TLR2.1_NT_3,TLR2.1_ST_3,TLR2.1_NTC_3,TLR2.1_HC_4,TLR2.1_NC_4,TLR2.1_SC_4,TLR2.1_HT_4,TLR2.1_NT_4,TLR2.1_ST_4,TLR2.1_NTC_4,TLR2.1_HC_5,TLR2.1_NC_5,TLR2.1_SC_5,TLR2.1_HT_5,TLR2.1_NT_5,TLR2.1_ST_5,TLR2.1_HC_6,TLR2.1_NC_6,TLR2.1_SC_6,TLR2.1_HT_6,TLR2.1_NT_6,TLR2.1_ST_6,TLR2.1_HC_7,TLR2.1_NC_7,TLR2.1_SC_7,TLR2.1_HT_7,TLR2.1_NT_7,TLR2.1_ST_7,TLR2.1_HC_8,TLR2.1_NC_8,TLR2.1_SC_8,TLR2.1_HT_8,TLR2.1_NT_8,TLR2.1_ST_8
1,3472.899383,3312.646362,3249.638019,3243.92447,3171.314462,3251.024136,3244.42487,3487.139763,3630.003892,3471.200027,3378.10466,3278.807317,3267.298123,3160.680968,3409.494727,3806.916217,3617.775129,3315.908978,3323.509044,3162.276236,3079.918451,3569.674691,3655.826523,3441.468267,3445.127196,3428.061561,3639.792718,3361.310238,3346.121102,3488.442806,3455.093166,3390.729736,3250.117406,3352.834473,3453.581949,3613.396631,3395.639664,3402.123848,3315.200404,3231.998927,3404.876047,3412.872425,3308.225838,3233.573183,3173.78543,3161.525637,3229.329803,3218.613234,3210.19953,3217.059991,3160.503824,3130.845121
2,3516.455174,3320.079302,3251.951879,3253.119804,3174.963373,3264.045525,3255.527734,3521.626297,3634.351359,3477.705224,3382.994553,3281.131195,3278.368979,3160.180568,3435.202275,3810.37699,3620.580348,3318.453002,3326.917773,3165.32066,3080.909233,3593.453697,3657.296691,3433.357784,3445.273309,3429.896034,3641.116774,3370.307416,3361.95675,3493.14456,3458.522907,3392.032779,3253.129822,3363.446954,3472.649183,3614.408425,3401.102036,3401.561387,3319.599915,3236.189287,3420.201278,3415.686685,3312.135944,3234.792175,3176.558642,3167.676546,3237.649438,3235.313587,3228.871429,3234.448883,3165.894117,3131.720821
3,3543.403064,3326.312685,3256.183676,3254.245116,3176.745229,3267.943068,3263.929853,3543.403064,3636.758632,3478.913569,3389.624237,3282.94504,3281.923228,3163.089303,3448.889589,3810.011997,3619.1926,3329.59729,3332.03625,3166.091701,3088.289571,3619.756038,3660.683746,3432.3764,3453.612355,3433.180021,3641.335285,3373.194122,3381.460735,3498.220982,3465.538873,3401.018347,3260.458086,3364.312028,3493.519228,3617.941601,3408.316168,3408.128029,3324.280055,3237.418688,3439.163804,3418.334179,3315.376949,3240.567199,3181.384921,3169.021042,3244.581391,3254.630433,3239.97273,3234.437303,3170.146942,3138.204437
4,3554.74513,3330.75422,3259.238117,3256.903244,3180.946583,3272.446665,3264.836583,3549.053573,3640.501611,3481.145332,3395.60802,3288.449436,3280.662211,3169.916777,3459.732233,3816.016793,3618.765257,3324.154955,3331.587894,3168.447586,3088.977132,3630.107323,3660.361467,3435.014494,3453.237055,3437.380397,3640.699768,3375.28979,3398.266149,3500.337662,3470.406775,3402.35242,3260.343981,3366.376666,3512.878685,3624.582891,3410.265723,3414.330982,3325.061686,3237.033371,3454.258868,3420.564965,3314.146962,3241.849229,3182.63592,3167.718,3258.998912,3261.793136,3242.797985,3240.984525,3174.483413,3137.0155
5,3560.313209,3337.801467,3260.990105,3262.856586,3184.544025,3276.669623,3275.095367,3554.120273,3641.909399,3485.940807,3395.420495,3288.57513,3283.602163,3170.773014,3470.616553,3818.519481,3624.530525,3331.651535,3333.757221,3176.120304,3094.482087,3638.938031,3659.788672,3433.346789,3458.742077,3434.753919,3649.332321,3375.5406,3415.051168,3507.186783,3470.105158,3402.395061,3262.585374,3376.332248,3522.658127,3624.926838,3419.481709,3415.457498,3327.418172,3241.412453,3467.207824,3421.525334,3320.506645,3245.509721,3186.743781,3175.985186,3292.39019,3266.213272,3246.281333,3239.598016,3171.002201,3140.289678
6,3568.402034,3338.37432,3263.450466,3264.222078,3188.827878,3274.010902,3275.960457,3563.752324,3648.852275,3490.861099,3400.465904,3294.130976,3287.125381,3173.503627,3473.868524,3821.562237,3624.029471,3333.475388,3336.497821,3175.505225,3096.796365,3648.654119,3660.673728,3433.575356,3458.970639,3434.472068,3651.135104,3380.512956,3416.561767,3510.543812,3475.088492,3406.616813,3262.605797,3374.63326,3525.200538,3625.510634,3422.004102,3419.011722,3325.552067,3243.663666,3472.169168,3425.78813,3321.51784,3248.782745,3186.461974,3175.160956,3306.275685,3272.426629,3248.209289,3243.809779,3176.359912,3143.291508
7,3576.388062,3343.984385,3269.46587,3268.27791,3189.954353,3281.215247,3278.097766,3564.107255,3654.888762,3490.923791,3400.560588,3296.446408,3289.158604,3176.204355,3481.781478,3825.650177,3628.398606,3344.171546,3340.15833,3176.683742,3099.017693,3653.876967,3666.950399,3436.912626,3464.642787,3442.479085,3651.312907,3386.788599,3420.253321,3513.953175,3480.790696,3409.244527,3268.694258,3377.563212,3536.273008,3631.077748,3426.633418,3421.285152,3330.691784,3247.896637,3481.969617,3430.875821,3330.368527,3251.035131,3192.790603,3182.09407,3308.84132,3273.990481,3250.273536,3251.910831,3180.31164,3143.896563
8,3578.117802,3346.944153,3271.842178,3273.718677,3195.479186,3281.245684,3285.645194,3567.193061,3654.314645,3492.247216,3406.710882,3300.626154,3289.908609,3182.520838,3485.512834,3826.98356,3631.244217,3340.407927,3341.961169,3178.392541,3097.734126,3656.024019,3666.866663,3435.358763,3463.057887,3439.309916,3652.218978,3386.319596,3423.035932,3511.242368,3481.530649,3410.609015,3265.671234,3378.865644,3535.876056,3634.98622,3425.443861,3427.831755,3331.587894,3249.408245,3489.808257,3428.696459,3324.978611,3250.147849,3190.423146,3182.656933,3312.041277,3275.198863,3251.221705,3251.660043,3182.782033,3145.032889
9,3579.859183,3350.16572,3272.603773,3273.61459,3194.770612,3288.772692,3283.455457,3568.933464,3660.288411,3493.259011,3408.243112,3298.509473,3291.576934,3185.648336,3488.599283,3824.335448,3633.57909,3344.963567,3348.257213,3182.47979,3105.532347,3660.329459,3669.597848,3435.056519,3467.873746,3443.009893,3657.180948,3391.781966,3426.549725,3515.23457,3485.158547,3410.807171,3274.083959,3380.418887,3549.449886,3639.177556,3430.93824,3427.227268,3333.03705,3251.523948,3492.570472,3432.679621,3329.137939,3253.681677,3192.653931,3183.834876,3318.400359,3280.985467,3249.000937,3251.044561,3179.539453,3150.579311
10,3586.114179,3351.844063,3272.979072,3276.418831,3195.875499,3288.584554,3285.321938,3573.7503,3659.630903,3500.233575,3410.964279,3299.458229,3290.961452,3188.202378,3489.506013,3827.817233,3636.196171,3345.213767,3345.202772,3184.647537,3105.949672,3670.119261,3672.078833,3435.682019,3471.960994,3445.230661,3654.731971,3391.95911,3426.684843,3517.788612,3486.857902,3414.977494,3275.011702,3382.597629,3549.063591,3639.980199,3433.263095,3430.625001,3336.759016,3252.67086,3496.438552,3438.892591,3330.169769,3254.172059,3199.847665,3187.420748,3320.850314,3283.143196,3250.596205,3254.056977,3186.764218,3152.621958
