,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3200.71763339659,3486.32508236024,3277.45201017595,3223.39240784077,3459.00807814561,3175.59866009689,3112.03563405794,3574.22485146702,3768.62877849758,3588.01625535065,3333.14152682573,3526.09138802873,3213.87835977459,3108.06449810378,3479.89682007994,4067.21159229359,3652.94069006073,3359.51726282255,3551.12634888304,3313.5255668266,3178.14625676524,3506.15225545095,3761.10500368936,3519.19449534546,3246.94402399403,3657.74977978616,3561.64784888086,3405.0667810721,3453.49873056062,3676.41395846908,3485.61805235368,3539.25421640857,3537.96954446893,3436.77989882457,3760.25388891472,4146.04024861867,3605.4221681025,3492.43786750119,3576.10061469558,3311.52221295324,3354.83108346346,3493.51051367211,3376.97746623124,3461.69338778206,3351.96304221254,3224.45242552551,3119.32060777379,3244.06311238903,3178.23543136584,3206.96791352222,3278.9437164749,3171.74082224379
,2,3238.78953626707,3494.99547101378,3285.84012801199,3224.31599168963,3463.46737537456,3182.97297608582,3114.42539946775,3613.68690761008,3770.17832859512,3587.07261039633,3338.46268493177,3529.47214957474,3217.29471279583,3109.15295632476,3515.25562118519,4078.51255778814,3664.83244229356,3354.18755445824,3557.91705684277,3312.85262229236,3177.7394146656,3534.63022176834,3755.56045925403,3514.01738184311,3251.50250107906,3656.87341266546,3562.13079886707,3405.16783946211,3477.05244635047,3677.76905319482,3490.21715674875,3543.40751815953,3538.75290996332,3437.43805846227,3786.06045243755,4145.23334704244,3603.82297746609,3491.13133859365,3576.01881785875,3313.67495218101,3383.12936654598,3493.50738147923,3373.69025972164,3463.34254667518,3352.6461492804,3221.43438717007,3144.36102997709,3255.39268617401,3202.54443651155,3227.81281214034,3289.51792707387,3172.94208698953
,3,3262.09690106979,3495.61501422426,3286.10242588599,3228.35342321574,3467.56966330948,3187.00374057066,3120.98651092171,3639.22904338194,3767.16245890807,3593.53355695337,3340.95043351719,3534.41686971214,3224.21648661757,3116.27023613296,3538.92007553982,4082.5983370713,3666.95031289965,3347.42742125568,3555.7910917859,3312.99198355479,3183.82113798912,3554.81316917294,3751.49996899922,3512.38071622605,3249.19265604053,3659.00695558007,3558.71630400198,3408.95949280447,3513.89456864237,3675.68592717286,3490.83389537835,3541.01544516233,3534.4716806996,3440.26671260484,3805.85551437042,4145.08573809191,3609.40191385752,3493.6661902503,3580.92289563533,3315.36633904149,3437.56668724106,3493.11305164572,3378.73332108661,3463.52500975473,3354.09037668729,3224.20224068411,3145.10979363586,3272.21952581204,3212.38116015189,3230.82238644713,3296.79046849321,3172.33057822633
,4,3271.30251056392,3502.60055686384,3284.58147008984,3228.93936373843,3470.25555439291,3189.94033286136,3118.6199503437,3650.37541429857,3768.43701553784,3592.12440363624,3336.36708497019,3533.8984890352,3228.78525702378,3120.59123906668,3550.10476152238,4080.94292191551,3668.97277084332,3352.33036993314,3563.28490145658,3316.66707857632,3181.30444315204,3565.04450641784,3746.39977688155,3510.90092416125,3253.27202821308,3660.3893339067,3562.66359188544,3415.19882783929,3530.55412465004,3670.91103532448,3488.96383843556,3542.58946664932,3533.23965616562,3440.84811000665,3826.87095825625,4144.65735677258,3610.02494882547,3495.53602050621,3577.42134456554,3317.43093131533,3430.83440650961,3490.14862333792,3376.84788884856,3465.19003512173,3355.02282359876,3229.20828882371,3153.34354518246,3277.96820779016,3217.78692992108,3227.39133085042,3296.83268884976,3173.098712946
,5,3276.23137224775,3498.17238566009,3291.24505078655,3231.46944215733,3469.58351495282,3194.61574378649,3125.27721872222,3657.69313515631,3771.23349745747,3592.52400827559,3341.6991383235,3539.59326942887,3226.42692603958,3124.65261662,3561.01842548867,4080.81559830581,3667.53316290249,3351.54258149583,3562.60737399326,3313.64213934229,3182.10896456644,3578.45306115932,3744.56472870781,3515.72803647204,3251.98906206161,3662.26158157002,3560.29091542028,3419.53364771015,3537.25915851801,3666.45802758929,3491.00719510925,3540.74055143278,3537.48592824238,3440.66212643671,3843.94259948618,4147.76993756479,3608.14377374657,3496.45698148966,3582.1947207104,3323.54741638511,3442.93145949756,3492.18252315215,3381.54270662191,3467.17233235595,3355.71601396731,3231.21076427715,3158.4470677565,3288.89969414533,3221.31283710039,3225.93629844696,3303.21170823019,3184.17676163962
,6,3280.65277176311,3502.28446067942,3285.95029220437,3230.62500798474,3472.23154986473,3198.57355906151,3127.85773180253,3659.92439288933,3768.35902709394,3588.80190503375,3342.16970940418,3542.87200927676,3229.58102241651,3126.20093328607,3567.10884141413,4082.50247549803,3668.22017108504,3350.05066930614,3561.14824319655,3317.47782296054,3185.6317708703,3587.18674844418,3733.42615287897,3512.44088013148,3251.59117023622,3671.43489842567,3564.05938371873,3424.95597402178,3538.76646902604,3665.96254680191,3493.96017610591,3540.81718197854,3538.14160542267,3442.74803465709,3855.56221032433,4152.14600306875,3610.40832588808,3496.48186519178,3583.17239792004,3324.01045921161,3444.5122260826,3493.4514861752,3382.79982455365,3464.38561553644,3353.03084021074,3231.94363858363,3168.41517836834,3291.53726815747,3218.67206152956,3232.58802191637,3305.91603276699,3182.34492954951
,7,3282.16086937255,3506.37080379919,3288.61046759374,3231.87216700646,3472.29980454292,3200.56509216664,3133.80955390771,3661.56674218706,3764.23902563482,3593.02201326671,3341.13425855381,3541.68241913403,3231.38110804987,3124.89542255712,3575.69345569692,4082.86658508724,3670.80010696838,3353.14087015733,3568.56023486536,3316.96819898216,3188.71333924964,3601.03827771225,3735.48330224768,3515.9761310124,3252.8105240064,3678.10871796523,3565.04873878213,3428.01774787782,3543.5896252051,3669.65903828534,3500.05658894299,3541.9555487676,3536.36580607625,3442.80881616631,3859.49656441383,4148.86207403194,3613.09970020236,3500.10062554585,3583.14943443425,3324.00421940716,3450.95240031082,3494.41025226222,3385.37574275111,3468.87508984206,3357.53429050664,3233.15660671856,3176.70698740609,3296.46203685059,3223.32284179192,3231.18173281527,3305.98904142687,3184.81808202781
,8,3289.22891314886,3508.52413044558,3292.93880354242,3234.64887376191,3477.14196530081,3201.98402647542,3135.95027603414,3667.81798426231,3764.57931876472,3595.67824202432,3343.91407082792,3544.33729144477,3235.29024393232,3128.65782798164,3575.496870589,4081.31088229239,3671.25484401962,3353.82802722588,3567.22791954158,3319.09230288,3190.60328061619,3597.03755961665,3733.44190256436,3514.78771964608,3256.43418577885,3680.93556146214,3565.77356143005,3431.09850858851,3544.54524438837,3668.50993566303,3504.41818336101,3547.32925122765,3534.61202415368,3446.71351712273,3860.4398379789,4147.98470716249,3615.25811603201,3503.40331914162,3586.33997768076,3324.82725419348,3456.96252640423,3498.17657437549,3389.76553812099,3467.49796155287,3358.34840172716,3236.69490430674,3177.80122579337,3301.34931241651,3225.37524299495,3238.98136561842,3309.06239655778,3187.12871748039
,9,3289.43016349208,3504.80875702036,3287.37138926558,3236.84039964663,3475.78717626748,3200.59539426215,3134.79001461397,3668.80654460468,3762.46062671722,3593.37538509374,3347.00027741999,3541.62527524155,3236.82732708283,3130.57713546026,3574.30631365366,4076.56852626556,3671.4819630853,3354.23747558155,3567.19492696556,3317.77652810487,3196.01268118918,3599.63055632627,3723.71502377441,3514.33123814934,3257.87443292051,3682.37158622263,3573.18979741059,3427.82278511009,3538.63843936775,3666.37168684598,3510.34875133416,3549.27696021989,3535.85587013979,3446.67671413038,3886.30298891083,4148.66326219055,3614.83056086649,3505.4839344214,3591.34574680343,3323.26582379104,3460.61497306267,3496.17414878599,3388.79640045974,3469.53641762196,3359.79823867494,3233.83630642513,3186.36312651091,3303.74982850913,3222.49080498338,3235.59090835915,3307.32397998134,3189.09405720956
,10,3291.07337838296,3504.37113438704,3292.38030256424,3236.52389343548,3475.76185630631,3198.86178862727,3136.93137594123,3672.80107212213,3760.04825465118,3592.58654626725,3349.66331276686,3543.98447188606,3234.43750604101,3135.94754767278,3577.78634934507,4081.065587213,3672.32741209939,3359.91968275576,3564.78107634733,3315.28909931794,3194.87737762929,3609.19364587236,3720.49172717096,3513.32144728031,3256.29826826198,3682.57314303476,3573.31995872738,3431.60664866253,3541.05075616707,3668.14643995971,3508.56619650872,3546.63213141074,3539.22194148981,3445.38934900219,3881.11777228788,4147.98262920857,3612.89533543067,3506.12123569819,3591.84693114337,3323.69767901767,3456.2771535803,3496.67825006593,3389.55805313951,3470.66955164663,3359.94442385609,3235.24434933642,3201.73166476323,3302.90530892067,3227.6872229113,3239.97832821601,3314.41659824556,3190.60065275921
