,rep1.expr,name,pop,treat,rep2.expr
1,9.06E-13,H_C_1,H,C,0.498650651
2,1.03E-13,N_C_1,N,C,4.38E-13
3,,*S_C_1*,*S,C,1.96E-13
4,0.003794427,H_T_1,H,T,0.499967752
5,5.29E-15,N_T_1,N,T,6.21E-14
6,NA,*S_T_1*,*S,T,2.44E-13
7,7.48E-13,NT_C_1,NT,C,3.04E-13
8,0.49889221,H_C_2,H,C,0.499184333
9,4.98E-13,N_C_2,N,C,NA
10,0.087858256,S_C_2,S,C,NA
11,0.068798271,H_T_2,H,T,0.499934509
12,NA,*N_T_2*,*N,T,5.75E-14
13,9.75E-14,S_T_2,S,T,1.14E-13
14,0.499954004,NT_C_2,NT,C,9.05E-13
15,1.79E-13,H_C_3,H,C,0.4994758
16,NA,*N_C_3*,*N,C,NA
17,NA,*S_C_3*,*S,C,1.70E-13
18,3.60E-15,H_T_3,H,T,2.55E-14
19,NA,*N_T_3*,*N,T,1.65E-13
20,NA,*S_T_3*,*S,T,NA
21,1.63E-14,NT_C_3,NT,C,9.06E-13
22,8.79E-14,H_C_4,H,C,1.37E-13
23,2.46E-13,N_C_4,N,C,NA
24,NA,*S_C_4*,*S,C,7.97E-14
25,NA,*H_T_4*,*H,T,2.74E-14
26,0.981776915,**N_T_4**,**N,T,4.78E-15
27,NA,*S_T_4*,*S,T,1.92E-13
28,9.08E-13,NT_C_4,NT,C,2.21E-13
29,5.60E-14,H_C_5,H,C,8.49E-14
30,NA,*N_C_5*,*N,C,NA
31,8.40E-14,S_C_5,S,C,9.14E-14
32,2.80E-15,H_T_5,H,T,1.04E-13
33,NA,*N_T_5*,*N,T,NA
34,0.23887281,**S_T_5**,**S,T,0.223710843
35,1.29E-13,H_C_6,H,C,2.09E-15
36,NA,*N_C_6*,*N,C,NA
37,3.32E-13,S_C_6,S,C,1.86E-13
38,0.024337738,H_T_6,H,T,1.57E-12
39,3.99E-15,N_T_6,N,T,3.24E-14
40,NA,*S_T_6*,*S,T,3.80E-14
41,6.94E-14,H_C_7,H,C,0.499155429
42,7.97E-13,N_C_7,N,C,NA
43,9.17E-14,S_C_7,S,C,1.36E-13
44,2.46E-13,H_T_7,H,T,6.24E-14
45,NA,*N_T_7*,*N,T,9.57E-15
46,NA,*S_T_7*,*S,T,8.46E-14
47,1.89E-13,H_C_8,H,C,1.13E-13
48,1.08E-13,N_C_8,N,C,9.45E-14
49,1.11E-13,S_C_8,S,C,9.23E-14
50,5.88E-13,H_T_8,H,T,6.50E-14
51,2.29E-14,N_T_8,N,T,9.07E-13
52,9.11E-13,S_T_8,S,T,1.02E-14
