"Vars","TLR2.1_HC_1","TLR2.1_NC_1","TLR2.1_SC_1","TLR2.1_HT_1","TLR2.1_NT_1","TLR2.1_ST_1","TLR2.1_NTC_1","TLR2.1_HC_2","TLR2.1_NC_2","TLR2.1_SC_2","TLR2.1_HT_2","TLR2.1_NT_2","TLR2.1_ST_2","TLR2.1_NTC_2","TLR2.1_HC_3","TLR2.1_NC_3","TLR2.1_SC_3","TLR2.1_HT_3","TLR2.1_NT_3","TLR2.1_ST_3","**TLR2.1_NTC_3**","TLR2.1_HC_4","TLR2.1_NC_4","TLR2.1_SC_4","TLR2.1_HT_4","TLR2.1_NT_4","TLR2.1_ST_4","**TLR2.1_NTC_4**","TLR2.1_HC_5","TLR2.1_NC_5","TLR2.1_SC_5","TLR2.1_HT_5","*TLR2.1_NT_5*","**TLR2.1_ST_5**","TLR2.1_HC_6","TLR2.1_NC_6","TLR2.1_SC_6","**TLR2.1_HT_6**","TLR2.1_NT_6","TLR2.1_ST_6","TLR2.1_HC_7","TLR2.1_NC_7","TLR2.1_SC_7","**TLR2.1_HT_7**","TLR2.1_NT_7","TLR2.1_ST_7","TLR2.1_HC_8","TLR2.1_NC_8","TLR2.1_SC_8","TLR2.1_HT_8","TLR2.1_NT_8","TLR2.1_ST_8"
"sig.eff","1.00007","1.138213","1.136934","1.000508","1.130486","1.130572","1.037697","1.000094","1.150693","1.132251","1.00786","1.141104","1.144586","1.051675","1.002403","1.153758","1.142842","1.140922","1.139085","1.141731","1.000021","1.166428","1.157956","1.169267","1.142187","1.158583","1.141182","1.000087","1.157631","1.16633","1.158723","1.157065",NA,"1.000089","1.146664","1.155412","1.150159","1.000207","1.13123","1.137006","1.023662","1.161411","1.142404","1.000124","1.137518","1.138855","1.152475","1.102731","1.134277","1.138483","1.132957","1.145713"
"sig.resVar","4.633857","66.19817","93.70712","15.67377","64.73222","115.2145","35.60083","7.129775","143.9236","211.5273","14.05466","53.35702","113.987","29.46801","3.398149","92.04295","61.57765","114.8687","124.8223","23.91138","3.275029","246.6206","65.66475","84.71497","28.66201","7.57988","44.01557","4.818029","410.5993","176.535","86.41395","23.57856",NA,"2.803808","186.7715","68.11451","135.021","5.682392","56.61229","33.99539","187.3444","107.9396","89.96895","2.726256","70.81995","33.83028","334.0659","207.7765","61.75764","41.713","33.42205","36.4004"
"sig.AICc","181.7791","288.1496","302.0505","230.5231","287.2539","310.3153","263.3383","199.0147","319.2148","334.6177","226.1617","279.5237","309.8869","255.7757","169.3728","301.3337","285.2555","310.1951","313.5192","247.4177","167.8966","340.7576","287.826","298.0152","254.6664","201.4634","271.8253","183.3381","361.1482","327.3843","298.8095","246.857",NA,"161.6827","329.639","289.2911","316.6607","189.9384","281.8926","261.4925","329.7615","307.7064","300.4221","160.5607","290.8492","261.2978","352.897","333.902","285.3722","269.676","260.8122","264.2267"
"sig.AIC","180.6362","287.0068","300.9076","229.3802","286.111","309.1725","262.1954","197.8719","318.072","333.4748","225.0188","278.3809","308.744","254.6329","168.2299","300.1909","284.1126","309.0522","312.3763","246.2748","166.7537","339.6147","286.6832","296.8724","253.5236","200.3206","270.6824","182.1953","360.0054","326.2414","297.6666","245.7142",NA,"160.5398","328.4961","288.1483","315.5179","188.7956","280.7497","260.3497","328.6186","306.5635","299.2792","159.4178","289.7063","260.1549","351.7542","332.7592","284.2294","268.5332","259.6693","263.0838"
"sig.Rsq","0.9647238","0.9998914","0.9999017","0.7795816","0.9998471","0.9998818","0.9854637","0.9588183","0.9998992","0.9998655","0.9088714","0.9999437","0.9999081","0.9937286","0.9777748","0.9998741","0.9999397","0.9997906","0.9998902","0.9998373","0.931783","0.9998913","0.9999524","0.9999494","0.9999643","0.9999512","0.9999483","0.8984063","0.9997748","0.9999243","0.9999366","0.9999159",NA,"0.9446782","0.9951248","0.9999435","0.9999194","0.9163526","0.999897","0.9998987","0.8640479","0.9999394","0.9998796","0.9501245","0.9999303","0.9999038","0.9998147","0.9996518","0.9999396","0.999884","0.9999146","0.9998753"
"sig.Rsq.ad","0.9617842","0.9998824","0.9998935","0.7612134","0.9998343","0.999872","0.9842524","0.9553865","0.9998909","0.9998543","0.9012773","0.999939","0.9999004","0.9932059","0.9759227","0.9998636","0.9999347","0.9997731","0.999881","0.9998237","0.9260982","0.9998822","0.9999484","0.9999452","0.9999613","0.9999472","0.999944","0.8899401","0.999756","0.9999179","0.9999313","0.9999089",NA,"0.940068","0.9947185","0.9999388","0.9999127","0.909382","0.9998884","0.9998903","0.8527186","0.9999343","0.9998695","0.9459682","0.9999245","0.9998958","0.9997993","0.9996228","0.9999346","0.9998744","0.9999074","0.9998649"
"sig.cpD1","1","38.44","37.59","40","38.89","37.41","40","1","37.37","36.12","40","37.81","37.3","40","1.58","38.77","37.8","38.9","37.33","40","14.57","36.76","37.64","37.57","38.18","40","37.94","40","37.16","36.8","37.71","40",NA,"11.16","40","37.96","36.78","40","38.45","39.51","40","37.15","38.27","18.79","37.48","39.58","36.73","37.24","37.29","39.45","39.14","39.98"
"sig.cpD2","40","36.46","35.56","40","36.89","35.3","40","40","35.31","33.98","40","35.78","35.25","40","1","36.78","35.78","36.91","35.28","38.72","1","34.69","35.64","35.55","36.21","38.99","35.95","1","35.06","34.74","35.69","38.35",NA,"1","40","35.91","34.72","1","36.46","37.46","40","35.09","36.26","7.43","35.43","37.51","34.62","35.09","35.25","37.4","37.11","37.89"
"sig.cpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
