"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","sli.rsq","sli.init","sli.base","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene"
"1","1.000218","721.7677","383.7117","382.5688","0.5123535","0.4717162","1","40",NA,NA,NA,NA,NA,NA,"3520.054","-2816.412","3489.502",NA,"-0.009518295","-2816.412","9916.051","106.8392","l4",NA,"40","1.637296","359.6343","416.1066","19.61883","7.254873e-07",NA,NA,NA,NA,NA,NA,"H_C_1","H","C","1","TLR"
"2","1.27219","242.9271","340.154","339.0111","0.9999684","0.9999658","38.45","36.44",NA,NA,NA,NA,NA,NA,"6841.203","3609.624","1.059879",NA,"-25.33942","3609.624","20485.7","38.57136","l4","1.27054","36","1.893194","271.1048","95.35442","9.349236","4.95141e-07","1.073937","0.9953283","1.129992","0","0.5411362","0","N_C_1","N","C","1","TLR"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_1*","*S","C","1*","TLR"
"4","1.000328","5.214541","186.5016","185.3587","0.5010762","0.4594992","8.35","8.04",NA,NA,NA,NA,NA,NA,"3283.021","3281.934","3274.388",NA,"-35.64084","3281.934","3287.479","8.364811","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_1","H","T","1","TLR"
"5","1.274659","59.43013","283.8356","282.6927","0.9998281","0.9998137","40","40",NA,NA,NA,NA,NA,NA,"6364.721","3285.889","0.3872768",NA,"-24.4254","3285.889","53284.53","44.71899","l4","1.079464","40","1.83889","304.8765","105.8472","9.894883","1.488665e-07",NA,"0.8754428","235.5812","0",NA,NA,"N_T_1","N","T","1","TLR"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_1*","*S","T","1*","TLR"
"7","1.009788","30.76206","257.4948","256.3519","0.8902678","0.8811235","40","40",NA,NA,NA,NA,NA,NA,"3385.07","3304.571","2292.79",NA,"-20.67968","3304.571","4665802","67.97885","l4",NA,"40","1.686274","253.2314","29.1038","5.188547","1.136471e-07",NA,NA,NA,NA,NA,NA,"NT_C_1","NT","C","1","TLR"
"8","1.004441","10.8913","215.9621","214.8192","0.9512821","0.9472223","1.37","1",NA,NA,NA,NA,NA,NA,"3511.815","3496.287","3496.287",NA,"-2.68838","3496.287","3590.135","1.825623","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_2","H","C","2","TLR"
"9","1.274665","267.3062","343.9793","342.8365","0.9999866","0.9999855","36.51","34.47",NA,NA,NA,NA,NA,NA,"7303.511","3808.987","1.700311",NA,"-23.74458","3808.987","22179.49","36.63833","l4","1.273015","34","1.89665","230.0058","43.99514","6.3335","1.773607e-06","1.075134","0.9954401","1.806563","0","0.5425546","0","N_C_2","N","C","2","TLR"
"10","1.011457","1464.374","412.0109","410.868","0.9794177","0.9777025","5.74","3.48",NA,NA,NA,NA,NA,NA,"4204.805","4135.561","4041.373",NA,"-3.618985","4135.561","4952.12","6.715104","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_2","S","C","2","TLR"
