"Vars","TLR2.1_HC_1","TLR2.1_NC_1","TLR2.1_SC_1","TLR2.1_HT_1","TLR2.1_NT_1","TLR2.1_ST_1","TLR2.1_NTC_1","TLR2.1_HC_2","TLR2.1_NC_2","TLR2.1_SC_2","**TLR2.1_HT_2**","TLR2.1_NT_2","TLR2.1_ST_2","TLR2.1_NTC_2","TLR2.1_HC_3","TLR2.1_NC_3","TLR2.1_SC_3","TLR2.1_HT_3","TLR2.1_NT_3","TLR2.1_ST_3","TLR2.1_NTC_3","TLR2.1_HC_4","TLR2.1_NC_4","TLR2.1_SC_4","TLR2.1_HT_4","TLR2.1_NT_4","TLR2.1_ST_4","TLR2.1_NTC_4","TLR2.1_HC_5","TLR2.1_NC_5","TLR2.1_SC_5","TLR2.1_HT_5","TLR2.1_NT_5","TLR2.1_ST_5","TLR2.1_HC_6","TLR2.1_NC_6","TLR2.1_SC_6","TLR2.1_HT_6","TLR2.1_NT_6","TLR2.1_ST_6","TLR2.1_HC_7","TLR2.1_NC_7","TLR2.1_SC_7","TLR2.1_HT_7","TLR2.1_NT_7","TLR2.1_ST_7","TLR2.1_HC_8","TLR2.1_NC_8","TLR2.1_SC_8","TLR2.1_HT_8","TLR2.1_NT_8","TLR2.1_ST_8"
"sig.eff","1.000175","1.239313","1.104636","1.000215","1.232488","1.233988","1.000309","1.000089","1.267683","1.259593","1.000092","1.248364","1.226381","1.084035","1.000178","1.27914","1.267166","1.275555","1.253684","1.236066","1.053643","1.271122","1.264088","1.143999","1.261653","1.271158","1.253611","1.277064","1.244663","1.240236","1.243308","1.235357","1.229446","1.242963","1.271522","1.242562","1.246343","1.156073","1.241517","1.248075","1.119412","1.248543","1.231186","1.018905","1.223458","1.212762","1.234739","1.241779","1.242888","1.000152","1.000211","1.261195"
"sig.resVar","10.44959","690.3535","215.3371","2.53228","410.5952","486.7898","4.980592","5.350495","1216.708","992.6481","119.3435","460.5115","665.6565","304.4029","5.327678","501.8398","689.3663","322.7214","538.3178","198.4655","359.6899","1703.377","843.8431","2171.79","312.7111","183.5167","517.2997","521.2929","840.5775","1004.414","654.2571","337.9485","363.7151","249.8597","1098.197","409.2768","916.8617","376.9089","274.5269","286.4839","1018.749","700.1396","490.9105","242.0706","339.9703","346.8347","1355.501","614.2384","378.8718","7.061659","4.640651","207.0412"
"sig.AICc","214.306","381.9317","335.3317","157.6083","361.1478","367.9568","184.6655","187.5311","404.5997","396.4586","311.7238","365.737","380.4745","349.1776","187.3601","369.1748","381.8744","351.5151","371.9815","332.0681","355.8532","418.0582","389.9622","427.7758","350.2547","328.9357","370.3884","370.696","389.8071","396.9299","379.7835","353.3593","356.2983","341.2795","400.5005","361.0192","393.2818","357.7237","345.0455","346.7508","397.4967","382.4947","368.294","340.0127","353.5978","354.3975","408.9206","377.2588","357.9314","198.6307","181.8377","333.7602"
"sig.AIC","213.1632","380.7888","334.1889","156.4655","360.005","366.814","183.5226","186.3882","403.4568","395.3157","310.5809","364.5942","379.3316","348.0347","186.2173","368.0319","380.7316","350.3722","370.8386","330.9253","354.7104","416.9154","388.8193","426.6329","349.1119","327.7929","369.2456","369.5531","388.6642","395.7871","378.6407","352.2164","355.1555","340.1366","399.3577","359.8763","392.1389","356.5808","343.9026","345.608","396.3539","381.3518","367.1511","338.8698","352.455","353.2546","407.7777","376.116","356.7886","197.4879","180.6948","332.6174"
"sig.Rsq","0.9909595","0.9998366","0.9997119","0.9914489","0.9998501","0.9999181","0.9910554","0.9899844","0.9999216","0.9999205","0.7934006","0.999901","0.9999193","0.9982471","0.9931157","0.9999275","0.9999423","0.9992587","0.9999274","0.9997344","0.955702","0.9998247","0.9999436","0.9992839","0.9999055","0.9999118","0.9999183","0.9997227","0.9998512","0.9999159","0.9998392","0.9999162","0.9998694","0.9997554","0.9972927","0.9999068","0.9999225","0.9953145","0.9997868","0.9997045","0.980212","0.9999362","0.9999386","0.8729036","0.9999327","0.9998327","0.9997716","0.9999046","0.9999516","0.9704632","0.9788202","0.9998082"
"sig.Rsq.ad","0.9902061","0.999823","0.9996879","0.9907363","0.9998376","0.9999112","0.99031","0.9891497","0.9999151","0.9999139","0.776184","0.9998927","0.9999126","0.998101","0.992542","0.9999215","0.9999375","0.9991969","0.9999213","0.9997123","0.9520105","0.9998101","0.9999389","0.9992242","0.9998977","0.9999044","0.9999115","0.9996996","0.9998388","0.9999089","0.9998258","0.9999092","0.9998586","0.999735","0.997067","0.999899","0.9999161","0.994924","0.999769","0.9996799","0.978563","0.9999308","0.9999335","0.8623122","0.999927","0.9998187","0.9997526","0.9998966","0.9999476","0.9680018","0.9770553","0.9997922"
"sig.cpD1","1","38.59","38.28","1","39.09","37.74","1","1","36.92","36.92","40","38.53","36.71","40","1","38.98","37.46","40","37.76","40","40","37.96","36.87","37.28","39.64","40","38.45","40","38.27","36.46","38.96","38.67","39.08","40","40","38.95","36.56","40","40","40","40","36.88","36.98","40","37.65","39.21","37.88","37.72","37.23","1","1","40"
"sig.cpD2","40","36.59","36.01","40","37.06","35.71","40","40","34.86","34.89","1","36.54","34.65","37.63","40","36.97","35.43","40","35.76","38.96","40","35.98","34.82","34.87","37.57","38.35","36.46","38.59","36.25","34.41","36.92","36.66","37.05","38.81","40","36.91","34.51","40","38.44","38.88","40","34.83","34.94","40","35.64","37.14","35.82","35.71","35.21","40","40","38.85"
"sig.cpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
