,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,exp.eff,LRE.eff,sli.rsq,sli.init,sli.base,exp.point,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.rsq,LRE.base,Names,Pop,Treat,Sample,Gene
1,1.005412,10.51727,214.5642,213.4214,0.9666791,0.9639023,1.37,1,NA,NA,NA,NA,NA,NA,3201.229,3183.998,3183.998,NA,-2.366254,3183.998,3290.994,2.008716,l4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H_C_1,H,C,1,TLR
2,1.254793,485.6105,367.8598,366.7169,0.9999576,0.9999541,37.04,35,NA,NA,NA,NA,NA,NA,6411.874,3510.02,2.274915,NA,-24.00949,3510.02,18719.09,37.17088,l4,1.258107,1.864325,1.12412,0.9950985,2.13565,0,35,266.9135,104.508,9.774974,1.83E-06,0.301714,0,N_C_1,N,C,1,TLR
3,1.249148,251.5002,341.5413,340.3984,0.999955,0.9999512,38.04,36.1,NA,NA,NA,NA,NA,NA,5770.964,3292.245,1.877102,NA,-25.94876,3292.245,16206.2,38.15621,l4,1.250734,1.882787,1.089541,0.992505,1.86249,0,36,248.8734,51.42184,6.865616,5.59E-07,0.4100759,0,S_C_1,S,C,1,TLR
4,1.000129,2.59374,158.5676,157.4247,0.8943012,0.8854929,3.61,1,NA,NA,NA,NA,NA,NA,3223.859,3223.443,3223.443,NA,-2.05361,3223.443,3240.702,6.058641,l4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H_T_1,H,T,1,TLR
5,1.258314,225.2264,337.1278,335.9849,0.9999393,0.9999343,39.38,37.33,NA,NA,NA,NA,NA,NA,6455.513,3485.089,1.215658,NA,-25.46505,3485.089,18974.42,39.49949,l4,1.274799,1.868575,1.080846,0.9982547,0.7593265,0,37,272.2533,80.53253,8.602492,4.12E-07,0.4806266,0,N_T_1,N,T,1,TLR
6,1.234529,165.8092,324.877,323.7342,0.9999642,0.9999612,38.13,36.12,NA,NA,NA,NA,NA,NA,5523.214,3203.052,2.736333,NA,-25.07439,3203.052,15287.35,38.2506,l4,1.238844,1.860683,1.077993,0.9932121,2.453177,0,36,258.9866,68.10044,7.900975,7.85E-07,0.4439115,0,S_T_1,S,T,1,TLR
7,1.055491,74.9764,293.1305,291.9876,0.9884064,0.9874402,40,40,NA,NA,NA,NA,NA,NA,3555.799,3137.214,409.981,NA,-23.37006,3137.214,29351479,64.47784,l4,NA,1.825212,NA,NA,NA,NA,40,288.1494,69.67344,8.027947,2.70E-08,NA,NA,NT_C_1,NT,C,1,TLR
8,1.003268,14.83287,228.3173,227.1745,0.9568431,0.9532467,1.61,1,NA,NA,NA,NA,NA,NA,3574.783,3563.14,3563.14,NA,-2.79092,3563.14,3668.196,2.108736,l4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H_C_2,H,C,2,TLR
9,1.183511023,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N_C_2,N,C,2*,TLR
10,1.183511023,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S_C_2,S,C,2*,TLR
