Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\7242015d\p29ING2rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 1, SBGnew, 60.0, 0.1313,0.1549,0.1978,0.1887,0.1770,0.1518,0.1500,0.1601,0.2718,0.2868,0.2638,0.2688,0.2642,0.2107,0.2422,0.3199,0.3990,0.2854,0.2981,0.2635,0.2424,0.2735,0.3008,0.4359,0.3819,0.4761,0.3083,0.2993,0.3273,0.2901,0.3591,0.3807,0.4605,0.3358,0.2626,0.3395,0.4187,0.4303,0.3988,0.2968,0.1895,0.2287,0.3770,0.3564,0.3114,0.2445,0.1690,0.1832,0.2225,0.2256,0.2350,0.1916,
4, 2, SBGnew, 60.0, 0.1314,0.1559,0.1990,0.1886,0.1775,0.1519,0.1503,0.1608,0.2714,0.2859,0.2639,0.2688,0.2651,0.2103,0.2430,0.3189,0.3987,0.2867,0.2985,0.2657,0.2434,0.2733,0.2998,0.4343,0.3824,0.4762,0.3095,0.2991,0.3275,0.2908,0.3581,0.3804,0.4619,0.3369,0.2634,0.3385,0.4163,0.4301,0.3995,0.2980,0.1914,0.2284,0.3761,0.3560,0.3122,0.2460,0.1699,0.1853,0.2230,0.2261,0.2349,0.1917,
4, 3, SBGnew, 60.0, 0.1325,0.1572,0.2004,0.1885,0.1780,0.1520,0.1513,0.1617,0.2715,0.2845,0.2642,0.2689,0.2655,0.2101,0.2434,0.3190,0.3978,0.2880,0.3002,0.2675,0.2444,0.2734,0.2993,0.4324,0.3828,0.4763,0.3103,0.2984,0.3279,0.2908,0.3590,0.3807,0.4644,0.3384,0.2645,0.3380,0.4163,0.4297,0.4001,0.2984,0.1926,0.2283,0.3753,0.3556,0.3134,0.2480,0.1718,0.1869,0.2236,0.2268,0.2350,0.1919,
4, 4, SBGnew, 60.0, 0.1334,0.1581,0.2022,0.1885,0.1783,0.1526,0.1521,0.1629,0.2724,0.2840,0.2641,0.2687,0.2662,0.2105,0.2445,0.3189,0.3965,0.2895,0.3014,0.2695,0.2457,0.2737,0.2996,0.4305,0.3842,0.4766,0.3112,0.2985,0.3275,0.2907,0.3587,0.3799,0.4656,0.3404,0.2659,0.3371,0.4147,0.4291,0.4005,0.2990,0.1946,0.2279,0.3749,0.3563,0.3146,0.2499,0.1732,0.1889,0.2236,0.2276,0.2349,0.1921,
4, 5, SBGnew, 60.0, 0.1333,0.1582,0.2026,0.1885,0.1786,0.1527,0.1516,0.1640,0.2721,0.2830,0.2647,0.2686,0.2665,0.2102,0.2452,0.3190,0.3961,0.2904,0.3013,0.2700,0.2456,0.2744,0.3003,0.4296,0.3840,0.4776,0.3105,0.2989,0.3290,0.2910,0.3591,0.3799,0.4656,0.3406,0.2659,0.3366,0.4154,0.4300,0.4004,0.2987,0.1950,0.2270,0.3749,0.3570,0.3151,0.2514,0.1739,0.1893,0.2246,0.2283,0.2360,0.1931,
4, 6, SBGnew, 60.0, 0.1338,0.1582,0.2031,0.1890,0.1781,0.1535,0.1514,0.1648,0.2714,0.2817,0.2653,0.2673,0.2669,0.2107,0.2458,0.3193,0.3956,0.2910,0.3018,0.2701,0.2460,0.2752,0.3008,0.4295,0.3843,0.4768,0.3111,0.2986,0.3301,0.2915,0.3595,0.3794,0.4651,0.3406,0.2668,0.3369,0.4149,0.4307,0.3996,0.2992,0.1953,0.2263,0.3739,0.3573,0.3157,0.2522,0.1753,0.1898,0.2252,0.2284,0.2376,0.1936,
4, 7, SBGnew, 60.0, 0.1349,0.1583,0.2042,0.1894,0.1780,0.1539,0.1516,0.1655,0.2712,0.2818,0.2659,0.2681,0.2666,0.2114,0.2458,0.3193,0.3948,0.2903,0.3021,0.2706,0.2463,0.2752,0.3011,0.4291,0.3846,0.4774,0.3110,0.2987,0.3302,0.2908,0.3604,0.3800,0.4654,0.3413,0.2678,0.3373,0.4157,0.4298,0.3986,0.2986,0.1945,0.2264,0.3748,0.3583,0.3149,0.2524,0.1753,0.1894,0.2255,0.2285,0.2380,0.1941,
4, 8, SBGnew, 60.0, 0.1346,0.1576,0.2036,0.1898,0.1781,0.1541,0.1512,0.1660,0.2704,0.2828,0.2665,0.2687,0.2670,0.2118,0.2466,0.3188,0.3940,0.2905,0.3009,0.2705,0.2462,0.2760,0.3008,0.4301,0.3846,0.4771,0.3106,0.2985,0.3296,0.2909,0.3588,0.3793,0.4639,0.3416,0.2686,0.3365,0.4151,0.4293,0.3980,0.2988,0.1953,0.2257,0.3750,0.3591,0.3143,0.2517,0.1751,0.1901,0.2256,0.2286,0.2377,0.1945,
4, 9, SBGnew, 60.0, 0.1347,0.1580,0.2030,0.1901,0.1775,0.1543,0.1505,0.1662,0.2687,0.2819,0.2676,0.2692,0.2670,0.2116,0.2469,0.3183,0.3936,0.2902,0.3002,0.2705,0.2456,0.2764,0.3009,0.4304,0.3840,0.4762,0.3111,0.2978,0.3309,0.2913,0.3585,0.3806,0.4632,0.3406,0.2692,0.3369,0.4151,0.4298,0.3971,0.2993,0.1951,0.2258,0.3749,0.3593,0.3131,0.2506,0.1748,0.1905,0.2266,0.2288,0.2373,0.1942,
4, 10, SBGnew, 60.0, 0.1350,0.1576,0.2032,0.1902,0.1778,0.1545,0.1508,0.1662,0.2691,0.2824,0.2665,0.2691,0.2671,0.2113,0.2479,0.3185,0.3934,0.2911,0.3005,0.2705,0.2467,0.2766,0.3007,0.4302,0.3847,0.4755,0.3121,0.2976,0.3305,0.2906,0.3571,0.3804,0.4618,0.3405,0.2695,0.3367,0.4140,0.4285,0.3970,0.3002,0.1953,0.2273,0.3749,0.3605,0.3129,0.2510,0.1750,0.1904,0.2258,0.2293,0.2377,0.1942,
4, 11, SBGnew, 60.0, 0.1354,0.1577,0.2030,0.1893,0.1776,0.1543,0.1512,0.1661,0.2696,0.2822,0.2668,0.2698,0.2667,0.2117,0.2485,0.3187,0.3929,0.2913,0.3009,0.2704,0.2468,0.2768,0.3000,0.4287,0.3842,0.4752,0.3114,0.2973,0.3318,0.2904,0.3554,0.3811,0.4610,0.3404,0.2694,0.3362,0.4144,0.4286,0.3972,0.3006,0.1956,0.2266,0.3763,0.3614,0.3126,0.2507,0.1749,0.1906,0.2256,0.2291,0.2370,0.1947,
