,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,sli.rsq,sli.init,sli.base,exp.point,exp.eff,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.eff,LRE.rsq,LRE.base,Names
H_C_1,1.234393,9448.496,486.588,485.4451,0.9996552,0.9996265,34.37,32.05,NA,NA,NA,NA,NA,NA,6953.098,3754.736,8.148844,NA,-19.64956,3754.736,20897.28,34.54391,l4,1.249232,0.9950137,5.649418,0,32,1.820527,317.8224,1035.37,30.63175,2.58E-05,1.113593,0.3348489,0,H_C_1
N_C_1,1.257573,5457.59,464.634,463.4912,0.9997949,0.9997778,35.41,33.22,NA,NA,NA,NA,NA,NA,7339.624,3833.693,3.623923,NA,-21.42911,3833.693,22425.86,35.5611,l4,1.262254,0.9935507,3.286937,0,33,1.844428,286.3608,296.6662,16.42244,9.39E-06,1.10618,0.4095664,0,N_C_1
S_C_1,1.230418,18655.6,513.7996,512.6567,0.9995041,0.9994628,33.04,30.59,NA,NA,NA,NA,NA,NA,7141.379,3783.379,12.56249,NA,-17.87187,3783.379,22019.2,33.24691,l4,1.252982,0.9960854,7.18429,0,30,1.870166,216.5114,67.88832,7.816616,2.95E-05,1.041016,0.5970858,0,S_C_1
H_T_1,1.228672,11828.08,495.5728,494.4299,0.9995979,0.9995644,33.55,31.17,NA,NA,NA,NA,NA,NA,6726.809,3642.367,10.96703,NA,-18.67426,3642.367,20298.3,33.74375,l4,1.245787,0.9937748,7.239144,0,31,1.839473,245.1348,136.1033,11.08747,3.07E-05,1.093532,0.405787,0,H_T_1
N_T_1,1.22777,8485.012,482.2858,481.1429,0.9996431,0.9996134,34.35,32.03,NA,NA,NA,NA,NA,NA,6614.331,3638.754,9.248484,NA,-19.61179,3638.754,19585.54,34.52711,l4,1.244582,0.9949969,6.080975,0,32,1.828134,251.7316,131.2594,10.9066,2.13E-05,1.107596,0.3358907,0,N_T_1
S_T_1,1.220847,4713.245,458.7688,457.6259,0.9997447,0.9997234,35.01,32.74,NA,NA,NA,NA,NA,NA,6471.409,3667.866,9.412647,NA,-20.39097,3667.866,18620.75,35.18118,l4,1.237694,0.9964236,6.094528,0,32,1.843975,267.8586,217.2706,14.03216,1.03E-05,1.286869,0.2129033,0,S_T_1
NT_C_1,1.119836,1173.242,403.1446,402.0017,0.977839,0.9759922,40,40,NA,NA,NA,NA,NA,NA,4783.11,3602.27,51.70429,NA,-22.44355,3602.27,95629052,66.18488,l4,NA,NA,NA,NA,40,1.778903,397.8597,1082.011,31.63637,2.08E-07,NA,NA,NA,NT_C_1
H_C_2,1.238695,13074.25,499.5795,498.4367,0.9996446,0.9996149,34.07,31.69,NA,NA,NA,NA,NA,NA,7599.947,3994.381,8.605353,NA,-19.01341,3994.381,23430.93,34.25437,l4,1.255949,0.9965845,5.575152,0,31,1.834864,306.0298,970.4606,29.6065,2.88E-05,1.031568,0.63036,0,H_C_2
N_C_2,1.248252,7019.232,474.6999,473.557,0.9997697,0.9997505,35.03,32.78,NA,NA,NA,NA,NA,NA,7616.92,4019.335,5.308762,NA,-20.63334,4019.335,23218.03,35.1956,l4,1.260398,0.9964853,3.912414,0,32,1.871905,238.9743,88.10341,8.935531,8.06E-06,1.019886,0.6696913,0,N_C_2
S_C_2,1.227821,30984.75,534.0935,532.9507,0.9994164,0.9993678,32.09,29.52,NA,NA,NA,NA,NA,NA,7780.189,4044.768,18.18522,NA,-16.56462,4044.768,24600.8,32.3272,l4,1.253657,0.9959696,9.733374,0,29,1.882298,197.9441,45.65531,6.397839,5.30E-05,1.059356,0.547368,0,S_C_2
