"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.eff","LRE.eff","LRE.rsq","LRE.base","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"H_C_1","1.35305","497.5361","368.8302","367.6874","0.3733226","0.3210995","26","25.31",NA,NA,NA,NA,NA,NA,"22.22126","15.28779","0.01054906",NA,"-49.62053","15.28779","49.79876","26.02411","l4","1.042546","0.8047898","9.651747","0",NA,"1.872341","0.4376316","0",NA,NA,NA,NA,NA,"H_C_1"
"N_C_1","1.186408","547.5192","372.6594","371.5166","0.3647036","0.3117622","18.9","16.63",NA,NA,NA,NA,NA,NA,"18.00139","11.74305","1.049048",NA,"-11.10428","11.74305","49.01294","19.20819","l4","1.033808","0.2617918","9.242039","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_1"
"S_C_1","1.160199","699.9177","382.482","381.3392","0.3256676","0.2694732","18.38","16.09",NA,NA,NA,NA,NA,NA,"21.13689","14.68052","1.935136",NA,"-10.72056","14.68052","53.50523","18.70094","l4",NA,NA,NA,NA,"0.9314679",NA,NA,NA,"16","102.6538","26.72565","4.659892","5.533721","S_C_1"
"*H_T_1*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_T_1*"
"N_T_1","1.199845","650.2478","379.5377","378.3948","0.3605427","0.3072546","18.66","16.33",NA,NA,NA,NA,NA,NA,"17.97374","11.27847","0.917331",NA,"-10.72452","11.27847","51.69084","18.98678","l4",NA,NA,NA,NA,"1.107801",NA,NA,NA,"16","92.92331","14.54823","3.438086","0.0003948234","N_T_1"
"S_T_1","1.21519","558.1466","373.4284","372.2855","0.4234085","0.3753592","18.32","15.79",NA,NA,NA,NA,NA,NA,"16.81523","9.843048","0.7747719",NA,"-9.720038","9.843048","53.07348","18.7089","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_1"
"NT_C_1","1.102752","78.1492","294.7883","293.6455","0.4551911","0.4097903","18.7","15.48",NA,NA,NA,NA,NA,NA,"10.54928","7.881107","2.320948",NA,"-7.823802","7.881107","25.67139","19.32265","l4",NA,NA,NA,NA,"1.020236",NA,NA,NA,"15","82.60823","10.58194","2.909562","2.672675","NT_C_1"
"H_C_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_2"
"N_C_2","1.241924","546.8766","372.6124","371.4696","0.4263516","0.3785475","19.16","16.78",NA,NA,NA,NA,NA,NA,"15.90814","8.848882","0.4194735",NA,"-10.77035","8.848882","51.36864","19.49291","l4","1.185305","0.9552826","1.09128","0",NA,"1.218916","0.0009011535","0",NA,NA,NA,NA,NA,"N_C_2"
"S_C_2","1.274691","589.5341","375.6168","374.474","0.4030303","0.3532829","18.72","16.53",NA,NA,NA,NA,NA,NA,"15.17737","8.131435","0.2746961",NA,"-11.43958","8.131435","49.95247","19.00557","l4",NA,NA,NA,NA,"1.115362",NA,NA,NA,"16","97.71241","19.62468","3.993126","0.001043393","S_C_2"
