Sequence Plate,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
a,HL10,HL2,HL27,HL5,NF1,NF18,NF25,NF32,SN1,SN18,SN27,SN7
b,HL11,HL20,HL28,HL6,NF10,NF19,NF26,NF4,SN10,SN2,SN28,SN8
c,HL12,HL21,HL29,HL7,NF11,NF2,NF27,NF5,SN11,SN20,SN29,SN9
d,HL14,HL22,HL3,HL9,NF12,NF20,NF28,NF6,SN12,SN21,SN3,SN6
e,HL16,HL23,HL30,PHL04,NF13,NF21,NF29,NF7,SN13,SN22,SN30,SN16
f,HL17,HL24,HL31,PHL15,NF14,NF22,NF3,NF8,SN14,SN23,SN31,PSN03
g,HL18,HL25,HL32,PHL18,NF15,NF23,NF30,NF9,SN15,SN24,SN4,PSN07
h,HL19,HL26,HL4,PHL21,NF16,NF24,NF31,PNF02,SN17,SN25,SN5,PSN09
,,,,,,,,,,,,
Backup Samples,,,,,,,,,,,,
,8,9,10,11,12,,,,,,,
a,PHL24,PNF07,PSN12,Empty,Empty,,,,,,,
b,PHL26,PNF19,PSN13,Empty,Empty,,,,,,,
c,PHL27,PNF22,PSN22,Empty,Empty,,,,,,,
d,PHL31,PNF29,PSN23,Empty,Empty,,,,,,,
e,PHL14,PNF32,PSN27,Empty,Empty,,,,,,,
f,PHL20,PNF04,PSN28,Empty,Empty,,,,,,,
g,Empty,PNF25,PSN29,Empty,Empty,,,,,,,
h,PHL20,Empty,PSN30,Empty,Empty,,,,,,,
