Label,Start Time,Rev,Len,Q20,Q20/len,
Blank-Blank,2015-06-17 16:35:53-07,1,66,0,0,
Blank-Blank,2015-06-17 16:35:53-07,1,53,0,0,
Blank-Blank,2015-06-17 16:35:53-07,1,53,0,0,
Blank-Blank,2015-06-17 16:35:53-07,1,58,0,0,
Blank-Blank,2015-06-17 16:35:53-07,1,5,0,0,
Blank-Blank,2015-06-17 16:35:53-07,1,53,0,0,
Blank-Blank,2015-06-17 16:35:53-07,1,5,0,0,
Blank-Blank,2015-06-17 16:35:53-07,1,39,0,0,
Blank-CARM_FWD,2015-06-17 16:35:53-07,1,309,139,0.45,
Blank-CARM_REV,2015-06-17 16:35:53-07,1,5,0,0,
BMP2_HC1-BMP2_FWD,2015-06-17 16:35:53-07,1,55,26,0.47,
BMP2_HC1-BMP2_FWD,2015-06-17 16:35:53-07,1,53,24,0.45,
BMP2_HC1-BMP2_REV,2015-06-17 16:35:53-07,1,77,45,0.58,
BMP2_HC1-BMP2_REV,2015-06-17 16:35:53-07,1,79,43,0.54,
BMP2_HT1-BMP2_FWD,2015-06-17 16:35:53-07,1,56,26,0.46,
BMP2_HT1-BMP2_FWD,2015-06-17 16:35:53-07,1,55,25,0.45,
BMP2_HT1-BMP2_REV,2015-06-17 16:35:53-07,1,401,269,0.67,
BMP2_HT1-BMP2_REV,2015-06-17 16:35:53-07,1,351,176,0.5,
BMP2_NC1-BMP2_FWD,2015-06-17 16:35:53-07,1,43,11,0.26,
BMP2_NC1-BMP2_FWD,2015-06-17 16:35:53-07,1,45,13,0.29,
BMP2_NC1-BMP2_REV,2015-06-17 16:35:53-07,1,77,46,0.6,
BMP2_NC1-BMP2_REV,2015-06-17 16:35:53-07,1,79,45,0.57,
BMP2_NT1-BMP2_FWD,2015-06-17 16:35:53-07,1,318,175,0.55,
BMP2_NT1-BMP2_FWD,2015-06-17 16:35:53-07,1,55,24,0.44,
BMP2_NT1-BMP2_REV,2015-06-17 16:35:53-07,1,487,299,0.61,
BMP2_NT1-BMP2_REV,2015-06-17 16:35:53-07,1,477,367,0.77,
BMP2_SC1-BMP2_FWD,2015-06-17 16:35:53-07,1,51,7,0.14,
BMP2_SC1-BMP2_FWD,2015-06-17 16:35:53-07,1,46,18,0.39,
BMP2_SC1-BMP2_REV,2015-06-17 16:35:53-07,1,83,39,0.47,
BMP2_SC1-BMP2_REV,2015-06-17 16:35:53-07,1,75,39,0.52,
BMP2_ST1-BMP2_FWD,2015-06-17 16:35:53-07,1,56,27,0.48,
BMP2_ST1-BMP2_FWD,2015-06-17 16:35:53-07,1,403,184,0.46,
BMP2_ST1-BMP2_REV,2015-06-17 16:35:53-07,1,554,404,0.73,
BMP2_ST1-BMP2_REV,2015-06-17 16:35:53-07,1,484,326,0.67,
CARM_HC1-CARM_FWD,2015-06-17 16:35:53-07,1,624,459,0.74,
CARM_HC1-CARM_FWD,2015-06-17 16:35:53-07,1,571,225,0.39,
CARM_HC1-CARM_REV,2015-06-17 16:35:53-07,1,618,409,0.66,
CARM_HC1-CARM_REV,2015-06-17 16:35:53-07,1,621,558,0.9,
CARM_HT1-CARM_FWD,2015-06-17 16:35:53-07,1,402,167,0.42,
CARM_HT1-CARM_FWD,2015-06-17 16:35:53-07,1,381,216,0.57,
CARM_HT1-CARM_REV,2015-06-17 16:35:53-07,1,398,203,0.51,
CARM_HT1-CARM_REV,2015-06-17 16:35:53-07,1,437,208,0.48,
CARM_NC1-CARM_FWD,2015-06-17 16:35:53-07,1,608,435,0.72,
CARM_NC1-CARM_FWD,2015-06-17 16:35:53-07,1,618,564,0.91,
CARM_NC1-CARM_REV,2015-06-17 16:35:53-07,1,618,556,0.9,
CARM_NC1-CARM_REV,2015-06-17 16:35:53-07,1,617,523,0.85,
CARM_NT1-CARM_FWD,2015-06-17 16:35:53-07,1,631,264,0.42,
CARM_NT1-CARM_FWD,2015-06-17 16:35:53-07,1,618,349,0.56,
CARM_NT1-CARM_REV,2015-06-17 16:35:53-07,1,625,465,0.74,
CARM_NT1-CARM_REV,2015-06-17 16:35:53-07,1,580,398,0.69,
CARM_SC1-CARM_FWD,2015-06-17 16:35:53-07,1,284,78,0.27,
CARM_SC1-CARM_REV,2015-06-17 16:35:53-07,1,269,133,0.49,
HSPb11_HC1-HSPb11_FWD,2015-06-17 16:35:53-07,1,114,72,0.63,
HSPb11_HC1-HSPb11_FWD,2015-06-17 16:35:53-07,1,111,72,0.65,
HSPb11_HC1-HSPb11_REV,2015-06-17 16:35:53-07,1,270,19,0.07,
HSPb11_HC1-HSPb11_REV,2015-06-17 16:35:53-07,1,176,8,0.05,
